Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"P Dai, Y Li, Y Chen, J Jiao, Q Wang, C Li, Y Gu…","(Fluoromethylsulfonyl)methylation of Quinoxalinones Using NaSO2CH2F for C–F Bond Cleavage",2022,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c00048","https://scholar.google.com/scholar?cites=16977564099890531862&as_sdt=2005&sciodt=0,5&hl=en",601,"2025-05-19 18:02:27","","10.1021/acs.orglett.2c00048","","",,,,,9,3.00,1,8,3,"We developed a facile, efficient, and scalable route to achieve monofluoromethylsulfinyl alkylation of quinoxalinones. NaSO 2 CH 2 F served as the source of methylene to construct …","","https://scholar.google.com/scholar?q=related:Fk5mDZlsnOsJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"Y Lyu, N Toriumi, N Iwasawa","(Z)-Selective Hydroboration of Terminal Alkynes Catalyzed by a PSP–Pincer Rhodium Complex",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c03606","https://scholar.google.com/scholar?cites=4189293389391326017&as_sdt=2005&sciodt=0,5&hl=en",716,"2025-05-19 18:02:27","","10.1021/acs.orglett.1c03606","","",,,,,22,5.50,7,3,4,"… First, we carried out density functional theory (DFT) calculations on the structures of representative … The oxidative addition of HBpin to B gives the Rh(III) species C, which would be the …","","https://scholar.google.com/scholar?q=related:QeuPTiRcIzoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"H Fujimoto, S Yamamura, M Kusano, M Tobisu","1, 2-Diacylation of alkynes using acyl fluorides and acylsilanes by P (III)/P (V) catalysis",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c03910","https://scholar.google.com/scholar?cites=3564220292066826431&as_sdt=2005&sciodt=0,5&hl=en",293,"2025-05-19 18:02:27","","10.1021/acs.orglett.2c03910","","",,,,,12,6.00,3,4,2,"… The key to the success of the reaction is a formal oxidative addition–ligand metathesis–… Density functional theory (DFT) calculations were also carried out to obtain insights into the …","","https://scholar.google.com/scholar?q=related:v9jhuXindjEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"L Gao, X Liu, G Li, S Chen, J Cao, G Wang, S Li","1, 2-Silylpyridylation Reaction of Aryl Alkenes with Silylboronate",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02074","https://scholar.google.com/scholar?cites=12159855750127457274&as_sdt=2005&sciodt=0,5&hl=en",51,"2025-05-19 18:02:27","","10.1021/acs.orglett.2c02074","","",,,,,17,5.67,2,7,3,"… DFT calculations and control experiments show that the reaction proceeds through a silyl radical addition/radical–radical coupling sequence. This protocol features a broad substrate …","","https://scholar.google.com/scholar?q=related:-pNWCmF8wKgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"G Li, WW Xiong, PY Gu, J Cao, J Zhu, R Ganguly…","1, 5, 9-Triaza-2, 6, 10-triphenylboracoronene: BN-embedded analogue of coronene",2015,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ol503575t","https://scholar.google.com/scholar?cites=5568800770740683813&as_sdt=2005&sciodt=0,5&hl=en",521,"2025-05-19 18:02:27","","10.1021/ol503575t","","",,,,,88,8.80,13,7,10,"… by density functional theory (DFT) calculations (Figure S17). The molecular geometries of compound 1 and the carbon analogue were optimized using density functional theory (DFT) at …","","https://scholar.google.com/scholar?q=related:JYTr1MtaSE0J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Zhu, M Shi, C Xu, X Xue, L Zhang, L Fan","1,2-Dichloroethane as a Gaseous Acetylene Source for the Rapid Assembly of Isoquinolino[1,2-b]quinazolinone Scaffolds",2025,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00925","",534,"2025-05-19 18:02:27","","10.1021/acs.orglett.5c00925","","",,,,,0,0.00,0,6,1,"… studies and Density Functional Theory (DFT) calculations. … To better understand this transformation, density functional theory (DFT… Further DFT studies provided valuable insights into …","","https://scholar.google.com/scholar?q=related:xDrCfJTysssJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"WZ Shi, H Li, GC Mu, JL Lu, YH Tu, XG Hu","1,2-trans-Stereoselective Synthesis of C-Glycosides of 2-Deoxy-2-amino-sugars Involving Glycosyl Radicals",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c00551","https://scholar.google.com/scholar?cites=18294216366979099444&as_sdt=2005&sciodt=0,5&hl=en",905,"2025-05-19 18:02:27","","10.1021/acs.orglett.1c00551","","",,,,,31,7.75,5,6,4,"… The late-stage functionalization and density functional theory calculations are reported. … The late-stage functionalization of drug molecules and density functional theory (DFT) …","","https://scholar.google.com/scholar?q=related:NCvt3dsc4v0J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"LC Peyrical, L Vinet, E Azek, AB Charette","1,3-Dipolar Cycloaddition of SF5-Alkynes with Nonstabilized Diazo: Synthesis of Highly Substituted SF5-3H-Pyrazoles",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c04200","https://scholar.google.com/scholar?cites=5396127703698085903&as_sdt=2005&sciodt=0,5&hl=en",547,"2025-05-19 18:02:27","","10.1021/acs.orglett.4c04200","","",,,,,1,1.00,0,4,1,"… DFT calculations were performed to understand the selectivities and rearrangements. … Additional DFT calculations revealed that the rearrangement is driven by a combination of steric …","","https://scholar.google.com/scholar?q=related:D5iRfY7l4koJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
53,"R Rocaboy, O Baudoin","1,4-Palladium Shift/C(sp3)–H Activation Strategy for the Remote Construction of Five-Membered Rings",2019,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b00187","https://scholar.google.com/scholar?cites=5271725277153810725&as_sdt=2005&sciodt=0,5&hl=en",356,"2025-05-19 18:02:27","","10.1021/acs.orglett.9b00187","","",,,,,53,8.83,27,2,6,"… , there is no example of a method simply combining oxidative addition, 1,4-Pd shift, and C(… intermediate arising from C–Br oxidative addition might be also generated by 1,4-Pd shift from …","https://core.ac.uk/download/pdf/231921557.pdf","https://scholar.google.com/scholar?q=related:JVkzcjXuKEkJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"J Zhang, T Hou, L Zhang, J Luo","2, 4, 4, 6, 8, 8-Hexanitro-2, 6-diazaadamantane: A High-Energy density compound with high stability",2018,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.8b03107","https://scholar.google.com/scholar?cites=14350440499722057570&as_sdt=2005&sciodt=0,5&hl=en",660,"2025-05-19 18:02:27","","10.1021/acs.orglett.8b03107","","",,,,,37,5.29,9,4,7,"… The oxidation of the two hydroxyl groups was attempted. To our … , various oxidation methods such as Swern oxidation, Jones oxidation, PCC oxidation, Colin oxidation, DMP oxidation, …","","https://scholar.google.com/scholar?q=related:YvdPRJoBJ8cJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"R Bernini, S Cacchi, G Fabrizi, E Filisti","2-Arylhydroxytyrosol Derivatives via Suzuki− Miyaura Cross-Coupling",2008,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ol8012292","https://scholar.google.com/scholar?cites=17882909378935518874&as_sdt=2005&sciodt=0,5&hl=en",703,"2025-05-19 18:02:27","","10.1021/ol8012292","","",,,,,32,1.88,8,4,17,"… Although we have no direct evidence, we believe that the oxidative addition is not the step where the … Aryl iodides and bromides are known to be more prone to give oxidative addition …","","https://scholar.google.com/scholar?q=related:mvbzGVXbLPgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"Z Zhou, M Bian, L Zhao, H Gao, J Huang, X Liu…","2H-Chromene-3-carboxylic Acid Synthesis via Solvent-Controlled and Rhodium(III)-Catalyzed Redox-Neutral C–H Activation/[3 + 3] Annulation Cascade",2018,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.8b01477","https://scholar.google.com/scholar?cites=7559126020056324585&as_sdt=2005&sciodt=0,5&hl=en",423,"2025-05-19 18:02:27","","10.1021/acs.orglett.8b01477","","",,,,,42,6.00,6,7,7,"… Then, intramolecular oxidative addition of Rh(I) into the O–N bond affords F′ (pathway b). … To further confirm which pathway is more feasible for this transformation, DFT calculations …","http://xingweili.snnu.edu.cn/__local/8/D3/FB/F260AA84BC3CAB8F7CA0F5F2CA3_01CC803C_11F2DA.pdf","https://scholar.google.com/scholar?q=related:6ZnetRBp52gJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"RX Liang, RY Chen, C Zhong, JW Zhu, ZY Cao…","3, 3′-Disubstituted oxindoles formation via copper-catalyzed arylboration and arylsilylation of alkenes",2020,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00999","https://scholar.google.com/scholar?cites=11327517125621816325&as_sdt=2005&sciodt=0,5&hl=en",226,"2025-05-19 18:02:27","","10.1021/acs.orglett.0c00999","","",,,,,33,6.60,6,6,5,"… Two possible pathways are as follows: (1) the oxidative addition of alkyl-Cu to C Ar –I … this stage, although an oxidative addition/reductive elimination sequence is more likely. (13) …","","https://scholar.google.com/scholar?q=related:BZzXW89sM50J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
