Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"ZZ Xie, ZH Liao, Y Zheng, CP Yuan, JP Guan…","Photoredox-Catalyzed Selective α-Scission of PR3–OH Radicals to Access Hydroalkylation of Alkenes",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c03632","https://scholar.google.com/scholar?cites=9827080773624499004&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:25:55","","10.1021/acs.orglett.3c03632","","",,,,,10,5.00,2,6,2,"… To some extent, DFT calculations revealed that the bond strength difference between the P–C and the O–H bonds in the crucial phosphoranyl radical [•P(OH)R 3 ] presumably …","","https://scholar.google.com/scholar?q=related:PIv1wuXNYIgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"X Chen, Z Zhang, WY Shi, YN Ding, YY Luan…","Photoredox-Catalyzed N-Directed Regioselective Difluoroalkylation of Unactivated C(sp3)–H Bonds",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c01361","https://scholar.google.com/scholar?cites=14041153594469439239&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 18:25:55","","10.1021/acs.orglett.3c01361","","",,,,,16,8.00,3,6,2,"… (12) Subsequently, cost-effective and environmentally friendly photoredox approach was … fragments at unactivated sp 3 -hybridized carbon centers using mild photoredox catalysis. …","","https://scholar.google.com/scholar?q=related:B9cMC80y3MIJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"ZM Yan, CF Zhang, H Li, JH Yang, L Qi, YX Ma…","Photoredox-Catalyzed Allylic C–H Fluorosulfonylation of Alkenes: Accessing Allyl Sulfonyl Fluorides",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00015","",3,"2025-05-19 18:25:55","","10.1021/acs.orglett.5c00015","","",,,,,0,0.00,0,7,1,"… elimination of the cationic species D in our system, DFT investigations at the B3LYP/6-311+… utilizing the SMD model (for details, please see DFT study in the Supporting Information). It is …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/66ab359901103d79c56a11a9/original/photoredox-catalyzed-allylic-ch-fluorosulfonylation-of-alkenes-accessing-allyl-sulfonyl-fluorides.pdf","https://scholar.google.com/scholar?q=related:ih-zTbTaN8kJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"R Abe, K Nagao, T Seki, D Hata, Y Sasaki…","Photoredox-Catalyzed Site-Selective Intermolecular C(sp3)–H Alkylation of Tetrahydrofurfuryl Alcohol Derivatives",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c04439","",4,"2025-05-19 18:25:55","","10.1021/acs.orglett.4c04439","","",,,,,0,0.00,0,6,1,"… We performed density functional theory (DFT) calculations to understand the regioselectivity on HAT observed in 1d and contrasting results induced by 3′-stereochemistry observed in …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.4c04439","https://scholar.google.com/scholar?q=related:vBCea7cKuEsJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"SD Tambe, HS Hwang, E Park, EJ Cho","Dual Photoredox and Nickel Catalysis in Regioselective Diacylation: Exploring the Versatility of Nickel Oxidation States in Allene Activation",2024,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c01373","https://scholar.google.com/scholar?cites=15623820525346648150&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 18:25:55","","10.1021/acs.orglett.4c01373","","",,,,,1,1.00,0,4,1,"… Combining photoredox and Ni catalysis with migratory insertion process, (18) we have conceived a … have been further corroborated through density functional theory (DFT) calculations. …","","https://scholar.google.com/scholar?q=related:VnC-P_310tgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"Y Yamaguchi, Y Seino, A Suzuki, Y Kamei…","Intramolecular Hydrogen Atom Transfer Hydroarylation of Alkenes toward δ-Lactams Using Cobalt-Photoredox Dual Catalysis",2022,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c00700","https://scholar.google.com/scholar?cites=15097306032433713192&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 18:25:55","","10.1021/acs.orglett.2c00700","","",,,,,28,9.33,6,5,3,"… Here we report a dual cobalt- and photoredox-catalyzed HAT hydroarylation of alkenes that is … The proposed mechanism is supported by experiments and DFT calculations. …","","https://scholar.google.com/scholar?q=related:KNCS-NhnhNEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"Y Tokura, S Xu, I Kamiyoshi, K Hirano","Organophotoredox-Catalyzed C–H Functionalizations of Benzophospholes",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c01535","https://scholar.google.com/scholar?cites=13732012133623009019&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:25:55","","10.1021/acs.orglett.4c01535","","",,,,,4,4.00,1,4,1,"… Under the visible-light-promoted photoredox catalysis, the scope of coupling reagents can … To the best of our knowledge, this is the first successful example of photoredox-catalyzed C–H …","","https://scholar.google.com/scholar?q=related:-w70u0fokb4J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"T Singha, NA Bapat, SK Mishra, DP Hari","Photoredox-Catalyzed Strain-Release-Driven Synthesis of Functionalized Spirocyclobutyl Oxindoles",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c02177","https://scholar.google.com/scholar?cites=8848997131825435909&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 18:25:55","","10.1021/acs.orglett.4c02177","","",,,,,9,9.00,2,4,1,"… To comprehend the diastereoselective outcome, we have carried out a DFT study at the SMD (MeCN) /UM06–2x/6-311++G(d,p)//SMD (MeCN) /UM06–2x/6-31G(d) level of theory. The …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/660eb4b721291e5d1d0c54aa/original/photoredox-catalyzed-strain-release-driven-synthesis-of-functionalized-spirocyclobutyl-oxindoles.pdf","https://scholar.google.com/scholar?q=related:BdXn5AH0zXoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"ALG Kanegusuku, T Castanheiro, SK Ayer…","Sulfamyl radicals direct photoredox-mediated Giese reactions at unactivated C (3)–H bonds",2019,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b02234","https://scholar.google.com/scholar?cites=5285770110274060636&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 18:25:55","","10.1021/acs.orglett.9b02234","","",,,,,44,7.33,11,4,6,"… In summary, this sulfamate ester guided photoredox-mediated reaction provides a powerful … selectivity to that was achieved using known photoredox-mediated carbon–carbon bond-…","https://pmc.ncbi.nlm.nih.gov/articles/PMC7359209/pdf/nihms-1586955.pdf","https://scholar.google.com/scholar?q=related:XEFD--jTWkkJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"F Tang, YS Feng, ZF Cheng, Q Zhang, HJ Xu","Intermolecular 1, 2-Difunctionalization of Terminal Alkynes to Access Trisubstituted Alkenes via Copper/Photoredox Dual Catalysis",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c01267","https://scholar.google.com/scholar?cites=17294734385731390043&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:25:55","","10.1021/acs.orglett.3c01267","","",,,,,12,6.00,2,5,2,"We report a copper metallaphotocatalytic 1,2-difunctionalization of terminal alkynes with N-hydroxyphthalimide (NHP) esters and readily available silyl reagents (TMSCN and TMSNCS) …","","https://scholar.google.com/scholar?q=related:W8pA2ko9A_AJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
