Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"M Bian, H Mawjuda, H Gao, H Xu, Z Zhou, W Yi","Lossen Rearrangement vs C–N Reductive Elimination Enabled by Rh (III)-Catalyzed C–H Activation/Selective Lactone Ring-Opening: Chemodivergent Synthesis of …",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c03734","https://scholar.google.com/scholar?cites=11971688911116287915&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:04:38","","10.1021/acs.orglett.0c03734","","",,,,,25,5.00,4,6,5,"… mechanism and validate the DFT calculation results, a … DFT calculations that the energy barrier for Lossen rearrangement was 1.6 kcal/mol lower than that of C–N reductive elimination …","","https://scholar.google.com/scholar?q=related:q7-RzKL7I6YJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Das, S Tripathi, L Roy, NT Patil","Chelating-Group-Assisted C(sp2)–O Reductive Elimination at the Gold(III) Center",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c01053","",2,"2025-05-19 18:04:38","","10.1021/acs.orglett.5c01053","","",,,,,0,0.00,0,4,1,"… To shed light on the role of the chelating group for C–O reductive elimination, we conducted DFT calculations using compound 1c with the M06/SMD(methanol)/SDD+f(Au),SDD(Ag,I),…","","https://scholar.google.com/scholar?q=related:PFh475FMiLEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"J Kitano, Y Nishii, M Miura","Selective synthesis of C4-functionalized benzofurans by rhodium-catalyzed vinylene transfer: Computational study on the cyclopentadienyl ligand",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02030","https://scholar.google.com/scholar?cites=16112965831258484369&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 18:04:38","","10.1021/acs.orglett.2c02030","","",,,,,27,9.00,9,3,3,"… We conducted DFT calculations on the proposed reaction pathway to shed light on the … The direct reductive elimination from intG or its H 2 CO 3 adduct was not feasible, whereas …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/92807/OrgLett_24_31_5679.pdf","https://scholar.google.com/scholar?q=related:kS4rqg3BnN8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"K Chulsky, R Dobrovetsky","Metal-Free Catalytic Reductive Cleavage of Enol Ethers",2018,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.8b02932","https://scholar.google.com/scholar?cites=10152166088204317622&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 18:04:38","","10.1021/acs.orglett.8b02932","","",,,,,21,3.00,11,2,7,"… To understand this silicon-assisted β-elimination we performed a DFT calculation at the … (16) Based on these calculations, we believe that this elimination proceeds in a two-step …","","https://scholar.google.com/scholar?q=related:tnMvzES944wJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Chizaki, K Fujiwara, J Fujimoto, T Narumi…","Highly Z-Selective Julia–Kocienski Olefination Using N-Sulfonylimines and Its Mechanistic Insights from DFT Calculations",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00416","",5,"2025-05-19 18:04:38","","10.1021/acs.orglett.5c00416","","",,,,,0,0.00,0,5,1,"… than those for antiperiplanar elimination (Figure S3). The DFT calculations strongly support … , while synperiplanar elimination does not occur in this olefination using N-sulfonylimines. …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6790bb416dde43c908bcbe88/original/highly-z-selective-julia-kocienski-olefination-using-n-sulfonylimines-and-its-mechanistic-insights-from-dft-calculations.pdf","https://scholar.google.com/scholar?q=related:ux0QPyWiZqwJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"X Ren, Y Lu, G Lu, ZX Wang","Density functional theory mechanistic study of Ni-catalyzed reductive alkyne–alkyne cyclodimerization: Oxidative cyclization versus outer-sphere proton transfer",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00674","https://scholar.google.com/scholar?cites=9863396484012506616&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 18:04:38","","10.1021/acs.orglett.0c00674","","",,,,,22,4.40,6,4,5,"… In summary, we present a DFT study to understand the mechanism of the Ni-catalyzed reductive alkyne–alkyne cyclodimerization with MeOH/BEt 3 , the stereoselectivity, and the ligand …","","https://scholar.google.com/scholar?q=related:-P1m_NfS4YgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"H Moniwa, R Shintani","Nucleophilic Substitution at Unactivated Arene C–H: Copper-Catalyzed anti-Selective Silylative Cyclization of Substituted Benzylacetylenes",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00323","https://scholar.google.com/scholar?cites=16033372966274225275&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:04:38","","10.1021/acs.orglett.5c00323","","",,,,,1,1.00,1,2,1,"… C to species D in Scheme 4b by density functional theory (DFT) calculations. To this end, we … Among them, the commonly proposed oxidative addition/reductive elimination pathway (…","","https://scholar.google.com/scholar?q=related:e1QgrsP7gd4J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"G Huang","Mechanism of rhodium-catalyzed cyclopropanation/cyclization of allenynes",2015,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5b00753","https://scholar.google.com/scholar?cites=3982330304104251636&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 18:04:38","","10.1021/acs.orglett.5b00753","","",,,,,32,3.20,32,1,10,"… metallacycles is that the reductive elimination could give the [m … This intermediate C would undergo reductive elimination … by employing Density Functional Theory (DFT) calculations (…","","https://scholar.google.com/scholar?q=related:9EBo8k8URDcJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
108,"G Mihara, K Ghosh, Y Nishii, M Miura","Concise Synthesis of Isocoumarins through Rh-Catalyzed Direct Vinylene Annulation: Scope and Mechanistic Insight",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c02112","https://scholar.google.com/scholar?cites=16633741160106958067&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 18:04:38","","10.1021/acs.orglett.0c02112","","",,,,,108,21.60,27,4,5,"… detailed reaction mechanism was investigated by DFT calculation to find an unprecedented “… The direct C–O bond formation through reductive elimination from intD or its AcOH adduct …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/92814/OrgLett_22_14_5706.pdf","https://scholar.google.com/scholar?q=related:8xz4rXTr1uYJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"A Inami, Y Nishii, K Hirano, M Miura","Rhodium-Catalyzed Isoquinoline Synthesis Using Vinyl Selenone as Oxidizing Acetylene Surrogate",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c00826","https://scholar.google.com/scholar?cites=16587677440680636372&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:04:38","","10.1021/acs.orglett.3c00826","","",,,,,13,6.50,3,4,2,"… The liberated Rh(III) hydride species may undergo reductive elimination to form a Rh(I) complex, which would be oxidized by Se(IV) to close the catalytic cycle. Eventually, the Se(II) …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/94008/OrgLett_25_18_3206.pdf","https://scholar.google.com/scholar?q=related:1K-HPL9EM-YJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"M Chen, Y Lu, Y Shen, Q Wang","N-Trifluoroethoxy Benzotriazolium Triflate: A Readily Available Reagent for Direct Radical Trifluoroethoxylation of Alkenes",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c03710","https://scholar.google.com/scholar?cites=17728719782853425245&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-19 18:04:38","","10.1021/acs.orglett.4c03710","","",,,,,5,5.00,1,4,1,"Herein, we describe the development and application of a novel benzotriazole-based reagent toward radical trifluoroethoxylation. Various alkene classes, including styrene derivatives, …","","https://scholar.google.com/scholar?q=related:XThrM7YQCfYJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
