Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
35,"Z Liu, Y Lu, J Guo, W Hu, Y Dang, ZX Wang","DFT Mechanistic Account for the Site Selectivity of Electron-Rich C(sp3)–H Bond in the Manganese-Catalyzed Aminations",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b04215","https://scholar.google.com/scholar?cites=14197265083448712404&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:00:53","","10.1021/acs.orglett.9b04215","","",,,,,35,7.00,6,6,5,"… In summary, the DFT study elucidates why and how Mn III (ClPc) + catalyzes the electron-rich C(sp 3 )–H amination. The study unveils that the C–H cleavage occurs via a hydride-…","","https://scholar.google.com/scholar?q=related:1FwEgV_RBsUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Shi, L Zhu, L Zhang, Z Yang, M Pu, M Lei","The Origin of Enantioselectivity of Aryl Terminal Alkenes Hydroboration Catalyzed by Cobalt Complex: A Density Functional Theory (DFT) Study",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00809","",2,"2025-05-19 18:00:53","","10.1021/acs.orglett.5c00809","","",,,,,0,0.00,0,6,1,"… In summary, a DFT study was performed to investigate the mechanism and the origin of enantioselective hydroboration of aryl terminal alkenes catalyzed by Co-IPO complex. Among …","","https://scholar.google.com/scholar?q=related:qP8t1_H8lvcJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"X Ren, Y Lu, G Lu, ZX Wang","Density functional theory mechanistic study of Ni-catalyzed reductive alkyne–alkyne cyclodimerization: Oxidative cyclization versus outer-sphere proton transfer",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00674","https://scholar.google.com/scholar?cites=9863396484012506616&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 18:00:53","","10.1021/acs.orglett.0c00674","","",,,,,22,4.40,6,4,5,"… In summary, we present a DFT study to understand the mechanism of the Ni-catalyzed reductive alkyne–alkyne cyclodimerization with MeOH/BEt 3 , the stereoselectivity, and the ligand …","","https://scholar.google.com/scholar?q=related:-P1m_NfS4YgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"J Kitano, Y Nishii, M Miura","Selective synthesis of C4-functionalized benzofurans by rhodium-catalyzed vinylene transfer: Computational study on the cyclopentadienyl ligand",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02030","https://scholar.google.com/scholar?cites=16112965831258484369&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 18:00:53","","10.1021/acs.orglett.2c02030","","",,,,,27,9.00,9,3,3,"… We conducted DFT calculations on the proposed reaction pathway to shed light on the mechanism. Figure 1 displays an energy profile relative to a cationic Rh complex intA. After the …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/92807/OrgLett_24_31_5679.pdf","https://scholar.google.com/scholar?q=related:kS4rqg3BnN8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"L Zhang, Z Liu, X Tian, Y Zi, S Duan, Y Fang…","Transition-Metal-Free C(sp3)–H Coupling of Cycloalkanes Enabled by Single-Electron Transfer and Hydrogen Atom Transfer",2021,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c00135","https://scholar.google.com/scholar?cites=151529533461888233&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 18:00:53","","10.1021/acs.orglett.1c00135","","",,,,,22,5.50,3,7,4,"… In summary, we have developed a unique transition-metal-free C(sp 3 )–H/C(sp 3 )–H … It is noteworthy that this method does not require transition metals, initiators, or oxidants, enabling …","","https://scholar.google.com/scholar?q=related:6fz5zk5XGgIJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"K Nagai, S Morishitabara, Y Nishi, C Kajimoto…","Experimental and Theoretical Studies on Cobalt-Catalyzed Regioselective Hydrosilylation of Tetrafluorinated Cyclohexa-1, 3-dienes",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c02453","https://scholar.google.com/scholar?cites=2664153643693867414&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 18:00:53","","10.1021/acs.orglett.3c02453","","",,,,,4,2.00,1,5,2,"… ; via DFT … transition metals. (7) Over the past decade, our group has focused on discovering synthetic methods for producing fluorinated molecules using a first-row transition metal, …","","https://scholar.google.com/scholar?q=related:loFvp5_5-CQJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"Y Yamaguchi, Y Seino, A Suzuki, Y Kamei…","Intramolecular Hydrogen Atom Transfer Hydroarylation of Alkenes toward δ-Lactams Using Cobalt-Photoredox Dual Catalysis",2022,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c00700","https://scholar.google.com/scholar?cites=15097306032433713192&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:00:53","","10.1021/acs.orglett.2c00700","","",,,,,28,9.33,6,5,3,"… The proposed mechanism is supported by experiments and DFT calculations. … that the reaction can be performed under noble-metal-free conditions. The hydroarylation proceeded in …","","https://scholar.google.com/scholar?q=related:KNCS-NhnhNEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"F Zhang, XF Cheng, X Liang, DD Hu, Q Gao…","… Ni-Catalyzed Three-Component Arylsulfonation Inspired by Density Functional Theory/Time-Dependent Density Functional Theory-Simulated Photoactive Nickel …",2024,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c04222","",8,"2025-05-19 18:00:53","","10.1021/acs.orglett.4c04222","","",,,,,0,0.00,0,6,1,"… transition metal catalytic cycle. However, such a method heavily relies on the usage of noble-metal-… of photosensitizer and transition metal, photoinduced transition metal catalysis does …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.4c04222","https://scholar.google.com/scholar?q=related:k8wQY_dmLOUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
56,"RN Gaykar, S Bhattacharjee, AT Biju","Transition-Metal-Free Thioamination of Arynes Using Sulfenamides",2019,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.8b03966","https://scholar.google.com/scholar?cites=9082817322759323491&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 18:00:53","","10.1021/acs.orglett.8b03966","","",,,,,56,9.33,19,3,6,"… A detailed mechanistic study including DFT calculations is ongoing in our laboratory. For an early mechanistic study on the reaction of aryne with ethylene, see:Hayes, DM; Hoffmann, R. …","","https://scholar.google.com/scholar?q=related:Y3_VcjumDH4J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"T Liu, KB Gan, RL Zhong, X He, FY Kwong","A Metal-Free and Redox-Neutral Benzylic C–O Cyclization for Succinct Access of Helical Chromenes",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02728","https://scholar.google.com/scholar?cites=18004083540119902491&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:00:53","","10.1021/acs.orglett.2c02728","","",,,,,5,1.67,1,5,3,"… intrigued whether an oxidant-free and transition metal-circumvented protocol would be able … in existing metal-catalyzed ring-closure processes. It is worth noting that DFT calculation …","","https://scholar.google.com/scholar?q=related:G9lNC5da2_kJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
