Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"T Dos Santos, HP Orenha, VE Murie, R Vessecchi…","Selective Metalation and Functionalization of Fluorinated Nitriles Using 2, 2, 6, 6-Tetramethylpiperidyl Bases",2021,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c02572?casa_token=UVMn-UOgkEUAAAAA:P-au9cd1x9zR4ZGC2-v7dy67104c-N8rV47Kx3kCbxsNZMsS5HCshrPv5u8RSwpqQKo1r--EU-T_Ot8","https://scholar.google.com/scholar?cites=17782538073556449261&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:21:59","","10.1021/acs.orglett.1c02572","","",,,,,7,1.75,1,5,4,"… Regioselectivity was rationalized by DFT calculations. The quenching of the generated organozinc and … Upon transmetalation of 2b,c with ZnCl 2 and further addition of Pd(PPh 3 ) 4 and …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.1c02572?casa_token=YVeyZN64PsMAAAAA:5ZGv-XGkAXb6hR_i-6y6Xx32omuNRj8CX22jjYYn5MNwlO7vR0WsqGVgTbvYBZktW3GpFcxnf71Gzk4","https://scholar.google.com/scholar?q=related:7fcwdylEyPYJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"C Zhang, Y Cui, X Zhou, Y Pan, J Zhang, D Hu…","Pd-Catalyzed Decarboxylative Negishi Coupling of Zinc Aryl Carboxylates with Arylthianthrenium Salts",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00408?casa_token=5HYHXzoziVQAAAAA:AOigBW4rTpe9ow8QiFoGHh3DCoWXaEJSKPgTXyDTKdlDVUFQWE2sla2NxTQ67YpMVyfwYgf3MqALZPA","https://scholar.google.com/scholar?cites=13882927466930133280&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 18:21:59","","10.1021/acs.orglett.5c00408","","",,,,,2,2.00,0,7,1,"… Based on these control experiments and DFT calculations (for the details see the SI), as well as … Then, transmetalation of the polyfluoroaryl fragment from Zn to Pd yields intermediate C. …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.5c00408?casa_token=-bhr7adCES4AAAAA:BIMNw_z-IUzPkg-ZQ1Y9s2Yy5geNLL13pt4HRou5nntx0wypHRFRqpIO476yZk1SVQzHYgcDGLdasag","https://scholar.google.com/scholar?q=related:IFni7PkQqsAJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"XL Dai, J Ran, T Rajeshkumar, Z Xu, S Liu, Z Lv…","Highly Regioselective Propargylation/Allenylation of Organolanthanum Reagents with Aldehydes",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c00824?casa_token=v1WcVl8ZQq8AAAAA:GO6Q6XyfjbFxbjXXQ1qjMXfMOSPUBdMu2SeDq0-FnJD0b2xmIQbOy7FBwBm2G7rmCf87XksGirlGQKY","https://scholar.google.com/scholar?cites=1134267663360506817&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 18:21:59","","10.1021/acs.orglett.3c00824","","",,,,,3,1.50,0,7,2,"… reagents and the density functional theory (DFT) calculation … be achieved when the transmetalation reaction was limited to 15 … The lithiation and transmetalation processes of …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.3c00824?casa_token=k86OA6uvn4UAAAAA:5VJPVWcW9xNNLCNzhBBhtfScuNHf2klVKM5VzdrI2IKm1s1AsBbUaCXtChtwD28_exzhuotBpk30qtk","https://scholar.google.com/scholar?q=related:wbvQIm66vQ8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"T Inagaki, Y Akita, M Tobisu","Palladium-Catalyzed Addition of Trifluoroacetylsilanes to Alkenes and Allenes via the Cleavage of C–Si Bonds",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c00595?casa_token=aE9HdstrNn8AAAAA:Mk67_W9EKjr--Jx6owTcD3R3wogWdtKfBAwcfNJjryXYIlaSt18E2dy-CT9lZ_hmxRumgfq5xiWBuzQ","https://scholar.google.com/scholar?cites=12599827149213419588&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 18:21:59","","10.1021/acs.orglett.4c00595","","",,,,,8,8.00,3,3,1,"… transmetalation with transition metal complexes bearing an X-type ligand, during which the silicon group is eliminated. This transmetalation … using density functional theory (DFT) …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.4c00595?casa_token=kM7hv5FC2CIAAAAA:xN0KJnhahH0OzR1VpRt6HrHW-Q79c7AwKAgePj360ZKv0rw1uYaJ7X90rpKbFXgD-fuDskHPfaPBE7s","https://scholar.google.com/scholar?q=related:REgwFAmU264J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"Y Lv, W Pu, L Shi","Copper-catalyzed regio-and stereoselective 1, 1-dicarbofunctionalization of terminal alkynes",2019,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b02190?casa_token=9iMlzMDnDWwAAAAA:NAUBKDGRgaDZrgWyGH3x8PMf27WX8utRv-cEteAN7h1j6F59bt2k4WLrxLD5UF2LCv8bSDKvf3395vo","https://scholar.google.com/scholar?cites=3437818100508593720&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 18:21:59","","10.1021/acs.orglett.9b02190","","",,,,,21,3.50,7,3,6,"… However, it is also possible that the Cu(I) species first participates in transmetalation to generate an arylcopper(I) complex prior to the coordination of the 8-aminoquinoline. (17) Then, …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.9b02190?casa_token=atbHPJpU5aQAAAAA:DDFa0KXiPtZd-n3lVVYAVm6Bd7mQLNyyo9YPNcab4q2QjAlMIdnufc70V5spIb6jfxFtWyFF72s50-c","https://scholar.google.com/scholar?q=related:OA45G1mVtS8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"R Vanjari, S Dutta, S Yang, V Gandon…","Palladium-Catalyzed Regioselective Arylalkenylation of Ynamides",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c00197?casa_token=cFPgAn9vUKEAAAAA:_GwYlKOLvlM3u_PQl94yyJ-yytdrrCPhYUZNzPa-664rRW5kgMEifnw_26R08PLtZwERW26kQmTHPxo","https://scholar.google.com/scholar?cites=15076458455170061150&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 18:21:59","","10.1021/acs.orglett.2c00197","","",,,,,18,6.00,4,5,3,"… DFT studies provide valuable insights into the reaction mechanism. … This shows that olefin insertion is favored over transmetalation between the arylboronic acid and the …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.2c00197?casa_token=fxefbe8RGTUAAAAA:wQCAJYJrxPXW9G7HV7uXva9VFj8-fRYW6Hj1h6miFzYuMtCh9unRXtMt4ZOnPDf5UCADSgpPpSj0jxM","https://scholar.google.com/scholar?q=related:XpNYIxZXOtEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"R Doi, K Kajiwara, T Negoro, K Koh, S Ogoshi","Regioselective C–F Bond Transformations of Silyl Difluoroenolates",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c02057?casa_token=zaDv8KO1V40AAAAA:VZ9W3zUUuJW8KHeq4oWB8FQZF75LP1bTE6xg2DbJryPSEHokMJ37xQvLsF5LOei46akH1kQGcsQmYnU","https://scholar.google.com/scholar?cites=14458005982523782568&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:21:59","","10.1021/acs.orglett.3c02057","","",,,,,3,1.50,1,5,2,"… C–F bond-cleavage reaction, we performed a series of DFT calculations at the M06/6-311++G(d,p)//B3LYP… (41) For that purpose, we prepared diphenylzinc via the transmetalation of the …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.3c02057?casa_token=rpNFatBcOnYAAAAA:tBBATXhOJW9TX0FS7WzK5qY4v9PMR_PqaDPUg5d_HzCjMuIcB7oEs5byPL9O2xUCAeYI3mFoDZ7uJX0","https://scholar.google.com/scholar?q=related:qHXN3NYnpcgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"S Li, Y Li, R Zhu, J Bai, Y Shen, M Pan, W Li","Synthesis of ortho-Methylated Benzamides via Palladium-Catalyzed Denitrogenative Cross-Coupling Reaction of [1,2,3]-Benzotriazin-4(3H)-ones with DABAL-Me3",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c01745?casa_token=I9uUDdkDhjAAAAAA:oMV68DjbNCFhQ8-OOaqw_ZIWT8v0r57L0J_IwSGGmUqOXDuG_PsttnsqkPyvzQ3wRiUhkRr9DbcB4h0","https://scholar.google.com/scholar?cites=267776200047015274&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 18:21:59","","10.1021/acs.orglett.3c01745","","",,,,,10,5.00,1,7,2,"… Next, A underwent transmetalation with AlMe 3 to give aryl methyl palladium intermediate B, which may exist in the isomeric form of aluminum imidate (B′). Finally, reductive …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.3c01745?casa_token=pR-d1GfzyDcAAAAA:cdSsVGeGj6Gj36XUSUUmuJ0nkFU-Ub74FMEBh3xn4_GWu4Oj-Sw2_wR72ePa8GpRc6sQkDH9Qt8bZTc","https://scholar.google.com/scholar?q=related:ajUbAwlVtwMJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"H Tan, Y Zong, Y Tang, GC Tsui","Stereoselective Rhodium(I)-Catalyzed C–F Bond Arylation of Tri- and Tetrasubstituted gem-Difluoroalkenes with Boronic Acids",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c00108?casa_token=uXuvgHQCP0sAAAAA:L2Ro5U6npZozJFIqlsgMXowKbG2SwYAsDq9-hbM-L8ckcwZUWY-FogAYILzQO2kHSkB17ztgM9CVYTw","https://scholar.google.com/scholar?cites=11596954776690091117&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 18:21:59","","10.1021/acs.orglett.3c00108","","",,,,,21,10.50,5,4,2,"… transmetalation takes place at the M II center, rhodium(I) catalysts are more versatile in terms of transmetalation … The DFT calculations revealed that the activation energy barrier of the E …","https://pubs.acs.org/doi/pdf/10.1021/acs.orglett.3c00108?casa_token=ZUjPPlo_k10AAAAA:Sh-JjPj5DfctrTXsU6y86daWQaVSqBbS5GN0t0wwczIXNaDztQQ0BMqS10MU_Dsfo4NrFXiUHcf3wzY","https://scholar.google.com/scholar?q=related:beThFO2o8KAJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"N Mohammadi, F Mohaghegh, M Ghasemi…","Combining Trifunctionalization of Alkynoic Acids, Arene ortho C–H Functionalization and Amination: An Approach to Unsymmetrical 2, 3-Diaryl Substituted Indoles",2024,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c03446?casa_token=c8xapKddA6YAAAAA:TltbvHsESLhiquFyN8sOb8aTZosR39a5lpZQdi_4NjXmjqz_CAUILlUs4Yx8YE7Otw787ZX_Okn68zI","https://scholar.google.com/scholar?cites=4064543360423973501&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:21:59","","10.1021/acs.orglett.4c03446","","",,,,,2,2.00,1,4,1,"Here we report a simultaneous construction of two C–C and two C–N bonds in a unified procedure that incorporates alkynoic acid trifunctionalization, ortho C–H functionalization, and …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.4c03446?casa_token=acc0h6eP3dIAAAAA:PN_-YOEPSxxGCLDANX_fq7pDlIHn0Lt-qNyKlHo4OJpWhONSrHJpOFo8wLpkycEct0ALZhsLZW4ga_A","https://scholar.google.com/scholar?q=related:fVI-xKYoaDgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
