Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"H Gao, M Sun, H Zhang, M Bian, M Wu, G Zhu, ...","Stereoselective β–F Elimination Enabled Redox-Neutral [4 + 1] Annulation via Rh(III)-Catalyzed C–H Activation: Access to Z-Monofluoroalkenyl Dihydrobenzo[d] …",2019,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b01831?casa_token=OKwVMf1e4EQAAAAA:-t3KefQuLFe02BdBY3Dgic3xvY3MuX-dhvw7_nVhDLNOz-q5SkEJiMc-nrjvU6tSJMEKw1EkBM63lZE","https://scholar.google.com/scholar?cites=14888600748362009585&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 19:22:58","","10.1021/acs.orglett.9b01831","","",,,,,42,7.00,6,7,6,"… , l-tyrosine, and estrone as well as the theoretical density functional theory (DFT) studies for reasoning a plausible stereoselective β–F elimination process, have also been discussed. …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.9b01831?casa_token=_o1QllunnL8AAAAA:0ORxscY25KTJScs3D9oTftkZ_-4HgJKGYZm2C8JsfmrmASdhRcgxMOaD7RP5u0IANR1KGzmnFM4-vhI","https://scholar.google.com/scholar?q=related:8Yu7WH_vns4J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Chizaki, K Fujiwara, J Fujimoto, T Narumi, ...","Highly Z-Selective Julia–Kocienski Olefination Using N-Sulfonylimines and Its Mechanistic Insights from DFT Calculations",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00416?casa_token=z6Arbj-KyHoAAAAA:9bVQBBfwtK8EnpdOpKC98aXASSFruaiYQbRNTk5w2BgvTI5H5uz5-kVGa1pRp7vQl1fjPIuKT1aRZVg","",2,"2025-05-19 19:22:58","","10.1021/acs.orglett.5c00416","","",,,,,0,0.00,0,5,1,"… than those for antiperiplanar elimination (Figure S3). The DFT calculations strongly support … , while synperiplanar elimination does not occur in this olefination using N-sulfonylimines. …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.5c00416?casa_token=05LncD8fyywAAAAA:9Opkr6B9EoHlxEPOizSRfIeP8T7kChWtEDsjv7QYMIEaxcGBceM1n4VxVBASUfbdyZqZ9-qoYy3k53Y","https://scholar.google.com/scholar?q=related:ux0QPyWiZqwJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"J Kitano, Y Nishii, M Miura","Selective synthesis of C4-functionalized benzofurans by rhodium-catalyzed vinylene transfer: Computational study on the cyclopentadienyl ligand",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02030?casa_token=JSPqd5wY_HcAAAAA:CEFO-YuI8omfy0uWikxHU08YkWce5qZhiuqkLlRi2YbPZNhUHo6oYt4iCITHG1w6poHK7TUhFxPi72U","https://scholar.google.com/scholar?cites=16112965831258484369&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 19:22:58","","10.1021/acs.orglett.2c02030","","",,,,,27,9.00,9,3,3,"… -membered complex B, where the β-hydrogen elimination is … the subsequent β-oxygen elimination from an intermediate D … We conducted DFT calculations on the proposed reaction …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.2c02030?casa_token=MJIrcoTGytgAAAAA:JQFNG7e64cENoh87tRTOLYXUUOlwmcrPRbYFA0gYgKNCzDwP6-jeuCLL6JgRVm0elf7caVE-F--1RuQ","https://scholar.google.com/scholar?q=related:kS4rqg3BnN8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
152,"KR Bettadapur, V Lanke, KR Prabhu","Ru (II)-Catalyzed C–H Activation: Ketone-Directed Novel 1,4-Addition of Ortho C–H Bond to Maleimides",2015,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5b01810?casa_token=1B9iM7UcvmQAAAAA:E7A8RKoasqrzXvwbYW4p5qyzvdL8-NVvdbiBGnRirQFa-VE6LMIEhWSsYM-3kQrzvgIrhevu7BvtGcA","https://scholar.google.com/scholar?cites=4891875396727367132&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 19:22:58","","10.1021/acs.orglett.5b01810","","",,,,,152,15.20,51,3,10,"… DFT studies to understand this reaction and also to provide a rationale for the lack of β-hydride elimination… Gibbs free energies computed with the M06 density functional theory in 1,2-…","https://pubs.acs.org/doi/full/10.1021/acs.orglett.5b01810?casa_token=owbzpKRVKSAAAAAA:6cImVHcpgtPO-Q-g26ExUdqU-XSr2O5vRWYjSxPE0hP6HLSaInFSZG0phRC2YiB68X8wf93d8QdM4QY","https://scholar.google.com/scholar?q=related:3GVoS8Fu40MJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"A Parija, RB Sunoj","Mechanism of catalytic functionalization of primary C–H bonds using a silylation strategy",2013,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ol401597t?casa_token=TKDwGEPhAioAAAAA:_w-PqY9boPOrxqEts_2gG-_PSZRCdacxDKiTsxOJnU_IXuBkB4-UlG5x9NEeBrJmTZ8CJPYICpGRQH4","https://scholar.google.com/scholar?cites=8949937911809690825&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 19:22:58","","10.1021/ol401597t","","",,,,,33,2.75,17,2,12,"… cyclohexanol is examined using the density functional theory (M06). The … elimination. (20) In the next step, the vital carbon–silicon coupling takes place through reductive elimination to …","https://pubs.acs.org/doi/full/10.1021/ol401597t?casa_token=Xg_jeMzljosAAAAA:QKOKTM8ZnY4U3Mu4eGU-oQMgtitTnR-aKw5tOYpqdvLFW1-blBEZ6ezPI6tKfey-rauyVr_kWgWMOxA","https://scholar.google.com/scholar?q=related:ycw3qxyRNHwJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"Q Zhao, V Tognetti, L Joubert, T Besset, ...","Palladium-catalyzed synthesis of 3-trifluoromethyl-substituted 1, 3-butadienes by means of directed C–H bond functionalization",2017,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.7b00704?casa_token=wnHGLUfAwf0AAAAA:4nujppAdLjXfuNFJ621w4CtJhNppZn1eNf5ULnGCiQD3R5mRktUz44J5koFf5YbSqlhjf5MFv3qyraM","https://scholar.google.com/scholar?cites=10017043247399393517&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 19:22:58","","10.1021/acs.orglett.7b00704","","",,,,,51,6.38,10,5,8,"… Mechanistic studies supported by density functional theory calculations suggested a redox … Thus, we proposed the following mechanism for this transformation, supported by DFT …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.7b00704?casa_token=SpgwJSNxZq0AAAAA:8VKPI3dMQsG_9R1BwEEPZhSf7Aecq7y5Ujw-UzGH7ic_xCxPuKEoq4oQ1LN66bM9Y9_F-DfGluCFD9w","https://scholar.google.com/scholar?q=related:7Vj3zMKvA4sJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"M Bian, H Mawjuda, H Gao, H Xu, Z Zhou, W Yi","Lossen Rearrangement vs C–N Reductive Elimination Enabled by Rh (III)-Catalyzed C–H Activation/Selective Lactone Ring-Opening: Chemodivergent Synthesis of …",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c03734?casa_token=tbAV-KWLExUAAAAA:MLCnfEGah4JeBP_maSyAqmQvFPckbkMzx4btVuvWolpmAOy9PKkhU6lZSb1qxnqYwd26odh4I7cQVPc","https://scholar.google.com/scholar?cites=11971688911116287915&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 19:22:58","","10.1021/acs.orglett.0c03734","","",,,,,25,5.00,4,6,5,"… This result was in line with the DFT calculations that the energy barrier for Lossen rearrangement was 1.6 kcal/mol lower than that of C–N reductive elimination with the −CONHOAc ODG…","https://pubs.acs.org/doi/full/10.1021/acs.orglett.0c03734?casa_token=R4t0uBVcTyMAAAAA:u3k9h6T2dJD3FpSv2rGWxtiN6eQu5v535CAjMmvpx4Xz6GuAEOYUXVv5sNJMTDxXLEq2s34fZuk-C9M","https://scholar.google.com/scholar?q=related:q7-RzKL7I6YJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"H Moniwa, R Shintani","Nucleophilic Substitution at Unactivated Arene C–H: Copper-Catalyzed anti-Selective Silylative Cyclization of Substituted Benzylacetylenes",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00323?casa_token=TM6BTJpVJxIAAAAA:3fa_Za6nXcf7aK_gwa-n0avoZCMNejEosMc2UhKMwVNQ-OweVXLRTz9mCyW7g330U6vud0lxn8P1jcw","https://scholar.google.com/scholar?cites=16033372966274225275&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 19:22:58","","10.1021/acs.orglett.5c00323","","",,,,,1,1.00,1,2,1,"… D in Scheme 4b by density functional theory (DFT) calculations. … oxidative addition/reductive elimination pathway (path a) and … This addition–elimination pathway is quite unusual, but we …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.5c00323?casa_token=Cq-gdgJwNPkAAAAA:byFhRhs77ILKFfxUQpd2mSkfi6bXNOmwa1KpZl6onxPk2tFLcOT3WoOW1xWVgLbM9pIsiGp9xOsRG8A","https://scholar.google.com/scholar?q=related:e1QgrsP7gd4J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"K Chulsky, R Dobrovetsky","Metal-Free Catalytic Reductive Cleavage of Enol Ethers",2018,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.8b02932?casa_token=VXOYIEDNeKsAAAAA:ShIFXSsz0BML-5DvGeE371acjK9AysjWYl6crgCL9x6CbuA8NWzmjnqYThxWhKCiEQko1AxguTyftMw","https://scholar.google.com/scholar?cites=10152166088204317622&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 19:22:58","","10.1021/acs.orglett.8b02932","","",,,,,21,3.00,11,2,7,"… To understand this silicon-assisted β-elimination we performed a DFT calculation … elimination proceeds in a two-step mechanism. The first step is the cleavage of the C–O bond in 37–B(…","https://pubs.acs.org/doi/full/10.1021/acs.orglett.8b02932?casa_token=ynNPYQcBWn0AAAAA:mb1yUwsOduBgzcZyVfiwbkL4zjHj3lVaRbLlMOSiP1rbo8_WLlkdPLEMBH0d2arpuSEfCD-zExO4e7o","https://scholar.google.com/scholar?q=related:tnMvzES944wJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"X Song, BN Do Doan, X Zhang, R Lee, X Fan","Complementary C–H Functionalization Mode of Benzoylacetonitriles: Computer-Augmented Study of a Regio-and Stereoselective Synthesis of Functionalized …",2019,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b03858?casa_token=hsag4wagntwAAAAA:CoriJamZO6dO-l5PSq6AXK8wztfjN2HmFEjPIOTz2zKb3bi_SJFJqTyHuN7TB_D7a4d3Au9Pgfnjeco","https://scholar.google.com/scholar?cites=4179294785106951487&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 19:22:58","","10.1021/acs.orglett.9b03858","","",,,,,61,10.17,12,5,6,"… β-hydroxo elimination through TS4A. The DFT calculations show that pathway B forms a highly … be feasible suggesting thermodynamic control over pathway B. In the absence of CsOAc, …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.9b03858?casa_token=37XPCj1gSlMAAAAA:x8FBBQx4FjPb40Ya2LtiB3rqx3cXujWTcJy9VVIoJ-9krnMjL61fEuMf4Icuj5zzSfFfZhsEMWH9tU8","https://scholar.google.com/scholar?q=related:Pz3x1XbW_zkJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
