Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
81,"D Munz, D Meyer, T Strassner","Methane CH activation by palladium complexes with chelating bis (NHC) ligands: a DFT study",2013,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om400232u","https://scholar.google.com/scholar?cites=8688609045534383059&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 23:33:38","","10.1021/om400232u","","",,,,,81,6.75,27,3,12,"… DFT calculations have proven to be a valuable tool in the exploration of reaction mechanisms and especially CH activation … Herein we report very detailed DFT calculations on the …","","https://scholar.google.com/scholar?q=related:05tSh-QjlHgJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
79,"Z Ke, TR Cundari","Palladium-Catalyzed C− H Activation/C− N Bond Formation Reactions: DFT Study of Reaction Mechanisms and Reactive Intermediates",2010,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om900895t","https://scholar.google.com/scholar?cites=6392705297016385430&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 23:33:38","","10.1021/om900895t","","",,,,,79,5.27,40,2,15,"… C−H activation and C−N bond formation are investigated with density functional theory (DFT), … We have considered DFT methods that are able to include middle/long-range noncovalent …","","https://scholar.google.com/scholar?q=related:lm9r_phzt1gJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"YM Xing, L Zhang, DC Fang","DFT studies on the mechanism of palladium (IV)-mediated C–H activation reactions: oxidant effect and regioselectivity",2015,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om501239n","https://scholar.google.com/scholar?cites=6897705509058122195&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 23:33:38","","10.1021/om501239n","","",,,,,33,3.30,11,3,10,"… the first systematic study of C–H activation at a Pd IV center. … As a modified version of DFT, the DFT-D3 method is … In this work, B3LYP/DFT-D3/DZVP single-point calculations …","","https://scholar.google.com/scholar?q=related:0xGqaJ2SuV8J:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"AL Sargent, EP Titus","C−S and C−H Bond Activation of Thiophene by Cp*Rh(PMe3):  A DFT Theoretical Investigation",1998,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om970585e","https://scholar.google.com/scholar?cites=11214111379319855556&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 23:33:38","","10.1021/om970585e","","",,,,,55,2.04,28,2,27,"… in redundant internal coordinates 9 with density-functional theory (DFT) and a wave function … points for full optimizations in redundant internal coordinates at the DFT/B3LYP level. …","","https://scholar.google.com/scholar?q=related:xJkGdOKGoJsJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"A Marrone, N Re, R Romeo","Dissociative route to C− H bond activation: DFT study of ligand cyclometalation in a platinum (II) complex",2008,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om701070f","https://scholar.google.com/scholar?cites=1999258231597364133&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 23:33:38","","10.1021/om701070f","","",,,,,37,2.18,12,3,17,"… In the search for new synthetic procedures to circumvent the kinetic inertness of 16-electron square-planar complexes toward C−H activation, we planned to use electron-rich …","","https://scholar.google.com/scholar?q=related:pfOi5MTKvhsJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
252,"B Biswas, M Sugimoto, S Sakaki","C−H Bond Activation of Benzene and Methane by M(η2-O2CH)2 (M = Pd or Pt). A Theoretical Study",2000,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om000002s","https://scholar.google.com/scholar?cites=4718931055407462877&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 23:33:38","","10.1021/om000002s","","",,,,,252,10.08,84,3,25,"… that the DFT(B3LYP) method … C−H bond activation by M(η 2 -O 2 CH) 2 and that the MP4(SDQ) method seems more reliable than the DFT(B3LYP) method in these C−H bond activation …","","https://scholar.google.com/scholar?q=related:3fke_coCfUEJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"JA Cabeza, E Pérez-Carreno","Double C− H Bond Activation of an NHC N-Methyl Group on Triruthenium and Triosmium Carbonyl Clusters: A DFT Mechanistic Study",2008,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om8006085","https://scholar.google.com/scholar?cites=1563814359742354546&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 23:33:38","","10.1021/om8006085","","",,,,,42,2.47,21,2,17,"… C−H bonds of an NHC N-methyl group, have been investigated by density functional theory … Both C−H activation steps are oxidative addition processes, and each one is preceded by a …","https://www.academia.edu/download/50135257/Double_C-H_bond_activation_of_an_NHCN-me20161105-5193-197z4wj.pdf","https://scholar.google.com/scholar?q=related:chQZ79_IsxUJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"W Guo, T Zhou, Y Xia","… understanding of the aryl-dependent ring formations in Rh (III)-catalyzed C–H activation/cycloaddition of benzamides and methylenecyclopropanes by DFT …",2015,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5b00317","https://scholar.google.com/scholar?cites=4754400938190376997&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 23:33:38","","10.1021/acs.organomet.5b00317","","",,,,,75,7.50,25,3,10,"… Answering the above mechanistic problems with the furanyl- and phenyl-involved C–H … DFT study was carried out to investigate the mechanisms of the Rh(III)-catalyzed C–H activation/…","","https://scholar.google.com/scholar?q=related:JRCfoHYG-0EJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"R Cohen, D Milstein, JML Martin","Mechanism of the Methylene Transfer Reaction. C− C Activation and Reductive Elimination in One System. A DFT Study",2004,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om049848c","https://scholar.google.com/scholar?cites=11947130572251186731&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 23:33:38","","10.1021/om049848c","","",,,,,23,1.10,8,3,21,"… elimination and C−H activation. … DFT study of the methylene transfer reaction in the (PCP−CH 2 )Rh(Ar)(X) system that sheds light on this unique process, which involves C−C activation …","","https://scholar.google.com/scholar?q=related:K8Y99PS7zKUJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"L Perrin, L Maron, O Eisenstein, TD Tilley","Bond Activations of PhSiH3 by Cp2SmH: A Mechanistic Investigation by the DFT Method",2009,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om900106n","https://scholar.google.com/scholar?cites=12752433700602838497&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 23:33:38","","10.1021/om900106n","","",,,,,36,2.25,9,4,16,"… In this study, it was shown that direct Si−C bond activation of MeSiH 3 is unlikely to occur via … reaction g is not kinetically accessible (the activation barrier is higher than 50 kcal mol −1 ). …","","https://scholar.google.com/scholar?q=related:4f0mquK--bAJ:scholar.google.com/&scioq=source:organometallics+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
