Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"M Meißner, K Nugraha, KD Grandstaff, TH Do, ...","Bis (iminoxolene) iridium Anion and Alkyls: How Does Ligand Redox Noninnocence Interface with Oxidative Addition?",2025,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00514","https://scholar.google.com/scholar?cites=12797862706275457850&as_sdt=2005&sciodt=0,5&hl=en",253,"2025-05-19 15:14:03","","10.1021/acs.organomet.4c00514","","",,,,,1,1.00,0,5,1,"… DFT calculations indicate that the HOMO of [(ap) 2 Ir] − (ap = C 6 H 4 O(NPh)) is in fact the d yz orbital, whose energy is raised by its antibonding interaction with the B g combination of …","","https://scholar.google.com/scholar?q=related:OpvES1Mkm7EJ:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Ariafard, F Shiri, R Stranger, L Eickhoff, ...","Reductive Coupling of Carbon Monoxide by an Anionic Calcium Hydride: A Computational Mechanistic Study",2025,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00464","",269,"2025-05-19 15:14:03","","10.1021/acs.organomet.4c00464","","",,,,,0,0.00,0,5,1,"We recently reported that a dimeric, anionic calcium hydride complex can perform the selective reduction and C–C coupling of carbon monoxide. Here, the mechanism of this reaction is …","","https://scholar.google.com/scholar?q=related:MA85HxtRHrUJ:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"PJ Chirik","Back with the Flash Communication",2025,"Organometallics","ACS Publications","https://pubs.acs.org/doi/full/10.1021/acs.organomet.4c00497","",322,"2025-05-19 15:14:03","HTML","10.1021/acs.organomet.4c00497","","",,,,,0,0.00,0,1,1,"… My group, in collaboration with ExxonMobil, has reported the carbonylation of both neutral … , substrate scope to explore, and of course DFT calculations to run, backing up a mechanistic …","https://pubs.acs.org/doi/full/10.1021/acs.organomet.4c00497","https://scholar.google.com/scholar?q=related:2Pmn0lg_CI0J:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Wan, T Zhao, Q Ren, G Zhou","Role of TMEDA in Iron-Catalyzed C(sp2)–C(sp3) Cross-Coupling Reactions: A Mechanistic Study Using DFT Calculations",2024,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.3c00391","https://scholar.google.com/scholar?cites=3914053650653606694&as_sdt=2005&sciodt=0,5&hl=en",58,"2025-05-19 15:14:03","","10.1021/acs.organomet.3c00391","","",,,,,1,1.00,0,4,1,"… Our DFT calculations have investigated the detailed mechanisms of closed-shell singlet Fe II , triplet Fe II , and quintet Fe II catalytic cycles from 1. The calculated results show that the …","","https://scholar.google.com/scholar?q=related:JnMHxw6DUTYJ:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"M Jörges, S Mondal, M Kumar, P Duari, ...","Phosphinoyl-Substituted Ketenyl Anions: Synthesis and Substituent Effects on the Structural Properties",2024,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.3c00530","https://scholar.google.com/scholar?cites=13813596579536718357&as_sdt=2005&sciodt=0,5&hl=en",68,"2025-05-19 15:14:03","","10.1021/acs.organomet.3c00530","","",,,,,6,6.00,1,5,1,"… This is confirmed by density functional theory (DFT) studies … ketenyl anions by carbonylation of the corresponding metalated … These trends are supported by DFT studies, thus confirming …","https://pubs.acs.org/doi/full/10.1021/acs.organomet.3c00530","https://scholar.google.com/scholar?q=related:FUrWyebAs78J:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"HY Liu, HTW Shere, SE Neale, MS Hill, ...","Terminal Alkyne Activation by an Al (I)-Centered Anion: Impact on the Mechanism of Alkali Metal Identity",2024,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00435","https://scholar.google.com/scholar?cites=12403155058058701335&as_sdt=2005&sciodt=0,5&hl=en",92,"2025-05-19 15:14:03","","10.1021/acs.organomet.4c00435","","",,,,,2,2.00,0,5,1,"… Theoretical analysis of the formation of these compounds through density functional theory (DFT) calculations implies that the experimentally observed changes in reaction rate are a …","https://pubs.acs.org/doi/full/10.1021/acs.organomet.4c00435","https://scholar.google.com/scholar?q=related:F6qtgc_bIKwJ:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"AP Sakhonenkova, AE Miroslavov, GV Sidorenko, ...","Existence and Properties of [TcH(CO)5]",2024,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00083","https://scholar.google.com/scholar?cites=16278897186425211317&as_sdt=2005&sciodt=0,5&hl=en",104,"2025-05-19 15:14:03","","10.1021/acs.organomet.4c00083","","",,,,,1,1.00,0,4,1,"… The authentic sample of 2 was obtained by autoclave carbonylation of K 99 TcO 4 in an … hexane solution is similar to the spectrum calculated by DFT for the same solvent. The yield of 1, …","","https://scholar.google.com/scholar?q=related:tQn7471C6uEJ:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"NP Mankad, S Roland, M Sollogoub, ...","Supramolecular Perturbation of Metal–Metal Bonding in Cyclodextrin-Encapsulated (NHC)Cu-FeCp(CO)2 Complexes",2024,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00105","https://scholar.google.com/scholar?cites=15433305797970171597&as_sdt=2005&sciodt=0,5&hl=en",114,"2025-05-19 15:14:03","","10.1021/acs.organomet.4c00105","","",,,,,1,1.00,0,4,1,"… According to DFT modeling, this change in electronic structure is correlated to the pyramidalization of the Fp fragment away from a planar orientation and to the disruption of …","","https://scholar.google.com/scholar?q=related:zRb9pdodLtYJ:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"CC Bories, A Sodreau, M Barbazanges, M Petit","Well-Defined Low-Valent Cobalt Complexes in Catalysis: An Overview",2024,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00054","https://scholar.google.com/scholar?cites=5863798586970114966&as_sdt=2005&sciodt=0,5&hl=en",147,"2025-05-19 15:14:03","","10.1021/acs.organomet.4c00054","","",,,,,10,10.00,3,4,1,"… , which began in 1960 by BASF via methanol carbonylation. The CoI 2 cobalt salt is used to … studies, including deuterium-labeling experiments and DFT calculations. The group of Petit …","https://hal.science/hal-04552121v1/file/Organometallicsreview_LastR2Bio.pdf","https://scholar.google.com/scholar?q=related:lovKQr9lYFEJ:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Pauly, AK Adegboyega, CA Brown, DE Pérez, ...","Insertions of Isocyanides in Diamidoamine Rhenium (III) Complexes",2024,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00338","",149,"2025-05-19 15:14:03","","10.1021/acs.organomet.4c00338","","",,,,,0,0.00,0,5,1,"… the formation of the iminoacyl complexes in this study was also investigated by DFT (APFD). … In this article, we explore in detail, experimentally, and with DFT studies, the insertion of …","","https://scholar.google.com/scholar?q=related:A8AjwyOGpr0J:scholar.google.com/&scioq=source:organometallics+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
