Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
158,"LJ Goossen, D Koley, HL Hermann, W Thiel","Palladium monophosphine intermediates in catalytic cross-coupling reactions: A DFT study",2006,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om050685h","https://scholar.google.com/scholar?cites=5785956535083645422&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 12:01:12","","10.1021/om050685h","","",,,,,158,8.32,40,4,19,"… cross-coupling of phenylboronic acid with acetic anhydride, a viable model of the widely used Suzuki reaction, has been studied by DFT … Suzuki-type coupling reactions several catalytic …","","https://scholar.google.com/scholar?q=related:7rmCN9DYS1AJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
464,"AAC Braga, G Ujaque, F Maseras","A DFT study of the full catalytic cycle of the Suzuki− Miyaura cross-coupling on a model system",2006,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om060380i","https://scholar.google.com/scholar?cites=14021100148550891883&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 12:01:12","","10.1021/om060380i","","",,,,,464,24.42,155,3,19,"A computational study with the Becke3LYP DFT functional is carried out on the cross-coupling reaction of vinyl bromide H 2 C CHBr and vinylboronic acid H 2 C CHB(OH) 2 catalyzed …","","https://scholar.google.com/scholar?q=related:a3mNUkz0lMIJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"AB Gonzalez-Perez, R Alvarez, ON Faza…","DFT-based insights into Pd–Zn cooperative effects in oxidative addition and reductive elimination processes relevant to negishi cross-couplings",2012,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om300024p","https://scholar.google.com/scholar?cites=6629833577862218300&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 12:01:12","","10.1021/om300024p","","",,,,,58,4.46,15,4,13,"… Pd-catalyzed Negishi coupling between vinyl bromide and MeZnClS 2 (S = THF), using Pd(PMe 3 ) 2 as catalyst, have been examined with the aid of DFT computations in THF solution …","","https://scholar.google.com/scholar?q=related:PEJvQIPmAVwJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Wan, T Zhao, Q Ren, G Zhou","Role of TMEDA in Iron-Catalyzed C(sp2)–C(sp3) Cross-Coupling Reactions: A Mechanistic Study Using DFT Calculations",2024,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.3c00391","https://scholar.google.com/scholar?cites=3914053650653606694&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 12:01:12","","10.1021/acs.organomet.3c00391","","",,,,,1,1.00,0,4,1,"Density functional theory studies for the role of N,N,N′,N′-tetramethylethylenediamine (TMEDA) in iron-catalyzed cross-coupling … in iron-catalyzed cross-coupling reactions. It shows …","","https://scholar.google.com/scholar?q=related:JnMHxw6DUTYJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"SN Natoli, TJ Azbell, PE Fanwick, M Zeller…","A Synthetic Approach to Cross-Conjugated Organometallic Complexes Based on geminal-Diethynylethene and CoIII(cyclam)",2016,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.6b00657","https://scholar.google.com/scholar?cites=6931073329148887431&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 12:01:12","","10.1021/acs.organomet.6b00657","","",,,,,19,2.11,4,5,9,"… –Co coupling across the gem-DEE bridge in [3]Cl 2 and [4a](OTf) 4 , while the addition of a second acetylide in the trans position diminished such coupling in [4b](PF 6 ) 2 . DFT analysis …","","https://scholar.google.com/scholar?q=related:h4EacHgeMGAJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"J Meeprasert, S Namuangruk, B Boekfa…","Mechanism of Ullmann coupling reaction of chloroarene on Au/Pd alloy nanocluster: A DFT study",2016,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5b01009","https://scholar.google.com/scholar?cites=9381636654958238294&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 12:01:12","","10.1021/acs.organomet.5b01009","","",,,,,16,1.78,4,4,9,"… Recently, C–Cl bond activation has been investigated by the DFT calculations with … coupling reaction on Au/Pd bimetallic alloy NCs for the substrate ArCl producing biphenyl by the DFT …","","https://scholar.google.com/scholar?q=related:VtqR5tREMoIJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"F Witte, SP Zucker, B Paulus, CC Tzschucke","Unexpected Substituent Effects in Aryl-Aryl Negishi Cross-Coupling Reactions Rationalized by Density Functional Theory and Natural Charges",2021,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.0c00746","https://scholar.google.com/scholar?cites=171700581716515355&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 12:01:12","","10.1021/acs.organomet.0c00746","","",,,,,4,1.00,1,4,4,"… step in palladium-catalyzed Negishi cross-coupling reactions, the effects caused by varying … cross-coupling reactions. Quantum-chemical calculations based on density functional theory …","","https://scholar.google.com/scholar?q=related:G9rw9MQAYgIJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"E Gioria, J del Pozo, A Lledós, P Espinet","Understanding the Use of Phosphine-(EWO) Ligands in Negishi Cross-Coupling: Experimental and Density Functional Theory Mechanistic Study",2021,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.1c00001","https://scholar.google.com/scholar?cites=2487088788679333460&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 12:01:12","","10.1021/acs.organomet.1c00001","","",,,,,10,2.50,3,4,4,"… Furthermore, since transmetalation is the most studied step of cross-coupling cycles, we refer the reader to the abundant literature available. (12−18) It is worth mentioning that our DFT …","https://pubs.acs.org/doi/full/10.1021/acs.organomet.1c00001","https://scholar.google.com/scholar?q=related:VJYWfhPqgyIJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"Y Yamamoto, S Takada, N Miyaura, T Iyama…","γ-Selective Cross-Coupling Reactions of Potassium Allyltrifluoroborates with Haloarenes Catalyzed by a Pd(0)/D-t-BPF or Pd(0)/Josiphos ((R,S)-CyPF-t-Bu) …",2009,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om800832r","https://scholar.google.com/scholar?cites=15828817580501543515&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 12:01:12","","10.1021/om800832r","","",,,,,103,6.44,21,5,16,"… Theoretical study by density functional theory (DFT) calculation showed that transmetalation … preceding the stereodetermining insertion step by DFT calculation. A stable adduct between …","http://pstorage-acs-6854636.s3.amazonaws.com/4584673/om800832r_si_001.pdf","https://scholar.google.com/scholar?q=related:W6pAjLlBq9sJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"F Cruz, B Vaz, U Vilar, A Ortega, Y Madich…","Regioselective Palladium-Catalyzed Heterocyclization–Sonogashira Coupling Cascades from 2-Alkynylbenzamides and Terminal Alkynes: Experimental and DFT …",2018,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.8b00519","https://scholar.google.com/scholar?cites=4760988741936162698&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 12:01:12","","10.1021/acs.organomet.8b00519","","",,,,,11,1.57,2,6,7,"… Insights into the mechanism of this reaction have been obtained with the aid of DFT … (18,19) On the other hand, our results (experiments and DFT calculations) suggest that an …","https://www.academia.edu/download/110588081/acs.organomet.8b0051920240118-1-c6jspd.pdf","https://scholar.google.com/scholar?q=related:iie9NgluEkIJ:scholar.google.com/&scioq=source:organometallics+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
