Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
212,"A Hildebrandt, H Lang","(Multi) ferrocenyl five-membered heterocycles: excellent connecting units for electron transfer studies",2013,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om400453m","https://scholar.google.com/scholar?cites=949202683262883707&as_sdt=2005&sciodt=0,5&hl=en",877,"2025-05-18 23:26:51","","10.1021/om400453m","","",,,,,212,17.67,106,2,12,"… This hypothesis was supported by DFT and TD-DFT calculations (B3LYP, 3-21G*). (36) Computational studies on the cations 25 + –27 + revealed low-energy (near-IR) excitations …","","https://scholar.google.com/scholar?q=related:e1e7s88-LA0J:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
66,"D Guest, VH Menezes da Silva…","(N-Heterocyclic Carbene)-palladate complexes in anionic Mizoroki–Heck coupling cycles: a combined experimental and computational study",2015,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om5012038","https://scholar.google.com/scholar?cites=13200266500740915775&as_sdt=2005&sciodt=0,5&hl=en",531,"2025-05-18 23:26:51","","10.1021/om5012038","","",,,,,66,6.60,22,3,10,"… In summary, a plausible Amatore–Jutand-type mechanism for a model Mizoroki–Heck reaction was explored by DFT calculations, based on our experimental results and the synthesis …","","https://scholar.google.com/scholar?q=related:P6ImxXHEMLcJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"K Nishimoto, N Noto, Y Kametani, B Gro̷mer…","(PNCP) Ir vs (PNNP) Ir: Neutral Iridium Complex for Direct Hydrogenation of Carboxylic Acids",2024,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00355","",937,"2025-05-18 23:26:51","","10.1021/acs.organomet.4c00355","","",,,,,0,0.00,0,5,1,"… derived from Ir-a, we propose a plausible catalytic cycle for the hydrogenation of 1a that was subsequently corroborated theoretically using DFT calculations (Figures 2a and S11, Aa–Ga…","","https://scholar.google.com/scholar?q=related:FBDUzziqG-4J:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"H Chen, W Zuo","(Primary Amido)-ene (amido) Ni (II) Catalysts Containing a P-Chirogenic Substituted Ferrocene Moiety for Highly Enantioselective Asymmetric Transfer Hydrogenation …",2024,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.3c00501","https://scholar.google.com/scholar?cites=13859990305570804250&as_sdt=2005&sciodt=0,5&hl=en",45,"2025-05-18 23:26:51","","10.1021/acs.organomet.3c00501","","",,,,,2,2.00,1,2,1,"… catalytic mechanism, we investigated the reaction pathway of acetophenone ATH catalyzed by Ni catalyst 2n with DFT … origin of the enantioselectivity of catalyst 2n and the reasons for …","","https://scholar.google.com/scholar?q=related:GtLn4b-TWMAJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"N Fukaya, T Mizusaki, K Hatakeyama, Y Seo…",", a Family of Silyl-Substituted Pd–NHC Complexes: Catalytic Systems for the Buchwald–Hartwig Amination",2018,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.8b00757","https://scholar.google.com/scholar?cites=1240119218336953868&as_sdt=2005&sciodt=0,5&hl=en",906,"2025-05-18 23:26:51","Pd(4-R3Si-IPr)(allyl)Cl","10.1021/acs.organomet.8b00757","","",,,,,28,4.00,6,5,7,"A family of Pd–IPr complexes (1Pd–6Pd) featuring electropositive and bulky R 3 Si substituents at the 4-position of the NHC ring was prepared and fully characterized. The catalytic …","","https://scholar.google.com/scholar?q=related:DPYb0NvJNREJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"V Gierz, C Maichle-Mössmer, D Kunz","1, 10-Phenanthroline analogue pyridazine-based N-heterocyclic carbene ligands",2012,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om2011547","https://scholar.google.com/scholar?cites=5757671284046979994&as_sdt=2005&sciodt=0,5&hl=en",772,"2025-05-18 23:26:51","","10.1021/om2011547","","",,,,,63,4.85,21,3,13,"… This might be due to a slightly greater distance of the coordinating carbene atoms of 2.97 Å in 1 according to the DFT calculations in comparison to the respective N–N distance in free 1,…","","https://scholar.google.com/scholar?q=related:mmMWA4db508J:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"X Fang, X Li, Z Hou, J Assoud, R Zhao","1, 2-Azaborolyl-ligated half-sandwich complexes of scandium (III) and lutetium (III): Synthesis, structures, and syndiotactic polymerization of styrene",2009,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om800734v","https://scholar.google.com/scholar?cites=11539172662865262003&as_sdt=2005&sciodt=0,5&hl=en",837,"2025-05-18 23:26:51","","10.1021/om800734v","","",,,,,70,4.38,14,5,16,"… homogeneous catalytic species (Table 1, entries 1 and 5). Under the same conditions ([M]/[Sc] = 2000), Sc complex 6 showed lower activity and afforded polystyrene with a bimodal …","","https://scholar.google.com/scholar?q=related:s3X7U2ZgI6AJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"CH Suresh, G Frenking","1, 3-Metal–Carbon Bonding and Alkyne Metathesis: DFT Investigations on Model Complexes of Group 4, 5, and 6 Transition Metals",2012,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om3007097","https://scholar.google.com/scholar?cites=15673698795233812743&as_sdt=2005&sciodt=0,5&hl=en",136,"2025-05-18 23:26:51","","10.1021/om3007097","","",,,,,40,3.08,20,2,13,"… (35) They showed that the reaction was 16.7 kcal/mol exothermic, and the value obtained in the present study using more sophisticated DFT is only 1 kcal/mol higher. The high …","","https://scholar.google.com/scholar?q=related:ByFh7gIqhNkJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
82,"W Leitner, M Bühl, R Fornika, C Six, W Baumann…","103Rh Chemical Shifts in Complexes Bearing Chelating Bidentate Phosphine Ligands",1999,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om980980k","https://scholar.google.com/scholar?cites=17673342039841403554&as_sdt=2005&sciodt=0,5&hl=en",726,"2025-05-18 23:26:51","","10.1021/om980980k","","",,,,,82,3.15,14,6,26,"… This is already apparent from the fact that the increments based on the DFT structures reproduce the actual, DFT-computed chemical shift trends only qualitatively, not quantitatively (…","","https://scholar.google.com/scholar?q=related:onK5pvJSRPUJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"AA Otlyotov, TP Rozov, AD Moshchenkov…","16TMCONF543: An Automatically Generated Data Set of Conformational Energies of Transition Metal Complexes Relevant to Catalysis",2024,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00246","https://scholar.google.com/scholar?cites=5998202709716878665&as_sdt=2005&sciodt=0,5&hl=en",540,"2025-05-18 23:26:51","","10.1021/acs.organomet.4c00246","","",,,,,2,2.00,1,4,1,"… of the same low-cost SQM and DFT approaches, leading to similar … DFT level of theory in conjunction with complete basis set (CBS, TZ/QZ) extrapolation. Since the best choice of a DFT …","","https://scholar.google.com/scholar?q=related:ScV1q5XlPVMJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
