Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"T Akiyama, A Yamamoto, T Kasahara, ...","(Imido) tungsten-Alkylidene-Catalyzed [2+ 2+ 1]-Cycloaddition Reaction of 3, 3-Disubstituted Cyclopropenes and Internal Alkynes Giving Multisubstituted …",2025,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5c00062","",127,"2025-05-18 20:11:53","","10.1021/acs.organomet.5c00062","","",,,,,0,0.00,0,4,1,"… , and stable catalysts for olefin metathesis and metathesis polymerization of alkynes and cyclic … To verify this proposed mechanism, we conducted DFT calculations for the possible …","","https://scholar.google.com/scholar?q=related:54F07269JikJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"K Nishimoto, N Noto, Y Kametani, B Gro̷mer, ...","(PNCP) Ir vs (PNNP) Ir: Neutral Iridium Complex for Direct Hydrogenation of Carboxylic Acids",2024,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00355","",916,"2025-05-18 20:11:53","","10.1021/acs.organomet.4c00355","","",,,,,0,0.00,0,5,1,"Herein, we demonstrate the significant impact of tetradentate-ligand-coordinated metal complexes, which have not yet been exploited for the direct catalytic hydrogenation of carboxylic …","","https://scholar.google.com/scholar?q=related:FBDUzziqG-4J:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"S Movassaghi, S Singh, A Mansur, KKH Tong, ...","(Pyridin-2-yl)-NHC organoruthenium complexes: antiproliferative properties and reactivity toward biomolecules",2018,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.8b00153","https://scholar.google.com/scholar?cites=18162122430581894344&as_sdt=2005&sciodt=0,5&hl=en",366,"2025-05-18 20:11:53","","10.1021/acs.organomet.8b00153","","",,,,,49,7.00,10,5,7,"Organoruthenium compounds have been widely investigated for their anticancer activity. Here we use one of the classic ligand classes found in organometallics, ie, N-heterocyclic …","","https://scholar.google.com/scholar?q=related:yOz8oR_SDPwJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"AF Dunlop-Briere, MC Baird, PHM Budzelaar","+, an Alkyl-titanocene(IV) Complex Containing an Unconventional Ti←C(β)-Si Mode of Bonding",2015,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5b00675","https://scholar.google.com/scholar?cites=3681438406133140995&as_sdt=2005&sciodt=0,5&hl=en",635,"2025-05-18 20:11:53","Cp2TiCH2CH2(SiEt2CHMe2)","10.1021/acs.organomet.5b00675","","",,,,,7,0.70,2,3,10,"… process were explored by DFT methods which suggest that isomerization proceeds via an intramolecular 1,5-σ bond metathesis reaction which involves ε-agostic interactions. …","https://pubs.acs.org/doi/full/10.1021/acs.organomet.5b00675","https://scholar.google.com/scholar?q=related:A84LrLkYFzMJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"HC Tseng, CT Shen, K Matsumoto, DN Shih, ...","+: A Masked Potent Boron Lewis Acid",2019,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.9b00671","https://scholar.google.com/scholar?cites=4681061413920134184&as_sdt=2005&sciodt=0,5&hl=en",896,"2025-05-18 20:11:53","η5-Cp*B-Mes","10.1021/acs.organomet.9b00671","","",,,,,21,3.50,4,5,6,"… To address the stabilizing effect of Cp*, the energy difference between [η 5 -Cp*B-Mes] + and [η 2 -Cp*B-Mes] + was calculated by the DFT method at the M06-2x/6-311g** level of …","","https://scholar.google.com/scholar?q=related:KFR__I149kAJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"E Kirillov, L Toupet, CW Lehmann, A Razavi, ...","-[Li(ether)n]+ (Ln = Y, La):  Complexes with Unusual Coordination Modes of the Fluorenyl Ligand and the First Examples of Bis-Ansa …",2003,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om030181o","https://scholar.google.com/scholar?cites=1196645859098281363&as_sdt=2005&sciodt=0,5&hl=en",650,"2025-05-18 20:11:53","(Cp−CMe2−Flu)2Ln","10.1021/om030181o","","",,,,,39,1.77,8,5,22,"Salt metathesis reactions between LnCl 3 (THF) n (Ln = Y, La) and 1 equiv of the dilithium salt of the isopropylidene-bridged ligand [Flu−CMe 2 −Cp]Li 2 (Flu = fluorenyl), in diethyl ether …","","https://scholar.google.com/scholar?q=related:k8V-mRFXmxAJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"S Xie, X Li, H Sun, O Fuhr, D Fenske","-pincer cobalt hydride catalyzed distinct selective hydrosilylation of aryl alkene and alkyl alkene",2020,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.0c00251","https://scholar.google.com/scholar?cites=12632278083639549819&as_sdt=2005&sciodt=0,5&hl=en",488,"2025-05-18 20:11:53","CNC","10.1021/acs.organomet.0c00251","","",,,,,23,4.60,5,5,5,"… (27) Unlike Deng’s and Huang’s work, Lu and co-workers reported a cobalt catalyst for alkene hydrosilylation in 2017. This catalytic system afforded the same regioselectivity for …","","https://scholar.google.com/scholar?q=related:e59JB_3dTq8J:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T Bruckhoff, LK Paschai Darian, CAM Stein, ...","-Stabilized Niobium (IV) and Tantalum (IV) Complexes: Synthesis and Characterization of an Open-Shell Tantalum Alkylidene",2023,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.3c00044","https://scholar.google.com/scholar?cites=4938625952069209293&as_sdt=2005&sciodt=0,5&hl=en",376,"2025-05-18 20:11:53","PNP","10.1021/acs.organomet.3c00044","","",,,,,1,0.50,0,4,2,"… ascertained, its electronic structure was examined by DFT and CASSCF calculations. … and employed as well-defined catalysts for olefin metathesis reactions in homogeneous solution. (6…","","https://scholar.google.com/scholar?q=related:zUycLyOGiUQJ:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"CH Suresh, G Frenking","1, 3-Metal–Carbon Bonding Predicts Rich Chemistry at the Edges of Aromatic Hydrocarbons",2013,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om301037a","https://scholar.google.com/scholar?cites=9222858670201551068&as_sdt=2005&sciodt=0,5&hl=en",829,"2025-05-18 20:11:53","","10.1021/om301037a","","",,,,,9,0.75,5,2,12,"… a hitherto unrecognized 1,3-metal–carbon bond (1,3-MC bond) in particular types of transition-metal complexes is proposed using evidence from CCD X-ray structure analysis and DFT …","","https://scholar.google.com/scholar?q=related:3Lj-ghgt_n8J:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"HE Toomey, D Pun, LF Veiros, PJ Chirik","1,2-Addition versus σ-Bond Metathesis Reactions in Transient Bis(cyclopentadienyl)zirconium Imides: Evidence for ad0 Dihydrogen Complex",2008,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om7010485","https://scholar.google.com/scholar?cites=14956949165148469596&as_sdt=2005&sciodt=0,5&hl=en",78,"2025-05-18 20:11:53","","10.1021/om7010485","","",,,,,21,1.24,5,4,17,"Exposure of a series of zirconocene amido and hydrazido hydride complexes, (η 5 -C 5 Me 4 H) 2 Zr(NHR)H (R = t Bu, NMe 2 , Me, H), to 4 atm of D 2 gas at 56 C produced isotopic …","","https://scholar.google.com/scholar?q=related:XPk_OAXCkc8J:scholar.google.com/&scioq=source:organometallics+%221520+6041%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
