Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
58,"M Perez-Rodriguez, AAC Braga, AR De Lera, ...","A DFT Study of the Effect of the Ligands in the Reductive Elimination from Palladium Bis (allyl) Complexes",2010,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om1001974","https://scholar.google.com/scholar?cites=15133704427006460325&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 23:32:35","","10.1021/om1001974","","",,,,,58,3.87,15,4,15,"… ′ coupling, favored for the reductive elimination of allyl ligands in Pd, has been studied by DFT and compared with the case of reductive elimination of other hydrocarbyl ligands (alkyl, …","https://digital.csic.es/bitstream/10261/347307/1/2010_Organometallics_M-Perez-Rodriguez.pdf","https://scholar.google.com/scholar?q=related:pQF6m_63BdIJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"C Michel, A Laio, F Mohamed, M Krack, ...","… ab Initio Metadynamics:  A New Tool for the Theoretical Study of Organometallic Reactivity? Example of the C−C and C−H Reductive Eliminations from Platinum(IV) …",2007,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om060980h","https://scholar.google.com/scholar?cites=9194007093902891059&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 23:32:35","","10.1021/om060980h","","",,,,,55,3.06,11,5,18,"… and static DFT calculations have been performed on the C−H and C−C reductive elimination … the C−C reductive elimination, whereas the two other mechanims are observed for the C−H …","https://www.academia.edu/download/99827641/om060980h20230314-1-148p7am.pdf","https://scholar.google.com/scholar?q=related:M9iAbr2sl38J:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"R Cohen, D Milstein, JML Martin","Mechanism of the Methylene Transfer Reaction. C− C Activation and Reductive Elimination in One System. A DFT Study",2004,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om049848c","https://scholar.google.com/scholar?cites=11947130572251186731&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 23:32:35","","10.1021/om049848c","","",,,,,23,1.10,8,3,21,"… ) by a succession of C−C reductive elimination and C−H activation. e To … We describe here a computational DFT study of the … C−C activation and reductive elimination in a single system. …","","https://scholar.google.com/scholar?q=related:K8Y99PS7zKUJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"AB Gonzalez-Perez, R Alvarez, ON Faza, ...","DFT-based insights into Pd–Zn cooperative effects in oxidative addition and reductive elimination processes relevant to negishi cross-couplings",2012,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om300024p","https://scholar.google.com/scholar?cites=6629833577862218300&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 23:32:35","","10.1021/om300024p","","",,,,,58,4.46,15,4,13,"… examined with the aid of DFT computations in THF solution … on the oxidative addition and reductive elimination steps. … oxidative addition, whereas reductive elimination is favored by Pd–…","","https://scholar.google.com/scholar?q=related:PEJvQIPmAVwJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"DM Peacock, Q Jiang, TR Cundari, JF Hartwig","Reductive Elimination to Form C(sp3)–N Bonds from Palladium(II) Primary Alkyl Complexes",2018,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.8b00617","https://scholar.google.com/scholar?cites=11307990389676577078&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 23:32:35","","10.1021/acs.organomet.8b00617","","",,,,,19,2.71,5,4,7,"… DFT calculations suggest that the reductive elimination resembles a migration of the alkyl ligand to nitrogen and that the degree of dissociation of the weakly bound O-donor group …","","https://scholar.google.com/scholar?q=related:NhE03FgN7pwJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Hadidi, R Stranger, Z Lin, A Ariafard","Computational Insights into the Effect of Ligand Redox Properties on Reductive Elimination from Au (III), Pd (II), and Pt (II) Complexes",2025,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.4c00485","",6,"2025-04-13 23:32:35","","10.1021/acs.organomet.4c00485","","",,,,,0,0.00,0,4,1,"… Contrary to conventional beliefs that emphasize metal–Ar bond strength as the primary determinant for the ease of reductive elimination, our density functional theory (DFT) calculations …","","https://scholar.google.com/scholar?q=related:gsxGi_wZ_ooJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
117,"E Zuidema, PWNM van Leeuwen, C Bo","Reductive Elimination of Organic Molecules from Palladium− Diphosphine Complexes",2005,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om050113x","https://scholar.google.com/scholar?cites=5739718308138828990&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 23:32:35","","10.1021/om050113x","","",,,,,117,5.85,39,3,20,"… of reductive elimination of dimethyl ether, acetonitrile, vinyl cyanide, and methyl ethanoate from palladium diphosphine complexes were studied by means of a density functional theory …","https://www.academia.edu/download/107451164/om050113x20231117-1-3gh4nf.pdf","https://scholar.google.com/scholar?q=related:vsRrE2STp08J:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"A Behnia, M A. Fard, JM Blacquiere, ...","Cycloneophylpalladium (IV) Complexes: Formation by Oxidative Addition and Selectivity of Their Reductive Elimination Reactions",2020,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.0c00615","https://scholar.google.com/scholar?cites=11965885309025189846&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 23:32:35","","10.1021/acs.organomet.0c00615","","",,,,,16,3.20,4,4,5,"… slowly in solution by reductive elimination to give the palladium(II) … and protonolysis steps follow reductive elimination to give a … at 0 C by selective reductive elimination with Me–Ar bond …","","https://scholar.google.com/scholar?q=related:1v-CY0pdD6YJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
72,"Y Fu, Z Li, S Liang, QX Guo, L Liu","Mechanism for carbon− oxygen bond-forming reductive elimination from palladium (IV) complexes",2008,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om800067u","https://scholar.google.com/scholar?cites=7251270284698018729&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 23:32:35","","10.1021/om800067u","","",,,,,72,4.24,14,5,17,"… the reductive elimination. Furthermore, our calculations explain why the rate of reductive elimination … The density functional theory method was used to study the mechanism of carbon−…","","https://scholar.google.com/scholar?q=related:qWPFseevoWQJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"SD Timpa, CJ Pell, J Zhou, OV Ozerov","Fate of Aryl/Amido Complexes of Rhodium (III) Supported by a POCOP Pincer Ligand: C–N Reductive Elimination, β-Hydrogen Elimination, and Relevance to …",2014,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om500577w","https://scholar.google.com/scholar?cites=4917284436613859183&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 23:32:35","","10.1021/om500577w","","",,,,,23,2.09,6,4,11,"… We turned to density functional theory for computational analysis of reaction pathways (Figures 2 and 3). The corresponding details are described in the Experimental Section. It is likely …","","https://scholar.google.com/scholar?q=related:bwftZyS0PUQJ:scholar.google.com/&scioq=source:organometallics+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
