Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"J del Pozo, G Salas, R Álvarez, JA Casares…","The Negishi catalysis: full study of the complications in the transmetalation step and consequences for the coupling products",2016,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.6b00660","https://scholar.google.com/scholar?cites=9121033707719384177&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 15:29:52","","10.1021/acs.organomet.6b00660","","",,,,,53,5.89,11,5,9,"… Herein we report kinetic experiments and DFT computational studies … transmetalations. The computational studies provide features of the structures participating in the transmetalations, …","https://pubs.acs.org/doi/pdf/10.1021/acs.organomet.6b00660","https://scholar.google.com/scholar?q=related:cVz69NRrlH4J:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"R Álvarez, AR de Lera, JM Aurrecoechea…","Bimetallic intermediates in the formation of nucleophilic allenylzincs from allenylpalladiums: a DFT study",2007,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om061148f","https://scholar.google.com/scholar?cites=12415126440478283649&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 15:29:52","","10.1021/om061148f","","",,,,,38,2.11,10,4,18,"… Of possibly greater significance in the context of this work, in all cases a transmetalation pathway has been found that leads from II to the allenylzinc species IV in two stages. The first …","","https://scholar.google.com/scholar?q=related:gZdELrhjS6wJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"E Napolitano, V Farina, M Persico","The Stille reaction: A density functional theory analysis of the transmetalation and the importance of coordination expansion at tin",2003,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om020519z","https://scholar.google.com/scholar?cites=3859855876024768290&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 15:29:52","","10.1021/om020519z","","",,,,,52,2.36,17,3,22,"… leading to the transmetalation product. This … transmetalation that has been almost completely ignored so far is the coordination/geometry changes at tin during the transmetalation…","http://people.unipi.it/static/persico/art/stille.pdf","https://scholar.google.com/scholar?q=related:IhepBnj2kDUJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"AB Gonzalez-Perez, R Alvarez, ON Faza…","DFT-based insights into Pd–Zn cooperative effects in oxidative addition and reductive elimination processes relevant to negishi cross-couplings",2012,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om300024p","https://scholar.google.com/scholar?cites=6629833577862218300&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 15:29:52","","10.1021/om300024p","","",,,,,58,4.46,15,4,13,"… , have been examined with the aid of DFT computations in THF solution with the B97D functional … Additionally, a cis transmetalation pathway has been characterized that complements …","","https://scholar.google.com/scholar?q=related:PEJvQIPmAVwJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"J delPozo, E Gioria, JA Casares, R Álvarez…","Organometallic Nucleophiles and Pd: What Makes ZnMe2 Different? Is Au Like Zn?",2015,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5b00329","https://scholar.google.com/scholar?cites=14170654229758685589&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 15:29:52","","10.1021/acs.organomet.5b00329","","",,,,,28,2.80,6,5,10,"… It is only recently, during DFT mechanistic studies on transmetalations, that the surprising participation of transition-to-main group metal–metal interactions in these exchanges was …","https://uvadoc.uva.es/bitstream/handle/10324/21739/ORGANOMETASLLIC-PostP_Organometallics-2015-34.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:lTGnT_FGqMQJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"AWE Stewart, HZ Ma, GK Weragoda…","Dissecting transmetalation reactions at the molecular level: role of the coordinated anion in gas-phase models for the transmetalation step of the Hiyama cross …",2021,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.0c00795","https://scholar.google.com/scholar?cites=7773310329738295419&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 15:29:52","","10.1021/acs.organomet.0c00795","","",,,,,8,2.00,2,4,4,"… DFT calculations reveal that this transmetalation reaction is concerted and proceeds via a … to transmetalation to give [(phen)Pd(CH 3 )] + and [(phen)Pd(SiMe 2 X)] + . DFT calculations …","","https://scholar.google.com/scholar?q=related:e_jsZI9Y4GsJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
464,"AAC Braga, G Ujaque, F Maseras","A DFT study of the full catalytic cycle of the Suzuki− Miyaura cross-coupling on a model system",2006,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om060380i","https://scholar.google.com/scholar?cites=14021100148550891883&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 15:29:52","","10.1021/om060380i","","",,,,,464,24.42,155,3,19,"… Computational studies with DFT methods on the transmetalation step of cross- coupling … One could however imagine a process where the transmetalation takes place directly on the …","","https://scholar.google.com/scholar?q=related:a3mNUkz0lMIJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Q Liu, Y Sun, Y Zeng, X Li","Mechanism and selectivity investigation of [Cu]/[Pd] synergistic catalyzed borylfluoroallylation of alkyne: a DFT study",2023,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.3c00304","https://scholar.google.com/scholar?cites=16222746028345779377&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 15:29:52","","10.1021/acs.organomet.3c00304","","",,,,,2,1.00,1,4,2,"… were investigated by means of density functional theory calculations. The results showed … coupling of difluorocyclopropane, followed by transmetalation and reduction elimination of the …","","https://scholar.google.com/scholar?q=related:seTtnI_FIuEJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"X Deng, Y Dang, ZX Wang, X Wang","How does an earth-abundant copper-based catalyst achieve anti-markovnikov hydrobromination of alkynes? A DFT mechanistic study",2016,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.6b00246","https://scholar.google.com/scholar?cites=17444888051719014111&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 15:29:52","","10.1021/acs.organomet.6b00246","","",,,,,22,2.44,6,4,9,"… We also considered the possible transmetalation reaction of IPrCuCl (1) and Ph 2 SiH 2 , which proved to be much disfavored kinetically and thermodynamically (Figure S1 in the …","","https://scholar.google.com/scholar?q=related:3wYrjUGxGPIJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
158,"LJ Goossen, D Koley, HL Hermann, W Thiel","Palladium monophosphine intermediates in catalytic cross-coupling reactions: A DFT study",2006,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om050685h","https://scholar.google.com/scholar?cites=5785956535083645422&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 15:29:52","","10.1021/om050685h","","",,,,,158,8.32,40,4,19,"… 15d Finally, the role of the base in the transmetalation step of the Suzuki−Miyaura cross-coupling reactions has been investigated recently by DFT calculations on a model system …","","https://scholar.google.com/scholar?q=related:7rmCN9DYS1AJ:scholar.google.com/&scioq=source:organometallics+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
