Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"SS Rozenel, L Perrin, O Eisenstein…","Experimental and DFT Computational Study of β-Me and β-H Elimination Coupled with Proton Transfer: From Amides to Enamides in Cp*2MX (M = La, Ce)",2017,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.6b00677","https://scholar.google.com/scholar?cites=4647274434381666101&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 17:45:38","","10.1021/acs.organomet.6b00677","","",,,,,13,1.63,3,4,8,"… by DFT studies which develop a general mechanistic pattern for these observations that qualitatively rationalize the substituent effects on the net elimination of H 2 and or CH 4 . …","https://pubs.acs.org/doi/full/10.1021/acs.organomet.6b00677","https://scholar.google.com/scholar?q=related:NdcSy3lvfkAJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"M Perez-Rodriguez, AAC Braga, AR De Lera…","A DFT Study of the Effect of the Ligands in the Reductive Elimination from Palladium Bis (allyl) Complexes",2010,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om1001974?casa_token=s1LD7TDenS4AAAAA:d7vdIDQTw8fFBROr7BFETaC3AHsJhtOLjVWid_BjUzrOxrASiJo3WsJPId3gMr-rqlLRE2iKqsqPUx4","https://scholar.google.com/scholar?cites=15133704427006460325&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 17:45:38","","10.1021/om1001974","","",,,,,58,3.87,15,4,15,"… ′ coupling, favored for the reductive elimination of allyl ligands in Pd, has been studied by DFT and compared with the case of reductive elimination of other hydrocarbyl ligands (alkyl, …","https://pubs.acs.org/doi/full/10.1021/om1001974?casa_token=ZMSK5twTENYAAAAA:FTGZuf3NXMZWiHzKUcv6MIq4cprLqmT6DQB-5VSCcHecyu-ad734Jm3XNN0vYenVh-PxQM_LPBCTBNk","https://scholar.google.com/scholar?q=related:pQF6m_63BdIJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
149,"J Vela, S Vaddadi, TR Cundari, JM Smith…","Reversible beta-hydrogen elimination of three-coordinate iron (II) alkyl complexes: mechanistic and thermodynamic studies",2004,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om049415+?casa_token=mYDfcoO8zS0AAAAA:sFRwxmtuwAK6tHNTVxzRJ3TXrGDW_JWjF9_Yf8jE2qmSY1YgWodORFf97lWrqj50g4xlk6clyZYjo4Q","https://scholar.google.com/scholar?cites=7381350460266504969&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 17:45:38","","10.1021/om049415+","","",,,,,149,7.10,30,5,21,"… We supplement our mechanistic and reactivity studies with DFT calculations. … We chose to investigate this trend through DFT calculations on a less sterically hindered model in which the …","https://pubs.acs.org/doi/full/10.1021/om049415+?casa_token=J1HDG9_By1UAAAAA:U_L-Qpa_NOyCsLyvTGfUBc5dP2pkBp3d4QnGxHdesWDYb0xdaqCvCY1NbfZ_eI0dczH8C7oz0cKLYYY","https://scholar.google.com/scholar?q=related:CePZsiLTb2YJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"EA Glascoe, MF Kling, JE Shanoski, RA DiStasio…","Photoinduced β-Hydrogen Elimination and Radical Formation with CpW(CO)3(CH2CH3):  Ultrafast IR and DFT Studies",2007,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om060455i?casa_token=gjcgdzSEQa0AAAAA:7BGl2BZ5SNwl3HbeWrUdpDxat2HtuYyXO9SArG5PibGK_Qn9xTyVQBDbmu7lX5tJnTm_4UMSxSCYwqw","https://scholar.google.com/scholar?cites=9849622604264417365&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 17:45:38","","10.1021/om060455i","","",,,,,19,1.06,4,5,18,"… In this study, DFT calculations indicate that α-H elimination is thermodynamically … DFT results indicate the direct elimination reaction is unfeasible and an isomer of the β-H eliminated …","https://pubs.acs.org/doi/full/10.1021/om060455i?casa_token=yr-a9CmvFjIAAAAA:QQd84wvDCFU30hgF4dsHqO91yHOO9iZvrelyQqsw8HHxcTZjqSQkdpb8DWkU6_3Wrlidu8SprFE_mqs","https://scholar.google.com/scholar?q=related:VajWspLjsIgJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"R Cohen, D Milstein, JML Martin","Mechanism of the Methylene Transfer Reaction. C− C Activation and Reductive Elimination in One System. A DFT Study",2004,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om049848c?casa_token=sWqstJv1OiMAAAAA:rdNIKfqPGV2wbmcDBUZZuZMHLIGgvp_sk_In_hr4Z9t9XfDSbXmV0Ggh2ha_NMGvjlCrJ8MynKdGJUs","https://scholar.google.com/scholar?cites=11947130572251186731&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 17:45:38","","10.1021/om049848c","","",,,,,23,1.10,8,3,21,"… DFT study of the methylene transfer reaction in the (PCP−CH 2 )Rh(Ar)(X) system that sheds light on this unique process, which involves C−C activation and reductive elimination in a …","https://pubs.acs.org/doi/pdf/10.1021/om049848c?casa_token=vHozEDpTHbUAAAAA:t55N0B-DVqMNsoJ0S7VKqxcsykcpy-Hs1cnv2mIT2N_IfnkTvoPgt1QacEmY45Z-QrUnWrhYi0EXgAI","https://scholar.google.com/scholar?q=related:K8Y99PS7zKUJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
99,"H Zhao, A Ariafard, Z Lin","β-Heteroatom versus β-hydrogen elimination: a theoretical study",2006,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om050703v?casa_token=aBnpELJ6PTUAAAAA:czc6UDXCfppwdTSJN4o2ON8dIXOLONMgnVBZ6GnAAkc_wM-2IqQR6DyFbXFCqhwFnCnVDu_zS8c2FoY","https://scholar.google.com/scholar?cites=8210689429977054333&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 17:45:38","","10.1021/om050703v","","",,,,,99,5.21,33,3,19,"… In this paper, theoretical calculations based on the B3LYP density functional theory 10 have been carried out to examine the relative easiness of β-heteroatom versus β-hydrogen …","https://pubs.acs.org/doi/full/10.1021/om050703v?casa_token=izVIWh2u32cAAAAA:ZEKG1Gdo2Rq6-PfLcKuWxqc5c0qnEvq3pUlhe7EELTzFASXvPlzJR3FpBf8ceGLA3gaDI3Z0fCGmhy0","https://scholar.google.com/scholar?q=related:fTzW0og68nEJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"KC Lam, Z Lin, TB Marder","DFT studies of β-boryl elimination processes: Potential role in catalyzed borylation reactions of alkenes",2007,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om0700314?casa_token=zAm9gLd24uwAAAAA:7918q6MRu3xebZIRJbS3wce_7_XH7wA_omIlkPoTRwDPbrVzADCkiHUR9ScZj2TbfUJ10ACGzp1SHFA","https://scholar.google.com/scholar?cites=11773131517351959598&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 17:45:38","","10.1021/om0700314","","",,,,,47,2.61,16,3,18,"… In our DFT calculations, we used PH 3 as a model for PCy 3 . One reviewer was therefore concerned that the strong σ-donating property of PCy 3 may not be well modeled. To study …","https://pubs.acs.org/doi/full/10.1021/om0700314?casa_token=x0cxoAA7OC4AAAAA:1a25emQoUTnyhtfd1VCQcjwfKyatYQqlzLs67jfoGDtM_aHJivcpfNWQNIwSId8uUKzGwUEoxsdrG8U","https://scholar.google.com/scholar?q=related:Lhy4Ab2QYqMJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"ZY Xu, SQ Zhang, JR Liu, PP Chen, X Li, HZ Yu…","Mechanism and origins of chemo-and regioselectivities of Pd-catalyzed intermolecular σ-bond exchange between benzocyclobutenones and silacyclobutanes: a …",2018,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.7b00903?casa_token=oVOutg4nkF4AAAAA:1OLOK1hEETT8-20Pk0LapHnTeknsXrVW20BaLdAbCQWWDdbsv2VNNKO96Pqe-B6__QUqSZSd-Y66SRQ","https://scholar.google.com/scholar?cites=3192476814211568708&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 17:45:38","","10.1021/acs.organomet.7b00903","","",,,,,32,4.57,5,7,7,"… - and regioselectivities with density functional theory (DFT) … of the subsequent reductive elimination step. The regioselectivity … DFT-optimized structures of the C–Si reductive elimination …","https://pubs.acs.org/doi/full/10.1021/acs.organomet.7b00903?casa_token=H3XeiJMDiakAAAAA:cFwacPZ_zDwQ-YjKbXGqe-_XOh6QWIKKV-J_e23OTjyThZ7cRh2_OUsW7Kj9jMc56nLwGSbfqLJp1G4","https://scholar.google.com/scholar?q=related:RFTAgL_0TSwJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
231,"T Yoshida, N Koga, K Morokuma","… Theoretical Study on Ethylene Polymerization with Homogeneous Silylene-Bridged Group 4 Metallocene Catalysts. Ethylene Insertion and. beta.-Elimination",1995,"Organometallics","ACS Publications","https://pubs.acs.org/doi/pdf/10.1021/om00002a024?casa_token=76KT2JVx2AcAAAAA:Dtoos8NO9TTkL3CkiddetPDa15u0GXtxCh2M0rMFnLyI8zv-cRHCM5xBm99hNjr4xZcY7j3y8b14WtY","https://scholar.google.com/scholar?cites=9372685740587769103&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 17:45:38","PDF","10.1021/om00002a024","","",,,,,231,7.70,77,3,30,"… density functional calculations with Gaussian92/DFT.17 In these calculations we used the … be interesting to compare the RMP2 structures with the DFT as well as the RHF structures. …","https://pubs.acs.org/doi/pdf/10.1021/om00002a024?casa_token=76KT2JVx2AcAAAAA:Dtoos8NO9TTkL3CkiddetPDa15u0GXtxCh2M0rMFnLyI8zv-cRHCM5xBm99hNjr4xZcY7j3y8b14WtY","https://scholar.google.com/scholar?q=related:D10avwV4EoIJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"TR Cundari, CD Taylor","Olefin insertion and subsequent β-X elimination from a pentacoordinate tantalum complex. A density functional theory study",2003,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om0303606?casa_token=K35F2qAKb2YAAAAA:s_be0GjNgCEGmMcj_AD5ebt6s0rkbBFN_Nx3QWuB3n_c3H7Z1A-hlji4F1VZhN1giOrbzIUA3URcXG8","https://scholar.google.com/scholar?cites=6211910744679139224&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 17:45:38","","10.1021/om0303606","","",,,,,26,1.18,13,2,22,"… Olefin insertion and β-X elimination are followed with DFT for X-substituted olefins, where X = halide, ether, … β-X elimination precludes chain propagation for vinyl halides and ethers. …","https://pubs.acs.org/doi/full/10.1021/om0303606?casa_token=CEeYlyccirwAAAAA:d1TjJc1Tv2VQjKGf29p4dhtg0uGfSaT0ydDenhVdL3KK4S4FKGYiweydmJ1E1-AXBVt65k3JUXvCPAU","https://scholar.google.com/scholar?q=related:mEcIAekjNVYJ:scholar.google.com/&scioq=source:organometallics+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
