Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
81,"ND Patel, JD Sieber, S Tcyrulnikov, BJ Simmons…","Computationally assisted mechanistic investigation and development of Pd-catalyzed asymmetric Suzuki–Miyaura and Negishi cross-coupling reactions for tetra-ortho …",2018,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b02509","https://scholar.google.com/scholar?cites=4219140153188703411&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 12:39:36","","10.1021/acscatal.8b02509","","",,,,,81,11.57,16,5,7,"… Detailed DFT calculations of these two processes offered an … –Miyaura and Negishi cross-coupling reactions that likely … in the Negishi cross-coupling reaction by DFT provided good …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6234982/pdf/nihms-990079.pdf","https://scholar.google.com/scholar?q=related:s1xmiJ1ljToJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"Y Wang, X Qi, Q Ma, P Liu, GC Tsui","Stereoselective Palladium-Catalyzed Base-Free Suzuki–Miyaura Cross-Coupling of Tetrasubstituted gem-Difluoroalkenes: An Experimental and Computational …",2021,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c05141","https://scholar.google.com/scholar?cites=14544200781219168031&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 12:39:36","","10.1021/acscatal.0c05141","","",,,,,65,16.25,13,5,4,"… Moreover, the selective coupling … cross-couplings. The reaction design was supported by computational studies of the key C–F bond activation step. Density functional theory (DFT) …","","https://scholar.google.com/scholar?q=related:H_-GUo1h18kJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
146,"A Kaga, S Chiba","Engaging radicals in transition metal-catalyzed cross-coupling with alkyl electrophiles: recent advances",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.7b01405","https://scholar.google.com/scholar?cites=15608030079560343227&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 12:39:36","","10.1021/acscatal.7b01405","","",,,,,146,18.25,73,2,8,"… In fact, the density functional theory (DFT) calculation of the activation energy barriers of … render the reaction conditions of the cross-coupling reactions harsh (higher temperature, longer …","https://dr.ntu.edu.sg/bitstream/10356/154876/2/ACS_Catalysis_Chiba_rev_original_deposit.pdf","https://scholar.google.com/scholar?q=related:u17Ol6ncmtgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"R Yuan, Z Lin","Mechanism for the Carboxylative Coupling Reaction of a Terminal Alkyne, CO2, and an Allylic Chloride Catalyzed by the Cu(I) Complex: A DFT Study",2014,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs5011184","https://scholar.google.com/scholar?cites=3738309860225535026&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 12:39:36","","10.1021/cs5011184","","",,,,,37,3.36,19,2,11,"… for carboxylative coupling and cross coupling predicted by … indicate that carboxylative coupling and cross coupling are … that cross coupling is more favorable than carboxylative coupling, …","","https://scholar.google.com/scholar?q=related:MkwV7wIl4TMJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
115,"C Cassani, G Bergonzini, CJ Wallentin","Active species and mechanistic pathways in iron-catalyzed C–C bond-forming cross-coupling reactions",2016,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b02441","https://scholar.google.com/scholar?cites=14835876760982620137&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 12:39:36","","10.1021/acscatal.5b02441","","",,,,,115,12.78,38,3,9,"… of iron-mediated cross-coupling reactions of organohalides and … When cross-coupling reactions are conducted in the … Moreover, for cross-couplings using alkyl halide electrophiles, …","","https://scholar.google.com/scholar?q=related:6YfXbU-f480J:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"G Chen, R Zhou, X Zhang, X Xiao, S Kramer…","Carbonylative cross-electrophile coupling between aryl bromides and aryl triflates enabled by palladium and rhodium cooperative catalysis and CO as reductant",2022,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c04211","https://scholar.google.com/scholar?cites=2476068483955953432&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 12:39:36","","10.1021/acscatal.2c04211","","",,,,,16,5.33,3,6,3,"… density functional theory (DFT) calculations, followed up by experimental studies. The DFT … A complete reaction pathway for formation of the carbonylative cross-electrophile coupling …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/60d549f3a5b6af7f91768c6e/original/carbonylative-cross-electrophile-coupling-between-aryl-bromides-and-aryl-triflates-enabled-by-palladium-and-rhodium-cooperative-catalysis.pdf","https://scholar.google.com/scholar?q=related:GA-82SrDXCIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"Q Chen, S Wu, S Yan, C Li, H Abduhulam, Y Shi…","Suzuki–Miyaura cross-coupling of sulfoxides",2020,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c01462","https://scholar.google.com/scholar?cites=2728752842534853460&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 12:39:36","","10.1021/acscatal.0c01462","","",,,,,40,8.00,6,7,5,"… To gain further insight into the possible reaction mechanism, we carried out DFT calculations to study the Pd-catalyzed Suzuki cross-coupling of sulfoxides using Gaussian 09 package. (…","","https://scholar.google.com/scholar?q=related:VJsgs0B63iUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"D Balcells, A Nova","Designing Pd and Ni catalysts for cross-coupling reactions by minimizing off-cycle species",2018,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b00230","https://scholar.google.com/scholar?cites=7662880739401716255&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 12:39:36","","10.1021/acscatal.8b00230","","",,,,,94,13.43,47,2,7,"This Perspective presents an overview on recent experimental and computational studies on the off-cycle reactions of palladium- and nickel-catalyzed cross-couplings. Several …","https://www.duo.uio.no/bitstream/handle/10852/67146/4/ACS_Catal_P.pdf","https://scholar.google.com/scholar?q=related:H9I4zG4FWGoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"AK Sharma, WMC Sameera, Y Takeda…","Computational study on the mechanism and origin of the regioselectivity and stereospecificity in Pd/SIPr-catalyzed ring-opening cross-coupling of 2-arylaziridines with …",2019,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b01191","https://scholar.google.com/scholar?cites=6254797220655018019&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 12:39:36","","10.1021/acscatal.9b01191","","",,,,,19,3.17,5,4,6,"… Therefore, we have used density functional theory (DFT) to rationalize the mechanism. DFT has been used for detailed mechanistic studies of transition-metal catalysis. (15) The ring-…","","https://scholar.google.com/scholar?q=related:IzA-z-6AzVYJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"X Zhao, D Zhang, X Wang","Unraveling the mechanism of palladium-catalyzed base-free cross-coupling of vinyl carboxylates: dual role of arylboronic acids as a reducing agent and a coupling …",2022,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.1c00247","https://scholar.google.com/scholar?cites=4056466250441696127&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 12:39:36","","10.1021/acscatal.1c00247","","",,,,,10,3.33,3,3,3,"… DFT computations to study the detailed mechanism of a remarkable base-free cross-coupling … –phenyl reduction elimination to deliver the cross-coupling product and regenerate the Pd(…","","https://scholar.google.com/scholar?q=related:fyPwDJB2SzgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
