Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"T Zeng, G Sun, C Miao","Stabilizing Oxidative Dehydrogenation Active Sites at High Temperature with Steam",2020,"ACS Catalysis, 10 (21)","academia.edu","https://www.academia.edu/download/88645067/qt17x4v5pn.pdf","",918,"2025-04-12 14:44:27","PDF","","","",,,,,0,0.00,0,3,5,"… In this work, a combination of experimental results and DFT analyses over ZnFe2O4 catalyzed 1-butene ODH reactions revealed the key role of steam on the stabilization of the active O …","https://www.academia.edu/download/88645067/qt17x4v5pn.pdf","https://scholar.google.com/scholar?q=related:WPfjgjKAGQcJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
356,"Y Xia, Y Zhang, J Wang","Catalytic cascade reactions involving metal carbene migratory insertion",2013,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs4006666","https://scholar.google.com/scholar?cites=4757901666238899588&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 14:44:27","","10.1021/cs4006666","","",,,,,356,29.67,119,3,12,"… On the basis of the carbene migratory insertion process, catalytic … the carbene migratory insertion process are discussed. … DFT calculation indicates that the palladium complex is …","","https://scholar.google.com/scholar?q=related:hKVoZFt2B0IJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
66,"LJ Song, T Wang, X Zhang, LW Chung, YD Wu","A Combined DFT/IM-MS Study on the reaction mechanism of cationic Ru (II)-catalyzed hydroboration of alkynes",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.6b03214","https://scholar.google.com/scholar?cites=15116638037324757862&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 14:44:27","","10.1021/acscatal.6b03214","","",,,,,66,8.25,13,5,8,"… density functional theory/mass spectrometric study. The favored pathway for terminal alkynes involves oxidative boryl migration (20.3 kcal/mol; Figure S8) rather than oxidative hydrogen …","https://pubs.acs.org/doi/full/10.1021/acscatal.6b03214","https://scholar.google.com/scholar?q=related:ZnvmHDQWydEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"S Bera, S Roy, SC Pal, A Anoop, R Samanta","Iridium (III)-Catalyzed intermolecular mild N-Arylation of aliphatic amides using quinoid carbene: a migratory insertion-based approach",2021,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.1c02653","https://scholar.google.com/scholar?cites=3755856820359357719&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 14:44:27","","10.1021/acscatal.1c02653","","",,,,,26,6.50,5,5,4,"… Mechanistic studies and DFT calculations highlighted the migratory insertion-based pathway. The developed method exhibits different reactivities compared to the reactions of acyclic …","","https://scholar.google.com/scholar?q=related:F2W_9OB7HzQJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"Q Lu, J Gu, F Liu, C Li","Computational Study on Mechanisms and Origins of Selectivities in Rh (I)-Catalyzed Cycloisomerizations of 1, 6-Allenynes with Tethered Unsaturated Carbon …",2021,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c05386","https://scholar.google.com/scholar?cites=15351616425371577343&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 14:44:27","","10.1021/acscatal.0c05386","","",,,,,9,2.25,2,4,4,"… bond on cycloisomerization mechanisms, density functional theory (DFT) calculations have been … and migratory insertion but the distinct regioselectivity between alkene and alkyne …","","https://scholar.google.com/scholar?q=related:_ytTcs3lC9UJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
118,"G Huang, P Liu","Mechanism and origins of ligand-controlled linear versus branched selectivity of iridium-catalyzed hydroarylation of alkenes",2016,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b02201","https://scholar.google.com/scholar?cites=9280049215779721238&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 14:44:27","","10.1021/acscatal.5b02201","","",,,,,118,13.11,59,2,9,"… Density functional theory calculations in the present study revealed … migratory insertion into the Ir–H bond are reversible. Our calculations indicated that the styrene migratory insertion …","","https://scholar.google.com/scholar?q=related:FlCxDJhbyYAJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"Q Wang, KB Zhong, H Xu, SN Li, WK Zhu, F Ye…","Enantioselective Nickel-Catalyzed Si–C(sp2) Bond Activation and Migratory Insertion to Aldehydes: Reaction Scope and Mechanism",2022,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c00533","https://scholar.google.com/scholar?cites=11780556112715386702&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 14:44:27","","10.1021/acscatal.2c00533","","",,,,,27,9.00,4,7,3,"… outcome, and the density functional theory calculation shows that the nickel-controlled Si–C(sp 2 ) bond activation enables the controllable migratory insertion of benzaldehyde into the …","","https://scholar.google.com/scholar?q=related:Tg_1Ul7xfKMJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"Y Li, P Zhang, YJ Liu, ZX Yu, BF Shi","Remote γ-C(sp3)–H Alkylation of Aliphatic Carboxamides via an Unexpected Regiodetermining Pd Migration Process: Reaction Development and Mechanistic Study",2020,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c02025","https://scholar.google.com/scholar?cites=3865234635952694921&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 14:44:27","","10.1021/acscatal.0c02025","","",,,,,37,7.40,7,5,5,"… be formed by 1,3-Pd migration from the migratory insertion intermediate, palladacycle Int-D. (… DFT predictions. The reaction of Int-B with 2a was also performed, but no migratory insertion …","https://www.chem.pku.edu.cn/zxyu/docs/2020-07/20200716114007276627.pdf","https://scholar.google.com/scholar?q=related:iSZ_KWwSpDUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"Y Baumgartner, O Baudoin","One-pot alkene hydroboration/palladium-catalyzed migratory suzuki–miyaura cross-coupling",2020,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c02755","https://scholar.google.com/scholar?cites=17179170354624606657&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 14:44:27","","10.1021/acscatal.0c02755","","",,,,,23,4.60,12,2,5,"… migratory cross-couplings have been developed in the past years, the design of an efficient migratory … consisting of alkene hydroboration and migratory Suzuki–Miyaura coupling of the …","https://edoc.unibas.ch/78342/1/20200907121220_5f560784c3c0e.pdf","https://scholar.google.com/scholar?q=related:wTFSG2usaO4J:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"Y Luo, C Shan, S Liu, T Zhang, L Zhu, K Zhong…","Oxidative addition promoted C–C bond cleavage in Rh-mediated cyclopropenone activation: a DFT study",2019,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b03361","https://scholar.google.com/scholar?cites=3900947051993373806&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 14:44:27","","10.1021/acscatal.9b03361","","",,,,,43,7.17,6,7,6,"… In migratory insertion mode path A, carbonyl insertion … Although vinyl migration could be achieved via TS8, the … Therefore, the insertion pathway can be excluded by the DFT calculations…","http://pstorage-acs-6854636.s3.amazonaws.com/18261101/cs9b03361_si_001.pdf","https://scholar.google.com/scholar?q=related:bhys-azyIjYJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
