Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"AV Zhukhovitskiy, IJ Kobylianskii, CY Wu…","Migratory insertion of carbenes into Au (III)–C bonds",2018,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.7b11435","https://scholar.google.com/scholar?cites=10583826562325414676&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-03-24 18:35:30","","10.1021/jacs.7b11435","","",,,,,53,7.57,13,4,7,"… offer new synthetic opportunities for migratory insertion of carbon-… participate in rapid migratory insertion of carbenes derived … processes incorporating carbene migratory insertion steps. …","https://pubs.acs.org/doi/pdf/10.1021/jacs.7b11435","https://scholar.google.com/scholar?q=related:FAPA0y5O4ZIJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"PS Hanley, JF Hartwig","Intermolecular migratory insertion of unactivated olefins into palladium–nitrogen bonds. Steric and electronic effects on the rate of migratory insertion",2011,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja205722f","https://scholar.google.com/scholar?cites=1036181132650818987&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-03-24 18:35:30","","10.1021/ja205722f","","",,,,,102,7.29,51,2,14,"We report a detailed examination of the effect of the steric and electronic properties of the ancillary ligand and the alkene reactant on the rate of migratory insertion of unactivated …","","https://scholar.google.com/scholar?q=related:qy2dDkBBYQ4J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"JW Tye, JF Hartwig","Computational Studies of the Relative Rates for Migratory Insertions of Alkenes into Square-Planar, Methyl,− Amido, and− Hydroxo Complexes of Rhodium",2009,"Journal of the American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja901945b","https://scholar.google.com/scholar?cites=14988494802361828014&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-03-24 18:35:30","","10.1021/ja901945b","","",,,,,45,2.81,23,2,16,"… extended Hückel theory prior to the development of modern DFT methods. These calculations led to the conclusion that migratory insertions of alkenes into metal−hydroxo bonds would …","","https://scholar.google.com/scholar?q=related:rsKQPJzUAdAJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"B Li, CW Ju, W Wang, Y Gu, S Chen…","Heck migratory insertion catalyzed by a single Pt atom site",2023,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.3c07851","https://scholar.google.com/scholar?cites=8959055112028322330&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-03-24 18:35:30","","10.1021/jacs.3c07851","","",,,,,13,6.50,2,6,2,"… C–C bond-forming migratory insertion on SACs. Our quantum … environment to allow migratory insertion into an M–C species… versatile reaction manifold of migratory-insertion-based bond…","https://par.nsf.gov/servlets/purl/10518363","https://scholar.google.com/scholar?q=related:GnqYQyj1VHwJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"JA Cadge, PJ Gates, JF Bower…","Migratory insertion of CO into a Au–C bond",2022,"… of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.2c10432","https://scholar.google.com/scholar?cites=15828200549450184576&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-03-24 18:35:30","","10.1021/jacs.2c10432","","",,,,,19,6.33,5,4,3,"… model systems for studying migratory insertion of CO (Scheme 1B). Several migratory insertions into Au–E bonds (eg, E = H, O, Si) have been observed, (15) and insertion of CO into a …","https://pubs.acs.org/doi/pdf/10.1021/jacs.2c10432","https://scholar.google.com/scholar?q=related:gPeez4kQqdsJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"S Niu, MB Hall","Theoretical Studies of Inorganic and Organometallic Reaction Mechanisms. 11. Migratory Insertion of Coordinated Nitric Oxide into Cobalt− Carbon Bonds",1997,"Journal of the American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja961995h","https://scholar.google.com/scholar?cites=1378487910665802466&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-03-24 18:35:30","","10.1021/ja961995h","","",,,,,36,1.29,18,2,28,"… According to our DFT and ab initio MO calculations, the insertion process would be the rate determining step in both Mechanism I and II. To elucidate the difference in the …","","https://scholar.google.com/scholar?q=related:4tJngnNfIRMJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
168,"Y Xia, S Qu, Q Xiao, ZX Wang, P Qu…","Palladium-catalyzed carbene migratory insertion using conjugated ene–yne–ketones as carbene precursors",2013,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja4058844","https://scholar.google.com/scholar?cites=15027092686489105753&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-03-24 18:35:30","","10.1021/ja4058844","","",,,,,168,14.00,28,6,12,"… The DFT calculations support the involvement of … migratory insertion are the key steps in the catalytic cycle. The implication of this study is that palladium carbene migratory insertion can …","","https://scholar.google.com/scholar?q=related:WbUNcS71itAJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"Y Ping, R Wang, Q Wang, T Chang, J Huo…","Synthesis of Alkenylboronates from N-Tosylhydrazones through Palladium-Catalyzed Carbene Migratory Insertion",2021,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.1c02331","https://scholar.google.com/scholar?cites=3565451193741744139&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-03-24 18:35:30","","10.1021/jacs.1c02331","","",,,,,55,13.75,9,6,4,"… DFT calculations support our proposed mechanism that involves palladium-carbene formation and subsequent boryl migratory insertion as the key steps. The origin of stereoselectivity …","","https://scholar.google.com/scholar?q=related:Cxj4WvgGezEJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
60,"Y Han, L Deng, T Ziegler","A Density Functional Study of β-Hydride and Methyl Migratory Insertion in CpM(PH3)(CH2CH2)R+ (M = Co, Rh, Ir; R = H, CH3)",1997,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja9700156","https://scholar.google.com/scholar?cites=17815736876043273080&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-03-24 18:35:30","","10.1021/ja9700156","","",,,,,60,2.14,20,3,28,"… by relativistic density functional theory. The calculations reveal that the β-migratory insertion … Further, the β-migratory insertion reactions of hydride are exothermic for cobalt (ΔH e = −3.4 …","","https://scholar.google.com/scholar?q=related:eANjBEw2PvcJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"O Apolinar, T Kang, TM Alturaifi…","Three-component asymmetric Ni-catalyzed 1, 2-dicarbofunctionalization of unactivated alkenes via stereoselective migratory insertion",2022,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.2c06636","https://scholar.google.com/scholar?cites=2313355538418378836&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-03-24 18:35:30","","10.1021/jacs.2c06636","","",,,,,40,13.33,10,4,3,"… We performed density functional theory (DFT) calculations at the M06/SDD-6-311++G(d,p)/SMD(i-BuOH)//B3LYP-D3(BJ)/SDD-6-31+G(d,p) level of theory (see the SI for computational …","https://par.nsf.gov/servlets/purl/10374244","https://scholar.google.com/scholar?q=related:VCicApuwGiAJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
