Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
40,"OG Adeyemi, NJ Coville","Solvent-free organometallic migratory insertion reactions",2003,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om0301738","https://scholar.google.com/scholar?cites=3521036545175236477&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 17:46:41","","10.1021/om0301738","","",,,,,40,1.82,20,2,22,"… Herein we report on a solid-state investigation of the migratory insertion reaction. In particular we report on the CO insertion/methyl migration reaction of (η 5 -C 5 H 5 )M(CO) 3 Me (M = …","https://www.academia.edu/download/96868044/om030173820230105-1-m5fl0x.pdf","https://scholar.google.com/scholar?q=related:fa9WJBU83TAJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"M Cheong, R Schmid, T Ziegler","Density Functional Study of the Migratory Insertion Step in the Carbonylation of Methanol Catalyzed by [M(CO)2I2]- (M = Rh, Ir)",2000,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om9910221","https://scholar.google.com/scholar?cites=9590695858367746622&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 17:46:41","","10.1021/om9910221","","",,,,,64,2.56,21,3,25,"… on density functional theory (DFT) have been carried out on the migratory insertion process [M… A systematic study was also carried out on the general methyl migration reaction [Ir(CO) 2 I …","","https://scholar.google.com/scholar?q=related:PtLRyhH_GIUJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"B Fiser, JM Cuerva, E Gómez-Bengoa","Baldwin-type rules for metal-controlled intramolecular migratory insertions. A computational study of Ni, Pd, and Pt case",2018,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.7b00812","https://scholar.google.com/scholar?cites=4206577606821193222&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 17:46:41","","10.1021/acs.organomet.7b00812","","",,,,,16,2.29,5,3,7,"Transition metal (Ni, Pd, Pt) promoted carbocyclizations of alkenes and alkynes have been computationally investigated to rationalize the easiness or difficulty of such processes …","","https://scholar.google.com/scholar?q=related:BqawxgvEYDoJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"A Ariafard, H Ghari, A Hossein Bagi, AJ Canty…","Theoretical Study of the Mechanism of CO and Acetylene Migratory Insertions into Pt–Cp* Bonds",2014,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om500273x","https://scholar.google.com/scholar?cites=4276832026932723685&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 17:46:41","","10.1021/om500273x","","",,,,,2,0.18,0,5,11,"… Density functional theory computation for the reaction of Cp*Pt(CO)I with PMe 3 indicates that insertion of CO into the Pt–Cp* bond of Cp*Pt(CO)(PMe 3 )I proceeds via interaction of a π …","","https://scholar.google.com/scholar?q=related:5b9WoRFcWjsJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"W Guo, T Zhou, Y Xia","… understanding of the aryl-dependent ring formations in Rh (III)-catalyzed C–H activation/cycloaddition of benzamides and methylenecyclopropanes by DFT …",2015,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5b00317","https://scholar.google.com/scholar?cites=4754400938190376997&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 17:46:41","","10.1021/acs.organomet.5b00317","","",,,,,75,7.50,25,3,10,"… IN6 endergonically, from which the migratory insertion occurs via TS3. Although the energy … higher activation barriers are required for the migratory insertion step (see the Supporting …","","https://scholar.google.com/scholar?q=related:JRCfoHYG-0EJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"W Bai, KH Lee, J Chen, HHY Sung, ID Williams…","… with Chlororuthenium (II) Complexes and Substituent Effect on the Thermodynamic Trend in the Migratory-Insertion Reactions of Chlororuthenium–Alkylidene …",2017,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.7b00427","https://scholar.google.com/scholar?cites=6491486694574505231&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 17:46:41","","10.1021/acs.organomet.7b00427","","",,,,,3,0.38,1,6,8,"… The DFT studies reveal that the migratory-insertion … migratory-insertion reaction of the carbene complex RuCl 2 (═CHPh)(PPh 3 ) 2 is thermodynamically unfavorable. These DFT …","","https://scholar.google.com/scholar?q=related:D71JXsFkFloJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"G Ciancaleoni, S Zacchini, V Zanotti…","DFT Mechanistic Insights into the Alkyne Insertion Reaction Affording Diiron μ-Vinyliminium Complexes and New Functionalization Pathways",2018,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.8b00448","https://scholar.google.com/scholar?cites=12461447878528076039&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 17:46:41","","10.1021/acs.organomet.8b00448","","",,,,,27,3.86,7,4,7,"… Herein, we present the results of a density functional theory (DFT) study to give insight into the mechanism of formation of [2a–c] + and to provide explanation for the stereochemistry …","https://arpi.unipi.it/bitstream/11568/941335/8/160%20-%20Organometallics%20DFT.pdf","https://scholar.google.com/scholar?q=related:Bwm2atL076wJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"PEM Siegbahn, S Strömberg, K Zetterberg","Intrinsic aptitude of cationic methyl-and ethylpalladium to associate ethylene and to further undergo subsequent migratory insertion. A theoretical study",1996,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om9602973","https://scholar.google.com/scholar?cites=14091375804287387494&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 17:46:41","","10.1021/om9602973","","",,,,,55,1.90,18,3,29,"… empirically parametrized density functional theory (DFT) method… has made this type of hybrid DFT approach highly competitive in … were carried out using the GAUSSIAN92/DFT package. …","","https://scholar.google.com/scholar?q=related:ZocVe6KfjsMJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"LK Robbins, CP Lilly, JL Smeltz, PD Boyle…","Synthesis and reactivity of oxorhenium (V) methyl, benzyl, and phenyl complexes with CO: Implications for a unique mechanism for migratory insertion",2015,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5b00177","https://scholar.google.com/scholar?cites=3711189193296802522&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 17:46:41","","10.1021/acs.organomet.5b00177","","",,,,,16,1.60,3,5,10,"… for migratory insertion for the complexes I(PR′ 3 )(CO)RPt, (2d) while Haynes and co-workers reported values of −16 and −9.1 eu for migratory insertion … barriers from DFT (B3PW91) …","","https://scholar.google.com/scholar?q=related:2nK5mOjKgDMJ:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"BRS Kuzminski, DM Fischbach, GPA Yap…","Migratory Insertion into a Hafnium–Phenyl Bond and a Ligand-Assisted Mechanism for Reversible Chain Transfer in the Living Coordinative Polymerization of Olefins",2022,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.2c00364","https://scholar.google.com/scholar?cites=18332373783427973994&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 17:46:41","","10.1021/acs.organomet.2c00364","","",,,,,4,1.33,1,4,3,"… This conclusion raised the question in our minds as to what precedent exists for migratory insertion (MI) of an olefin into a metal–phenyl bond of a transition-metal complex that is …","https://par.nsf.gov/servlets/purl/10374147","https://scholar.google.com/scholar?q=related:aoPostOsaf4J:scholar.google.com/&scioq=source:organometallics+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
