Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
230,"LJ Goossen, D Koley, HL Hermann, W Thiel","Mechanistic pathways for oxidative addition of aryl halides to palladium (0) complexes: a DFT study",2005,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om0500220","https://scholar.google.com/scholar?cites=15420331054792458105&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-03-27 18:51:05","","10.1021/om0500220","","",,,,,230,11.50,58,4,20,"… The density functional calculations (DFT) … DFT energies upon basis set extension (ΔE e vs ΔE EXT ), in agreement with a recent systematic benchmark study on the oxidative addition of …","","https://scholar.google.com/scholar?q=related:eT_U12QFANYJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
192,"KC Lam, TB Marder, Z Lin","DFT Studies on the Effect of the Nature of the Aryl Halide Y−C6H4−X on the Mechanism of Its Oxidative Addition to Pd0L versus Pd0L2",2007,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om060784a","https://scholar.google.com/scholar?cites=11843181900942042089&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-03-27 18:51:05","","10.1021/om060784a","","",,,,,192,10.67,64,3,18,"… In this note, we present the results of a DFT investigation into the effect of the nature of the aryl halide on its oxidative addition to Pd(0) complexes containing monodentate phosphines. …","","https://scholar.google.com/scholar?q=related:6WP85zBvW6QJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"AB Gonzalez-Perez, R Alvarez, ON Faza…","DFT-based insights into Pd–Zn cooperative effects in oxidative addition and reductive elimination processes relevant to negishi cross-couplings",2012,"…","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om300024p","https://scholar.google.com/scholar?cites=6629833577862218300&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-03-27 18:51:05","","10.1021/om300024p","","",,,,,58,4.46,15,4,13,"… between the oxidative addition product and the organozinc reagent. Similarly, in a DFT study on … Specifically, the effect of the Pd–Zn interaction on the oxidative addition and reductive …","","https://scholar.google.com/scholar?q=related:PEJvQIPmAVwJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
228,"M Ahlquist, PO Norrby","Oxidative addition of aryl chlorides to monoligated palladium (0): A DFT-SCRF study",2007,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om0604932","https://scholar.google.com/scholar?cites=17365052487842051235&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-03-27 18:51:05","","10.1021/om0604932","","",,,,,228,12.67,114,2,18,"… that the nature of the oxidative addition transition state changes … a density functional theory investigation of the effect of the electron density of the aryl chloride on the oxidative addition. …","","https://scholar.google.com/scholar?q=related:o7TW0zsP_fAJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
271,"HM Senn, T Ziegler","Oxidative addition of aryl halides to palladium (0) complexes: a density-functional study including solvation",2004,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om049963n","https://scholar.google.com/scholar?cites=5094763794750812044&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-03-27 18:51:05","","10.1021/om049963n","","",,,,,271,12.90,136,2,21,"… In the present contribution, we have used density-functional theory calculations to investigate the oxidative addition of chloro-, bromo-, and iodobenzene to complexes of palladium with …","","https://scholar.google.com/scholar?q=related:jK-kmK08tEYJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
107,"S Tang, O Eisenstein, Y Nakao, S Sakaki","Aromatic C–H σ-Bond Activation by Ni0, Pd0, and Pt0 Alkene Complexes: Concerted Oxidative Addition to Metal vs Ligand-to-Ligand H Transfer Mechanism",2017,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.7b00256","https://scholar.google.com/scholar?cites=16061956048581746378&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-03-27 18:51:05","","10.1021/acs.organomet.7b00256","","",,,,,107,13.38,27,4,8,"… We have investigated with DFT calculations the C–H bond activation of benzene by Ni 0 -, Pd 0 -, and Pt 0 -propene complexes. The C–H activation by the Ni 0 complex occurs via a …","","https://scholar.google.com/scholar?q=related:yt6mIe2H594J:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
233,"TE Barder, MR Biscoe, SL Buchwald","… insights into active catalyst structures and oxidative addition to (biaryl) phosphine− palladium complexes via density functional theory and experimental studies",2007,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om0701017","https://scholar.google.com/scholar?cites=2004537273713076035&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-03-27 18:51:05","","10.1021/om0701017","","",,,,,233,12.94,78,3,18,"… DFT to locate possible active catalysts based upon 1·Pd (five isomers) and 2·Pd (four isomers), several oxidative addition … 2·Pd using an all-atom DFT approach. The use of an all-atom …","","https://scholar.google.com/scholar?q=related:Q6eyqgeM0RsJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"YM Xing, L Zhang, DC Fang","DFT studies on the mechanism of palladium (IV)-mediated C–H activation reactions: oxidant effect and regioselectivity",2015,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/om501239n","https://scholar.google.com/scholar?cites=6897705509058122195&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-03-27 18:51:05","","10.1021/om501239n","","",,,,,33,3.30,11,3,10,"… A series of density functional theory calculations have been employed to study the Pd IV -… The novel reaction mechanism provided was divided into three distinct steps: oxidation addition…","","https://scholar.google.com/scholar?q=related:0xGqaJ2SuV8J:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"KG Lopez, TR Cundari, JB Gary","Cooperative metal+ ligand oxidative addition and σ-bond metathesis: A DFT Study",2018,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.7b00715","https://scholar.google.com/scholar?cites=9355604676468576304&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-03-27 18:51:05","","10.1021/acs.organomet.7b00715","","",,,,,6,0.86,2,3,7,"… The oxidative addition transition state connecting 1 and 1 2 is an open-shell singlet via DFT. … A CAS(12,12) calculation of the oxidative addition TS reveals extensive mixing of the Co dπ …","https://www.osti.gov/servlets/purl/1417473","https://scholar.google.com/scholar?q=related:MJDkl-LI1YEJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
135,"T Chu, Y Boyko, I Korobkov, GI Nikonov","Transition metal-like oxidative addition of C–F and C–O bonds to an aluminum (i) center",2015,"Organometallics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.5b00793","https://scholar.google.com/scholar?cites=540451176028325045&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-03-27 18:51:05","","10.1021/acs.organomet.5b00793","","",,,,,135,13.50,34,4,10,"Oxidative addition of very robust C–F and C–O … –F oxidative addition decreases as the degree of fluorination diminishes on the aromatic substrate. As well, kinetic studies on the addition …","","https://scholar.google.com/scholar?q=related:tUScLXsRgAcJ:scholar.google.com/&scioq=source:organometallics+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
