Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
43,"Y Luo, C Shan, S Liu, T Zhang, L Zhu, K Zhong…","Oxidative addition promoted C–C bond cleavage in Rh-mediated cyclopropenone activation: a DFT study",2019,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b03361","https://scholar.google.com/scholar?cites=3900947051993373806&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 15:17:12","","10.1021/acscatal.9b03361","","",,,,,43,7.17,6,7,6,"… Subsequent reductive elimination of the intermediate generates a target C(aryl)–C(acyl) … cyclopropenones is excluded by the density functional theory calculations. The directing group …","http://pstorage-acs-6854636.s3.amazonaws.com/18261101/cs9b03361_si_001.pdf","https://scholar.google.com/scholar?q=related:bhys-azyIjYJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"CM Simon, SL Dudra, RT McGuire, MJ Ferguson…","Identification of a nitrenoid reductive elimination pathway in nickel-catalyzed C–N cross-coupling",2022,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.1c05386","https://scholar.google.com/scholar?cites=12317779468577742419&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 15:17:12","","10.1021/acscatal.1c05386","","",,,,,14,4.67,3,5,3,"… In modeling cross-couplings involving 4-methoxybenzenesulfonamide (Figure 4A) or tBuNH 2 (Figure 4B) with 2-chlorotoluene by the use of density functional theory (DFT) calculations …","","https://scholar.google.com/scholar?q=related:Ux4tDiqL8aoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"AK Vitek, TME Jugovic, PM Zimmerman","Revealing the strong relationships between ligand conformers and activation barriers: a case study of bisphosphine reductive elimination",2020,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c00618","https://scholar.google.com/scholar?cites=2318267139343525781&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 15:17:12","","10.1021/acscatal.0c00618","","",,,,,29,5.80,10,3,5,"… The reductive elimination step is often found to be rate … ligand conformation on the reductive elimination process, or a … conformer effects on reductive elimination from bisphosphine …","","https://scholar.google.com/scholar?q=related:lScIN64jLCAJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"S Jin, J Kim, D Kim, JW Park, S Chang","Electrolytic C–H oxygenation via oxidatively induced reductive elimination in Rh catalysis",2021,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.1c01670","https://scholar.google.com/scholar?cites=11217413810586620840&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 15:17:12","","10.1021/acscatal.1c01670","","",,,,,50,12.50,10,5,4,"… Density functional theory (DFT) calculations were next performed to further scrutinize the mechanistic aspects of the current C–O bond-forming reductive elimination. The direct process …","","https://scholar.google.com/scholar?q=related:qJOTpm1CrJsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"T Sun, J Zhang, Y Fang, Y Zhou, H Cao, G Luo…","Enantioselective alkylation of unactivated C–O bond: solvent molecule affects competing β-H elimination and reductive elimination dynamics",2023,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c06054","https://scholar.google.com/scholar?cites=4085646557150382086&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 15:17:12","","10.1021/acscatal.2c06054","","",,,,,11,5.50,2,7,2,"… DFT calculations revealed that the … β-H elimination during reductive elimination, thus unlocking how the solvent molecule affects the competing β-H elimination and reductive elimination …","","https://scholar.google.com/scholar?q=related:Bgi_pOUhszgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"ED Kalkman, Y Qiu, JF Hartwig","Transition-State Stabilization by Secondary Orbital Interactions between Fluoroalkyl Ligands and Palladium During Reductive Elimination from Palladium (aryl) …",2023,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.3c02648","https://scholar.google.com/scholar?cites=16822435900418613582&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 15:17:12","","10.1021/acscatal.3c02648","","",,,,,7,3.50,2,3,2,"… We note that a similar elongation of the Pd–O bond in the transition state was observed in a previous DFT study on the reductive elimination from alkylpalladium amido complexes …","https://par.nsf.gov/servlets/purl/10505688","https://scholar.google.com/scholar?q=related:TuE6hVJMdekJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Z Huang, Y Jin, S Zhao, P Zhang, W Liao, ZX Yu","How to Suppress C(sp2)–Rh–C(sp3) Reductive Elimination and Insert CO to Achieve Rhodium-Catalyzed [5 + 2 + 1] Cycloaddition of Yne-vinylcyclopropanes and …",2024,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c03878","https://scholar.google.com/scholar?cites=6319901950607449408&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 15:17:12","","10.1021/acscatal.4c03878","","",,,,,2,2.00,0,6,1,"… DFT calculations were performed by Gaussian 09 E.01. (13) DLPNO–CCSD(T) (14) single-… and 590 angular points per shell were used in DFT calculations (int = ultrafine). Geometry …","","https://scholar.google.com/scholar?q=related:QF1B_VbNtFcJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"TD Lohrey, AQ Cusumano, WA Goddard III…","Identifying the Imperative Role of Metal–Olefin Interactions in Catalytic C–O Reductive Elimination from Nickel (II)",2021,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.1c02790","https://scholar.google.com/scholar?cites=18028633776171299621&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 15:17:12","","10.1021/acscatal.1c02790","","",,,,,7,1.75,2,4,4,"… Density functional theory calculations reveal a plausible … addition and C–O reductive elimination steps. The direct … –O reductive elimination step relative to other examples of C–O …","https://pmc.ncbi.nlm.nih.gov/articles/PMC8849544/pdf/nihms-1746731.pdf","https://scholar.google.com/scholar?q=related:JbNMTuaSMvoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"C Zheng, J Zheng, SL You","A DFT study on Rh-catalyzed asymmetric dearomatization of 2-naphthols initiated with C–H activation: a refined reaction mechanism and origins of multiple selectivity",2016,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b01891","https://scholar.google.com/scholar?cites=12814184253289217389&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 15:17:12","","10.1021/acscatal.5b01891","","",,,,,73,8.11,24,3,9,"… Subsequently, the dearomatized product is released by the reductive elimination from intermediate III or IV, and the Rh(III) catalyst is regenerated by oxidation with Cu(OAc) 2 . However, …","","https://scholar.google.com/scholar?q=related:bT21l68g1bEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"GM Zhao, H Liu, X Huang, X Yang, Y Xie","DFT study on the homogeneous palladium-catalyzed N-alkylation of amines with alcohols",2015,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b01043","https://scholar.google.com/scholar?cites=2660308318336744998&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 15:17:12","","10.1021/acscatal.5b01043","","",,,,,29,2.90,6,5,10,"… Intrigued by the highly efficient and easily scaled-up characteristics of this new catalytic system, we perform a thorough DFT study to understand the catalytic mechanism. Our …","","https://scholar.google.com/scholar?q=related:Jn56E1JQ6yQJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
