Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
83,"M Garcia-Melchor, B Fuentes, A Lledos…","Cationic intermediates in the Pd-catalyzed Negishi coupling. Kinetic and density functional theory study of alternative transmetalation pathways in the Me–Me coupling …",2011,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja204256x","https://scholar.google.com/scholar?cites=4248433583056192041&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-03-25 01:17:57","","10.1021/ja204256x","","",,,,,83,5.93,21,4,14,"… of the reaction, opening a plausible additional alternative transmetalation pathway. In summary, depending on the reaction conditions the transmetalation could take place on 1, on 4 + , …","","https://scholar.google.com/scholar?q=related:KYLnqdV39ToJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
105,"A Sugiyama, Y Ohnishi, M Nakaoka…","Why does fluoride anion accelerate transmetalation between vinylsilane and palladium (II)− vinyl complex? Theoretical study",2008,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja801362e","https://scholar.google.com/scholar?cites=5515542200816134476&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-03-25 01:17:57","","10.1021/ja801362e","","",,,,,105,6.18,26,4,17,"… We ascertained that the DFT method presents reliable results in this transmetalation and the solvation effect is not large, because this is the first theoretical study of the transmetalation …","","https://scholar.google.com/scholar?q=related:TGlSt2gki0wJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
66,"D Serra, ME Moret, P Chen","Transmetalation of Methyl Groups Supported by PtII–AuI Bonds in the Gas Phase, in Silico, and in Solution",2011,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja110405q","https://scholar.google.com/scholar?cites=16575346805314175404&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-03-25 01:17:57","","10.1021/ja110405q","","",,,,,66,4.71,22,3,14,"… Pt-to-Au transmetalation along two reaction pathways involving … density functional theory (DFT) calculations were used to investigate the potential surface involved in the transmetalation …","","https://scholar.google.com/scholar?q=related:rEGodxl2B-YJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
139,"Z Zheng, L Opilik, F Schiffmann, W Liu…","Synthesis of two-dimensional analogues of copolymers by site-to-site transmetalation of organometallic monolayer sheets",2014,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja501849y","https://scholar.google.com/scholar?cites=13203741614319757229&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-03-25 01:17:57","","10.1021/ja501849y","","",,,,,139,12.64,28,5,11,"… All transmetalated sheets are mechanically strong enough to be spanned over 20 × 20 μm 2 sized holes. Density functional theory … first insights into how transmetalation proceeds. Such …","https://drive.google.com/file/d/13B0t8SfkCG1Ptk7Jjj2RKPDlMo4ihO8o/view","https://scholar.google.com/scholar?q=related:rWeSswodPbcJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
104,"A Fromm, C van Wüllen…","Mechanism of Cu/Pd-catalyzed decarboxylative cross-couplings: a DFT investigation",2014,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja503295x","https://scholar.google.com/scholar?cites=16024051147788931864&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-03-25 01:17:57","","10.1021/ja503295x","","",,,,,104,9.45,35,3,11,"… Overall, our DFT results show that the transmetalation process is exothermic (ortho: Δ r E tot = −8.2 kcal mol –1 ; para: Δ r E tot = −11.1 kcal mol –1 ) as well as exergonic (ortho: Δ r G …","","https://scholar.google.com/scholar?q=related:GFOmrp7dYN4J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"H Liang, JP Morken","Stereospecific transformations of alkylboronic esters enabled by direct boron-to-zinc transmetalation",2023,"Journal of the American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.3c01677","https://scholar.google.com/scholar?cites=5499257696510140994&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-03-25 01:17:57","","10.1021/jacs.3c01677","","",,,,,17,8.50,9,2,2,"… In this Letter, we describe an efficient, rapid, and stereospecific transmetalation that furnishes … transmetalation is more likely from four- or three-coordinate organoboron compounds, DFT …","https://pmc.ncbi.nlm.nih.gov/articles/PMC10407644/pdf/nihms-1922099.pdf","https://scholar.google.com/scholar?q=related:QuLRGL1JUUwJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
76,"RJ Oeschger, P Chen","Structure and gas-phase thermochemistry of a Pd/Cu complex: studies on a model for transmetalation transition states",2017,"Journal of the American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.6b12152","https://scholar.google.com/scholar?cites=6451438988898911512&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-03-25 01:17:57","","10.1021/jacs.6b12152","","",,,,,76,9.50,38,2,8,"… Our previous DFT studies of the transmetalation step in the Sonogashira reaction suggested that the reaction starts from a Cu acetylide with Pd coordinated to the π bond and goes …","","https://scholar.google.com/scholar?q=related:GMVsR5QdiFkJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"HD Bishop, Q Zhao, C Uyeda","Catalytic asymmetric synthesis of zinc metallacycles",2023,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.3c05885","https://scholar.google.com/scholar?cites=12521466452750498404&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-03-25 01:17:57","","10.1021/jacs.3c05885","","",,,,,19,9.50,6,3,2,"… As an alternative to this hydrogenolysis pathway, here we show that transmetalation to zinc … , we carried out DFT calculations to examine the thermodynamics of transmetalation. At the …","https://par.nsf.gov/servlets/purl/10507120","https://scholar.google.com/scholar?q=related:ZPopr2Uvxa0J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
225,"Q Liu, Y Lan, J Liu, G Li, YD Wu…","Revealing a second transmetalation step in the Negishi coupling and its competition with reductive elimination: improvement in the interpretation of the mechanism of …",2009,"… American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja903277d","https://scholar.google.com/scholar?cites=3233472598974993195&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-03-25 01:17:57","","10.1021/ja903277d","","",,,,,225,14.06,38,6,16,"… This study provides insight into the transmetalation of Negishi coupling and leads to the … DFT calculations show that a critical competition occurs in the second transmetalation and …","","https://scholar.google.com/scholar?q=related:KxPddDKa3ywJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"H Zheng, K Semba, Y Nakao…","How to Control Inversion vs Retention Transmetalation between PdII–Phenyl and CuI–Alkyl Complexes: Theoretical Insight",2017,"… of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.7b04383","https://scholar.google.com/scholar?cites=3857473392507217101&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-03-25 01:17:57","","10.1021/jacs.7b04383","","",,,,,12,1.50,3,4,8,"… the stereochemistry in transmetalation between Pd II (Br)(Ph)(… ) using DFT method, because this transmetalation is involved … inversion transmetalation occurs more easily than retention …","","https://scholar.google.com/scholar?q=related:zeTp2px_iDUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
