Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
635,"E Goldstein, B Beno, KN Houk","Density functional theory prediction of the relative energies and isotope effects for the concerted and stepwise mechanisms of the Diels− Alder reaction of butadiene …",1996,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja9601494?casa_token=A0xWzzGvQHoAAAAA:_9-9gIO3Yh7Szu7V3BFsvT2XvXGIHjoyLk0oADwkQPl81v2jn53-71kbTvNGkFXR1Xc7SIfLh4qYyDI","https://scholar.google.com/scholar?cites=13538248224451022347&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 18:56:02","","10.1021/ja9601494","","",,,,,635,21.90,212,3,29,"… Recently, density-functional theory (DFT) 2 with nonlocal … DFT can also reproduce energy differences between closed-shell and open-shell species. These features suggest that DFT …","https://pubs.acs.org/doi/full/10.1021/ja9601494?casa_token=llh9KEc_9P0AAAAA:zudL1uPk1ZZfnNdLkgS1u0sRPzBhgIF76OuNg14CcBjEJtJvg0C3KgrqVglHdtMAxHwRtbei9uFsAOY","https://scholar.google.com/scholar?q=related:C053CwiF4bsJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
111,"PHS Paioti, J Del Pozo, MS Mikus, J Lee…","Catalytic enantioselective boryl and silyl substitution with trifluoromethyl alkenes: scope, utility, and mechanistic nuances of Cu–F β-elimination",2019,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.9b11382?casa_token=yhoDY_wItbcAAAAA:bf-KwOW_NzvGWNkLsPB8xtT3xZBD8FZ1Uq1PZQBh1LjDRgMVKtv9JYGZhJJ1-PzTXXoO6v-6PiDnyCA","https://scholar.google.com/scholar?cites=7835458395591246819&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 18:56:02","","10.1021/jacs.9b11382","","",,,,,111,18.50,22,5,6,"… We then carried out DFT studies to obtain appropriate stereochemical models that account for stereoselectivity levels and trends, including the reversal in enantioselectivity in boryl and …","https://pubs.acs.org/doi/pdf/10.1021/jacs.9b11382?casa_token=D-jIL6fcWZ4AAAAA:SwZEnnYng1lQ4ro9g4kBWYmsGysxhxpifO8gc7uGwtnd9htGuvdPA0_cCbFNp90QYoQXSm_QPTE5C-w","https://scholar.google.com/scholar?q=related:44ORkeUjvWwJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"JA Keith, J Oxgaard, WA Goddard","Inaccessibility of β-Hydride Elimination from− OH Functional Groups in Wacker-Type Oxidation",2006,"… American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja0533139?casa_token=M-I0NOdTQvUAAAAA:JNlrzsojC9ql4gogayu38P8dLQoipI56lvODZn9RaLM-fJOYXSpW3pBi3UFaJj1vEvBgx4q3cZKvwrA","https://scholar.google.com/scholar?cites=16056466860556244016&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 18:56:02","","10.1021/ja0533139","","",,,,,73,3.84,24,3,19,"… here through DFT calculations that BHE should be eliminated as … elimination that is much lower in energy. We used both the B3LYP and MPW1K flavors of density functional theory (DFT…","https://pubs.acs.org/doi/full/10.1021/ja0533139?casa_token=fi-XHYUHyucAAAAA:LBBpLTO7EiwyJI-RC8iQDi8bgHqUOgv-gGBBYA2fgURqbkjNNohBN0AqMQhhOU4Zmh0b81BX2pslMJE","https://scholar.google.com/scholar?q=related:MFRJ84kH1N4J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"C Allen, SV Sambasivarao…","An ionic liquid dependent mechanism for base catalyzed β-elimination reactions from QM/MM simulations",2013,"… of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja3098614?casa_token=KrYlKgQNxE8AAAAA:XdCS1Tt_RpxU6My_yVDNAvvTtF9UP46mgFRArJpeL1nVf-hNrPuVIkItTJePD7ntvml-aoXVkRXYVAo","https://scholar.google.com/scholar?cites=15404018317391228576&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 18:56:02","","10.1021/ja3098614","","",,,,,37,3.08,12,3,12,"… Comparisons are made to density functional theory (DFT) calculations using an implicit continuum model to simulate conventional solvent effects. The results presented provide new …","https://pubs.acs.org/doi/full/10.1021/ja3098614?casa_token=AlN9dVovWDUAAAAA:g-QjnL80VPKuzS9Ul7XwNNByfIIZ6_RsCrGa4T7y0yOsEBmq1NXeJNn9kjK1AayaXkwqm2RWg94fsV4","https://scholar.google.com/scholar?q=related:oO62sQsRxtUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
74,"F Rekhroukh, L Estevez, S Mallet-Ladeira…","β-Hydride elimination at low-coordinate gold (III) centers",2016,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.6b07035","https://scholar.google.com/scholar?cites=1991258572483036862&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 18:56:02","","10.1021/jacs.6b07035","","",,,,,74,8.22,19,4,9,"… β-hydride elimination at low temperature. According to detailed mechanistic studies combining multinuclear NMR experiments and DFT calculations, β-hydride elimination was shown to …","https://pubs.acs.org/doi/full/10.1021/jacs.6b07035","https://scholar.google.com/scholar?q=related:vobNHB9fohsJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"YP Budiman, A Jayaraman, A Friedrich…","Palladium-catalyzed homocoupling of highly fluorinated arylboronates: studies of the influence of strongly vs weakly coordinating solvents on the reductive elimination …",2020,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.9b11871?casa_token=hYKqBHp_vWUAAAAA:8-3gB01GS9c_QrrCzDK-siNBrAAdulBrB59nDgw62qrZt5Vvi76Nj0TcxxkxXh6wQhjHSoUyWJpR2Bg","https://scholar.google.com/scholar?cites=11966262997796510132&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 18:56:02","","10.1021/jacs.9b11871","","",,,,,43,8.60,11,4,5,"… DFT computations reveal that the active catalyst formed by arene solvent coordination leads to an overall reduced barrier for the reductive elimination step compared to the formation of …","https://pubs.acs.org/doi/full/10.1021/jacs.9b11871?casa_token=luVhpFPT8j8AAAAA:CPBu599uQmtV0zEYw-cKKpqhu9m6M3LPBx6bt6wIdKgvZttT3eBj_ferhlWux26NTVF5GEWMvugrB4I","https://scholar.google.com/scholar?q=related:tNmP6Mu0EKYJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
145,"S Biswas, Z Huang, Y Choliy, DY Wang…","Olefin Isomerization by Iridium Pincer Catalysts. Experimental Evidence for an η3-Allyl Pathway and an Unconventional Mechanism Predicted by DFT Calculations",2012,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja301464c?casa_token=cbM1IJ3Z1KAAAAAA:aTjMMSyQuT4CZGfGbnIMCiBzNhCqvs1UcrE8elf8MTTFHaXMfuanJmzBdlWFsRM04jSRFltA5gpwn2g","https://scholar.google.com/scholar?cites=12972980539632397626&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 18:56:02","","10.1021/ja301464c","","",,,,,145,11.15,29,5,13,"… results of kinetics experiments and DFT calculations (using both … Surprisingly, the DFT calculations indicate that the … Ir), which undergoes C–H elimination and π-coordination to give a …","https://pubs.acs.org/doi/full/10.1021/ja301464c?casa_token=nA2tF6NOCwAAAAAA:Sb6K7G8SpM5gXtMGKLnxtSU580KhVLQpGqg9hTMveHIReQcYCaxwJBOwm331d6lhx_BivAfYsbFKKBQ","https://scholar.google.com/scholar?q=related:Oi3YJhFJCbQJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"Y Kim, JR Mohrig, DG Truhlar","Free-energy surfaces for liquid-phase reactions and their use to study the border between concerted and nonconcerted α, β-elimination reactions of esters and …",2010,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja101104q","https://scholar.google.com/scholar?cites=5180616136304211161&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 18:56:02","","10.1021/ja101104q","","",,,,,75,5.00,25,3,15,"… Here we use liquid-phase density functional theory calculations to find transition states and … support a stepwise irreversible first-order elimination from a conjugate base (E1cB I ) …","https://pubs.acs.org/doi/pdf/10.1021/ja101104q","https://scholar.google.com/scholar?q=related:2bQRiu0-5UcJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"QL Xu, H Gao, M Yousufuddin, DH Ess…","Aerobic, transition-metal-free, direct, and regiospecific mono-α-arylation of ketones: synthesis and mechanism by DFT calculations",2013,"… the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja4074563?casa_token=Ct4LS8gbIrAAAAAA:8ulcUknYZ58iSCWhrD5Q70Xgy4BVWgbhuBFL7cR2Nr72isgRH2fMGE3c_3_gBVKtqlPSq3D6OenxT0Q","https://scholar.google.com/scholar?cites=481305832913996983&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 18:56:02","","10.1021/ja4074563","","",,,,,100,8.33,20,5,12,"… and elimination of reduced O 2 . Although addition of 3 O 2 to 18-para is favorable, subsequent base elimination … DFT calculations suggest that the in situ-generated enolate undergoes …","https://pubs.acs.org/doi/full/10.1021/ja4074563?casa_token=CmF1fGj7UKsAAAAA:4p_RxZuWU9L9tpKmDggNGdsp7x3DOUDkq2WNjWs2lQf2dD_dQgkwIiWg1QfLEN5TD24ZWoCiwB00igs","https://scholar.google.com/scholar?q=related:t4wp3xrxrQYJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"E Clot, J Chen, DH Lee, SY Sung…","Double Geminal C− H Activation and Reversible α-Elimination in 2-Aminopyridine Iridium (III) Complexes: The Role of Hydrides and Solvent in Flattening the Free …",2004,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja048473j?casa_token=6MvwEycvYBMAAAAA:-B5cn_Y3kB475HmFmhP13Ns0va3sp01_1dCq3E9RjSn5dmd-Z-VuZoOzBr2GHDupmFMQMM7X_QtNXlw","https://scholar.google.com/scholar?cites=18048986645809893957&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 18:56:02","","10.1021/ja048473j","","",,,,,92,4.38,18,5,21,"… DFT calculations show that the presence of hydrides at key positions in the catalyst … energy surfaces to allow fast reversible α-hydride elimination and isotope exchange in this system. A …","https://pubs.acs.org/doi/full/10.1021/ja048473j?casa_token=Cw2ICu2EFMgAAAAA:Pmmo3g9NKHB4Ew0guyeG2boAsSB1gDTKYvFpZNTu7XI8kU87DH3cyEHzRqZPY4RQi1mjqresE9hWkP4","https://scholar.google.com/scholar?q=related:RZJEC7rhevoJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
