Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"W Yi, W Chen, H Xu, K Chen, X Zhong, ...","Os (II)-catalyzed γ-C (sp3)–H amidation and meta-C (sp2)–H alkylation by fine-tuning the characteristics of in-situ-generated C–Os σ bonds",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?cites=10065537069703409289&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 18:23:02","HTML","","","",,,,,3,1.50,1,6,2,"… C–H functionalization has … C–H activation including γ-C(sp 3 )–H and meta-C(sp 2 )–H versions is far less investigated and more challenging than that of ortho-C(sp 2 )–H activation. By …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?q=related:ia4yqaL4r4sJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"MM Shoshani","Cooperative heterometallic platforms enabling selective C–H bond activation and functionalization of pyridines",2023,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00531-8","https://scholar.google.com/scholar?cites=5317168217488335170&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:23:02","HTML","","","",,,,,9,4.50,9,1,2,"… The latter approach is a strategy increasingly invoked in the past two decades to facilitate the C–H activation and functionalization of substituted aromatics, as well as pyridines (Figure 1…","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00531-8","https://scholar.google.com/scholar?q=related:QqFjflJgykkJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"F Zhang, R Zhao, L Zhu, Y Yu, S Liao, ZX Wang, ...","Divergent isoindolinone synthesis through palladium-catalyzed isocyanide bridging C–H activation",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00043-1","https://scholar.google.com/scholar?cites=4952801241078105120&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:23:02","HTML","","","",,,,,15,5.00,2,7,3,"The formation of thermodynamically accessible metallacycle is crucial to achieve site-selective C–H bond activation. Here, we report an isocyanide-bridging C–H activation through the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00043-1","https://scholar.google.com/scholar?q=related:IAST2Xziu0QJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"GM Chen, ZH Ye, ZM Li, JL Zhang","Universal descriptors of quasi transition states for small-data-driven asymmetric catalysis prediction in machine learning model",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?cites=10293381730738776571&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:23:02","HTML","","","",,,,,2,2.00,1,4,1,"… level (22 s) and subsequent DFT single-point energy calculation (… DFT method (36,712 s, see Figure S1). By exclusively performing qTS optimization at the PM6 level without the DFT …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?q=related:-ykuviVw2Y4J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"HH Liao, SC Lee, H Kao, YL Hsu, CM Hsu, ...","Synthesis of perfluoroaryl sulfides at electron-poor arenes via an SNAr step with an unexpected mechanism",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00301-0?uuid=uuid%3A0a8fca7c-2c6c-4f6c-97bf-d613460b4b7e","https://scholar.google.com/scholar?cites=14787090153280694410&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:23:02","HTML","","","",,,,,15,5.00,3,6,3,"Perfluoroaryl groups are a recurring motif in materials and pharmaceutical chemistry. Here, we report a method to couple perfluoroarenes and thiols to yield perfluoroaryl sulfides via a …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00301-0?uuid=uuid%3A0a8fca7c-2c6c-4f6c-97bf-d613460b4b7e","https://scholar.google.com/scholar?q=related:iuj4JyZMNs0J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"C Chen, SY Zhang, SX Li, ZH Li, RX Liu, ...","Electroreductive fluoroalkylative heteroarylation of unactivated alkenes via an unconventional remote heteroaryl migration",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00153-4","https://scholar.google.com/scholar?cites=12695444624314485257&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 18:23:02","HTML","","","",,,,,4,2.00,1,6,2,"… reaction mechanism via density functional theory (DFT) calculations … DFT calculations were conducted to determine the hydrogen … Based on DFT calculations and experimental results, a …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00153-4","https://scholar.google.com/scholar?q=related:CUroWZ9HL7AJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"K Liao, F Wu, J Chen, Y Huang","Catalytic cleavage and functionalization of bulky and inert Csp3–Csp3 bonds via a relayed proton-coupled electron transfer strategy",2022,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00030-3","https://scholar.google.com/scholar?cites=7081112992114039013&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 18:23:02","HTML","","","",,,,,21,7.00,5,4,3,"Catalytic cleavage and functionalization of unstrained carbon–carbon bonds represent a formidable challenge for synthetic chemistry. Despite tremendous advances in transition-metal …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00030-3","https://scholar.google.com/scholar?q=related:5Vhcvb8qRWIJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"D Yuan, X Dou, S Wang, C Li, Y Sun, W Li, ...","Defect activation of atomically thin electrocatalysts for the oxygen evolution reaction",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00250-3","https://scholar.google.com/scholar?cites=397059513208618911&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 18:23:02","HTML","","","",,,,,1,0.50,0,7,2,"… activation is normally utilized to modulate the electronic structure and promote catalytic activity. Herein, we systematically review different defect activation … of defect activation strategies …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00250-3","https://scholar.google.com/scholar?q=related:nz99B4ajggUJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"BS Zhang, YX Yang, JCA Oliveira, ZQ Zhang, ...","Combined CH amination and intermolecular alkyne insertion for a three-component cyclization",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?cites=7536958845812536965&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 18:23:02","HTML","","","",,,,,4,2.00,1,5,2,"… The structure optimization by density functional theory (DFT) calculations were performed at the B3LYP-D3/def2-… Therefore, we used DFT calculations to study the reaction mechanism. …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?q=related:hfZkQyOomGgJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"CH Liu, Y Sakai-Otsuka, P Richardson, MR Niazi, ...","A 2D perchlorinated sp2-carbon framework",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00132-1?uuid=uuid%3Ae32d6e04-c411-40ce-b472-6cbccc462cba","https://scholar.google.com/scholar?cites=10664093271429529599&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 18:23:02","HTML","","","",,,,,6,2.00,1,5,3,"Two-dimensional (2D) π-conjugated polymers are promising electronic materials with diverse properties controlled by varying the structure of organic building blocks. We here report an …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00132-1?uuid=uuid%3Ae32d6e04-c411-40ce-b472-6cbccc462cba","https://scholar.google.com/scholar?q=related:_78wX1R4_pMJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
