Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"Y Yan, J Yu, Y Du, S Yan, M Gu, W Zhou…","Selective electrocatalytic carbon dioxide reduction with electrochemically stable frustrated Lewis pairs",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00180-7","https://scholar.google.com/scholar?cites=15167306292877227012&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 18:10:16","HTML","","","",,,,,12,6.00,2,7,2,"… Next, we provide experimental evidence for the preferential protonation process during the CO 2 RR. Cyclic voltammetry (CV) scans were carried out to record the surface reconstruction …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00180-7","https://scholar.google.com/scholar?q=related:BHR-qrYYfdIJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"Q Song, B Guo, H Liu, H Wang, M Schmidt…","Enhanced CO2 electroreduction with conjugation effect tuned atomically dispersed nickel-based catalysts",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00582-9?uuid=uuid%3Afeab5c05-3205-4d83-85bf-5ce3d0ee5333","https://scholar.google.com/scholar?cites=5616883581038489968&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 18:10:16","HTML","","","",,,,,5,2.50,1,6,2,"… The CO 2 RR performance of the pyrolyzed samples was … ) was also used for CO 2 RR performance investigation (see … , NC possessed the worst CO 2 RR selectivity toward CO in 0.5 …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00582-9?uuid=uuid%3Afeab5c05-3205-4d83-85bf-5ce3d0ee5333","https://scholar.google.com/scholar?q=related:cPGFgNst800J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"A Prajapati, NC Kani, JA Gauthier, R Sartape…","CO2-free high-purity ethylene from electroreduction of CO2 with 4% solar-to-ethylene and 10% solar-to-carbon efficiencies",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00347-2","https://scholar.google.com/scholar?cites=17561490377078581425&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 18:10:16","HTML","","","",,,,,31,10.33,6,5,3,"… CO2RR products) at constant potentials, the effect of oscillating potentials on the selectivity and purity of C 2 H 4 , DFT … triple-junction solar cell to this CO2RR system; and we present the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00347-2","https://scholar.google.com/scholar?q=related:sag1BHTytvMJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"P Qin, S Yang, P Zhan, M Chu, G Li, Z Si, J Shi…","Two-dimensional PdMo curved nanosheets for tunable CO2 electrocatalytic reduction to syngas",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00337-4?uuid=uuid%3Aec162dcf-bddc-4719-a362-112f08763d0a","https://scholar.google.com/scholar?cites=1620424658640404954&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 18:10:16","HTML","","","",,,,,12,3.00,2,8,4,"… performance of Pd during CO 2 RR. To further understand the … , we performed density functional theory calculations below. … DFT results indicate that the kinetics of CO 2 RR on Pd 93 …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00337-4?uuid=uuid%3Aec162dcf-bddc-4719-a362-112f08763d0a","https://scholar.google.com/scholar?q=related:2oGLQ6TnfBYJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"Y Xu, MB Ross, H Xin, F Che","Engineering bimetallic interfaces and revealing the mechanism for carbon dioxide electroreduction to C3+ liquid chemicals",2023,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00559-3","https://scholar.google.com/scholar?cites=116887269341752298&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 18:10:16","HTML","","","",,,,,7,3.50,2,4,2,"… CO 2 RR-to-C 3+ via density functional theory (DFT) calculations. We proposed possible mechanisms of CO 2 RR-to-C 3+ with ∗ CO and ∗ CH 2 as the key intermediates (Scheme 1). …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00559-3","https://scholar.google.com/scholar?q=related:6mvhJ1pEnwEJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
96,"T Fan, W Ma, M Xie, H Liu, J Zhang, S Yang…","Achieving high current density for electrocatalytic reduction of CO2 to formate on bismuth-based catalysts",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00038-2","https://scholar.google.com/scholar?cites=8778302878194629041&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 18:10:16","HTML","","","",,,,,96,24.00,14,7,4,"… cannot ultimately distinguish the CO 2 RR activity because the CO 2 RR process always … oxygen defects, DFT calculations were used to simulate and compare the CO 2 RR pathway on …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00038-2","https://scholar.google.com/scholar?q=related:sXmUUfXL0nkJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"Y Hua, B Zhang, W Hao, Z Gao","Boosting CO desorption on dual active site electrocatalysts for CO2 reduction to produce tunable syngas",2022,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00433-1","https://scholar.google.com/scholar?cites=10893124398646802051&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 18:10:16","HTML","","","",,,,,26,8.67,7,4,3,"… electrocatalytic CO 2 RR to CO, whereas Ni metal catalyzed HER exclusively under CO 2 RR … To further corroborate our findings, the DFT calculation was carried out to determine the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00433-1","https://scholar.google.com/scholar?q=related:g7Z7I-0mLJcJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"J Yu, M Sun, J Wang, Y Wang, Y Li, P Lu, Y Ma…","Enhancing the electrochemical reduction of carbon dioxide to multi-carbon products on copper nanosheet arrays via cation-catalyst interaction",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00134-0","https://scholar.google.com/scholar?cites=12912597173502108658&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 18:10:16","HTML","","","",,,,,23,11.50,3,8,2,"… of the electrochemical CO 2 RR. In general, cations can suppress the competitive hydrogen evolution reaction (HER), tune the selectivity, and adjust the reaction rate of the CO 2 RR. …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00134-0","https://scholar.google.com/scholar?q=related:8mNOJrfCMrMJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"K Li, Y Wang, J Lu, W Ding, F Huo, H He…","Screening and mechanistic study of bimetallic catalysts for the electrosynthesis of urea from carbon dioxide and dinitrogen",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00209-6","https://scholar.google.com/scholar?cites=2010271262226092299&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 18:10:16","HTML","","","",,,,,12,6.00,2,7,2,"… In the present work, a series of density functional theory (DFT) calculations were performed to investigate the performance and mechanism of urea electrosynthesis on different …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00209-6","https://scholar.google.com/scholar?q=related:C5Ep5w_r5RsJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Jiang, C Zhou, J Cai, K Li, H Wang","Water-mediated reduction of carbon dioxide",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00551-4","",10,"2025-05-17 18:10:16","HTML","","","",,,,,0,0.00,0,5,1,"… and ∗CO desorption, CO 2 RR can be further enhanced by … In CO 2 RR mediated by the PCET mechanism, surface H 2 … by a combined density functional theory (DFT) and experimental …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00551-4","https://scholar.google.com/scholar?q=related:tBBW-OsFxzgJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
82,"S Lu, Y Shi, N Meng, S Lu, Y Yu, B Zhang","Electrosynthesis of Syngas via the Co-Reduction of CO2 and H2O",2020,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30255-1","https://scholar.google.com/scholar?cites=850908214397277688&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-17 18:10:16","HTML","","","",,,,,82,16.40,14,6,5,"… generation of CO, the relative activities of CO 2 RR and HER can be controlled by regulating … Density functional theory (DFT) calculation demonstrated that the edge sites could promote …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30255-1","https://scholar.google.com/scholar?q=related:-JWcP4MIzwsJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"Y Ji, A Guan, G Zheng","Copper-based catalysts for electrochemical carbon monoxide reduction",2022,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00366-6","https://scholar.google.com/scholar?cites=17646529075412831628&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-17 18:10:16","HTML","","","",,,,,28,9.33,9,3,3,"… a key intermediate in CO 2 RR, CO 2 RR is believed to share … the mechanistic exploration of CO 2 RR. The catalyst design … the previous all-solvent density functional theory (DFT) meta-…","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00366-6","https://scholar.google.com/scholar?q=related:jI2V4rIQ5fQJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"C Hu, Q Dai, L Dai","Multifunctional carbon-based metal-free catalysts for advanced energy conversion and storage",2021,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00008-4","https://scholar.google.com/scholar?cites=118158876885844603&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-17 18:10:16","HTML","","","",,,,,91,22.75,30,3,4,"… (B3LYP) hybrid density functional theory (DFT), the catalytic … 2E), with a minimum CO 2 RR and OER overpotential of 0.10 eV … the CO 2 RR and OER simultaneously on the SiNC C-MFC. …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00008-4","https://scholar.google.com/scholar?q=related:ewLXW9_IowEJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"K Pellumbi, D Krisch, C Rettenmaier, H Awada…","Pushing the Ag-loading of CO2 electrolyzers to the minimum via molecularly tuned environments",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00591-X","https://scholar.google.com/scholar?cites=17935314435841532237&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-17 18:10:16","HTML","","","",,,,,10,5.00,2,5,2,"… This positive effect can be attributed to tailoring the incoming water flux through our bubbler to allow for performance in CO 2 RR and dissolution of formed carbonate crystals without …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00591-X","https://scholar.google.com/scholar?q=related:TSFFO3QJ5_gJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"Y Boyjoo, Y Jin, H Li, G Zhao, H Guo, J Liu","Nanoengineering of photocatalytic electrode materials toward net zero emissions",2023,"Cell reports physical science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00159-5","https://scholar.google.com/scholar?cites=17389361082333977392&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-17 18:10:16","HTML","","","",,,,,8,4.00,1,6,2,"New technologies for CO 2 reuse with a goal toward net zero carbon emissions are being actively investigated. Photocatalytic reactions are hampered by fast recombination of …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00159-5","https://scholar.google.com/scholar?q=related:MNuEh8VrU_EJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"Y Pan, L Tang, M Ding","Electrostatic polarization in single-atom catalysis",2023,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00191-1","https://scholar.google.com/scholar?cites=11185185841764997925&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-17 18:10:16","HTML","","","",,,,,8,4.00,3,3,2,"… that the high electric fields (0.01-0.05 V/Å, Multiphysics Simulations) produced by Au nanoneedle physically enrich the potassium ions (K + ) and thus lead to faster kinetics of CO 2 RR …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00191-1","https://scholar.google.com/scholar?q=related:JZsh7ULDOZsJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
