Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
38,"S Han, Y Shi, C Wang, C Liu, B Zhang","Hollow cobalt sulfide nanocapsules for electrocatalytic selective transfer hydrogenation of cinnamaldehyde with water",2021,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00022-9","https://scholar.google.com/scholar?cites=6259917855034282667&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 18:08:33","","","","",,,,,38,9.50,8,5,4,"… hydrogenation of CAL to synthesize HCOL over CoS 2-x . Thus, our preliminary DFT results … (2a) were selectively hydrogenated to produce the corresponding ketones or aldehyde (1b …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(21)00022-9","https://scholar.google.com/scholar?q=related:q5JxaB-y31YJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"F Calcagno, C Cesari, A Gagliardi, A Messori…","Combined computational-experimental study of Ru (0)-catalyzed Guerbet reaction",2024,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00605-2","https://scholar.google.com/scholar?cites=8500528386787360947&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 18:08:33","","","","",,,,,2,2.00,0,5,1,"… ketones species (catalyzed by a basic co-catalyst) to form an α,β-unsaturated aldehyde (ie, crotonaldehyde) and water, and (3) double hydrogenation of … on these DFT results, we first …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(24)00605-2","https://scholar.google.com/scholar?q=related:s8CVsYfx93UJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"GM Chen, ZH Ye, ZM Li, JL Zhang","Universal descriptors of quasi transition states for small-data-driven asymmetric catalysis prediction in machine learning model",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?cites=10293381730738776571&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 18:08:33","","","","",,,,,2,2.00,1,4,1,"… carried out exclusively with the DFT method (36,712 s, see Figure S1). By exclusively performing qTS optimization at the PM6 level without the DFT single-point energy calculation, the …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(24)00312-6","https://scholar.google.com/scholar?q=related:-ykuviVw2Y4J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"A Bermejo-López, M Li, NVRA Dharanipragada…","A general catalyst for the base-free mono-N-alkylation of aromatic and aliphatic amines with alcohols",2024,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00251-0","https://scholar.google.com/scholar?cites=16299481065616761255&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 18:08:33","","","","",,,,,1,1.00,0,4,1,"The catalytic alkylation of amines with alcohols is a highly atom-economical approach that produces water as the sole by-product. Existing catalytic systems lack generality and are …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(24)00251-0","https://scholar.google.com/scholar?q=related:p-FKu6tjM-IJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"S Zhang, Y Qu","Spatially isolated dual-active sites enabling selective hydrogenation",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00013-4","https://scholar.google.com/scholar?cites=11134336506118633987&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 18:08:33","","","","",,,,,9,9.00,5,2,1,"… This innovative design enables the selective hydrogenation of aldehydes/ketones. DFT calculations revealed that the h-BN and hexagonal boron nitride with N vacancy (h-BN(N V )) …","https://www.cell.com/cell-reports-physical-science/pdf/S2666-3864(24)00013-4.pdf","https://scholar.google.com/scholar?q=related:A3rdYA8chZoJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"Y Yan, J Yu, Y Du, S Yan, M Gu, W Zhou…","Selective electrocatalytic carbon dioxide reduction with electrochemically stable frustrated Lewis pairs",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00180-7","https://scholar.google.com/scholar?cites=15167306292877227012&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 18:08:33","","","","",,,,,12,6.00,2,7,2,"High-energy-density fuels from carbon dioxide reduction are an ideal medium to store intermittent renewables. Lewis pairs are highly active for activation of small molecules. A …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(23)00180-7","https://scholar.google.com/scholar?q=related:BHR-qrYYfdIJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"G Li, MR Komarneni, B Wang, N Marinkovic…","Cooperative roles of water and metal-support interfaces in the selective hydrogenation of cinnamaldehyde over cobalt boride catalysts",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00135-2","https://scholar.google.com/scholar?cites=10070089393178741254&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 18:08:33","","","","",,,,,6,3.00,1,5,2,"… a proton-electron pair during the hydrogenation of aldehydes and ketones on Ru. They suggest … This agrees with density functional theory (DFT) calculations shown below that O atoms …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(23)00135-2","https://scholar.google.com/scholar?q=related:BgrZEPMkwIsJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"H Chen, S Yamaguchi, Y Morita, H Nakao…","Data-driven catalyst optimization for stereodivergent asymmetric synthesis by iridium/boron hybrid catalysis",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00404-5?uuid=uuid%3Ad326f615-55a8-49fe-8ea2-7ce13ce77cae","https://scholar.google.com/scholar?cites=11554762372105709877&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 18:08:33","HTML","","","",,,,,46,11.50,9,5,4,"… protocol for asymmetric catalysis as a proof of concept demonstration using asymmetric hydrogenation. … Ir-catalyzed allylic substitutions with prochiral enolates derived from ketones, …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00404-5?uuid=uuid%3Ad326f615-55a8-49fe-8ea2-7ce13ce77cae","https://scholar.google.com/scholar?q=related:NSlpXSjDWqAJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"CY Zhao, H Zheng, DW Ji, XT Min, YC Hu…","Copper-catalyzed asymmetric carboboronation of allenes to access α-quaternary amino esters with adjacent stereocenters",2020,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30062-X","https://scholar.google.com/scholar?cites=14539663000018587718&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 18:08:33","","","","",,,,,24,4.80,4,6,5,"… Comparing the relative energy difference between chair conformation Ln-B1 and boat conformation Ln-B2, -B3 and -B4, we find that the DFT calculation suggests this coupling …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(20)30062-X","https://scholar.google.com/scholar?q=related:RpD_zXZCx8kJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"CT Kuo, Y Lu, P Arab, KS Weeraratne…","18.1% single palladium atom catalysts on mesoporous covalent organic framework for gas phase hydrogenation of ethylene",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00195-8","https://scholar.google.com/scholar?cites=1996919103980264011&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 18:08:33","","","","",,,,,24,6.00,5,5,4,"… The Pd single atoms are active for hydrogenation of ethylene to ethane at room temperature. The study demonstrates that mesoporous COFs provide a large number of identical metal …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(21)00195-8","https://scholar.google.com/scholar?q=related:S1rvTVh7thsJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
