Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"Q Liu, H Cao, W Xu, J Li, Q Zhou, W Tao, H Zhu, ...","Vacancy engineered polymeric carbon nitride nanosheets for enhanced photoredox catalytic efficiency",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00191-0","https://scholar.google.com/scholar?cites=12247465050706266389&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 18:28:08","HTML","","","",,,,,27,6.75,3,8,4,"… The generated heterogeneous catalysts demonstrate impressive photoredox catalytic performances in a variety of organic transformations (eg, defluoroborylation; [2+2] cycloaddition; C…","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00191-0","https://scholar.google.com/scholar?q=related:Fclb4pK896kJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"K Liao, F Wu, J Chen, Y Huang","Catalytic cleavage and functionalization of bulky and inert Csp3–Csp3 bonds via a relayed proton-coupled electron transfer strategy",2022,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00030-3","https://scholar.google.com/scholar?cites=7081112992114039013&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:28:08","HTML","","","",,,,,21,7.00,5,4,3,"… and photoredox radical chemistry, methods for the cleavage of sterically crowded inert C sp3 –C sp3 bonds remain underdeveloped. Here we describe the direct, photoredox cleavage …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00030-3","https://scholar.google.com/scholar?q=related:5Vhcvb8qRWIJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"HH Liao, SC Lee, H Kao, YL Hsu, CM Hsu, ...","Synthesis of perfluoroaryl sulfides at electron-poor arenes via an SNAr step with an unexpected mechanism",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00301-0?uuid=uuid%3A0a8fca7c-2c6c-4f6c-97bf-d613460b4b7e","https://scholar.google.com/scholar?cites=14787090153280694410&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:28:08","HTML","","","",,,,,15,5.00,3,6,3,"Perfluoroaryl groups are a recurring motif in materials and pharmaceutical chemistry. Here, we report a method to couple perfluoroarenes and thiols to yield perfluoroaryl sulfides via a …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00301-0?uuid=uuid%3A0a8fca7c-2c6c-4f6c-97bf-d613460b4b7e","https://scholar.google.com/scholar?q=related:iuj4JyZMNs0J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Gu, Y Meng, Z Cheng, G Lu, M Xin, J Tang, ...","Radical electrophilic aromatic substitution of electron-deficient aryl halides via aerobic ternary electron donor-acceptor photocatalysis",2024,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00523-X","https://scholar.google.com/scholar?cites=17392825593931289458&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:28:08","HTML","","","",,,,,2,2.00,0,7,1,"… In 2019, the Li group established an ultraviolet light-promoted photoredox S N Ar protocol of … the proposed ternary EDA complex, a density functional theory (DFT) calculation at the M06-…","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00523-X","https://scholar.google.com/scholar?q=related:ctOY_rm6X_EJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"C Chen, SY Zhang, SX Li, ZH Li, RX Liu, ...","Electroreductive fluoroalkylative heteroarylation of unactivated alkenes via an unconventional remote heteroaryl migration",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00153-4","https://scholar.google.com/scholar?cites=12695444624314485257&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:28:08","HTML","","","",,,,,4,2.00,1,6,2,"… We continued to investigate the reaction mechanism via density functional theory (DFT) calculations and … DFT calculations were conducted to determine the hydrogen source, and it was …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00153-4","https://scholar.google.com/scholar?q=related:CUroWZ9HL7AJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"W Yi, W Chen, H Xu, K Chen, X Zhong, ...","Os (II)-catalyzed γ-C (sp3)–H amidation and meta-C (sp2)–H alkylation by fine-tuning the characteristics of in-situ-generated C–Os σ bonds",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?cites=10065537069703409289&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 18:28:08","HTML","","","",,,,,3,1.50,1,6,2,"Transition metal-catalyzed C–H functionalization has recently emerged as a powerful synthetic tool for accessing various value-added structural motifs. However, addressing the remote …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?q=related:ia4yqaL4r4sJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"K Jorner, W Rabten, T Slanina, NP Vedin, ...","Degradation of pharmaceuticals through sequential photon absorption and photoionization in amiloride derivatives",2020,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30296-4","https://scholar.google.com/scholar?cites=7261786859476412055&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 18:28:08","HTML","","","",,,,,9,1.80,2,5,5,"… the use of a separate photoredox catalyst by sequential … 1 and T 1 , we used TD-DFT calculations on the model compound 2′ (… Our DFT calculations indicate that the triplet is the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30296-4","https://scholar.google.com/scholar?q=related:l-awkawMx2QJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"BJ Koo, Y Kwon, AH Son, DH Kim, SB Kim, ...","Water-accelerated single-electron transfer aquaphotocatalysis for open-chain SuFEx hubs",2024,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00593-9","",8,"2025-05-15 18:28:08","HTML","","","",,,,,0,0.00,0,6,1,"… of EDA complexes and photoredox cycle under optimized … for EDA complexes using density functional theory with a … commonly observed in the photoredox process between the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00593-9","https://scholar.google.com/scholar?q=related:kGYk37LipyAJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"Z Xiao, HF Drake, GS Day, JE Kuszynski, H Lin, ...","Photoinduced reversible phase transition in a phenothiazine-based metal-organic framework",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00368-X?uuid=uuid%3A030acb60-a52e-42ac-b6d7-3cb94c603eee","https://scholar.google.com/scholar?cites=10433568018971713238&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 18:28:08","HTML","","","",,,,,6,2.00,1,6,3,"Photoinduced phase transitions in metal-organic frameworks are provoked by structural changes of photoresponsive linkers within the framework under light irradiation. These …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00368-X?uuid=uuid%3A030acb60-a52e-42ac-b6d7-3cb94c603eee","https://scholar.google.com/scholar?q=related:1l6vdtV6y5AJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"YW Jiang, ZW Zhang, CW Cheung, JA Ma","Metallaphotocatalytic modular synthesis of masked arylaminomethyl trifluoromethyl ketones",2025,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(25)00163-8","",10,"2025-05-15 18:28:08","HTML","","","",,,,,0,0.00,0,4,1,"… This dual metal/photoredox catalytic system effectively promoted the assembly of N1, A1 (3.0 equiv), and 15 (2.5 equiv) in 1,4-dimethoxyethane solvent under ambient conditions, …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(25)00163-8","https://scholar.google.com/scholar?q=related:XR8Sq7Rk2J8J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
