Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
79,"Y Men, P Li, J Zhou, S Chen, W Luo","Trends in alkaline hydrogen evolution activity on cobalt phosphide electrocatalysts doped with transition metals",2020,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30140-5","https://scholar.google.com/scholar?cites=3198482727463517020&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:35:04","","","","",,,,,79,15.80,16,5,5,"… of 3d and 4d transition metals with different P un , we show that the intrinsic alkaline HER kinetics increases with P un . DFT calculations indicate that the transition metals with higher P …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(20)30140-5","https://scholar.google.com/scholar?q=related:XHuvJhhLYywJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"D Yuan, X Dou, S Wang, C Li, Y Sun, W Li…","Defect activation of atomically thin electrocatalysts for the oxygen evolution reaction",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00250-3","https://scholar.google.com/scholar?cites=397059513208618911&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:35:04","","","","",,,,,1,0.50,0,7,2,"Atomically thin materials with unique physicochemical properties have emerged as promising electrocatalysts for the oxygen evolution reaction. Despite the advantages of atomic …","https://www.cell.com/cell-reports-physical-science/pdf/S2666-3864(23)00250-3.pdf","https://scholar.google.com/scholar?q=related:nz99B4ajggUJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"ÁB Höskuldsson, T Dang, Y Sakai, A Ishikawa…","High-throughput computational screening of doped transition metal oxides as catalysts for nitrogen reduction",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00403-4","https://scholar.google.com/scholar?cites=13748560671047668352&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:35:04","","","","",,,,,8,4.00,2,5,2,"… , DFT calculations are used to investigate the NRR catalytic properties of 13 TMOs in the rutile structure (host metal oxides), doped with 14 different transition metals (dopant metals), for …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(23)00403-4","https://scholar.google.com/scholar?q=related:gNKzWhazzL4J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
76,"S Chen, L Ma, Z Huang, G Liang, C Zhi","In situ/operando analysis of surface reconstruction of transition metal-based oxygen evolution electrocatalysts",2022,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00460-4","https://scholar.google.com/scholar?cites=5285820059779322486&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 16:35:04","","","","",,,,,76,25.33,15,5,3,"… reconstruction occurs in several types of transition metal-based electrocatalysts, which may … in-depth active species identification of transition metal-based electrocatalysts based on in …","https://www.cell.com/cell-reports-physical-science/pdf/S2666-3864(21)00460-4.pdf","https://scholar.google.com/scholar?q=related:dtLHwVYBW0kJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"GM Chen, ZH Ye, ZM Li, JL Zhang","Universal descriptors of quasi transition states for small-data-driven asymmetric catalysis prediction in machine learning model",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?cites=10293381730738776571&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 16:35:04","","","","",,,,,2,2.00,1,4,1,"… carried out exclusively with the DFT method (36,712 s, see Figure S1). By exclusively performing qTS optimization at the PM6 level without the DFT single-point energy calculation, the …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(24)00312-6","https://scholar.google.com/scholar?q=related:-ykuviVw2Y4J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"K Wang, H Tao, C Liang, S Li, Y Wu, Y Wang…","Regulating multiscale structures of nickel-iron-based electrocatalysts for efficient water oxidation",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00144-8","https://scholar.google.com/scholar?cites=2017806865491771210&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:35:04","","","","",,,,,13,4.33,2,7,3,"… activity by a combination of density functional theory (DFT) and finite element method (FEM) … most of the recently reported transition metal catalysts in alkaline electrolyte (Table S1). …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(22)00144-8","https://scholar.google.com/scholar?q=related:Sj_7QqewABwJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"W Yi, W Chen, H Xu, K Chen, X Zhong…","Os (II)-catalyzed γ-C (sp3)–H amidation and meta-C (sp2)–H alkylation by fine-tuning the characteristics of in-situ-generated C–Os σ bonds",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?cites=10065537069703409289&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 16:35:04","","","","",,,,,3,1.50,1,6,2,"… Transition metal-catalyzed C–H functionalization has recently emerged as a powerful … wonderful C–H functionalizations mediated by transition metals, especially by less-explored Os. …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(23)00197-2","https://scholar.google.com/scholar?q=related:ia4yqaL4r4sJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"T Chen, Y Wang, Q Xue, CKT Wun, PK So…","Atomically precise bimetallic metal ensembles with tailorable synergistic effects",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00124-2?uuid=uuid%3Ab7854668-94b9-4d0b-99ed-ff8c227178f4","https://scholar.google.com/scholar?cites=3492792065012691196&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:35:04","HTML","","","",,,,,9,3.00,2,6,3,"… on zeolites with different metal constituents, we have presented the DFT-based theoretical … late 4d transition metals and a combination of 3d and 4d late transition metals with variable …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00124-2?uuid=uuid%3Ab7854668-94b9-4d0b-99ed-ff8c227178f4","https://scholar.google.com/scholar?q=related:_HBipeDjeDAJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"Y Yan, J Yu, Y Du, S Yan, M Gu, W Zhou…","Selective electrocatalytic carbon dioxide reduction with electrochemically stable frustrated Lewis pairs",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00180-7","https://scholar.google.com/scholar?cites=15167306292877227012&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 16:35:04","","","","",,,,,12,6.00,2,7,2,"… metal sites (Lewis acids) and metal hydroxyls (Lewis bases). We find that the element electronegativity and metal-hydroxyl stability are useful descriptors to screen available elements. …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(23)00180-7","https://scholar.google.com/scholar?q=related:BHR-qrYYfdIJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"Z Zhang, S Zhao, B Wang, H Yu","Local redox reaction of high valence manganese in Li2MnO3-based lithium battery cathodes",2020,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30055-2","https://scholar.google.com/scholar?cites=4581363736393238184&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:35:04","","","","",,,,,41,8.20,10,4,5,"… All density functional theory computations were conducted using the Vienna Ab initio … The DFT-D3 method was applied to achieve a higher accuracy of van der Waals interactions. In …","https://www.cell.com/cell-reports-physical-science/pdfExtended/S2666-3864(20)30055-2","https://scholar.google.com/scholar?q=related:qEaTjgtGlD8J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
