Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"W Yi, W Chen, H Xu, K Chen, X Zhong, ...","Os (II)-catalyzed γ-C (sp3)–H amidation and meta-C (sp2)–H alkylation by fine-tuning the characteristics of in-situ-generated C–Os σ bonds",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?cites=10065537069703409289&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 18:20:09","HTML","","","",,,,,3,1.50,1,6,2,"Transition metal-catalyzed C–H functionalization has recently emerged as a powerful synthetic tool for accessing various value-added structural motifs. However, addressing the remote …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?q=related:ia4yqaL4r4sJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"GM Chen, ZH Ye, ZM Li, JL Zhang","Universal descriptors of quasi transition states for small-data-driven asymmetric catalysis prediction in machine learning model",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?cites=10293381730738776571&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:20:09","HTML","","","",,,,,2,2.00,1,4,1,"… carried out exclusively with the DFT method (36,712 s, see Figure S1). By exclusively performing qTS optimization at the PM6 level without the DFT single-point energy calculation, the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?q=related:-ykuviVw2Y4J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"BS Zhang, YX Yang, JCA Oliveira, ZQ Zhang, ...","Combined CH amination and intermolecular alkyne insertion for a three-component cyclization",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?cites=7536958845812536965&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:20:09","HTML","","","",,,,,4,2.00,1,5,2,"… Therefore, we used DFT calculations to study the reaction … and Dong group through DFT calculations (Figures 3B and S14). … for the subsequent reductive elimination process to generate …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?q=related:hfZkQyOomGgJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Luo, L Liu, CJ Lyu, B Sim, Y Liu, H Gong, ...","Understanding the effectiveness of enzyme pre-reaction state by a quantum-based machine learning model",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00430-1?uuid=uuid%3Ae8d795c7-b3f5-497f-946c-80067de3bf43","https://scholar.google.com/scholar?cites=9751440341922675070&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:20:09","HTML","","","",,,,,18,6.00,3,7,3,"Prediction of enzymatic stereochemistry is a significant challenge in computational chemistry because of targeting very small energy gaps in highly complicated macromolecular systems…","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00430-1?uuid=uuid%3Ae8d795c7-b3f5-497f-946c-80067de3bf43","https://scholar.google.com/scholar?q=related:fvm2XFMTVIcJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"MW Zheng, Y Lang, X Han, L Jia, H Zeng, ...","Hydrogen-bond-promoted native lignin degradation via PCET process enabled by visible light",2024,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00277-7","https://scholar.google.com/scholar?cites=734734100490508515&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:20:09","HTML","","","",,,,,1,1.00,0,6,1,"… Mechanistic studies and density functional theory (DFT) calculations suggest that the reaction involves a hydrogen-bond-promoted proton-coupled electron transfer (PCET) process. …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00277-7","https://scholar.google.com/scholar?q=related:41gaiMVMMgoJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"Y Zhang, Q Fan, Z Ye, Y Xu, Y Cao, Y Liu, W Liu, ...","Zinc-induced one-pot coupling of alkyl halides and alcohols to access CD3-labeled alkyl sulfides",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00527-1","https://scholar.google.com/scholar?cites=5560247786726002703&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 18:20:09","HTML","","","",,,,,4,2.00,1,8,2,"… due to the tendency to undergo E2 elimination in the reaction with organometallic reagents. … Efforts including isolation of compound 22 and density functional theory calculation should …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00527-1","https://scholar.google.com/scholar?q=related:D5D0Duf3KU0J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"XL Zhang, X Qi, YX Wu, P Liu, Y He","P-stereogenic N-vinylphosphonamides enabled by asymmetric allylic substitution-isomerization",2021,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00309-X","https://scholar.google.com/scholar?cites=17498786492108007224&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 18:20:09","HTML","","","",,,,,24,6.00,5,5,4,"… benzylic CH oxidative addition and CH reductive elimination. The hydroxyl of naphthol is … To investigate which scenario was involved, we performed density functional theory (DFT) …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00309-X","https://scholar.google.com/scholar?q=related:OGeAHpot2PIJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"H Wang, MJ Koh","Directing group-free approaches for three-component catalytic dicarbofunctionalization of unactivated alkenes",2022,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00179-5","https://scholar.google.com/scholar?cites=17518310360354756291&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 18:20:09","HTML","","","",,,,,19,6.33,10,2,3,"… as undesired β-hydride elimination and the poor reactivity of … was supported by density functional theory (DFT) calculations… the organometallic reagent and reductive elimination, the 1,2-…","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00179-5","https://scholar.google.com/scholar?q=related:w5b97XSKHfMJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Jang, D Kim, S Seo, H Kim","Ligand-induced suppression of undesirable pathways in cobalt-catalyzed hydroformylation",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00243-1","",9,"2025-05-15 18:20:09","HTML","","","",,,,,0,0.00,0,4,1,"Hydroformylation, an industrial process yielding over 10 million tons of oxo-alcohols annually, faces increasing economic pressures linked to rhodium-based catalysts, particularly in …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00243-1","https://scholar.google.com/scholar?q=related:1nUkcjaj1gcJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"H Chen, S Yamaguchi, Y Morita, H Nakao, ...","Data-driven catalyst optimization for stereodivergent asymmetric synthesis by iridium/boron hybrid catalysis",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00404-5?uuid=uuid%3Ad326f615-55a8-49fe-8ea2-7ce13ce77cae","https://scholar.google.com/scholar?cites=11554762372105709877&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 18:20:09","HTML","","","",,,,,46,11.50,9,5,4,"… Previously, we developed asymmetric Pd/B-hybrid catalysis for synthesis of linear α-C-allyl carboxylic acids containing an α-quaternary stereocenter (Figure 1B, dotted square). We …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00404-5?uuid=uuid%3Ad326f615-55a8-49fe-8ea2-7ce13ce77cae","https://scholar.google.com/scholar?q=related:NSlpXSjDWqAJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
