Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"H Yun, S Yoo, J Son, JH Kim, J Wu, K Jiang, H Shin…","Strong cation concentration effect of Ni–N–C electrocatalysts in accelerating acidic CO2 reduction reaction",2025,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(25)00051-8","https://scholar.google.com/scholar?cites=12599266035717199047&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 16:00:52","","","","",,,,,1,1.00,0,8,1,"… CO 2 RR kinetics and to achieve enhanced CO production of Ni–N–C catalysts. The effect of the pH on CO 2 RR … the pH of the electrolyte, we conducted DFT calculations (Figure 3C). …","","https://scholar.google.com/scholar?q=related:x1SRqbSV2a4J:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"F Hu, SC Abeyweera, J Yu, D Zhang, Y Wang, Q Yan…","Quantifying electrocatalytic reduction of CO2 on twin boundaries",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30376-4","https://scholar.google.com/scholar?cites=6780297387931613708&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 16:00:52","HTML","","","",,,,,52,10.40,7,7,5,"… exhibited the best CO2RR activity in terms of both increasing reaction rate and lowering overpotential. The observation were argued with the density functional theory (DFT) calculations …","https://www.cell.com/chem/fulltext/S2451-9294(20)30376-4","https://scholar.google.com/scholar?q=related:DDos_4x0GF4J:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"C Zhu, Z Zhang, L Zhong, CS Hsu, X Xu, Y Li, S Zhao…","Product-specific active site motifs of Cu for electrochemical CO2 reduction",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30539-8","https://scholar.google.com/scholar?cites=10579356961656595676&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 16:00:52","HTML","","","",,,,,103,25.75,13,8,4,"… At −0.95 V versus RHE, the Cu facets containing n(100) × (110) show a higher selectivity toward >2e − products, consistent with our density functional theory (DFT) calculations …","https://www.cell.com/chem/fulltext/S2451-9294(20)30539-8","https://scholar.google.com/scholar?q=related:3OSY0xpt0ZIJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
191,"C Liu, Y Wu, K Sun, J Fang, A Huang, Y Pan…","Constructing FeN4/graphitic nitrogen atomic interface for high-efficiency electrochemical CO2 reduction over a broad potential window",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00051-6","https://scholar.google.com/scholar?cites=16200658282435853173&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 16:00:52","HTML","","","",,,,,191,47.75,27,7,4,"… The performed experiments and DFT computations revealed that our selective etching … 2 O both participate in CO 2 RR. Combining the actual results of CO 2 RR tests, we discussed in …","https://www.cell.com/chem/fulltext/S2451-9294(21)00051-6","https://scholar.google.com/scholar?q=related:dTsUhN9M1OAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"T Zhang, B Zhang, Y Zang, P Zeng, Y Li, HJ Fan","A selectivity switch for CO2 electroreduction by continuously tuned semi-coherent interface",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(24)00173-6","https://scholar.google.com/scholar?cites=2917079698900698031&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 16:00:52","","","","",,,,,9,9.00,2,6,1,"… catalysts that can realize high CO 2 RR selectivity switch for on… (SERS) and density functional theory (DFT) calculations, the … further boosting the function of Cu-based CO 2 RR catalysts. …","","https://scholar.google.com/scholar?q=related:r8N64oeMeygJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"R Cai, M Sun, F Yang, M Ju, Y Chen, MD Gu, B Huang…","Engineering Cu (I)/Cu (0) interfaces for efficient ethanol production from CO2 electroreduction",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00426-6","https://scholar.google.com/scholar?cites=15335354909350669453&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 16:00:52","","","","",,,,,55,55.00,7,8,1,"… DFT calculations of the IF model catalyst To understand the superior CO 2 RR performance of the P-Cu x /Cu 2 OF, we employed DFT calculations to explore the electronic modulations …","https://www.cell.com/chem/pdfExtended/S2451-9294(23)00426-6","https://scholar.google.com/scholar?q=related:jaxjNAog0tQJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"X Li, Q Liu, J Wang, D Meng, Y Shu, X Lv, B Zhao…","Enhanced electroreduction of CO2 to C2+ products on heterostructured Cu/oxide electrodes",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00199-1","https://scholar.google.com/scholar?cites=5170640909482528699&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 16:00:52","HTML","","","",,,,,94,31.33,12,8,3,"… To further elucidate the reaction mechanism of the Cu/ZrO 2 electrode, we conducted detailed DFT calculations for the CO 2 RR on Cu and Cu/ZrO 2 . Two CO∗-consuming reaction …","https://www.cell.com/chem/fulltext/S2451-9294(22)00199-1","https://scholar.google.com/scholar?q=related:uw_PDoPOwUcJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
501,"N Han, Y Wang, L Ma, J Wen, J Li, H Zheng, K Nie…","Supported cobalt polyphthalocyanine for high-performance electrocatalytic CO2 reduction",2017,"Chem","cell.com","https://www.cell.com/fulltext/S2451-9294(17)30349-2","https://scholar.google.com/scholar?cites=8530062325201809587&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 16:00:52","HTML","","","",,,,,501,62.63,63,8,8,"… Its high electrocatalytic activity is also supported by density functional theory calculations. … Studies of transition metal phthalocyanines, porphyrins, and their derivatives for CO 2 RR …","https://www.cell.com/fulltext/S2451-9294(17)30349-2","https://scholar.google.com/scholar?q=related:s7CYlX3eYHYJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"BB Xu, Y Liu, Y Liu, X You, H Zhou, YN Xu, PF Liu…","Operando electrochemical NMR spectroscopy reveals a water-assisted formate formation mechanism",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(24)00248-1","https://scholar.google.com/scholar?cites=2765961756926395541&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 16:00:52","","","","",,,,,6,6.00,1,8,1,"… With the help of operando 17 O NMR spectroscopy technology together with the DFT calculations, we find a valuable water-assisted HCOO − formation mechanism. The ∗COOH − …","","https://scholar.google.com/scholar?q=related:lcTpL5CrYiYJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
808,"A Vasileff, C Xu, Y Jiao, Y Zheng, SZ Qiao","Surface and interface engineering in copper-based bimetallic materials for selective CO2 electroreduction",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30189-X","https://scholar.google.com/scholar?cites=7752214116194771717&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 16:00:52","HTML","","","",,,,,808,115.43,162,5,7,"… O and H affinities to determine their CO 2 RR selectivity trends. By considering experimental … arrangements exhibited selective CO 2 RR toward CO. DFT calculations showed that on an …","https://www.cell.com/chem/fulltext/S2451-9294(18)30189-X","https://scholar.google.com/scholar?q=related:BeOOaqpllWsJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
409,"K Jiang, S Siahrostami, AJ Akey, Y Li, Z Lu, J Lattimer…","Transition-metal single atoms in a graphene shell as active centers for highly efficient artificial photosynthesis",2017,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(17)30404-7?sf184805043=1","https://scholar.google.com/scholar?cites=5884604709851246102&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-06 16:00:52","HTML","","","",,,,,409,51.13,58,7,8,"… Instead, introducing TM atoms into a well-established material matrix could open up great opportunities to (1) tune the electronic properties of TMs as CO 2 RR active sites and (2) at the …","https://www.cell.com/chem/fulltext/S2451-9294(17)30404-7?sf184805043=1","https://scholar.google.com/scholar?q=related:Fi5GPs5QqlEJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"AU Pawar, RP Sivasankaran, L Yang, DK Lee…","A methodical strategy for achieving efficient electro-solar reduction, incorporating appropriate in situ techniques",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(24)00551-5","https://scholar.google.com/scholar?cites=11932633572222609137&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-06 16:00:52","","","","",,,,,2,2.00,0,5,1,"… CO2RR mechanisms have been studied using density functional theory (DFT) by many researchers. This theoretical method is one of the best techniques to understand the reaction …","","https://scholar.google.com/scholar?q=related:8aY6GwM7maUJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
