Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"J Yang, P Zhang, Z Shen, Y Zhou, ZX Yu","Unprecedented endo-oxidative cyclometallation and [4+ 3] cycloaddition of diene-vinylcyclopropanes",2023,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00044-X","https://scholar.google.com/scholar?cites=17784369791010487631&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 14:28:00","","","","",,,,,13,6.50,3,5,2,"The traditional exo-oxidative cyclometallation (exo-OCM) is a key step in transition-metal-catalyzed reactions. Here, for the first time, we propose an endo-oxidative cyclometallation (…","https://www.cell.com/chem/pdfExtended/S2451-9294(23)00044-X","https://scholar.google.com/scholar?q=related:Tz1eaxnGzvYJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"TF Wu, YJ Zhang, Y Fu, FJ Liu, JT Tang, P Liu…","Zirconium-redox-shuttled cross-electrophile coupling of aromatic and heteroaromatic halides",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?cites=2332545869109422294&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 14:28:00","HTML","","","",,,,,24,6.00,3,7,4,"… with density functional theory (DFT) calculations, a redox transmetallation between the oxidative addition … Having established that the initial oxidative addition is palladium mediated, we …","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?q=related:1miSDhzeXiAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"X Li, M Yuan, F Chen, Z Huang, FL Qing, O Gutierrez…","Three-component enantioselective alkenylation of organophosphonates via nickel metallaphotoredox catalysis",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00493-4","https://scholar.google.com/scholar?cites=2501665735966390184&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 14:28:00","HTML","","","",,,,,59,29.50,8,7,2,"… and dispersion-corrected DFT calculations to shed … oxidative addition steps via singlet and triplet spin states. Starting from complex C-Ni 0-trans , direct ground-state oxidative addition …","https://www.cell.com/chem/fulltext/S2451-9294(22)00493-4","https://scholar.google.com/scholar?q=related:qPcKg7uztyIJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"X Qi, J Wang, Z Dong, G Dong, P Liu","Compatibility score for rational electrophile selection in Pd/NBE cooperative catalysis",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30468-X","https://scholar.google.com/scholar?cites=15966130231914945117&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 14:28:00","HTML","","","",,,,,32,6.40,6,5,5,"… different transition-metal complexes in separate oxidative addition events in the catalytic cycle. … Our DFT calculations indicated that at least six ANP complexes could exist in equilibrium …","https://www.cell.com/chem/fulltext/S2451-9294(20)30468-X","https://scholar.google.com/scholar?q=related:XVrqjtoWk90J:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"Y Zhang, P Du, Y Ji, S Wang, Y Zhu, Z Liu, Y He…","Catalytic cross-electrophile coupling of aryl chlorides with unactivated alkyl chlorides: The synergy of iron and Li",2023,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00410-2","https://scholar.google.com/scholar?cites=4611668314260862661&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 14:28:00","","","","",,,,,20,10.00,3,8,2,"… to their limited ability in undergoing oxidative addition with electrophiles. This study overcomes … The DFT calculations revealed that the thermodynamic energy for ligand exchange of the …","https://www.cell.com/chem/pdfExtended/S2451-9294(23)00410-2","https://scholar.google.com/scholar?q=related:xXZx7eXv_z8J:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
69,"Y Gao, C Yang, S Bai, X Liu, Q Wu, J Wang, C Jiang…","Visible-light-induced nickel-catalyzed cross-coupling with alkylzirconocenes from unactivated alkenes",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30557-1","https://scholar.google.com/scholar?cites=5176955587584248826&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 14:28:00","HTML","","","",,,,,69,13.80,9,8,5,"… oxidative addition step in this C(sp 3 )–C(sp 2 ) cross-couplings. The DFT calculations showed the oxidative addition of … capture and alkyl halide oxidative addition, although we cannot …","https://www.cell.com/chem/fulltext/S2451-9294(19)30557-1","https://scholar.google.com/scholar?q=related:-svun6092EcJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"TP Pabst, L Quach, KT MacMillan, PJ Chirik","Mechanistic origins of regioselectivity in cobalt-catalyzed C (sp2)-H borylation of benzoate esters and arylboronate esters",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30600-8","https://scholar.google.com/scholar?cites=18177386063037336171&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 14:28:00","HTML","","","",,,,,21,5.25,5,4,4,"… Density functional theory calculations of the oxidative … C(sp 2 )-H oxidative addition is turnover limiting and likely under … of C(sp 2 )-H oxidative addition and inversion of regioselectivity to …","https://www.cell.com/chem/fulltext/S2451-9294(20)30600-8","https://scholar.google.com/scholar?q=related:awp6AFEMQ_wJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
87,"WY Ding, P Yu, QJ An, KL Bay, SH Xiang, S Li, Y Chen…","DFT-guided phosphoric-acid-catalyzed atroposelective arene functionalization of nitrosonaphthalene",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?cites=10474129723719689861&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 14:28:00","HTML","","","",,,,,87,17.40,11,8,5,"… oxidation of an unstabilized σ H adduct. Premised on density functional theory (DFT) calculations, nitroso has emerged as another promising activating and oxidative group, …","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?q=related:hSasSX2VW5EJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Wang, B Yuan, X Chang, L Ackermann","Ruthenaphoto-catalyzed ortho-C− H alkylation with secondary alkyl halides: SET-enabled ruthenium (II/III/IV) manifold",2025,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(24)00632-6","https://scholar.google.com/scholar?cites=3531825057725582326&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 14:28:00","HTML","","","",,,,,1,1.00,0,4,1,"… a two-electron oxidative addition process between alkyl bromide … Density functional theory (DFT) calculations were then … two-electron-involved oxidative addition pathway for ruthenium-…","https://www.cell.com/chem/fulltext/S2451-9294(24)00632-6","https://scholar.google.com/scholar?q=related:9ouOdi2QAzEJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"WH Li, J Yang, D Wang, Y Li","Striding the threshold of an atom era of organic synthesis by single-atom catalysis",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00536-2","https://scholar.google.com/scholar?cites=13280184987306197563&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 14:28:00","HTML","","","",,,,,100,33.33,25,4,3,"… The author applied the density functional theory (DFT) … When Pd undergoes oxidative addition, it needs to undergo … , and then the subsequent oxidative addition step occurs. However, …","https://www.cell.com/chem/fulltext/S2451-9294(21)00536-2","https://scholar.google.com/scholar?q=related:O4Lcb-KxTLgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
