Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"P Wang, I Douair, Y Zhao, R Ge, J Wang, S Wang…","Selective hydroboration of terminal alkynes catalyzed by heterometallic clusters with uranium–metal triple bonds",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00142-5","https://scholar.google.com/scholar?cites=5222134808131299813&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:33:21","HTML","","","",,,,,24,8.00,3,7,3,"… except for the different transition metals. Treatment of complex 4 … for the difference of the transition metals, and thus we proposed … This was confirmed by the Mössbauer spectra and DFT …","https://www.cell.com/chem/fulltext/S2451-9294(22)00142-5","https://scholar.google.com/scholar?q=related:5Wnen_C_eEgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
563,"J Gao, H bin Yang, X Huang, SF Hung, W Cai, C Jia…","Enabling direct H2O2 production in acidic media through rational design of transition metal single atom catalyst",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30555-8","https://scholar.google.com/scholar?cites=17978145969127864078&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:33:21","HTML","","","",,,,,563,112.60,80,7,5,"… Further kinetic analysis and operando X-ray absorption study combined with density functional theory (DFT) calculation demonstrated that the nitrogen-coordinated single Co atom was …","https://www.cell.com/chem/fulltext/S2451-9294(19)30555-8","https://scholar.google.com/scholar?q=related:Drf8sYE0f_kJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"M Álvarez, F Villalba, M Casciotti, F Molina, G Sciortino…","A copper-masked monosubstituted carbene as a general transmetalating agent toward stable carbene complexes",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(24)00118-9","https://scholar.google.com/scholar?cites=12650556036043529038&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:33:21","","","","",,,,,4,4.00,1,6,1,"… Density functional theory (DFT) studies carried out on the transfer of the MAC ligand from [… of a carbene group into the coordination sphere of transition metals with two conditions: (1) the …","https://uvadoc.uva.es/bitstream/handle/10324/75094/chem%202024%20manuscriptrevmarked%20submitted.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:TluMc7DNj68J:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
222,"D Liu, C Wang, Y Yu, BH Zhao, W Wang, Y Du…","Understanding the nature of ammonia treatment to synthesize oxygen vacancy-enriched transition metal oxides",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30518-7?uuid=uuid%3Af74ec626-92ad-4c43-babf-37584c9053a5","https://scholar.google.com/scholar?cites=17593309564371594476&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 16:33:21","HTML","","","",,,,,222,37.00,32,7,6,"Oxygen vacancies (OVs) have emerged as an important strategy to modulate the electronic structures, conductivity, and catalytic performance of transition metal oxides (TMOs). A few …","https://www.cell.com/chem/fulltext/S2451-9294(18)30518-7?uuid=uuid%3Af74ec626-92ad-4c43-babf-37584c9053a5","https://scholar.google.com/scholar?q=related:7OzZ39X9J_QJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"J Cheng, Q Chen, X Leng, Z Ouyang, Z Wang, S Ye…","The stabilization of three-coordinate formal Mn (0) complex with NHC and alkene ligation",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30422-4","https://scholar.google.com/scholar?cites=5466511049617795242&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 16:33:21","HTML","","","",,,,,33,4.71,5,7,7,"… to stabilize low-coordinate formal zero-valent transition-metal complexes besides late transition metals and highlights the synthetic utility of low-coordinate NHC-Mn-alkene complexes. …","https://www.cell.com/chem/fulltext/S2451-9294(18)30422-4","https://scholar.google.com/scholar?q=related:qmg3Odby3EsJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"WY Ding, P Yu, QJ An, KL Bay, SH Xiang, S Li, Y Chen…","DFT-guided phosphoric-acid-catalyzed atroposelective arene functionalization of nitrosonaphthalene",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?cites=10474129723719689861&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:33:21","HTML","","","",,,,,89,17.80,11,8,5,"… Density functional theory (DFT) calculations provide further insights into the origins of enantioselectivity and the reaction mechanisms. The successful application in the synthesis of …","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?q=related:hSasSX2VW5EJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
409,"K Jiang, S Siahrostami, AJ Akey, Y Li, Z Lu, J Lattimer…","Transition-metal single atoms in a graphene shell as active centers for highly efficient artificial photosynthesis",2017,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(17)30404-7?sf184805043=1","https://scholar.google.com/scholar?cites=5884604709851246102&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 16:33:21","HTML","","","",,,,,409,51.13,58,7,8,"… Here, we report transition-metal atoms coordinated in a graphene shell as active centers for aqueous CO 2 reduction to CO with high faradic efficiencies over 90% under significant …","https://www.cell.com/chem/fulltext/S2451-9294(17)30404-7?sf184805043=1","https://scholar.google.com/scholar?q=related:Fi5GPs5QqlEJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
173,"H Li, X Jia, Q Zhang, X Wang","Metallic transition-metal dichalcogenide nanocatalysts for energy conversion",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30125-6","https://scholar.google.com/scholar?cites=14938287547414124233&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:33:21","HTML","","","",,,,,173,24.71,43,4,7,"… Estimation of the catalytic activity and stability for HER based on the hydrogen adsorption process from DFT calculations can be expanded to all kinds of transition-metal disulfides and …","https://www.cell.com/chem/fulltext/S2451-9294(18)30125-6","https://scholar.google.com/scholar?q=related:yZZCwGB1T88J:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
481,"C Zheng, SL You","Catalytic asymmetric dearomatization by transition-metal catalysis: a method for transformations of aromatic compounds",2016,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(16)30232-7","https://scholar.google.com/scholar?cites=15965631902748559830&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 16:33:21","HTML","","","",,,,,481,53.44,241,2,9,"… Comprehensive density functional theory (DFT) calculations supported a concerted mechanism involving a “three-center-two-electron”-type transition state. They also revealed that the …","https://www.cell.com/chem/fulltext/S2451-9294(16)30232-7","https://scholar.google.com/scholar?q=related:1sn4QaBRkd0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
226,"L Chen, K Chen, S Zhu","Transition-metal-catalyzed intramolecular nucleophilic addition of carbonyl groups to alkynes",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30062-7","https://scholar.google.com/scholar?cites=13371885211637117518&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:33:21","HTML","","","",,,,,226,32.29,75,3,7,"… This review focuses on the transition-metal-catalyzed nucleophilic addition of carbonyl groups to alkynes with an emphasis on the scope and limitations, the mechanisms, and …","https://www.cell.com/chem/fulltext/S2451-9294(18)30062-7","https://scholar.google.com/scholar?q=related:TvLtsMB6krkJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"TF Wu, YJ Zhang, Y Fu, FJ Liu, JT Tang, P Liu…","Zirconium-redox-shuttled cross-electrophile coupling of aromatic and heteroaromatic halides",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?cites=2332545869109422294&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-17 16:33:21","HTML","","","",,,,,25,6.25,4,7,4,"… In accord with density functional theory (DFT) calculations, a … selectivity using a single transition metal catalyst is controlled … complex to catalytically active transition metal for the cross-…","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?q=related:1miSDhzeXiAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"M Li, Z Wang, H Chen, Q Huang, W Zuo","Metal charge-directed enantiodivergent asymmetric transfer hydrogenation of ketones",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00459-X","https://scholar.google.com/scholar?cites=6750683259033888047&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-17 16:33:21","","","","",,,,,8,8.00,2,5,1,"… complexes based on first-row transition metals (iron, cobalt, … formed, we used density functional theory (DFT) calculations to … accompanying side reactions, DFT calculations were carried …","https://www.cell.com/chem/pdfExtended/S2451-9294(23)00459-X","https://scholar.google.com/scholar?q=related:LyXkTag-r10J:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"Q Zhang, LS Wu, BF Shi","Forging C− heteroatom bonds by transition-metal-catalyzed enantioselective C–H functionalization",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00586-6","https://scholar.google.com/scholar?cites=15750724577293974062&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-17 16:33:21","HTML","","","",,,,,103,34.33,34,3,3,"… to the catalytic systems characterized by transition metals and chiral ligands. These include Pd(II) catalysis, group-9 Cp x M(III) catalysis, monovalent group-9 metal catalysis and multi-…","https://www.cell.com/chem/fulltext/S2451-9294(21)00586-6","https://scholar.google.com/scholar?q=related:LjqfWI3QldoJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
82,"K Jiang, H Wang","Electrocatalysis over graphene-defect-coordinated transition-metal single-atom catalysts",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30035-4","https://scholar.google.com/scholar?cites=1863370692117193793&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-17 16:33:21","HTML","","","",,,,,82,11.71,41,2,7,"… Further density functional theory (DFT) calculations showed that the atomic Ni trapped in a graphene single vacancy (SV) and/or double vacancy (DV) (see Figure 1A) is responsible for …","https://www.cell.com/chem/fulltext/S2451-9294(18)30035-4","https://scholar.google.com/scholar?q=related:QeSEnMUF3BkJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
448,"X Cui, H Li, Y Wang, Y Hu, L Hua, H Li, X Han, Q Liu…","Room-temperature methane conversion by graphene-confined single iron atoms",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30215-8","https://scholar.google.com/scholar?cites=3528008716540664206&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-17 16:33:21","HTML","","","",,,,,448,64.00,50,9,7,"… Combining in operando time-of-flight mass spectrometry, 13 C nuclear magnetic resonance, and density functional theory calculations, we found that methane conversion proceeds on …","https://www.cell.com/chem/fulltext/S2451-9294(18)30215-8","https://scholar.google.com/scholar?q=related:jlnjSTwB9jAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"M Feng, AJ Fernandes, R Meyrelles, N Maulide","Direct enantioselective α-amination of amides guided by DFT prediction of E/Z selectivity in a sulfonium intermediate",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(23)00121-3","https://scholar.google.com/scholar?cites=14812590672002484866&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-17 16:33:21","HTML","","","",,,,,26,13.00,7,4,2,"… different amides using density functional theory (DFT) methods (see supplemental information section computational method). Although almost isoenergetic transition states were found …","https://www.cell.com/chem/fulltext/S2451-9294(23)00121-3","https://scholar.google.com/scholar?q=related:ggr5V7zkkM0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
