Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
87,"…, KL Bay, SH Xiang, S Li, Y Chen, KN Houk, B Tan","DFT-guided phosphoric-acid-catalyzed atroposelective arene functionalization of nitrosonaphthalene",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?cites=10474129723719689861&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 15:44:29","HTML","","","",,,,,87,17.40,12,7,5,"… Density functional theory (DFT) calculations provide further insights into the origins of enantioselectivity and the reaction mechanisms. The successful application in the synthesis of …","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?q=related:hSasSX2VW5EJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"X Qi, J Wang, Z Dong, G Dong, P Liu","Compatibility score for rational electrophile selection in Pd/NBE cooperative catalysis",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30468-X","https://scholar.google.com/scholar?cites=15966130231914945117&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 15:44:29","HTML","","","",,,,,32,6.40,6,5,5,"… Our DFT calculations indicated the C–C reductive elimination from the neutral ANP-1 requires a relatively low activation free energy of 20.2 kcal/mol, which is 7.6 kcal/mol lower than the …","https://www.cell.com/chem/fulltext/S2451-9294(20)30468-X","https://scholar.google.com/scholar?q=related:XVrqjtoWk90J:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"H Wu, Y Wang, S Sui, G Chen, L Wang, J Yang…","Enantioselective desymmetrization and parallel kinetic resolution of cyclopropanes via C–C activation: Synthesis of chiral β-lactams",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(24)00420-0","https://scholar.google.com/scholar?cites=14995843540364051333&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 15:44:29","","","","",,,,,3,3.00,0,7,1,"… C–B bond formation inhibits the competitive β-H elimination (… and rely on β-H elimination for the direct generation of various … Density functional theory (DFT) calculation not only reveals …","","https://scholar.google.com/scholar?q=related:hUO8oj_wG9AJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"L Griego, JB Chae, LM Mirica","A bulky 1, 4, 7-triazacyclononane and acetonitrile, a Goldilocks system for probing the role of NiIII and NiI centers in cross-coupling catalysis",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00562-4","https://scholar.google.com/scholar?cites=13358014440989714167&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 15:44:29","","","","",,,,,17,17.00,6,3,1,"… stabilize a Ni I species while also preventing β-hydride elimination and promoting transmetalation and rapid reductive elimination from the Ni III species. Overall, these studies provide …","https://www.sciencedirect.com/science/article/pii/S2451929423005624","https://scholar.google.com/scholar?q=related:9-a6O1wzYbkJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"ZS Liu, PP Xie, Y Hua, C Wu, Y Ma, J Chen, HG Cheng…","An axial-to-axial chirality transfer strategy for atroposelective construction of C–N axial chirality",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00206-0","https://scholar.google.com/scholar?cites=6075887345985315200&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 15:44:29","HTML","","","",,,,,91,22.75,11,8,4,"… and the chirality transfer process are elucidated by density functional theory calculations. … synthetically challenging skeletons (Figure 1B). Excellent stereoselectivities were obtained by …","https://www.cell.com/chem/fulltext/S2451-9294(21)00206-0","https://scholar.google.com/scholar?q=related:gOG-iFnjUVQJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"…, YJ Zhang, Y Fu, FJ Liu, JT Tang, P Liu, FD Toste, B Ye","Zirconium-redox-shuttled cross-electrophile coupling of aromatic and heteroaromatic halides",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?cites=2332545869109422294&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 15:44:29","HTML","","","",,,,,24,6.00,3,8,4,"… In accord with density functional theory (DFT) calculations, a … bond, including those involving beta-hydrogen elimination, are not … by computational studies through DFT calculations (see …","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?q=related:1miSDhzeXiAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
138,"SS Yan, SH Liu, L Chen, ZY Bo, K Jing, TY Gao, B Yu…","Visible-light photoredox-catalyzed selective carboxylation of C (sp3)− F bonds with CO2",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00377-6","https://scholar.google.com/scholar?cites=9286326062161713443&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 15:44:29","HTML","","","",,,,,138,34.50,17,8,4,"… Mechanistic studies and density functional theory (DFT) calculations indicate a dual role of … kinds of side reactions, including HX-elimination to give alkenes and nucleophilic attack in …","https://www.cell.com/chem/fulltext/S2451-9294(21)00377-6","https://scholar.google.com/scholar?q=related:I9mZO1qo34AJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
157,"L Jin, QJ Yao, PP Xie, Y Li, BB Zhan, YQ Han, X Hong…","Atroposelective synthesis of axially chiral styrenes via an asymmetric C–H functionalization strategy",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30558-3","https://scholar.google.com/scholar?cites=17365459313910573960&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 15:44:29","HTML","","","",,,,,157,31.40,20,8,5,"… and origins of enantioselectivity with density functional theory (DFT) calculations, using experimental styrene 1a and methyl acrylate as the model compounds. The DFT-computed free …","https://www.cell.com/chem/fulltext/S2451-9294(19)30558-3","https://scholar.google.com/scholar?q=related:iGsjZz2B_vAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"J Yang, P Zhang, Z Shen, Y Zhou, ZX Yu","Unprecedented endo-oxidative cyclometallation and [4+ 3] cycloaddition of diene-vinylcyclopropanes",2023,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00044-X","https://scholar.google.com/scholar?cites=17784369791010487631&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 15:44:29","","","","",,,,,13,6.50,3,5,2,"The traditional exo-oxidative cyclometallation (exo-OCM) is a key step in transition-metal-catalyzed reactions. Here, for the first time, we propose an endo-oxidative cyclometallation (…","https://www.cell.com/chem/pdfExtended/S2451-9294(23)00044-X","https://scholar.google.com/scholar?q=related:Tz1eaxnGzvYJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Kratish, Y Liu, J Li, A Das, LO Jones, A Agarwal…","Atomic-resolution imaging as a mechanistic tool for studying single-site heterogeneous catalysis",2025,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(25)00131-7","",10,"2025-05-06 15:44:29","","","","",,,,,0,0.00,0,7,1,"… ,) kinetic measurements, and density functional theory (DFT) analysis alone cannot provide … elimination, and a quantitative conversion to catalyst 1 occurs (1.5 wt % Mo; Figure 1C, step b…","","https://scholar.google.com/scholar?q=related:mmR7c0umU_IJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
