Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"W Zhang, L Wang, F Wang, M Xing, C Wang, J Zhao","Spatially asymmetric catalyst design with electron-rich Cu sites to facilitate full-spectrum photo-Fenton-like catalysis",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00096-X","",8,"2025-05-15 16:17:58","","","","",,,,,0,0.00,0,6,1,"… We conducted density functional theory (DFT) calculations to study the electronic band structure and the density of states (DOS) of the CSN. The band gap of CSN was calculated to be …","","https://scholar.google.com/scholar?q=related:ifIc0BUqVokJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"P Krzesiński, C Dinoi, I del Rosal, L Vendier, ...","Biplane-like small N-heterocyclic carbenes as effective ligands in challenging Ru-catalyzed metathesis of sterically crowded olefins",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00030-2","https://scholar.google.com/scholar?cites=14735629221177463260&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-15 16:17:58","","","","",,,,,1,1.00,0,5,1,"… In conclusion, we computed by DFT calculations the full decomposition profile of the precatalytic species Ru5, Ru16, and Ru17. Interestingly, compounds Ru16 and Ru17 displayed …","","https://scholar.google.com/scholar?q=related:3BEmNrR4f8wJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Zhang, S Dong, MC Dietl, M Rudolph, X Zhang, ...","Practical and modular cycloadditions of in-situ-formed exocyclic vinylcarbenes",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","",13,"2025-05-15 16:17:58","HTML","","","",,,,,0,0.00,0,6,1,"… data were obtained by density functional theory (DFT) calculations with Orca 5.0… DFT calculations for the formation of exocyclic α-vinyl carbene intermediate Inspired by these above DFT …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","https://scholar.google.com/scholar?q=related:-tQB8OZEgL0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"F Xue, C Zhang, M Liu, F Liu, X Yan, S Liu, H Peng, ...","CO2-to-C2H5OH photoconversion by an amorphization-activated catalyst",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00031-4","",16,"2025-05-15 16:17:58","","","","",,,,,0,0.00,0,8,1,"… Finally, density functional theory (DFT) calculations further revealed that the amorphous Pd site can effectively reduce the energy barrier for C–C coupling and stabilize the key ∗ OCCO …","","https://scholar.google.com/scholar?q=related:232tj0zE-gMJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Zhang, C Shang, C Li, D Lian, S Wang, X Hu, Y Ji, ...","Low-coordinated single-atom Cu and enhanced charge transfer from Cu-N to TiO2 on Cu1/CN/TiO2 for efficient Sonogashira cross-coupling",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00028-4","",19,"2025-05-15 16:17:58","","","","",,,,,0,0.00,0,8,1,"… This work presents a Cu single-atom catalyst (SAC)-catalyzed Sonogashira coupling … and homogeneous Cu catalysts. Characterizations and density functional theory (DFT) calculations …","","https://scholar.google.com/scholar?q=related:wtQb2tcDWcYJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Yang, T Zhou, X Yu, A Poater, J Duran, M Spiegel, ...","Late-stage functionalization of pharmaceuticals by C–C cross-coupling enabled by wingtip-flexible N-heterocyclic carbenes",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00035-1","",37,"2025-05-15 16:17:58","","","","",,,,,0,0.00,0,7,1,"The synthesis of complex molecules by palladium-catalyzed cross-coupling has been pivotal in all stages of drug discovery research. However, this approach has been generally …","","https://scholar.google.com/scholar?q=related:E-ZLFJaqs2IJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"W Liu, L An, P Li, Y Fu, X Zhang, D Qu, Y Liu, P Hu, ...","Regulating electronic density and interfacial electric field of high-entropy metallenes to enhance oxygen reduction reaction activity",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00095-8","",40,"2025-05-15 16:17:58","","","","",,,,,0,0.00,0,9,1,"… In this work, DFT calculations were performed using the Vienna Ab initio Simulation Package (VASP). The Perdew-Burke-Ernzerhof (PBE) functional, which implements the generalized …","","https://scholar.google.com/scholar?q=related:soMpPlFiWNUJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"M Okazaki, Y Yamazaki, D Lu, S Nozawa, O Ishitani, ...","Discovery of the threshold potential that triggers photochemical water oxidation with Ru (II) photosensitizers and MOx catalysts",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00360-9","https://scholar.google.com/scholar?cites=12793141874847018272&as_sdt=2005&sciodt=0,5&hl=en",44,"2025-05-15 16:17:58","HTML","","","",,,,,1,1.00,0,6,1,"… is unfeasible, especially for nanoparticulate catalysts highly dispersed onto a solid support. The established methods such as density functional theory (DFT) calculations, simulations, …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00360-9","https://scholar.google.com/scholar?q=related:IG1uE8FeirEJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"MW Coile, VSP Kumar, C Shi, EYX Chen, LJ Broadbelt, ...","Mechanistic kinetic Monte Carlo modeling of the synthesis of hyperbranched polyesters",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00034-X","",46,"2025-05-15 16:17:58","","","","",,,,,0,0.00,0,6,1,"… In this work, we use density functional theory calculations together with kinetic Monte Carlo modeling to capture the full structural development during reversible polymerization, …","","https://scholar.google.com/scholar?q=related:SxZISLCVNs4J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Ling, Y Yin, X Kang, X Li, R Duan, S Zhou, H Liu, ...","Enhanced electrochemical reduction of CO2 to CO by ZnO nanorods enriched with oxygen vacancies",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00401-9","https://scholar.google.com/scholar?cites=3012167838666130281&as_sdt=2005&sciodt=0,5&hl=en",77,"2025-05-15 16:17:58","","","","",,,,,1,1.00,0,8,1,"… ZnO-based CO 2 RR catalysts. Density functional theory (DFT) is a common method used to study the key factors that affect reaction pathways. In this work, DFT calculations show that …","","https://scholar.google.com/scholar?q=related:aQONq7BezSkJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
