Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"C Wang, S Zhang, T Yuan, AA Jimoh, M Abreu, C Shan…","Triazole-modified Ru-carbene complexes: A valid olefin metathesis pre-catalyst for dynamic covalent chemistry via C= C bond formation",2023,"Chem catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(23)00205-1?uuid=uuid%3A82c01223-95c6-4a7b-82a3-5baafd9e06be","https://scholar.google.com/scholar?cites=9355469865791871770&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:31:03","HTML","","","",,,,,1,0.50,0,7,2,"… catalysts to achieve challenging olefin metathesis at higher … olefin metathesis for challenging substrates. With this new TA-Ru catalyst, cross-metathesis (CM), ring-closing metathesis (…","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(23)00205-1?uuid=uuid%3A82c01223-95c6-4a7b-82a3-5baafd9e06be","https://scholar.google.com/scholar?q=related:GltliUZO1YEJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"A Sytniczuk, A Kajetanowicz, K Grela","“Inverted” cyclic (alkyl)(amino) carbene ligands allow olefin metathesis with ethylene at parts-per-billion catalyst loading",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00246-4","https://scholar.google.com/scholar?cites=8049644841577547964&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:31:03","","","","",,,,,18,9.00,6,3,2,"… metathesis catalysts were typically applied in 0.1–2 mol % for ring-closing metathesis and up to 15 mol % for cross-metathesis (… Scheme 1 Olefin metathesis catalysts used in ethenolysis …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00246-4","https://scholar.google.com/scholar?q=related:vAhJplUVtm8J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"S Yang, Q Zhang, H Chen, D Zhao, Y Wang","Nickel-hydrogen-bonding-enabled, phosphine-ligand-tuned regiodivergent isomerization of olefins",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00201-X","https://scholar.google.com/scholar?cites=12002578244093230313&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:31:03","","","","",,,,,1,1.00,0,5,1,"… mechanistic studies coupled with quantum density functional theory (DFT) calculations, we … in pairing with olefin metathesis, allows for a one-carbon deletion of terminal olefins. This was …","","https://scholar.google.com/scholar?q=related:6TwCFFK5kaYJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"P Krzesiński, C Dinoi, I del Rosal, L Vendier…","Biplane-like small N-heterocyclic carbenes as effective ligands in challenging Ru-catalyzed metathesis of sterically crowded olefins",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00030-2","https://scholar.google.com/scholar?cites=14735629221177463260&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 16:31:03","","","","",,,,,1,1.00,0,5,1,"… C=C double bonds by olefin metathesis has always been the … for accessing very stable olefin metathesis catalysts of greatly … In conclusion, we computed by DFT calculations the full …","","https://scholar.google.com/scholar?q=related:3BEmNrR4f8wJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Zhu, L Pan, H Xu, S Zhang, Y Ye, S Wu, L Wang…","Photo-enhanced selective conversion of ethane to ethene over single-site Mo-modified SAPO-34",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00306-3","https://scholar.google.com/scholar?cites=10078187261025920437&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 16:31:03","","","","",,,,,1,1.00,0,8,1,"… Density functional theory (DFT) calculation was used to understand the function mechanism … To understand the contribution of light irradiation to C–H activation, time-dependent DFT …","","https://scholar.google.com/scholar?q=related:tSVR2erp3IsJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"V Chugh, J Wu, M Leutzsch, H Randel, T Weyhermüller…","Controlling hydrogen transfer dynamics in adaptive semihydrogenation of alkynes: Unveiling and directing outer-vs. inner-sphere mechanisms",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00250-1","https://scholar.google.com/scholar?cites=14868510164713829253&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:31:03","","","","",,,,,3,3.00,1,6,1,"This research presents an adaptive catalyst engineered to optimize hydrogen activation and transfer, demonstrated through its application in the semihydrogenation of alkynes. The …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00250-1","https://scholar.google.com/scholar?q=related:hXMN0zePV84J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Zhang, S Dong, MC Dietl, M Rudolph, X Zhang…","Practical and modular cycloadditions of in-situ-formed exocyclic vinylcarbenes",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","",7,"2025-05-17 16:31:03","","","","",,,,,0,0.00,0,6,1,"… Furthermore, the corresponding thermodynamic data were obtained by density functional theory (DFT) calculations with Orca 5.0.3. (Figure 4C). The geometries of all possible …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00356-7","https://scholar.google.com/scholar?q=related:-tQB8OZEgL0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"JL Xu, ZL Wang, JB Zhao, YH Xu","Enantioselective construction of Si-stereogenic linear alkenylhydrosilanes via copper-catalyzed hydrosilylation of alkynes",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00488-8","https://scholar.google.com/scholar?cites=6364553874205832722&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:31:03","","","","",,,,,11,11.00,3,4,1,"… density functional theory (DFT) calculations of the only step involving the generation of the stereocenter, ie, the metathesis … 72 ) with Grimme’s DFT-D3 empirical dispersion 73 and the …","https://www.sciencedirect.com/science/article/pii/S2667109323004888","https://scholar.google.com/scholar?q=related:EvbfGQdwU1gJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Li, Z Li, F Zhang, J Chen","Upgrading waste plastics to value-added aromatics",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00044-7","https://scholar.google.com/scholar?cites=302809760067070032&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 16:31:03","","","","",,,,,18,18.00,5,4,1,"The imbalance between the extensive production and recycling of plastics has resulted in severe environmental and resource issues. A promising solution to mitigate this issue involves …","https://www.sciencedirect.com/science/article/pii/S2667109324000447","https://scholar.google.com/scholar?q=related:UKhRV9_LMwQJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"L Veth, HA Grab, S Martínez, C Antheaume, P Dydio","Transfer C–H borylation of alkenes under Rh (I) catalysis: Insight into the synthetic capacity, mechanism, and selectivity control",2022,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00103-8","https://scholar.google.com/scholar?cites=3811194986591484392&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:31:03","","","","",,,,,12,4.00,2,5,3,"… A series of experimental mechanistic studies, corroborated by DFT calculations, provided insight into the details of the catalytic cycle that introduces the thus far unreported yet relatively …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(22)00103-8","https://scholar.google.com/scholar?q=related:6PmI0aUV5DQJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
