Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"H Zou, LJ Arachchige, H Dai, H Liu, F Jiao, W Hu, F Li, ...","Pushing the limit of atomically dispersed Au catalysts for electrochemical H2O2 production by precise electronic perturbation of the active site",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00090-8","https://scholar.google.com/scholar?cites=3951623423111272389&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 17:54:38","","","","",,,,,10,5.00,1,8,2,"… In situ electrochemical Raman study with density functional theory (DFT) calculations unraveled that the dynamically evolved Au dimer with a μ-bridged hydroxyl ligand acts as the …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00090-8","https://scholar.google.com/scholar?q=related:xRepFJH81jYJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Chen, R Ma, W Jia, X Cao, J Zhang, F Cheng, L Jiao","Suppressing lattice oxygen oxidation in ruthenium oxide via equivalent substitution for sustainable oxygen evolution reaction in PEMWEs",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00073-9","https://scholar.google.com/scholar?cites=15343547829765906315&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 17:54:38","","","","",,,,,1,1.00,0,7,1,"… , for the construction of RuTiO x toward stabilized water oxidation in PEMWEs. Specifically, high-throughput density functional theory (DFT) calculations revealed that the RuO 2 -based …","","https://scholar.google.com/scholar?q=related:i59pI3U779QJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"S Song, X Chen, Y Fo, M Yang, H Su, K Yang, X Ji, ...","Lewis acid-base modulation for efficient CO2 oxidative propane dehydrogenation: A case study of a La-modified binuclear Feoxo site",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00190-2","https://scholar.google.com/scholar?cites=14544129440078059465&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 17:54:38","","","","",,,,,11,5.50,1,8,2,"CO 2 oxidative propane dehydrogenation to propylene (CO 2 -ODH) is promising for propylene production and CO 2 utilization. Developing an efficient bifunctional CO 2 -ODH site …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00190-2","https://scholar.google.com/scholar?q=related:yVcn66og18kJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"Q Yuan, Y Gu, X Li, Y Ding, H Chen, X Song, J Mu, B Li, ...","Single-site palladium on sulfur-doped carbon for olefin alkoxycarbonylation: Performance determined by coordination environments",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00410-4","https://scholar.google.com/scholar?cites=7979291740440515797&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 17:54:38","","","","",,,,,8,8.00,1,9,1,"… Density functional theory calculations In this work, all DFT calculations were conducted with the Gaussian 09 package. All geometry optimizations and frequency calculations were …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00410-4","https://scholar.google.com/scholar?q=related:1VQq1I8jvG4J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"S Shi, S Lee, C Dun, W Zheng, JJ Urban, ...","Facet-dependent strong metal-support interactions control the C–O bond activation",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00361-5","https://scholar.google.com/scholar?cites=8231455724842764243&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 17:54:38","","","","",,,,,7,3.50,1,6,2,"… In summary, these experiments and DFT results highly suggest that upon adding Ir, the C–O bond cleavage rate is determined by the oxygen vacancies by the reverse Mars-van …","https://www.sciencedirect.com/science/article/pii/S2667109323003615","https://scholar.google.com/scholar?q=related:08ebn14BPHIJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"T Hao, J Shen, Y Wei, M Shi","Alkene difunctionalization enabled by photocatalytic hydrogen atom transfer from haloalkane α-C (sp3)–H bonds",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00387-1","https://scholar.google.com/scholar?cites=3093048822680929596&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 17:54:38","","","","",,,,,7,3.50,2,4,2,"… and density functional theory (DFT) calculation. The hydrogen atom transfer on the C(sp 3 )–H bond of halogen’s α site induced by tert-butoxy radical species is also revealed by DFT …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00387-1","https://scholar.google.com/scholar?q=related:PEXWPIS37CoJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"G Wang, W Du, X Duan, Y Cao, Z Zhang, J Xu, W Chen, ...","Mechanism-guided elaboration of ternary Au–Ti–Si sites to boost propylene oxide formation",2021,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00086-5","https://scholar.google.com/scholar?cites=1894904889488671900&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 17:54:38","","","","",,,,,39,9.75,5,8,4,"… To test whether this was the case, we carried out DFT calculations to compare the reaction barriers of the two agents with silanol and titanol groups by calculating the difference in Gibbs …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(21)00086-5","https://scholar.google.com/scholar?q=related:nIQfFfUNTBoJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Zhang, S Dong, MC Dietl, M Rudolph, X Zhang, ...","Practical and modular cycloadditions of in-situ-formed exocyclic vinylcarbenes",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","",8,"2025-05-15 17:54:38","","","","",,,,,0,0.00,0,6,1,"… data were obtained by density functional theory (DFT) calculations with Orca 5.0… DFT calculations for the formation of exocyclic α-vinyl carbene intermediate Inspired by these above DFT …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00356-7","https://scholar.google.com/scholar?q=related:-tQB8OZEgL0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"L Wu, N Yao, Q Meng, H Jia, J Zhu, J Zhu, W Luo","Manipulating reaction pathway of ruthenium oxide with enhanced performance and stability toward acidic water oxidation",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00153-2","https://scholar.google.com/scholar?cites=11847325738244778120&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 17:54:38","","","","",,,,,11,11.00,2,7,1,"… Experimental results and density functional theory (DFT) calculations reveal that Ru valence state is lowered with the formation of Ce-O-Ru local structure, and Ru-O covalency is …","","https://scholar.google.com/scholar?q=related:iChsNv0naqQJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"T Wang, Y Xi, F Li","Alkyl C–O bond cleavage assisted by partial C–H activation on atomically dispersed catalysts and metal surfaces",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00493-1","https://scholar.google.com/scholar?cites=3290996298356418548&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 17:54:38","","","","",,,,,3,3.00,1,3,1,"… First-principle calculations were performed via periodic DFT, as implemented in the Vienna Ab … We used Grimme’s DFT-D3 52 scheme to treat the vdW interactions semi-empirically. The …","https://www.sciencedirect.com/science/article/pii/S2667109323004931","https://scholar.google.com/scholar?q=related:9OeoaLL3qy0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
