Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"H Zhang, P Liu","Fine-tuning catalytic selectivity by modulating catalyst-environment interactions: CO2 hydrogenation over Pd-based catalysts",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00349-X","https://scholar.google.com/scholar?cites=12951618638254435543&as_sdt=2005&sciodt=0,5&hl=en",32,"2025-05-15 16:06:48","","","","",,,,,2,2.00,1,2,1,"… This work presents a framework that maps thermodynamically stable phase diagrams under a wide range of reaction conditions using density functional theory (DFT) and sequentially …","","https://scholar.google.com/scholar?q=related:1-x754dkvbMJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"W Zhang, L Wang, F Wang, M Xing, C Wang, J Zhao","Spatially asymmetric catalyst design with electron-rich Cu sites to facilitate full-spectrum photo-Fenton-like catalysis",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00096-X","",38,"2025-05-15 16:06:48","","","","",,,,,0,0.00,0,6,1,"… Our previous studies have demonstrated that transition metals incorporated into the octahedral … We conducted density functional theory (DFT) calculations to study the electronic band …","","https://scholar.google.com/scholar?q=related:ifIc0BUqVokJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"F Mahnaz, BC Dharmalingam, JR Mangalindan, J Vito, ...","Metal cation exchange with zeolitic acid sites modulates hydrocarbon pool propagation during CO2 hydrogenation",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00392-0","https://scholar.google.com/scholar?cites=16559465935583378816&as_sdt=2005&sciodt=0,5&hl=en",39,"2025-05-15 16:06:48","","","","",,,,,4,4.00,1,5,1,"… To explore this, we calculated metal vacancy formation energies using density functional theory simulations (Note S2) with slab models derived from PXRD patterns of metal oxides (…","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00392-0","https://scholar.google.com/scholar?q=related:gP2gWIgKz-UJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Pan, C Qin, R Xu, L Xu, S Ruan, X Zhang, K Zheng, ...","Promoted propane dehydrogenation over Pt-In intermetallics via classic strong metal-support interaction",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00407-X","",40,"2025-05-15 16:06:48","","","","",,,,,0,0.00,0,8,1,"… Density functional theory (DFT) calculations provide insight into the influence of the In 2 O 3-x @Pt 2 In 3 -encapsulated structure on the PDH reaction (Figures 5A–5E and S29–S33). …","","https://scholar.google.com/scholar?q=related:khM4f1Ut-mYJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Zhang, S Dong, MC Dietl, M Rudolph, X Zhang, ...","Practical and modular cycloadditions of in-situ-formed exocyclic vinylcarbenes",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","",45,"2025-05-15 16:06:48","HTML","","","",,,,,0,0.00,0,6,1,"… substrates in the presence of various transition metal complexes to identify the effective … data were obtained by density functional theory (DFT) calculations with Orca 5.0.3. (Figure 4…","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","https://scholar.google.com/scholar?q=related:-tQB8OZEgL0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Yang, M Wang, H Zhang, S Qin, M Zaman, J Luo, ...","Unlocking redox-active reactivity of dearomatized pyridines with photochemistry toward meta-C–H functionalization of pyridines",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00064-8","",48,"2025-05-15 16:06:48","","","","",,,,,0,0.00,0,7,1,"… Further exploration in conjunction with DFT calculations suggests that such a single-electron transfer (SET) process occurs with a free energy barrier of 13.1 kcal/mol. Although …","","https://scholar.google.com/scholar?q=related:VpSMsLczkC0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Zhang, C Shang, C Li, D Lian, S Wang, X Hu, Y Ji, ...","Low-coordinated single-atom Cu and enhanced charge transfer from Cu-N to TiO2 on Cu1/CN/TiO2 for efficient Sonogashira cross-coupling",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00028-4","",52,"2025-05-15 16:06:48","","","","",,,,,0,0.00,0,8,1,"… Characterizations and density functional theory (DFT) calculations indicate that the presence of TiO 2 not only alters the coordination environment of Cu to form the Cu-N 2 coordination …","","https://scholar.google.com/scholar?q=related:wtQb2tcDWcYJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"W Zhong, X Xiang, P Chen, J Su, Z Gong, X Liu, S Zhao, ...","Shifting hydrogenation pathway via electronic activation for efficient nitrate electroreduction to ammonia in sewages",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00391-9","https://scholar.google.com/scholar?cites=4442675956217764465&as_sdt=2005&sciodt=0,5&hl=en",68,"2025-05-15 16:06:48","","","","",,,,,3,3.00,0,8,1,"… Combining advanced spectroscopic techniques and density functional theory (DFT) calculations, we find that the presence of a heterointerface effectively shifts the reaction pathway on …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00391-9","https://scholar.google.com/scholar?q=related:cVqHbj6Opz0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Z Wang, S Guo, Z Shen, R Wei, R Jiang, G Liu, Q Zhou, ...","Enantioselective palladium-catalyzed α-arylation of primary alkylamines",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00069-7","",72,"2025-05-15 16:06:48","","","","",,,,,0,0.00,0,8,1,"… Density functional theory (DFT) calculations support a concerted transmetalation-… Notably, the coordination of a thioamide with a transition metal is thought to play a key role in facilitating …","","https://scholar.google.com/scholar?q=related:cQOJcn64xbIJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"M Okazaki, Y Yamazaki, D Lu, S Nozawa, O Ishitani, ...","Discovery of the threshold potential that triggers photochemical water oxidation with Ru (II) photosensitizers and MOx catalysts",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00360-9","https://scholar.google.com/scholar?cites=12793141874847018272&as_sdt=2005&sciodt=0,5&hl=en",78,"2025-05-15 16:06:48","HTML","","","",,,,,1,1.00,0,6,1,"… The established methods such as density functional theory (DFT) calculations, simulations, and band structure analysis have limited ability to evaluate the E MO x for CoO x , especially …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00360-9","https://scholar.google.com/scholar?q=related:IG1uE8FeirEJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
