Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
15,"B Xie, D Hu, P Kumar, VV Ordomsky, AY Khodakov, ...","Heterogeneous catalysis via light-heat dual activation: A path to the breakthrough in C1 chemistry",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00531-7","https://scholar.google.com/scholar?cites=16312029074358586425&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:50:22","","","","",,,,,15,15.00,3,6,1,"A hybrid photothermal catalytic system, which combines both the photochemical (light) and thermal (heat) activation pathways over a bifunctional catalyst, has demonstrated remarkable …","https://www.cell.com/joule/fulltext/S2542-4351(23)00531-7","https://scholar.google.com/scholar?q=related:Ocz8rgT4X-IJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
161,"Y Chen, Y Zhang, G Fan, L Song, G Jia, H Huang, ...","Cooperative catalysis coupling photo-/photothermal effect to drive Sabatier reaction with unprecedented conversion and selectivity",2021,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00535-3","https://scholar.google.com/scholar?cites=2914027727392104690&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:50:22","HTML","","","",,,,,161,40.25,23,7,4,"The development of highly efficient catalysts to drive the Sabatier reactions under mild conditions remains a great challenge. Here, we report a 0.35%Ru@Ni 2 V 2 O 7 catalyst exhibited …","https://www.cell.com/joule/fulltext/S2542-4351(21)00535-3","https://scholar.google.com/scholar?q=related:8mDYZMe0cCgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
229,"Y Zhao, W Gao, S Li, GR Williams, AH Mahadi, D Ma","Solar-versus thermal-driven catalysis for energy conversion",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30096-0","https://scholar.google.com/scholar?cites=14320422918693560207&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:50:22","HTML","","","",,,,,229,38.17,38,6,6,"… in CH, C=O, and NN activation processes such as CH 4 conversion, benzene … DFT calculations for methanol transformations on CdS indicate the weak adsorption of CH 3 OH and CH …","https://www.cell.com/joule/fulltext/S2542-4351(19)30096-0","https://scholar.google.com/scholar?q=related:j58XjsVcvMYJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"J Zhang, J Ding, Y Liu, C Su, H Yang, Y Huang, B Liu","Molecular tuning for electrochemical CO2 reduction",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00283-0","https://scholar.google.com/scholar?cites=5413474717952785644&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 16:50:22","","","","",,,,,68,34.00,10,7,2,"… Next, density functional theory (DFT) calculation toward different products is elaborated. Relative experiments using various molecular tuning strategies are then demonstrated, …","https://www.sciencedirect.com/science/article/pii/S2542435123002830","https://scholar.google.com/scholar?q=related:7Dwi_JKGIEsJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Li, Y Zhou, C Wan, X Li, P Qiao, S Xi, Y Fang, X Fu, ...","Neighboring nonmetal site as an intermediate modulator switching CO2 electroreduction pathway toward multicarbons",2025,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(25)00107-2","",5,"2025-05-17 16:50:22","","","","",,,,,0,0.00,0,9,1,"… We considered that the C, N, O, P, and S may also work due to their high affinities with active ∗H, especially in H 2 O activation. Therefore, we employed DFT calculations to evaluate …","","https://scholar.google.com/scholar?q=related:jjXMxwckPskJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
338,"H Song, X Meng, Z Wang, H Liu, J Ye","Solar-energy-mediated methane conversion",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30314-9","https://scholar.google.com/scholar?cites=5178651659206334734&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:50:22","HTML","","","",,,,,338,56.33,68,5,6,"… The main purpose of this review is to provide insight into comprehensive understanding of methane C–H activation under the stimulation of photo energy and provide guidelines for the …","https://www.cell.com/joule/fulltext/S2542-4351(19)30314-9","https://scholar.google.com/scholar?q=related:Dhl7Ej9E3kcJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"J Kim, SY Lee, SJ Kim, B Koo, J Chung, D Lee, S Choi, ...","Spatiotemporal active phase evolution for CO2 electrocatalysis",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00426-4","https://scholar.google.com/scholar?cites=1503946831700715854&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 16:50:22","","","","",,,,,4,4.00,1,8,1,"… The DFT-optimized bulk structure of malachite is presented … roles for malachite in the activation of CO 2 , particularly when … Our DFT calculations theoretically suggest that the surface Cu …","https://www.cell.com/joule/pdfExtended/S2542-4351(24)00426-4","https://scholar.google.com/scholar?q=related:TmmY2KwX3xQJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
211,"H Lin, S Luo, H Zhang, J Ye","Toward solar-driven carbon recycling",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00001-0","https://scholar.google.com/scholar?cites=880580561197959664&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:50:22","HTML","","","",,,,,211,70.33,53,4,3,"… (1) the preferential activation of C–H bonds in CH 3 OH will form the ·CH 2 OH intermediate … ; (2) the more profound activation of C–H bonds in CH 3 OH will form methyl carbine (:CH 2 ) …","https://www.cell.com/joule/fulltext/S2542-4351(22)00001-0","https://scholar.google.com/scholar?q=related:8IlR2lpzOAwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
296,"S Ding, MJ Hülsey, J Pérez-Ramírez, N Yan","Transforming energy with single-atom catalysts",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?cites=6950710672137471335&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 16:50:22","HTML","","","",,,,,296,49.33,74,4,6,"… The single Co atoms were observed in the HAADF-STEM images (Figure 3A), and DFT … reaction mechanism for the conversion of CH 4 to CO on Ni sites and activation of H 2 O on …","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?q=related:Z0VFpYfidWAJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"T Chen, H Banda, L Yang, J Li, Y Zhang, R Parenti, ...","High-rate, high-capacity electrochemical energy storage in hydrogen-bonded fused aromatics",2023,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(23)00123-X","https://scholar.google.com/scholar?cites=7810087000709099580&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:50:22","HTML","","","",,,,,34,17.00,5,7,2,"Designing materials for electrochemical energy storage with short charging times and high charge capacities is a longstanding challenge. The fundamental difficulty lies in incorporating …","https://www.cell.com/joule/fulltext/S2542-4351(23)00123-X","https://scholar.google.com/scholar?q=related:PHApXr8AY2wJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
369,"ZH Xue, D Luan, H Zhang, XWD Lou","Single-atom catalysts for photocatalytic energy conversion",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00580-8","https://scholar.google.com/scholar?cites=15151145573619437705&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-17 16:50:22","HTML","","","",,,,,369,123.00,92,4,3,"… The unsaturated active sites in SACs enable optimizing the adsorption of molecules by tuning the coordination configuration and further activating molecules by efficiently delivering the …","https://www.cell.com/joule/fulltext/S2542-4351(21)00580-8","https://scholar.google.com/scholar?q=related:iZDR_5-uQ9IJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
