Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
68,"J Zhang, J Ding, Y Liu, C Su, H Yang, Y Huang, B Liu","Molecular tuning for electrochemical CO2 reduction",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00283-0","https://scholar.google.com/scholar?cites=5413474717952785644&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 17:02:05","","","","",,,,,68,34.00,10,7,2,"… in improving CO 2 RR performance. … of CO 2 RR to produce C 1 and C 2 products, followed by discussion of the merits of molecular decoration. Next, density functional theory (DFT) …","https://www.sciencedirect.com/science/article/pii/S2542435123002830","https://scholar.google.com/scholar?q=related:7Dwi_JKGIEsJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
294,"Z Gu, H Shen, Z Chen, Y Yang, C Yang, Y Ji, Y Wang, ...","Efficient electrocatalytic CO2 reduction to C2+ alcohols at defect-site-rich Cu surface",2021,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(20)30610-3","https://scholar.google.com/scholar?cites=16095172318817455840&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 17:02:05","HTML","","","",,,,,294,73.50,37,8,4,"… as the pre-CO 2 RR one (Figure 2I), which was still much higher than the post-CO 2 RR Cu -C … during CO 2 RR, in agreement with our DFT findings that ∗CO can stabilize Cu defects. …","https://www.cell.com/joule/fulltext/S2542-4351(20)30610-3","https://scholar.google.com/scholar?q=related:4I7QtfKJXd8J:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Li, Y Zhou, C Wan, X Li, P Qiao, S Xi, Y Fang, X Fu, ...","Neighboring nonmetal site as an intermediate modulator switching CO2 electroreduction pathway toward multicarbons",2025,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(25)00107-2","",3,"2025-05-17 17:02:05","","","","",,,,,0,0.00,0,9,1,"… the electroreduction of carbon dioxide (CO 2 RR) to produce high-… Insight into CO 2 RR reveals that CO 2 is first reduced to … Therefore, we employed DFT calculations to evaluate our …","","https://scholar.google.com/scholar?q=related:jjXMxwckPskJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"L Fan, CY Liu, P Zhu, C Xia, X Zhang, ZY Wu, Y Lu, ...","Proton sponge promotion of electrochemical CO2 reduction to multi-carbon products",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00542-0","https://scholar.google.com/scholar?cites=2271173744055550278&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 17:02:05","HTML","","","",,,,,92,30.67,12,8,3,"… DMAN itself exhibits no activity for CO 2 RR. We also tested CO 2 RR performance on Cu-1 … This agrees with our experimental result and DFT analysis (Figure S30). In the experimental …","https://www.cell.com/joule/fulltext/S2542-4351(21)00542-0","https://scholar.google.com/scholar?q=related:RgGgrXzUhB8J:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"J Kim, SY Lee, SJ Kim, B Koo, J Chung, D Lee, S Choi, ...","Spatiotemporal active phase evolution for CO2 electrocatalysis",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00426-4","https://scholar.google.com/scholar?cites=1503946831700715854&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 17:02:05","","","","",,,,,4,4.00,1,8,1,"… Our DFT calculations theoretically suggest that the surface Cu 2+ species could favor CO dimerization of adsorbed ∗CO and help increase the local ∗CO/CO 2 concentration near the …","https://www.cell.com/joule/pdfExtended/S2542-4351(24)00426-4","https://scholar.google.com/scholar?q=related:TmmY2KwX3xQJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
357,"YC Tan, KB Lee, H Song, J Oh","Modulating local CO2 concentration as a general strategy for enhancing C− C coupling in CO2 electroreduction",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(20)30128-8","https://scholar.google.com/scholar?cites=1091046365449676761&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 17:02:05","HTML","","","",,,,,357,71.40,89,4,5,"… electrochemical CO 2 reduction reaction (CO2RR) performance, though fundamental … strategy to promote C−C coupling in CO2RR. Local CO 2 concentration could influence the …","https://www.cell.com/joule/fulltext/S2542-4351(20)30128-8","https://scholar.google.com/scholar?q=related:2ecbhuMsJA8J:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
116,"M Liu, M Liu, X Wang, SM Kozlov, Z Cao, P De Luna, ...","Quantum-dot-derived catalysts for CO2 reduction reaction",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30253-3","https://scholar.google.com/scholar?cites=7937169957947685536&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 17:02:05","HTML","","","",,,,,116,19.33,17,7,6,"… The materials are stable after 80 hr of CO 2 RR. These CO 2 RR performances in aqueous … that the vacancies produce a local atomic and electronic structure that enhances CO 2 RR. …","https://www.cell.com/joule/fulltext/S2542-4351(19)30253-3","https://scholar.google.com/scholar?q=related:oLpfGQZ-Jm4J:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
475,"X Zheng, P De Luna, FPG De Arquer, B Zhang, ...","Sulfur-modulated tin sites enable highly selective electrochemical reduction of CO2 to formate",2017,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(17)30088-0","https://scholar.google.com/scholar?cites=9202949379398904596&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 17:02:05","HTML","","","",,,,,475,59.38,95,5,8,"… Density functional theory (DFT) calculations were used to probe the energetics along the different CO 2 RR pathways toward formate, carbon monoxide, and hydrogen. Different sulfur …","https://www.cell.com/joule/fulltext/S2542-4351(17)30088-0","https://scholar.google.com/scholar?q=related:FCv5hLNxt38J:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"M Shen, L Ji, D Cheng, Z Wang, Q Xue, S Feng, Y Luo, ...","Hierarchical design enables sufficient activated CO2 for efficient electrolysis of bicarbonate to CO",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00190-9","https://scholar.google.com/scholar?cites=2259669072190630415&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 17:02:05","","","","",,,,,21,21.00,3,8,1,"… One of the greatest challenges impeding the FE of CO 2 RR in BCEs is achieving an efficient CO 2 activation process, especially at low CO 2 concentrations. Enhancing the binding …","https://escholarship.org/content/qt1c85345z/qt1c85345z_noSplash_a8c28cface5e0215fad1023b24b61380.pdf","https://scholar.google.com/scholar?q=related:D-rbhQz1Wx8J:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Q Zhang, J Gao, X Wang, J Zeng, J Li, Z Wang, H He, ...","Phase-stable indium sulfide achieves an energy conversion efficiency of 14.3% for solar-assisted carbon dioxide reduction to formate",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00138-7","https://scholar.google.com/scholar?cites=10972514901546754045&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 17:02:05","","","","",,,,,3,3.00,0,8,1,"… Indium (In)-based materials stand out as effective p-block electrocatalysts for CO 2 RR to formate due to their readily activated surface, facilitating the efficient adsorption of CO 2 …","","https://scholar.google.com/scholar?q=related:_d9fBys0RpgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
