Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
229,"Y Zhao, W Gao, S Li, GR Williams, AH Mahadi, D Ma","Solar-versus thermal-driven catalysis for energy conversion",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30096-0","https://scholar.google.com/scholar?cites=14320422918693560207&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:56:42","HTML","","","",,,,,229,38.17,38,6,6,"… forming a CH 2 OH radical as an intermediate for CC coupling and ethylene-glycol formation. The DFT calculations for methanol transformations on CdS indicate the weak adsorption of …","https://www.cell.com/joule/fulltext/S2542-4351(19)30096-0","https://scholar.google.com/scholar?q=related:j58XjsVcvMYJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"T Sun, Q Nian, X Ren, Z Tao","Hydrogen-bond chemistry in rechargeable batteries",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00439-7","https://scholar.google.com/scholar?cites=9954177483899488258&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:56:42","","","","",,,,,75,37.50,19,4,2,"Since the hydrogen bond (HB) was proposed and confirmed by chemists in the 1920s, it has played a very important role in the fields of chemistry, biology, physics, and materials. …","https://www.sciencedirect.com/science/article/pii/S2542435123004397","https://scholar.google.com/scholar?q=related:AkgFn65XJIoJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
369,"ZH Xue, D Luan, H Zhang, XWD Lou","Single-atom catalysts for photocatalytic energy conversion",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00580-8","https://scholar.google.com/scholar?cites=15151145573619437705&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:56:42","HTML","","","",,,,,369,123.00,92,4,3,"Artificial photocatalytic energy conversion represents a highly intriguing strategy for solving the energy crisis and environmental problems by directly harvesting solar energy. The …","https://www.cell.com/joule/fulltext/S2542-4351(21)00580-8","https://scholar.google.com/scholar?q=related:iZDR_5-uQ9IJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"N Ogihara, K Nagaya, H Yamaguchi, Y Kondo…","Direct capacity regeneration for spent Li-ion batteries",2024,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(24)00093-X","https://scholar.google.com/scholar?cites=18198405640113386965&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 16:56:42","HTML","","","",,,,,26,26.00,5,5,1,"With the rapid increase in lithium (Li)-ion battery applications, there is growing interest in the circulation of large quantities of spent batteries. However, existing recycling systems require …","https://www.cell.com/joule/fulltext/S2542-4351(24)00093-X","https://scholar.google.com/scholar?q=related:1XVsqYK5jfwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"A Svirinovsky-Arbeli, M Juelsholt, R May, Y Kwon…","Using NMR spectroscopy to link structure to function at the Li solid electrolyte interphase",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00200-9","https://scholar.google.com/scholar?cites=12530541698613849381&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 16:56:42","","","","",,,,,13,13.00,3,5,1,"The performance of Li metal batteries is tightly coupled to the composition and properties of the solid electrolyte interphase (SEI). Even though the role of the SEI in battery function is …","https://par.nsf.gov/servlets/purl/10510027","https://scholar.google.com/scholar?q=related:JS0ZBUlt5a0J:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
145,"H Xie, Z Wang, Z Chen, C Pereyra, M Pols…","Decoupling the effects of defects on efficiency and stability through phosphonates in stable halide perovskite solar cells",2021,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00155-0","https://scholar.google.com/scholar?cites=1719290631966811445&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:56:42","HTML","","","",,,,,145,36.25,24,6,4,"… Our combined experiments and DFT analysis point to a strong interaction of the H3pp species with the perovskite surface, particularly via the phosphonate group. Such strong …","https://www.cell.com/joule/fulltext/S2542-4351(21)00155-0","https://scholar.google.com/scholar?q=related:NeUJeLgl3BcJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"EA Alharbi, A Krishna, N Lempesis, M Dankl…","Cooperative passivation of perovskite solar cells by alkyldimethylammonium halide amphiphiles",2023,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00571-2?trk=public_post_main-feed-card_feed-article-content","https://scholar.google.com/scholar?cites=5055528630064038773&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 16:56:42","HTML","","","",,,,,25,12.50,5,5,2,"Perovskite solar cells (PSCs) have revolutionized the field of sustainable energy research. However, their limited stability has so far impeded commercial exploitation. Here, we present …","https://www.cell.com/joule/fulltext/S2542-4351(22)00571-2?trk=public_post_main-feed-card_feed-article-content","https://scholar.google.com/scholar?q=related:dcPI8oDYKEYJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"C Zhao, H Jeong, I Hwang, T Li, Y Wang, J Bai, L Li…","Polysulfide-incompatible additive suppresses spatial reaction heterogeneity of Li-S batteries",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00422-7","https://scholar.google.com/scholar?cites=7533916026577044230&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:56:42","","","","",,,,,7,7.00,1,8,1,"… The interaction between sparingly dissolved LiPS and LiBF 4 as well as the subsequent CEI formation were investigated by density functional theory (DFT) simulations, NMR, and X-ray …","","https://scholar.google.com/scholar?q=related:BkO_s7XYjWgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
296,"S Ding, MJ Hülsey, J Pérez-Ramírez, N Yan","Transforming energy with single-atom catalysts",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?cites=6950710672137471335&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 16:56:42","HTML","","","",,,,,296,49.33,74,4,6,"… The single Co atoms were observed in the HAADF-STEM images (Figure 3A), and DFT calculation was carried out to simulate the geometric structure of Co (Figure 3B). The prepared …","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?q=related:Z0VFpYfidWAJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
85,"Z Zhu, K Mao, K Zhang, W Peng, J Zhang, H Meng…","Correlating the perovskite/polymer multi-mode reactions with deep-level traps in perovskite solar cells",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00516-5","https://scholar.google.com/scholar?cites=8856532038146548143&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:56:42","HTML","","","",,,,,85,28.33,12,7,3,"The present pin perovskite solar cells are less efficient than their nip counterparts, fundamentally limited by deep-level traps of minority carriers at surfaces. Here, we explore perovskite/…","https://www.cell.com/joule/fulltext/S2542-4351(22)00516-5","https://scholar.google.com/scholar?q=related:r2GX-_a46HoJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"R Feng, Y Chen, X Zhang, BJG Rousseau, P Gao…","Proton-regulated alcohol oxidation for high-capacity ketone-based flow battery anolyte",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00256-8","https://scholar.google.com/scholar?cites=1812059093202580174&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-17 16:56:42","","","","",,,,,13,6.50,2,6,2,"… We conducted density functional theory (DFT) analyses to evaluate the proton-accepting capability in terms of the pKa values of various candidate additives. The PT between FL-OH …","https://www.cell.com/joule/pdfExtended/S2542-4351(23)00256-8","https://scholar.google.com/scholar?q=related:zjJbAiW6JRkJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Jia, Z Wang, Z Han, J Li, M Zhang, Z Lao, Y Han…","Variable and intelligent catalyst design based on local chemical environments in sulfur redox reactions",2025,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(25)00059-5","https://scholar.google.com/scholar?cites=17898611697477740839&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-17 16:56:42","","","","",,,,,1,1.00,0,8,1,"… To understand the electronic mechanism of intrinsic property variety and confirm the adsorption diversity, we further conducted DFT calculations and adsorption experiments. …","","https://scholar.google.com/scholar?q=related:J-nPCIKkZPgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"Z Yuan, D Dahliah, MR Hasan, G Kassa, A Pike…","Discovery of the Zintl-phosphide BaCd2P2 as a long carrier lifetime and stable solar absorber",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00100-4","https://scholar.google.com/scholar?cites=1472069872527903579&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-17 16:56:42","","","","",,,,,16,16.00,3,6,1,"Thin-film photovoltaics (PV) offers a path to decarbonize global energy production. Unfortunately, existing thin-film solar absorbers have major issues associated with either elemental …","https://arxiv.org/pdf/2310.18188","https://scholar.google.com/scholar?q=related:W4uU7L_XbRQJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
210,"C Xiao, BA Lu, P Xue, N Tian, ZY Zhou, X Lin, WF Lin…","High-index-facet-and high-surface-energy nanocrystals of metals and metal oxides as highly efficient catalysts",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(20)30459-1","https://scholar.google.com/scholar?cites=14823443570629112029&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-17 16:56:42","HTML","","","",,,,,210,42.00,26,8,5,"The development and applications of highly efficient and stable catalysts are of vital importance for modern industries varying from chemical production and material transformation to …","https://www.cell.com/joule/fulltext/S2542-4351(20)30459-1","https://scholar.google.com/scholar?q=related:3XBlt2Nzt80J:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
204,"H Chen, Z Hu, H Wang, L Liu, P Chao, J Qu, W Chen…","A chlorinated π-conjugated polymer donor for efficient organic solar cells",2018,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(18)30229-0?sf191689330=1","https://scholar.google.com/scholar?cites=6486528272406145557&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-17 16:56:42","HTML","","","",,,,,204,29.14,26,8,7,"We synthesized a chlorinated benzothiadiazole-T4 polymer donor PBT4T-Cl, in which a chlorine atom had been introduced at the 4 position in the middle thiophene unit to fine-tune the …","https://www.cell.com/joule/fulltext/S2542-4351(18)30229-0?sf191689330=1","https://scholar.google.com/scholar?q=related:FepLvhjHBFoJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"X Guo, Z Jia, S Liu, R Guo, F Jiang, Y Shi, Z Dong…","Stabilizing efficient wide-bandgap perovskite in perovskite-organic tandem solar cells",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00257-5","https://scholar.google.com/scholar?cites=6738330036613608396&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-17 16:56:42","","","","",,,,,26,26.00,3,8,1,"… All the spin-polarized density functional theory (DFT) calculations were implemented by Vienna ab initio simulation package (VASP, 5.4.4 version 46 ). The plane-wave pseudopotential …","","https://scholar.google.com/scholar?q=related:zPOyk3dbg10J:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"Z Liu, Z Xiong, S Yang, K Fan, L Jiang, Y Mao, C Qin…","Strained heterojunction enables high-performance, fully textured perovskite/silicon tandem solar cells",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00291-5","https://scholar.google.com/scholar?cites=4196382141563214160&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-17 16:56:42","","","","",,,,,12,12.00,2,8,1,"… As can be seen from density functional theory (DFT) calculation results, a remarkable increase of formation enthalpy (ΔH f ) by 0.34 eV is evident as the withstanding tensile strain …","","https://scholar.google.com/scholar?q=related:UBmrCVOLPDoJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Q Zhang, J Gao, X Wang, J Zeng, J Li, Z Wang, H He…","Phase-stable indium sulfide achieves an energy conversion efficiency of 14.3% for solar-assisted carbon dioxide reduction to formate",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00138-7","https://scholar.google.com/scholar?cites=10972514901546754045&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-17 16:56:42","","","","",,,,,3,3.00,0,8,1,"Tremendous efforts have been made in developing highly selective catalysts for electrochemical CO 2 conversion to formate. However, the rapid deactivation resulting from structural …","","https://scholar.google.com/scholar?q=related:_d9fBys0RpgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"H Xu, J Han, S Chen, Y Liu, LH Hernandez…","Dissecting the structure-stability relationship of Y-series electron acceptors for real-world solar cell applications",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00276-3","https://scholar.google.com/scholar?cites=8251470119016259622&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-17 16:56:42","","","","",,,,,33,16.50,6,6,2,"… Y-NFAs, we also performed dispersion-corrected DFT calculations (DFT-D3), and the results are … The structure-stability relationship in Figure 3E agrees well with our DFT and GIWAXS …","https://www.cell.com/joule/fulltext/S2542-4351(23)00276-3?uuid=uuid%3Ae2df57a0-29cf-43b1-92c0-d4a575de5987","https://scholar.google.com/scholar?q=related:JuC25locg3IJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"C Zhang, Y Son, H Kim, SH Lee, X Liang, G Fu, SU Lee…","Work function tuning of a weak adhesion homojunction for stable perovskite solar cells",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00098-9","https://scholar.google.com/scholar?cites=14662943200783790098&as_sdt=2005&sciodt=0,5&hl=en",20,"2025-05-17 16:56:42","","","","",,,,,18,18.00,2,8,1,"Perovskite solar cells (PSCs) have demonstrated a comparable efficiency to Si-based cells. However, the buried interface with weak adhesion remains a critical issue since the ion …","","https://scholar.google.com/scholar?q=related:EnByTCc9fcsJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
