Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"DA Kurtz, BM Hunter","Forming O–O bonds",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?cites=10991367098701223583&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:48:20","HTML","","","",,,,,6,2.00,3,2,3,"… the likelihood that a first-row transition metal catalyst will participate in the water/hydroxide attack on a metal-oxo species (a commonly … DFT calculated overpotential under illumination …","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?q=related:n5YAOiQuiZgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
161,"Y Chen, Y Zhang, G Fan, L Song, G Jia, H Huang, ...","Cooperative catalysis coupling photo-/photothermal effect to drive Sabatier reaction with unprecedented conversion and selectivity",2021,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00535-3","https://scholar.google.com/scholar?cites=2914027727392104690&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:48:20","HTML","","","",,,,,161,40.25,23,7,4,"… V 2 O 7 catalyst exhibited an unprecedented solar-driven CO 2 methanation rate of 114.9 mmol g cat −1 h −1 (32.8 mol g Ru −1 h −1 as normalized to the mass of the Ru catalyst), which …","https://www.cell.com/joule/fulltext/S2542-4351(21)00535-3","https://scholar.google.com/scholar?q=related:8mDYZMe0cCgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
229,"Y Zhao, W Gao, S Li, GR Williams, AH Mahadi, D Ma","Solar-versus thermal-driven catalysis for energy conversion",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30096-0","https://scholar.google.com/scholar?cites=14320422918693560207&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:48:20","HTML","","","",,,,,229,38.17,38,6,6,"Today's chemical industry is a pillar of our modern society, but it heavily relies on the consumption of non-renewable fossil fuels. The reaction conditions required to drive most of the …","https://www.cell.com/joule/fulltext/S2542-4351(19)30096-0","https://scholar.google.com/scholar?q=related:j58XjsVcvMYJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
296,"S Ding, MJ Hülsey, J Pérez-Ramírez, N Yan","Transforming energy with single-atom catalysts",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?cites=6950710672137471335&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 16:48:20","HTML","","","",,,,,296,49.33,74,4,6,"… -STEM images (Figure 3A), and DFT calculation was carried out to simulate the geometric structure of Co (Figure 3B). The prepared Co/MoS 2 catalyst with a large number of Co-S-Mo …","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?q=related:Z0VFpYfidWAJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
210,"C Xiao, BA Lu, P Xue, N Tian, ZY Zhou, X Lin, WF Lin, ...","High-index-facet-and high-surface-energy nanocrystals of metals and metal oxides as highly efficient catalysts",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(20)30459-1","https://scholar.google.com/scholar?cites=14823443570629112029&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 16:48:20","HTML","","","",,,,,210,42.00,26,8,5,"… of a catalyst plays a decisive role in its catalytic performance in terms of activity, selectivity, and stability. Therefore, study of surface-structure catalytic … for both metals and metal oxides. …","https://www.cell.com/joule/fulltext/S2542-4351(20)30459-1","https://scholar.google.com/scholar?q=related:3XBlt2Nzt80J:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
122,"BM Tackett, W Sheng, JG Chen","Opportunities and challenges in utilizing metal-modified transition metal carbides as low-cost electrocatalysts",2017,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(17)30009-0","https://scholar.google.com/scholar?cites=7832956778963878372&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:48:20","HTML","","","",,,,,122,15.25,41,3,8,"… conversion devices that will reduce the cost of platinum group metal (PGM) catalysts. Density functional theory (DFT) calculations show the ability to tune adsorbate binding energies …","https://www.cell.com/joule/fulltext/S2542-4351(17)30009-0","https://scholar.google.com/scholar?q=related:5EEhj7BAtGwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
369,"ZH Xue, D Luan, H Zhang, XWD Lou","Single-atom catalysts for photocatalytic energy conversion",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00580-8","https://scholar.google.com/scholar?cites=15151145573619437705&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 16:48:20","HTML","","","",,,,,369,123.00,92,4,3,"… and coordinated metal centers, single-atom catalysts (SACs) have emerged as cost-effective platforms for constructing efficient and reusable heterogeneous catalytic systems with …","https://www.cell.com/joule/fulltext/S2542-4351(21)00580-8","https://scholar.google.com/scholar?q=related:iZDR_5-uQ9IJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"B Xie, D Hu, P Kumar, VV Ordomsky, AY Khodakov, ...","Heterogeneous catalysis via light-heat dual activation: A path to the breakthrough in C1 chemistry",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00531-7","https://scholar.google.com/scholar?cites=16312029074358586425&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:48:20","","","","",,,,,15,15.00,3,6,1,"… ) photothermal catalysis reaction systems is provided. We evaluate the singular catalytic … Finally, we provide critical insights into the catalyst development and reactor design for high-…","https://www.cell.com/joule/fulltext/S2542-4351(23)00531-7","https://scholar.google.com/scholar?q=related:Ocz8rgT4X-IJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Li, Y Zhou, C Wan, X Li, P Qiao, S Xi, Y Fang, X Fu, ...","Neighboring nonmetal site as an intermediate modulator switching CO2 electroreduction pathway toward multicarbons",2025,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(25)00107-2","",9,"2025-05-17 16:48:20","","","","",,,,,0,0.00,0,9,1,"… Therefore, we employed DFT calculations to evaluate our proposed dual-descriptors strategy … Additionally, DFT-optimized electron density difference plots demonstrate that the P dopant …","https://www.sciencedirect.com/science/article/pii/S2542435125001072?casa_token=LnrhwCj4BQwAAAAA:5br0IftuwBW2aqzlr0S0mIXhj3LWz92hCjCbSF4g-i4Qyek22DMwwhYJVNJC3pycn3uQnGD4Iw","https://scholar.google.com/scholar?q=related:jjXMxwckPskJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"J Zhang, J Ding, Y Liu, C Su, H Yang, Y Huang, B Liu","Molecular tuning for electrochemical CO2 reduction",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00283-0","https://scholar.google.com/scholar?cites=5413474717952785644&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:48:20","","","","",,,,,68,34.00,10,7,2,"… Recently, molecular tuning has emerged as a powerful method to modify catalyst's surface and … Next, density functional theory (DFT) calculation toward different products is elaborated. …","https://www.sciencedirect.com/science/article/pii/S2542435123002830","https://scholar.google.com/scholar?q=related:7Dwi_JKGIEsJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
