Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"DA Kurtz, BM Hunter","Forming O–O bonds",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?cites=10991367098701223583&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:41:31","HTML","","","",,,,,6,2.00,3,2,3,"… DFT calculated overpotential under illumination … oxidation potential). The consequence of this assumption is that we will potentially underestimate that overpotential for water oxidation. …","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?q=related:n5YAOiQuiZgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
124,"J Vergnet, M Saubanère, ML Doublet, JM Tarascon","The structural stability of P2-layered Na-based electrodes during anionic redox",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30588-4?uuid=uuid%3A8b293e11-5428-4f2f-baee-07eed1513937","https://scholar.google.com/scholar?cites=10623173920244141648&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:41:31","HTML","","","",,,,,124,24.80,31,4,5,"… First-principle density functional theory (DFT) calculations were carried out to provide a … Based on these findings, we propose a magnetization-constrained DFT (MC-DFT) methodology …","https://www.cell.com/joule/fulltext/S2542-4351(19)30588-4?uuid=uuid%3A8b293e11-5428-4f2f-baee-07eed1513937","https://scholar.google.com/scholar?q=related:UI5Yf2UYbZMJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"AR Genreith-Schriever, H Banerjee, AS Menon, ...","Oxygen hole formation controls stability in LiNiO2 cathodes",2023,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(23)00267-2","https://scholar.google.com/scholar?cites=9931710276349689483&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:41:31","HTML","","","",,,,,75,37.50,19,4,2,"… Determining oxidation states using density functional theory (DFT) calculations requires the ground-state electron density to be partitioned and assigned to the individual ions; therefore, …","https://www.cell.com/joule/fulltext/S2542-4351(23)00267-2","https://scholar.google.com/scholar?q=related:i37rOeCF1IkJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"DH Lee, M Gong, E Lee, DH Seo","Oxygen redox in LiNiO2 cathodes",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00273-8","https://scholar.google.com/scholar?cites=2230841761652621117&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 16:41:31","","","","",,,,,4,2.00,1,4,2,"… determine the oxidation states, they employed the projection of density functional theory (DFT) … for predicting the oxidation states of metal oxide systems. The authors concluded that the …","https://www.sciencedirect.com/science/article/pii/S2542435123002738","https://scholar.google.com/scholar?q=related:PT9pQcOK9R4J:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"C Zhao, H Jeong, I Hwang, T Li, Y Wang, J Bai, L Li, ...","Polysulfide-incompatible additive suppresses spatial reaction heterogeneity of Li-S batteries",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00422-7","https://scholar.google.com/scholar?cites=7533916026577044230&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 16:41:31","","","","",,,,,7,7.00,1,8,1,"… CEI formation were investigated by density functional theory (DFT) simulations, NMR, and X-… Based on the above DFT, NMR, and XPS studies, it is evident that the sparingly dissolved …","","https://scholar.google.com/scholar?q=related:BkO_s7XYjWgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"R Feng, Y Chen, X Zhang, BJG Rousseau, P Gao, ...","Proton-regulated alcohol oxidation for high-capacity ketone-based flow battery anolyte",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00256-8","https://scholar.google.com/scholar?cites=1812059093202580174&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:41:31","","","","",,,,,13,6.50,2,6,2,"… We conducted density functional theory (DFT) analyses to evaluate the proton-accepting capability in terms of the pKa values of various candidate additives. The PT between FL-OH …","https://www.cell.com/joule/pdfExtended/S2542-4351(23)00256-8","https://scholar.google.com/scholar?q=related:zjJbAiW6JRkJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
382,"HB Tao, Y Xu, X Huang, J Chen, L Pei, J Zhang, ...","A general method to probe oxygen evolution intermediates at operating conditions",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30124-2?sf218151415=1","https://scholar.google.com/scholar?cites=7837932623167557214&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 16:41:31","HTML","","","",,,,,382,63.67,55,7,6,"… DFT calculation are consistent with experiments, it is still reliable to study the local structure at atomic or electronic level by DFT … 2A is supported by our DFT calculation, which visualizes …","https://www.cell.com/joule/fulltext/S2542-4351(19)30124-2?sf218151415=1","https://scholar.google.com/scholar?q=related:Xg5ZkTHuxWwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
386,"DA Kuznetsov, B Han, Y Yu, RR Rao, J Hwang, ...","Tuning redox transitions via inductive effect in metal oxides and complexes, and implications in oxygen electrocatalysis",2018,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(17)30185-X","https://scholar.google.com/scholar?cites=6308136670071689035&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:41:31","HTML","","","",,,,,386,55.14,64,6,7,"The reduction and oxidation (redox) of transition metals allow storing charge/energy in Li-ion batteries and electrochemical capacitors and play an important role in catalysis of …","https://www.cell.com/joule/fulltext/S2542-4351(17)30185-X","https://scholar.google.com/scholar?q=related:Sw89JuEAi1cJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"W Song, MA Pérez-Osorio, JJ Marie, E Liberti, X Luo, ...","Direct imaging of oxygen shifts associated with the oxygen redox of Li-rich layered oxides",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00146-5","https://scholar.google.com/scholar?cites=3785610900374397209&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 16:41:31","HTML","","","",,,,,31,10.33,5,6,3,"… O 2 molecules are formed in the O 2− oxidation of Li 1.2 [Ni 0.13 Mn 0.54 Co 0.13 … density functional theory (DFT) modeling with O 2 molecules formed in the TM vacancies after oxidation…","https://www.cell.com/joule/fulltext/S2542-4351(22)00146-5","https://scholar.google.com/scholar?q=related:GaGpjg4xiTQJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"N Ogihara, K Nagaya, H Yamaguchi, Y Kondo, ...","Direct capacity regeneration for spent Li-ion batteries",2024,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(24)00093-X","https://scholar.google.com/scholar?cites=18198405640113386965&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:41:31","HTML","","","",,,,,26,26.00,5,5,1,"With the rapid increase in lithium (Li)-ion battery applications, there is growing interest in the circulation of large quantities of spent batteries. However, existing recycling systems require …","https://www.cell.com/joule/fulltext/S2542-4351(24)00093-X","https://scholar.google.com/scholar?q=related:1XVsqYK5jfwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
