Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
26,"N Ogihara, K Nagaya, H Yamaguchi, Y Kondo…","Direct capacity regeneration for spent Li-ion batteries",2024,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(24)00093-X","https://scholar.google.com/scholar?cites=18198405640113386965&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 16:54:59","HTML","","","",,,,,26,26.00,5,5,1,"With the rapid increase in lithium (Li)-ion battery applications, there is growing interest in the circulation of large quantities of spent batteries. However, existing recycling systems require …","https://www.cell.com/joule/fulltext/S2542-4351(24)00093-X","https://scholar.google.com/scholar?q=related:1XVsqYK5jfwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"DA Kurtz, BM Hunter","Forming O–O bonds",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?cites=10991367098701223583&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 16:54:59","HTML","","","",,,,,6,2.00,3,2,3,"… , we have recently reported this mechanism to be operative via intramolecular reductive elimination of an Fe(VI) cis-dioxo species in an … DFT calculated overpotential under illumination …","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?q=related:n5YAOiQuiZgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"R Lin, C Ke, J Chen, S Liu, J Wang","Asymmetric donor-acceptor molecule-regulated core-shell-solvation electrolyte for high-voltage aqueous batteries",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00002-2?uuid=uuid%3A15340fe6-2da1-4d40-85c2-75510e9c45bf","https://scholar.google.com/scholar?cites=6066176298413459402&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 16:54:59","HTML","","","",,,,,102,34.00,20,5,3,"Salt-concentrated aqueous electrolytes show a wider electrochemical window than conventional aqueous electrolytes, yet still suffer from significant hydrogen evolution reaction (HER) …","https://www.cell.com/joule/fulltext/S2542-4351(22)00002-2?uuid=uuid%3A15340fe6-2da1-4d40-85c2-75510e9c45bf","https://scholar.google.com/scholar?q=related:ygfUEzRjL1QJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"G Li, D Dong, D Bedrov, Q Cai, H Wu, Z Wang, J Liu…","Correlating electrode nano-confinement to interphase chemistry",2025,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(25)00055-8","",4,"2025-05-17 16:54:59","","","","",,,,,0,0.00,0,8,1,"The electrode/electrolyte interphases in advanced batteries are critical for their performance, influencing the reversibility and rate capability of cell reactions. Although much research …","","https://scholar.google.com/scholar?q=related:QfRdsFuGHOwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
550,"C Yang, J Chen, T Qing, X Fan, W Sun, A von Cresce…","4.0 V aqueous Li-ion batteries",2017,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(17)30034-X","https://scholar.google.com/scholar?cites=4982061543043578865&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 16:54:59","HTML","","","",,,,,550,68.75,79,7,8,"Although recent efforts have expanded the stability window of aqueous electrolytes from 1.23 V to >3 V, intrinsically safe aqueous batteries still deliver lower energy densities (200 Wh/kg…","https://www.cell.com/joule/fulltext/S2542-4351(17)30034-X","https://scholar.google.com/scholar?q=related:8Ts_ypPWI0UJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"A Svirinovsky-Arbeli, M Juelsholt, R May, Y Kwon…","Using NMR spectroscopy to link structure to function at the Li solid electrolyte interphase",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00200-9","https://scholar.google.com/scholar?cites=12530541698613849381&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 16:54:59","","","","",,,,,13,13.00,3,5,1,"The performance of Li metal batteries is tightly coupled to the composition and properties of the solid electrolyte interphase (SEI). Even though the role of the SEI in battery function is …","https://par.nsf.gov/servlets/purl/10510027","https://scholar.google.com/scholar?q=related:JS0ZBUlt5a0J:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Belotti, F Matamala-Troncoso, AI McKay, TM Vu…","Is oxidation of dinitrogen at measurable rates possible under mild conditions?",2025,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(25)00105-9","",7,"2025-05-17 16:54:59","","","","",,,,,0,0.00,0,5,1,"Chemical activation of dinitrogen (N 2 ) gas is well established via reductive pathways in catalytic, electrochemical, and biochemical modes. In contrast, the possibility of N 2 oxidation …","","https://scholar.google.com/scholar?q=related:CFhtttZNsX8J:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
391,"X Rong, J Liu, E Hu, Y Liu, Y Wang, J Wu, X Yu, K Page…","Structure-induced reversible anionic redox activity in Na layered oxide cathode",2018,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(17)30132-0","https://scholar.google.com/scholar?cites=5871786704703122924&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 16:54:59","HTML","","","",,,,,391,55.86,43,9,7,"… Based on their density functional theory (DFT) calculations, the delithiation will drive the … study of anatase TiO 2 and rutile TiO 2 via DFT calculations. Their results indicate that the OO …","https://www.cell.com/joule/fulltext/S2542-4351(17)30132-0","https://scholar.google.com/scholar?q=related:7O2w2uXGfFEJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"H Wang, Z Liang, M Tang, G Chen, Y Li, W Chen, D Lin…","Self-selective catalyst synthesis for CO2 reduction",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30266-1","https://scholar.google.com/scholar?cites=4984002015334233508&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 16:54:59","HTML","","","",,,,,78,13.00,10,8,6,"… in the presence of CO 2 is furthermore suggested by density functional theory analysis. … Global climate change and energy demands underpin tremendous interest in the reductive …","https://www.cell.com/joule/fulltext/S2542-4351(19)30266-1","https://scholar.google.com/scholar?q=related:pPXTM227KkUJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
216,"BM Hunter, NB Thompson, AM Müller, GR Rossman…","Trapping an iron (VI) water-splitting intermediate in nonaqueous media",2018,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(18)30036-9?sf184805041=1&code=cell-site","https://scholar.google.com/scholar?cites=2021946636037951139&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 16:54:59","HTML","","","",,,,,216,30.86,43,5,7,"We report in situ spectroscopic measurements in nonaqueous media designed to trap an exceptionally strong oxidant generated electrochemically from an iron-containing nickel …","https://www.cell.com/joule/fulltext/S2542-4351(18)30036-9?sf184805041=1&code=cell-site","https://scholar.google.com/scholar?q=related:o47Ws8BlDxwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
