Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"X Shi, L Shi, J Wang, Y Zhou, S Zhao","Defect engineering of nanomaterials for selective electrocatalytic CO2 reduction",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00503-4","https://scholar.google.com/scholar?cites=6829744551384677616&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 17:40:19","","","","",,,,,5,5.00,1,5,1,"… (B) Schematic representation of possible pathways for CO 2 RR to generate value-added … Atomic-resolution electron microscopy and density functional theory (DFT) calculations …","https://www.sciencedirect.com/science/article/pii/S2590238524005034?casa_token=SnDHH7ar-TYAAAAA:z1NoZ2Vknz2CVDLGcp8tSHKrTx9qDMHB3U8_a-s8O--lWTfiysmyoc4fl-qJWdJqm63kl6wB1A","https://scholar.google.com/scholar?q=related:8Hzx43sgyF4J:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"Y Chen, RK Miao, C Yu, D Sinton, K Xie, EH Sargent","Catalyst design for electrochemical CO2 reduction to ethylene",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00621-5","https://scholar.google.com/scholar?cites=8936406501829387039&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 17:40:19","","","","",,,,,22,22.00,4,6,1,"… The emergence of automated screening methods that uses machine learning to guide DFT calculations represents a highly promising strategy for achieving exhaustive catalyst …","https://www.sciencedirect.com/science/article/pii/S2590238523006215","https://scholar.google.com/scholar?q=related:HyMIxl1-BHwJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"L Li, J Zhu, F Kong, Y Wang, C Kang, M Xu, C Du…","Tailoring atomic strain environment for high-performance acidic oxygen reduction by Fe-Ru dual atoms communicative effect",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00019-5","https://scholar.google.com/scholar?cites=2608216212312521372&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 17:40:19","","","","",,,,,44,44.00,6,8,1,"Elucidating how the local strain environment of single atoms affects their impact on a sluggish acidic oxygen reduction reaction (ORR) is important for the design and construction of …","https://www.cell.com/matter/fulltext/S2590-2385(24)00019-5","https://scholar.google.com/scholar?q=related:nHpNgNM-MiQJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Y Hou, H Liu, L Shi, S Zhao","Oxygen-affinity engineering on single-site catalysts for selective CO2 electroreduction",2024,"Matter","Elsevier","https://www.sciencedirect.com/science/article/pii/S2590238524001723?casa_token=1oJrUaTDq84AAAAA:eMLKrS3MuJ2GUp4KE8nEDUm_usWt42kA92uxQSrQzusUBEVy3M1iMslKD6Imb6XHyirFlIqo2Q","https://scholar.google.com/scholar?cites=16716581352905788668&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 17:40:19","HTML","","","",,,,,2,2.00,1,4,1,"… , density functional theory (DFT) calculations were conducted. As depicted in Figure 1B, electrocatalytic CO 2 RR to … of high-performance CO 2 RR electrocatalysts with enhanced activity …","https://www.sciencedirect.com/science/article/pii/S2590238524001723?casa_token=1oJrUaTDq84AAAAA:eMLKrS3MuJ2GUp4KE8nEDUm_usWt42kA92uxQSrQzusUBEVy3M1iMslKD6Imb6XHyirFlIqo2Q","https://scholar.google.com/scholar?q=related:_EzeFiw6_ecJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"X Zhan, X Fan, W Li, X Tan, AW Robertson…","Coupled metal atomic pairs for synergistic electrocatalytic CO2 reduction",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00492-2","https://scholar.google.com/scholar?cites=10338075847718725180&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 17:40:19","","","","",,,,,4,4.00,1,6,1,"… elemental distribution is an invaluable partner to density functional theory (DFT) calculations, with the experimental data acting as ideal inputs for DFT modeling. In the future, performing …","https://www.sciencedirect.com/science/article/pii/S2590238524004922?casa_token=fvIsCMGAsPQAAAAA:M9x3zraKqOcpEo2-S3DYom5wLT7U9sdc7yftE9t6fM_0smbwGsVH_Ut-yuA6UwCmi2cNkFCRZw","https://scholar.google.com/scholar?q=related:POZRxDU5eI8J:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Fan, L Yu, D Deng","Two-dimensional crystal lattice confining atoms for electrocatalysis",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00629-X","https://scholar.google.com/scholar?cites=107746319576403607&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 17:40:19","","","","",,,,,2,2.00,1,3,1,"… , 31 and the carbon dioxide reduction reaction (CO 2 RR). The confined N atoms in the graphene … Density functional theory (DFT) calculations reveal that confining single Co atoms can …","https://www.cell.com/matter/pdf/S2590-2385(23)00629-X.pdf","https://scholar.google.com/scholar?q=related:lw418LTKfgEJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Feng, J Yang, J Huang, T Zhang, S Lu","Carbon-based nanomaterials for carbon neutralization through electrochemical CO2 reduction and C–N coupling",2025,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(25)00120-1","",7,"2025-05-17 17:40:19","","","","",,,,,0,0.00,0,5,1,"… to promote electrochemical CO 2 reduction (CO 2 RR) and C–N coupling. … CO 2 RR and C–N coupling catalysts. This review demonstrates how carbon nanomaterials enhance CO 2 RR …","https://www.sciencedirect.com/science/article/pii/S2590238525001201?casa_token=tC3MCoY46eQAAAAA:DZ-sPvJqWf0HUI9dE3ypHARjRPG-JGWUraDnBQAIWG9uiqQAcjJARqbWx2FAMGht-GV3w9G7mg","https://scholar.google.com/scholar?q=related:rCUs0juxOMUJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
135,"Y Ma, J Wang, J Yu, J Zhou, X Zhou, H Li, Z He, H Long…","Surface modification of metal materials for high-performance electrocatalytic carbon dioxide reduction",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00007-2","https://scholar.google.com/scholar?cites=1216964277951329005&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 17:40:19","HTML","","","",,,,,135,33.75,15,9,4,"… modification of metal materials toward the electrocatalytic CO 2 RR. We first describe the reaction mechanism of electrochemical CO 2 RR, including the formation mechanisms of C 1 …","https://www.cell.com/matter/fulltext/S2590-2385(21)00007-2","https://scholar.google.com/scholar?q=related:7fKgI5CG4xAJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"SJ Zheng, H Chen, SQ Zang, J Cai","Chiral-induced spin selectivity in electrocatalysis",2025,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00593-9","https://scholar.google.com/scholar?cites=17116960980334132667&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 17:40:19","","","","",,,,,2,2.00,1,4,1,"… The electrocatalytic CO 2 RR is currently a research hotspot … the above materials for electrocatalytic CO 2 RR in an H-type … the reaction pathway of the CO 2 RR, they hypothesized that …","https://www.sciencedirect.com/science/article/pii/S2590238524005939?casa_token=zh1p5AOyyw4AAAAA:qgmAyjHdz9Tgt7sO5VMoql0MWRBOqjMhY2YbIA1U9QPwXrpSRhGbem2vqmdaoQGqlc_XJaqnsg","https://scholar.google.com/scholar?q=related:u70Jc1Kpi-0J:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"Y Chang, I Benlolo, Y Bai, C Reimer, D Zhou, H Zhang…","High-entropy alloy electrocatalysts screened using machine learning informed by quantum-inspired similarity analysis",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00528-9","https://scholar.google.com/scholar?cites=1025729098782347734&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 17:40:19","","","","",,,,,6,6.00,1,7,1,"… ), 18 and CO 2 reduction reaction (CO 2 RR), 19 showing promise in activity and selectivity by … out full DFT on sites having minimized total (combined) similarity. These DFT calculations …","https://www.sciencedirect.com/science/article/pii/S2590238524005289?casa_token=ef_-WJuXObIAAAAA:JrvuXvx9OBoB0z5JGxR4jx-xq-O-vZGqDbcoIWmusnDFQXnd9waBYFe9PPgu84xqm5fIfpxUWw","https://scholar.google.com/scholar?q=related:1hG0SC4fPA4J:scholar.google.com/&scioq=source:matter+%222590+2385%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
