Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"W Jiang, C Peng, H Jiang, M Zhu, Z Zhou","Ion-migration-induced dual interface dipoles for high-performance perovskite solar cells",2025,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(25)00128-6","",1,"2025-05-17 17:30:37","","","","",,,,,0,0.00,0,5,1,"… This results in dual interface dipoles due to the migration of BF 4 − , which accelerates the separation of hole-electron pairs and the extraction of carriers. Ab initio and DFT calculations, …","https://www.sciencedirect.com/science/article/pii/S2590238525001286?casa_token=TEfuxiFSzKMAAAAA:kUqIOwvJAiySIw5L0MDBmPyYoUOuNejMejhtBuytkHT-5AHjGpSIA-27upqhUgfXyDGeetbzbg","https://scholar.google.com/scholar?q=related:ATw2H0bJ3HIJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"JV Handy, W Zaheer, R Albers, G Agbeworvi, TD Boyko…","Protecting groups in insertion chemistry: Site-selective positioning of lithium ions in intercalation hosts",2023,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(23)00054-1","https://scholar.google.com/scholar?cites=8709313348686816478&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 17:30:37","HTML","","","",,,,,7,3.50,1,6,2,"… Site preferences and diffusion pathways are most commonly inferred from density functional theory calculations, which are often problematic in their treatment of the dynamical evolution …","https://www.cell.com/matter/fulltext/S2590-2385(23)00054-1","https://scholar.google.com/scholar?q=related:3qQLwliy3XgJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
134,"S Wang, Q Sun, W Chen, Y Tang, B Aguila, Y Pan…","Programming covalent organic frameworks for photocatalysis: investigation of chemical and structural variations",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(19)30296-6","https://scholar.google.com/scholar?cites=8717080691114768653&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 17:30:37","HTML","","","",,,,,134,26.80,19,7,5,"There has been a surge of interest in light-driven chemical transformations using organic photoredox catalysts, whereby a suitable energy alignment and efficient exciton migration are …","https://www.cell.com/matter/fulltext/S2590-2385(19)30296-6","https://scholar.google.com/scholar?q=related:DflPGLRK-XgJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"J Wang, T Ghosh, Z Ju, MF Ng, G Wu, G Yang, X Zhang…","Heterojunction structure of cobalt sulfide cathodes for high-performance magnesium-ion batteries",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00115-2","https://scholar.google.com/scholar?cites=13832496863222521150&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 17:30:37","","","","",,,,,19,19.00,2,8,1,"… a heterointerface structure of cobalt sulfide (Co 3 S 4 /CoS 2 ) hollow nanospheres to enable built-in electric fields generated in heterointerfaces, as verified in density functional theory, …","https://www.cell.com/matter/fulltext/S2590-2385(24)00115-2","https://scholar.google.com/scholar?q=related:Pl0VAZzm9r8J:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"H Luo, C Lin, YE You, X Zhang, J Li, L Zhang, J Sun…","An ultralong single-crystalline nanoporous 3D transition metal-oxo framework nanowire family",2023,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00409-5","https://scholar.google.com/scholar?cites=10445943280822257825&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 17:30:37","","","","",,,,,5,2.50,1,8,2,"… H−Co−O−Bpin, into which the following migratory insertion of 1a affords another vinyl-Co … Such a catalytic path is supported by the density functional theory (DFT) calculations (Figure …","https://www.cell.com/matter/pdfExtended/S2590-2385(23)00409-5","https://scholar.google.com/scholar?q=related:oQhKpRFy95AJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
299,"Y Liu, Z Xu, Z Yang, Y Zhang, J Cui, Y He, H Ye…","Inch-size 0D-structured lead-free perovskite single crystals for highly sensitive stable X-ray imaging",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30188-0","https://scholar.google.com/scholar?cites=696657205648066720&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 17:30:37","HTML","","","",,,,,299,59.80,37,8,5,"Ion migration in perovskite materials accelerates its decomposition—deteriorating device performance, causing baseline drift, and lowering imaging resolution. In particular, in X-ray …","https://www.cell.com/matter/fulltext/S2590-2385(20)30188-0","https://scholar.google.com/scholar?q=related:oIjemAkGqwkJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"C Wang, X Zeng, J Qu, JM Cairney, Q Meng, PJ Cullen…","Salt-tolerance training enabled flexible molten hydrate gel electrolytes for energy-dense and stable zinc storage",2023,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00447-2","https://scholar.google.com/scholar?cites=15426832932829145722&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 17:30:37","","","","",,,,,63,31.50,9,7,2,"… density functional theory (DFT) calculations based on the most stable configurations (Figure S3). Figures 2A and 2B show that the E b in PAMPS-Na is about 2.6 times larger than that in …","https://www.cell.com/matter/pdfExtended/S2590-2385(23)00447-2","https://scholar.google.com/scholar?q=related:eiqUStEeF9YJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"C Zeng, J Chen, H Yang, A Yang, C Cui, Y Zhang, X Li…","Visualizing fast interlayer anisotropic lithium diffusion via single crystal microbattery",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(22)00460-X","https://scholar.google.com/scholar?cites=17964038641270860335&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 17:30:37","HTML","","","",,,,,10,3.33,1,8,3,"… set respectively to be 27.2 GPa and 0.25 according to our density functional theory calculation (Note S2). The Li insertion induced chemical expansion coefficient was set to be 0.1 to …","https://www.cell.com/matter/fulltext/S2590-2385(22)00460-X","https://scholar.google.com/scholar?q=related:LypXePcVTfkJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"C He, J Qiu, Z Mu, J Chen, Y Wu, Z Jiang, P Zhang…","Room temperature circularly polarized emission in perovskite nanocrystals through bichiral-molecule-induced lattice reconstruction",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00620-3","https://scholar.google.com/scholar?cites=1450487334722700010&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 17:30:37","","","","",,,,,14,14.00,2,8,1,"… a bilayer MBA was inserted into the (001) planes of [PbBr6] 4− octahedra, followed by structural optimization by first-principles calculations based on density functional theory (DFT). The …","https://www.cell.com/matter/pdfExtended/S2590-2385(23)00620-3","https://scholar.google.com/scholar?q=related:6oJZwYsqIRQJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
415,"P Prabhu, V Jose, JM Lee","Design strategies for development of TMD-based heterostructures in electrochemical energy systems",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30001-1","https://scholar.google.com/scholar?cites=12587510238650372902&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 17:30:37","HTML","","","",,,,,415,83.00,138,3,5,"… experimentally and theoretically with the help of DFT calculations. Scanning TEM images verified … DFT calculations also revealed that alloying with an optimized ratio of transition metal …","https://www.cell.com/matter/fulltext/S2590-2385(20)30001-1","https://scholar.google.com/scholar?q=related:JhNZ3d7Rr64J:scholar.google.com/&scioq=source:matter+%222590+2385%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
