Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"Y Wang, H He, Y Li, W Wang, L Deng, L Wu, Y Zhang…","Unraveling the photo-induced dynamic behavior of COF-based Z-scheme heterostructure monolithic aerogels",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00228-5","https://scholar.google.com/scholar?cites=13134605892692205898&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 17:39:56","","","","",,,,,13,13.00,2,8,1,"… long-lived free charge carriers for photoredox reactions. The aerogel exhibits a high … −COF were investigated through density functional theory (DFT) calculations. As depicted in …","https://www.sciencedirect.com/science/article/pii/S2590238524002285?casa_token=lGnxTCJVMOsAAAAA:R8fkOP-4dz4VVT_oPjwG7nr3TUtYcpynm7liQLeUr7SdMdnHEJ8mhF2dKcu5mEX9CY7uYjlShw","https://scholar.google.com/scholar?q=related:SuGrInh-R7YJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
134,"S Wang, Q Sun, W Chen, Y Tang, B Aguila, Y Pan…","Programming covalent organic frameworks for photocatalysis: investigation of chemical and structural variations",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(19)30296-6","https://scholar.google.com/scholar?cites=8717080691114768653&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 17:39:56","HTML","","","",,,,,134,26.80,19,7,5,"… transformations using organic photoredox catalysts, whereby a … Combined spectroscopies, density functional theory calculations, … Recently, organic photoredox catalysts have been …","https://www.cell.com/matter/fulltext/S2590-2385(19)30296-6","https://scholar.google.com/scholar?q=related:DflPGLRK-XgJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
144,"X Sun, X Zhang, Y Xie","Surface defects in two-dimensional photocatalysts for efficient organic synthesis",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30068-0","https://scholar.google.com/scholar?cites=9998899719110722523&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 17:39:56","HTML","","","",,,,,144,28.80,48,3,5,"… As revealed by density functional theory (DFT) calculations, oxygen vacancies in a Bi 2 O 3 slab created a new defect level, making the photogenerated electrons more easily excited to …","https://www.cell.com/matter/fulltext/S2590-2385(20)30068-0","https://scholar.google.com/scholar?q=related:2wNZblE6w4oJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"W Li, L Huang, H Zhang, Y Wu, F Wei, T Zhang, J Fu…","Supramolecular mineralization strategy for engineering covalent organic frameworks with superior Zn-I2 battery performances",2023,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(23)00210-2?uuid=uuid%3A77c4685a-51ec-4881-a8a4-b19105523424","https://scholar.google.com/scholar?cites=4837584658100194239&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 17:39:56","HTML","","","",,,,,44,22.00,6,8,2,"… The supramolecular assembly process was also further clarified in detail by density functional theory (DFT) calculations. The results suggest that the PY-SA complex has a tendency to …","https://www.cell.com/matter/fulltext/S2590-2385(23)00210-2?uuid=uuid%3A77c4685a-51ec-4881-a8a4-b19105523424","https://scholar.google.com/scholar?q=related:vwvxrJ2NIkMJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
293,"Y Pan, C Zhang, Z Liu, C Chen, Y Li","Structural regulation with atomic-level precision: From single-atomic site to diatomic and atomic interface catalysis",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(19)30389-3","https://scholar.google.com/scholar?cites=9423035610496183429&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 17:39:56","HTML","","","",,,,,293,58.60,59,5,5,"… Combining the results of extended X-ray absorption fine structure (EXAFS) and density functional theory (DFT) calculations, the team found that the single Pt atoms exist in the form of Pt-…","https://www.cell.com/matter/fulltext/S2590-2385(19)30389-3","https://scholar.google.com/scholar?q=related:hSx7XfZYxYIJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"YJ Gao, XB Li, XZ Wang, NJ Zhao, Y Zhao, Y Wang…","Site-and spatial-selective integration of non-noble metal ions into quantum dots for robust hydrogen photogeneration",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30313-1","https://scholar.google.com/scholar?cites=5896839139005077029&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 17:39:56","HTML","","","",,,,,48,9.60,7,7,5,"Artificial photosystems consisting of semiconductor quantum dots (QDs) and non-noble metal ions (eg, Fe 2+ , Co 2+ , Ni 2+ ) show intrinsic advantages in efficient and cost-effective …","https://www.cell.com/matter/fulltext/S2590-2385(20)30313-1","https://scholar.google.com/scholar?q=related:JZYEQvTH1VEJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
95,"Y Ding, S Maitra, S Halder, C Wang, R Zheng…","Emerging semiconductors and metal-organic-compounds-related photocatalysts for sustainable hydrogen peroxide production",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(22)00231-4","https://scholar.google.com/scholar?cites=627928655359094554&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 17:39:56","HTML","","","",,,,,95,31.67,16,6,3,"… Therefore, the recombination of hole-electron pairs can promote more charges to join in photoredox H 2 O 2 production (Figure 2C). Clearly, this two-channel way gives rise to H 2 O 2 …","https://www.cell.com/matter/fulltext/S2590-2385(22)00231-4","https://scholar.google.com/scholar?q=related:Gq_3_sjZtggJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"A Wang, C Bozal-Ginesta, SGH Kumar, A Aspuru-Guzik…","Designing materials acceleration platforms for heterogeneous CO2 photo (thermal) catalysis",2023,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00117-0","https://scholar.google.com/scholar?cites=18201876298035667003&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 17:39:56","","","","",,,,,18,9.00,4,5,2,"Materials acceleration platforms (MAPs) combine automation and artificial intelligence to accelerate the discovery of molecules and materials. They have potential to play a role in …","https://www.cell.com/matter/fulltext/S2590-2385(23)00117-0","https://scholar.google.com/scholar?q=related:O6AELg4OmvwJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"ZA VanOrman, L Nienhaus","Feeling blue no more: How TIPS-naphthalene enables efficient visible-to-UV upconversion",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00294-0","https://scholar.google.com/scholar?cites=5267494706323119291&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 17:39:56","HTML","","","",,,,,9,2.25,5,2,4,"… High-energy UV radiation is used for numerous applications, including photoredox catalysis, … First, density functional theory (DFT) calculations showed a lower triplet energy level for …","https://www.cell.com/matter/fulltext/S2590-2385(21)00294-0","https://scholar.google.com/scholar?q=related:u9yj6obmGUkJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X He, H Wang, J Sun, X Zhang, K Chang, F Xue","Intercalation of functional materials with phase transitions for neuromorphic applications",2025,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00538-1","https://scholar.google.com/scholar?cites=7815862656338378510&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 17:39:56","","","","",,,,,1,1.00,0,6,1,"… Surprisingly, via the mediation of the photoredox reaction, Li intercalation-based phase transition can be greatly accelerated up to six orders of magnitude, 63 which facilitates the in situ …","https://www.sciencedirect.com/science/article/pii/S2590238524005381?casa_token=KLLpMLu2t-gAAAAA:4ASIFZAWtwF9wECahpKtam-Tu0XLp62nd6Idzm8bFuBur0vGGtiKjNhfNs7nVCdYpL3ghMOCfg","https://scholar.google.com/scholar?q=related:Dj9K_KyFd2wJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
