Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"S Lotfi, Z Zhang, G Viswanathan, K Fortenberry, ...","Targeting productive composition space through machine-learning-directed inorganic synthesis",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30235-6","https://scholar.google.com/scholar?cites=10815112316880681624&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-17 17:06:15","HTML","","","",,,,,21,4.20,4,5,5,"… set based on DFT formation energies, Δ E f , DFT , data … the lowest ΔE f,DFT was considered for each composition … ) compounds without a ΔE f,DFT were eliminated from the training set; …","https://www.cell.com/matter/fulltext/S2590-2385(20)30235-6","https://scholar.google.com/scholar?q=related:mPqf7Vn_FpYJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"H Liu, Z Deng, Z Zhang, W Lin, M Zhang, H Wang","Graphene quantum dots as metal-free nanozymes for chemodynamic therapy of cancer",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00619-7","https://scholar.google.com/scholar?cites=3134078924879142865&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-17 17:06:15","","","","",,,,,20,20.00,3,6,1,"… (TME) to generate highly cytotoxic ·OH for targeted tumor cell eradication. Density functional theory (DFT) calculations have confirmed that the synergetic effect of N/P co-doping reduces …","https://www.cell.com/matter/pdfExtended/S2590-2385(23)00619-7","https://scholar.google.com/scholar?q=related:0Z91Vy18fisJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"JX Wang, L Gutierrez-Arzaluz, X Wang, M Almalki, ...","Nearly 100% energy transfer at the interface of metal-organic frameworks for X-ray imaging scintillators",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00574-9","https://scholar.google.com/scholar?cites=2883716103134563246&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-17 17:06:15","HTML","","","",,,,,92,30.67,18,5,3,"… to conjugated organic dye nanocomposites, eliminating the reabsorption problem in CsPbBr 3 … Time-resolved spectroscopic measurements supported by density functional theory (DFT) …","https://www.cell.com/matter/fulltext/S2590-2385(21)00574-9","https://scholar.google.com/scholar?q=related:rstoaIQEBSgJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
236,"Y Zhang, S Yu, B Han, Y Zhou, X Zhang, X Gao, Z Tang","Circularly polarized luminescence in chiral materials",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(22)00001-7","https://scholar.google.com/scholar?cites=17249108499730240852&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-17 17:06:15","HTML","","","",,,,,236,78.67,34,7,3,"Due to their magnetic photophysical properties, circularly polarized luminescence (CPL) materials are of particular interest. They have a wide range of potential applications in …","https://www.cell.com/matter/fulltext/S2590-2385(22)00001-7","https://scholar.google.com/scholar?q=related:VJWXcsokYe8J:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
96,"PA Rasheed, RP Pandey, F Banat, SW Hasan","Recent advances in niobium MXenes: Synthesis, properties, and emerging applications",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00679-2","https://scholar.google.com/scholar?cites=176370498374732082&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-17 17:06:15","HTML","","","",,,,,96,32.00,24,4,3,"… This magnetic behavior in Nb 2 CT x was later evaluated by first-density functional theory (DFT) calculations, and the results showed a negative magnetic moment of Nb 2 CT x , …","https://www.cell.com/matter/fulltext/S2590-2385(21)00679-2","https://scholar.google.com/scholar?q=related:Mgl8qAiYcgIJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"S Zhang, A Chen, Y An, Q Li","Arene-perfluoroarene interaction: Properties, constructions, and applications in materials science",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00354-0","https://scholar.google.com/scholar?cites=6951284963455794717&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-17 17:06:15","","","","",,,,,6,6.00,2,4,1,"… Through employing density functional theory (DFT) calculations, we elucidate the binding affinities of diverse arene-perfluoroarene interaction pairs. Moreover, manifold self-assembly …","https://www.sciencedirect.com/science/article/pii/S2590238524003540?casa_token=l8XvBU-0vagAAAAA:aqWg60S4q_2_8sO07gqWiUNvky5SMwh2lmCWjV1Fp7gNK_5aJD9FFWrUZVbS2S2bXQUpNXGeLw","https://scholar.google.com/scholar?q=related:Hf5LQ9jsd2AJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"B Fan, Y Zhang, Y Lv","Synthetic hydrogel polymer nanoparticles as a structural mimic of carbonic anhydrase",2023,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00499-X","https://scholar.google.com/scholar?cites=17728681132679374094&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-17 17:06:15","","","","",,,,,6,3.00,2,3,2,"… with the EXAFS fitting and density functional theory (DFT) simulation of analogous structures… EXAFS fitting and 1.84 Å from DFT) 17 and CFA-1a (1.95 or 1.936 Å from DFT), 34 , 35 as …","https://www.cell.com/matter/pdfExtended/S2590-2385(23)00499-X","https://scholar.google.com/scholar?q=related:DiWGQY_tCPYJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"M Zhang, B Qiu, JM Gallardo-Amores, M Olguin, H Liu, ...","High pressure effect on structural and electrochemical properties of anionic redox-based lithium transition metal oxides",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30580-4","https://scholar.google.com/scholar?cites=475906927243926967&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-17 17:06:15","HTML","","","",,,,,19,4.75,3,6,4,"… 0.083(1) for the sample treated with 2.7 GPa (Figure 2B). The … solid-state simulation using density functional theory (DFT). … suggests that crystal internal strain elimination is the key to …","https://www.cell.com/matter/fulltext/S2590-2385(20)30580-4","https://scholar.google.com/scholar?q=related:t52FMNTCmgYJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
226,"S Liu, B Wang, X Zhang, S Zhao, Z Zhang, H Yu","Reviving the lithium-manganese-based layered oxide cathodes for lithium-ion batteries",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00105-3?dgcid=raven_jbs_etoc_email","https://scholar.google.com/scholar?cites=15204988641793970619&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-17 17:06:15","HTML","","","",,,,,226,56.50,38,6,4,"… Once the J–T effect is well eliminated by advanced material design strategies, the revival of … Finally, we tentatively propose promising design trends with eliminated J–T effect to revive …","https://www.cell.com/matter/fulltext/S2590-2385(21)00105-3?dgcid=raven_jbs_etoc_email","https://scholar.google.com/scholar?q=related:u5H6N5z4AtMJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"…, P Kerns, Y Dang, S Dissanayake, S Schaefer, B Liu, ...","Template-free synthesis of mesoporous and crystalline transition metal oxide nanoplates with abundant surface defects",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30064-3","https://scholar.google.com/scholar?cites=710936326086245440&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-17 17:06:15","HTML","","","",,,,,57,11.40,8,7,5,"… catalase-like activity, we carried out DFT calculations on Co 3 O 4 (… (A and B) Reaction steps simulated by DFT for H 2 O 2 … , our synthesis utilizes the elimination and diffusion of small …","https://www.cell.com/matter/fulltext/S2590-2385(20)30064-3","https://scholar.google.com/scholar?q=related:QLxKZtLA3QkJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
