Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
39,"T Shen, W Li, Y Zhao, Y Liu, Y Wang","An all-C–H-activation strategy to rapidly synthesize high-mobility well-balanced ambipolar semiconducting polymers",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(22)00160-6?uuid=uuid%3Aeec8bc38-e8f0-4255-94e5-346a2a7580ca","https://scholar.google.com/scholar?cites=14552942972245669986&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 21:43:51","HTML","","","",,,,,39,13.00,8,5,3,"… In order to address this dilemma, we report here an all-C–H-activation strategy to efficiently … Remarkably, two-step C–H activation reactions from monomer syntheses to polymerization …","https://www.cell.com/matter/fulltext/S2590-2385(22)00160-6?uuid=uuid%3Aeec8bc38-e8f0-4255-94e5-346a2a7580ca","https://scholar.google.com/scholar?q=related:Yng4SYdw9skJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"K Pang, Y Tang, C Qiu, M Zhang, A Tayal, S Feng, ...","Redirecting configuration of atomically dispersed selenium catalytic sites for efficient hydrazine oxidation",2024,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(23)00614-8","https://scholar.google.com/scholar?cites=13035662310587584414&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 21:43:51","HTML","","","",,,,,17,17.00,2,7,1,"… Density functional theory (DFT) was then employed to establish several plausible models, and Se K-edge XANES simulations were conducted for each model using the ab initio …","https://www.cell.com/matter/fulltext/S2590-2385(23)00614-8","https://scholar.google.com/scholar?q=related:nk-FOs7557QJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"C Yang, L Zhang, Y Lu, Y Zou, S Wang","Designing efficient catalysts for electrocatalytic organic synthesis: From electronic structure to adsorption behavior",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00625-2","https://scholar.google.com/scholar?cites=9893095376464704125&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 21:43:51","","","","",,,,,25,25.00,5,5,1,"… The results of density functional theory (DFT) calculation further confirmed that the HMF molecule obtained low adsorption energy (−3.77 eV) on Ir-Co 3 O 4 (Figure 5B), which …","https://www.sciencedirect.com/science/article/pii/S2590238523006252","https://scholar.google.com/scholar?q=related:ffI8O9RVS4kJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
72,"X Liu, SM Cho, S Lin, Z Chen, W Choi, YM Kim, E Yun, ...","Constructing two-dimensional holey graphyne with unusual annulative π-extension",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(22)00211-9?uuid=uuid%3A7cbbe189-89d8-47cb-8bd5-1150ad56c0d2","https://scholar.google.com/scholar?cites=8981079747867070833&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 21:43:51","HTML","","","",,,,,72,24.00,9,8,3,"… Structure and stability of HGY by DFT computations By means of density functional theory (DFT) computations, we theoretically investigated the geometric structure of HGY and its …","https://www.cell.com/matter/fulltext/S2590-2385(22)00211-9?uuid=uuid%3A7cbbe189-89d8-47cb-8bd5-1150ad56c0d2","https://scholar.google.com/scholar?q=related:cVESZ3I0o3wJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
53,"X Zhang, H Liu, Y Shi, J Han, Z Yang, Y Zhang, C Long, ...","Boosting CO2 conversion with terminal alkynes by molecular architecture of graphene oxide-supported Ag nanoparticles",2020,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30380-5","https://scholar.google.com/scholar?cites=11732030404730139574&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 21:43:51","HTML","","","",,,,,53,10.60,7,8,5,"Carboxylation of terminal alkynes with CO 2 via direct C–H bond activation is a highly appealing way to capture and convert CO 2 but faces great challenges and difficulty. Here, we …","https://www.cell.com/matter/fulltext/S2590-2385(20)30380-5","https://scholar.google.com/scholar?q=related:trMFgH6L0KIJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"Q Huang, Q Li, J Liu, R Wang, YQ Lan","Disclosing CO2 activation mechanism by hydroxyl-induced crystalline structure transformation in electrocatalytic process",2019,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(19)30107-9","https://scholar.google.com/scholar?cites=14658719664770620322&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 21:43:51","HTML","","","",,,,,70,11.67,14,5,6,"… DFT Calculations Density functional theory (DFT) calculations were further performed to … DFT calculation results show that both O-adsorbed and C-adsorbed initial geometries are …","https://www.cell.com/matter/fulltext/S2590-2385(19)30107-9","https://scholar.google.com/scholar?q=related:opuvsN47bssJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"J Fu, Y Wang, S Das, S Zhang, X Zhang, H Xiao, J Li, ...","Ultra-efficient deuterium separation under ambient conditions by a crystalline porous organic framework-Pd nanoparticle hybrid",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00233-9","https://scholar.google.com/scholar?cites=11607783164206591575&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 21:43:51","","","","",,,,,5,5.00,1,8,1,"For the hydrogen isotopes of protium, deuterium, and tritium, separation of deuterium gas (D 2 ) from the mixture is of critical importance. High-purity D 2 can be utilized for …","","https://scholar.google.com/scholar?q=related:Vy5LhEkhF6EJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"Y Wang, H He, Y Li, W Wang, L Deng, L Wu, Y Zhang, ...","Unraveling the photo-induced dynamic behavior of COF-based Z-scheme heterostructure monolithic aerogels",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00228-5","https://scholar.google.com/scholar?cites=13134605892692205898&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 21:43:51","","","","",,,,,13,13.00,2,8,1,"… The coordination interactions between Re(I) on Re-CP and different N on the OH−COF were investigated through density functional theory (DFT) calculations. As depicted in Figure 3A, …","","https://scholar.google.com/scholar?q=related:SuGrInh-R7YJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
376,"AS Rosen, SM Iyer, D Ray, Z Yao, A Aspuru-Guzik, ...","Machine learning the quantum-chemical properties of metal–organic frameworks for accelerated materials discovery",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00070-9","https://scholar.google.com/scholar?cites=13369157910890322938&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 21:43:51","HTML","","","",,,,,376,94.00,63,6,4,"… model that can rapidly predict the DFT-computed band gaps of MOFs. Specifically, we aim to predict the computed band gaps of the DFT-optimized structures from the unoptimized, …","https://www.cell.com/matter/fulltext/S2590-2385(21)00070-9","https://scholar.google.com/scholar?q=related:-pu4gEnKiLkJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
137,"R Pollice, P Friederich, C Lavigne, ...","Organic molecules with inverted gaps between first excited singlet and triplet states and appreciable fluorescence rates",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00072-2","https://scholar.google.com/scholar?cites=4671023752375394183&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 21:43:51","HTML","","","",,,,,137,34.25,34,4,4,"One recent proposal for designing state-of-the-art emissive materials in organic light-emitting diodes (OLEDs) is the principle of thermally activated delayed fluorescence (TADF). The …","https://www.cell.com/matter/fulltext/S2590-2385(21)00072-2","https://scholar.google.com/scholar?q=related:h1-_yVrP0kAJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
439,"ZF Huang, J Song, S Dou, X Li, J Wang, X Wang","Strategies to break the scaling relation toward enhanced oxygen electrocatalysis",2019,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(19)30226-7","https://scholar.google.com/scholar?cites=3680722873225971497&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-15 21:43:51","HTML","","","",,,,,439,73.17,73,6,6,"… Using DFT calculations, they found that the combination of a nearby proton donor/acceptor such as -COOH and manganese porphyrin (MnN 4 ) can circumvent the scaling relation and …","https://www.cell.com/matter/fulltext/S2590-2385(19)30226-7","https://scholar.google.com/scholar?q=related:KQdKr_ONFDMJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"Z Xie, LR Winter, JG Chen","Bimetallic-derived catalysts and their application in simultaneous upgrading of CO2 and ethane",2021,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(20)30630-5","https://scholar.google.com/scholar?cites=11272096593239563086&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-15 21:43:51","HTML","","","",,,,,42,10.50,14,3,4,"… the reaction pathways as well as the binding and activation energies of critical reaction intermediates. Density functional theory (DFT) calculations in combination with machine learning …","https://www.cell.com/matter/fulltext/S2590-2385(20)30630-5","https://scholar.google.com/scholar?q=related:TlvvISGIbpwJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"JX Wang, L Gutierrez-Arzaluz, X Wang, M Almalki, ...","Nearly 100% energy transfer at the interface of metal-organic frameworks for X-ray imaging scintillators",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(21)00574-9","https://scholar.google.com/scholar?cites=2883716103134563246&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-15 21:43:51","HTML","","","",,,,,92,30.67,18,5,3,"… Time-resolved spectroscopic measurements supported by density functional theory (DFT) calculations indicate that the unity energy transfer results from the ultra-short distance and the …","https://www.cell.com/matter/fulltext/S2590-2385(21)00574-9","https://scholar.google.com/scholar?q=related:rstoaIQEBSgJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
