Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"T Jang, D Kim, S Seo, H Kim","Ligand-induced suppression of undesirable pathways in cobalt-catalyzed hydroformylation",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00243-1","",1,"2025-05-15 18:30:18","HTML","","","",,,,,0,0.00,0,4,1,"… catalysts, particularly in propene hydroformylation. This has prompted the search for alternative metal catalysts. … Lastly, we demonstrate cobalt-catalyzed propene hydroformylation using …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00243-1","https://scholar.google.com/scholar?q=related:1nUkcjaj1gcJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"F Calcagno, C Cesari, A Gagliardi, A Messori, ...","Combined computational-experimental study of Ru (0)-catalyzed Guerbet reaction",2024,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00605-2","https://scholar.google.com/scholar?cites=8500528386787360947&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:30:18","HTML","","","",,,,,2,2.00,0,5,1,"… To evaluate the influence of the solvent and the dispersion effects during geometry optimizations on these DFT results, we first compared the minimum energy pathways (MEPs) for …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00605-2","https://scholar.google.com/scholar?q=related:s8CVsYfx93UJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"MJ Craig, M García-Melchor","High-throughput screening and rational design to drive discovery in molecular water oxidation catalysis",2021,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00192-2","https://scholar.google.com/scholar?cites=6309732429654208533&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:30:18","HTML","","","",,,,,23,5.75,12,2,4,"… To confirm the robust nature of this relationship, we used a set of four different DFT methods, which include two widely used hybrid meta-generalized gradient approximation (m-GGA) …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00192-2","https://scholar.google.com/scholar?q=related:FTBN4TaskFcJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"H Chen, S Yamaguchi, Y Morita, H Nakao, ...","Data-driven catalyst optimization for stereodivergent asymmetric synthesis by iridium/boron hybrid catalysis",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00404-5?uuid=uuid%3Ad326f615-55a8-49fe-8ea2-7ce13ce77cae","https://scholar.google.com/scholar?cites=11554762372105709877&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:30:18","HTML","","","",,,,,46,11.50,9,5,4,"… Although machine-learning-based optimization of molecular catalysis is a rapidly growing research field, the use of such approaches for catalyst design to achieve stereodivergent …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00404-5?uuid=uuid%3Ad326f615-55a8-49fe-8ea2-7ce13ce77cae","https://scholar.google.com/scholar?q=related:NSlpXSjDWqAJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"A Bermejo-López, M Li, NVRA Dharanipragada, ...","A general catalyst for the base-free mono-N-alkylation of aromatic and aliphatic amines with alcohols",2024,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00251-0","https://scholar.google.com/scholar?cites=16299481065616761255&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:30:18","HTML","","","",,,,,1,1.00,0,4,1,"The catalytic alkylation of amines with alcohols is a highly atom-economical approach that produces water as the sole by-product. Existing catalytic systems lack generality and are …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00251-0","https://scholar.google.com/scholar?q=related:p-FKu6tjM-IJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"D Yuan, X Dou, S Wang, C Li, Y Sun, W Li, ...","Defect activation of atomically thin electrocatalysts for the oxygen evolution reaction",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00250-3","https://scholar.google.com/scholar?cites=397059513208618911&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 18:30:18","HTML","","","",,,,,1,0.50,0,7,2,"Atomically thin materials with unique physicochemical properties have emerged as promising electrocatalysts for the oxygen evolution reaction. Despite the advantages of atomic …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00250-3","https://scholar.google.com/scholar?q=related:nz99B4ajggUJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"Y Pan, L Tang, M Ding","Electrostatic polarization in single-atom catalysis",2023,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00191-1","https://scholar.google.com/scholar?cites=11185185841764997925&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 18:30:18","HTML","","","",,,,,8,4.00,3,3,2,"Electrostatic effects induced by oriented electric fields are common in natural enzymatic systems and have been shown to be a novel, clean, and effective ""reagent"" in single-molecule …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00191-1","https://scholar.google.com/scholar?q=related:JZsh7ULDOZsJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"MM Shoshani","Cooperative heterometallic platforms enabling selective C–H bond activation and functionalization of pyridines",2023,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00531-8","https://scholar.google.com/scholar?cites=5317168217488335170&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 18:30:18","HTML","","","",,,,,9,4.50,9,1,2,"The development of methodologies for regioselective C–H functionalization of N-heterocycles has seen sustained growth over the last two decades. Cooperative reactivity stemming …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00531-8","https://scholar.google.com/scholar?q=related:QqFjflJgykkJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"X Yan, H Liu, Y Jia, L Zhang, W Xu, X Wang, ...","Clarifying the origin of oxygen reduction activity in heteroatom-modified defective carbon",2020,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30078-3","https://scholar.google.com/scholar?cites=3373913661140325208&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 18:30:18","HTML","","","",,,,,63,12.60,9,7,5,"… In this study, density functional theory (DFT) calculations are applied to optimize the configurations of the heteroatom-modified C5 defect, since C5 at the edge of the graphene is an …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30078-3","https://scholar.google.com/scholar?q=related:WFMbW5mM0i4J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"G Ren, J Sun, S Zhai, L Yang, T Yu, L Sun, ...","Ambient hydrogenation of carbon dioxide into liquid fuel by a heterogeneous synergetic dual single-atom catalyst",2022,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00435-5?uuid=uuid%3Ab8dda239-33a5-48e4-b961-d43c90bf0d12","https://scholar.google.com/scholar?cites=17962073013366611419&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 18:30:18","HTML","","","",,,,,30,10.00,4,7,3,"Ambient hydrogenation of CO 2 into liquid fuels is a potential economical solution for reducing CO 2 emissions. Here, we report a highly active dual single-Pd-atom catalyst for ambient …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00435-5?uuid=uuid%3Ab8dda239-33a5-48e4-b961-d43c90bf0d12","https://scholar.google.com/scholar?q=related:291YDz0aRvkJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
