Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
295,"S Ding, MJ Hülsey, J Pérez-Ramírez, N Yan","Transforming energy with single-atom catalysts",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?cites=6950710672137471335&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 21:21:07","","","","",,,,,295,49.17,74,4,6,"… -STEM images (Figure 3A), and DFT calculation was carried out to simulate the geometric structure of Co (Figure 3B). The prepared Co/MoS 2 catalyst with a large number of Co-S-Mo …","https://www.cell.com/joule/pdf/S2542-4351(19)30475-1.pdf","https://scholar.google.com/scholar?q=related:Z0VFpYfidWAJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"DA Kurtz, BM Hunter","Forming O–O bonds",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?cites=10991367098701223583&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 21:21:07","","","","",,,,,6,2.00,3,2,3,"… Additionally, some dinuclear ruthenium homogeneous catalysts have been reported to operate via coupling of neighboring MO species. … DFT calculated overpotential under illumination …","https://www.cell.com/joule/pdfExtended/S2542-4351(22)00456-1","https://scholar.google.com/scholar?q=related:n5YAOiQuiZgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
209,"C Xiao, BA Lu, P Xue, N Tian, ZY Zhou, X Lin, WF Lin, ...","High-index-facet-and high-surface-energy nanocrystals of metals and metal oxides as highly efficient catalysts",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(20)30459-1","https://scholar.google.com/scholar?cites=14823443570629112029&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 21:21:07","","","","",,,,,209,41.80,26,8,5,"The development and applications of highly efficient and stable catalysts are of vital importance for modern industries varying from chemical production and material transformation to …","https://www.cell.com/joule/pdf/S2542-4351(20)30459-1.pdf","https://scholar.google.com/scholar?q=related:3XBlt2Nzt80J:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
368,"ZH Xue, D Luan, H Zhang, XWD Lou","Single-atom catalysts for photocatalytic energy conversion",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00580-8","https://scholar.google.com/scholar?cites=15151145573619437705&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 21:21:07","","","","",,,,,368,122.67,92,4,3,"… heterogeneous catalytic systems with selectivity and activity compared to the homogeneous … fundamental principles resembling the homogeneous and enzymatic catalysts. Due to these …","https://www.cell.com/joule/pdf/S2542-4351(21)00580-8.pdf","https://scholar.google.com/scholar?q=related:iZDR_5-uQ9IJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
2025,"Y Chen, S Ji, C Chen, Q Peng, D Wang, Y Li","Single-atom catalysts: synthetic strategies and electrochemical applications",2018,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(18)30284-8","https://scholar.google.com/scholar?cites=3633946926634158449&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 21:21:07","","","","",,,,,2025,289.29,338,6,7,"… In addition, advanced computational methods such as density functional theory (DFT) … great potential to connect heterogeneous and homogeneous catalysis and serve as ideal model …","https://www.cell.com/joule/pdf/S2542-4351(18)30284-8.pdf","https://scholar.google.com/scholar?q=related:ccmm7nlfbjIJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
177,"K Zuraiqi, A Zavabeti, FM Allioux, J Tang, CK Nguyen, ...","Liquid metals in catalysis for energy applications",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(20)30501-8","https://scholar.google.com/scholar?cites=15602978249439996991&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 21:21:07","","","","",,,,,177,35.40,30,6,5,"… 5, theoretical methods, such as density functional theory (DFT) calculations and ab initio molecular … DFT calculations can be used to determine the adsorption of different species on LM …","https://www.cell.com/joule/pdf/S2542-4351(20)30501-8.pdf","https://scholar.google.com/scholar?q=related:P2wEvAzqiNgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
812,"FY Chen, ZY Wu, Z Adler, H Wang","Stability challenges of electrocatalytic oxygen evolution reaction: From mechanistic understanding to reactor design",2021,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(21)00209-9?dgcid=raven_jbs_etoc_email","https://scholar.google.com/scholar?cites=4882161525029842477&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 21:21:07","HTML","","","",,,,,812,203.00,203,4,4,"… This review provides catalyst and reactor design principles for overcoming OER stability challenges and will focus more attention from the field on the great importance of OER stability …","https://www.cell.com/joule/fulltext/S2542-4351(21)00209-9?dgcid=raven_jbs_etoc_email","https://scholar.google.com/scholar?q=related:La57SwrswEMJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"F Qian, L Peng, D Cao, W Jiang, C Hu, J Huang, ...","Asymmetric active sites originate from high-entropy metal selenides by joule heating to boost electrocatalytic water oxidation",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00252-6","https://scholar.google.com/scholar?cites=13206760133273168309&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 21:21:07","","","","",,,,,33,33.00,5,7,1,"High-entropy materials (HEMs) have garnered tremendous attention for electrocatalytic water oxidation because of their extraordinary properties. Nevertheless, scant attention has been …","https://www.sciencedirect.com/science/article/pii/S2542435124002526?casa_token=a2dWHI7LWIsAAAAA:R7DqjHi5ZW7FJhmkmflYJBe9fRRXKfJrIMuqdfGomTIqRsnMs3JRuzlvT5Yn6e8g4Et0pqdE5A","https://scholar.google.com/scholar?q=related:tamJaV7WR7cJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"R Feng, Y Chen, X Zhang, BJG Rousseau, P Gao, ...","Proton-regulated alcohol oxidation for high-capacity ketone-based flow battery anolyte",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00256-8","https://scholar.google.com/scholar?cites=1812059093202580174&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 21:21:07","","","","",,,,,13,6.50,2,6,2,"… We conducted density functional theory (DFT) analyses to evaluate the proton-accepting capability in terms of the pKa values of various candidate additives. The PT between FL-OH …","https://www.cell.com/joule/pdfExtended/S2542-4351(23)00256-8","https://scholar.google.com/scholar?q=related:zjJbAiW6JRkJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
116,"M Liu, M Liu, X Wang, SM Kozlov, Z Cao, P De Luna, ...","Quantum-dot-derived catalysts for CO2 reduction reaction",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30253-3","https://scholar.google.com/scholar?cites=7937169957947685536&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 21:21:07","","","","",,,,,116,19.33,17,7,6,"… catalysts. A promising strategy for improving activity is to achieve a high density of homogeneously … We hypothesize that vacancy-rich catalysts could be obtained through the …","https://www.cell.com/joule/pdfExtended/S2542-4351(19)30253-3","https://scholar.google.com/scholar?q=related:oLpfGQZ-Jm4J:scholar.google.com/&scioq=source:joule+%222542+4351%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
