Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"X Du, Y Zhang, T Yang, Y Xiao, J He, LW Chung, ...","A versatile cobalt catalyst for highly enantioselective hydrogenation of carbonyl compounds",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00148-9","https://scholar.google.com/scholar?cites=1569275691788640206&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 18:03:51","","","","",,,,,3,3.00,0,7,1,"… on mechanistic studies and density functional theory (DFT). … system for asymmetric hydrogenation of different types of … hydrogenation of both α-ketoamides and aryl alkyl ketones that …","https://www.sciencedirect.com/science/article/pii/S2667109324001489?casa_token=4kdutQpudNAAAAAA:iEUXK_EAqSQdaWdAg87RZS4bYQzUNPlpnPUJ9N_0l8z3iL_AlVYSnJXdpRjn_76_uUm4MDIycw","https://scholar.google.com/scholar?q=related:zp-3Y-0vxxUJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"V Chugh, J Wu, M Leutzsch, H Randel, T Weyhermüller, ...","Controlling hydrogen transfer dynamics in adaptive semihydrogenation of alkynes: Unveiling and directing outer-vs. inner-sphere mechanisms",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00250-1","https://scholar.google.com/scholar?cites=14868510164713829253&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:03:51","HTML","","","",,,,,2,2.00,0,6,1,"… This is particularly acute in carbon dioxide hydrogenation, … similar systems and conventional hydrogenation catalysts (see … , supported by density functional theory (DFT) calculations. …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00250-1","https://scholar.google.com/scholar?q=related:hXMN0zePV84J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Guo, L Jin, L Xiao, M Yan, J Xiong, ZW Qu, S Grimme, ...","Readily accessible chiral frustrated Lewis pair catalysts: Asymmetric hydrosilylation of imines and quinolines",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00083-6","https://scholar.google.com/scholar?cites=5808610728044190880&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:03:51","","","","",,,,,1,1.00,0,8,1,"… hydrogenation of imines. While this seminal report afforded only 13% enantiomeric excess (ee), … This class of catalysts has been widely applied in the stereoselective hydrogenation and …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00083-6","https://scholar.google.com/scholar?q=related:oNyYi65UnFAJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"AN Marianov, Y Jiang, A Baiker, J Huang","Homogeneous and heterogeneous strategies of enantioselective hydrogenation: Critical evaluation and future prospects",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00152-5","https://scholar.google.com/scholar?cites=17664987565695450242&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:03:51","","","","",,,,,7,3.50,2,4,2,"… The [Ru(BINAP)] complexes are capable catalysts for the hydrogenation of activated ketones as well. For example, this process was implemented on a commercial scale by Takasago …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(23)00152-5","https://scholar.google.com/scholar?q=related:gjz4DpmkJvUJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"C Song, Z Wang, J Zhao, X Qin, M Peng, Z Gao, M Xu, ...","Photothermal conversion of CO2 into lower olefins at the interface of the K-promoted Ru/Fe3O4 catalyst",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00084-8","https://scholar.google.com/scholar?cites=14462013542749210739&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:03:51","","","","",,,,,11,11.00,1,8,1,"… 2 emissions where photodriven catalytic CO 2 hydrogenation toward lower olefins is a great … efficiently drives photothermal catalytic CO 2 hydrogenation to lower olefins via the Fischer-…","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00084-8","https://scholar.google.com/scholar?q=related:c4h0sLFks8gJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"J Wang, J Xie, WCC Lee, DS Wang, XP Zhang","Radical differentiation of two ester groups in unsymmetrical diazomalonates for highly asymmetric olefin cyclopropanation",2022,"Chem catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00335-3","https://scholar.google.com/scholar?cites=9863383332041859749&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 18:03:51","HTML","","","",,,,,30,10.00,6,5,3,"… First, density functional theory (DFT) calculations were performed to elucidate the details of … The DFT calculation indicates that the formation of α-Co(III)-malonyl radical intermediate B …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00335-3","https://scholar.google.com/scholar?q=related:pSLdzeHG4YgJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"X Wang, C Wang, Y Luo, J Li, C Gan, S Luo, Q Zhu","Enantioselective synthesis of inherently chiral 9-benzylidene-9H-tribenzo [a, c, e][7] annulene and its application as a ligand platform",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00005-8","https://scholar.google.com/scholar?cites=6707473934527740954&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 18:03:51","","","","",,,,,6,6.00,1,7,1,"… The revealed reaction mechanism through density functional theory not only deepens the … The reaction mechanism was confirmed by density functional theory calculations, which …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093%2824%2900005-8","https://scholar.google.com/scholar?q=related:Gry3dwG8FV0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"XQ Cui, MM Zheng, X Tang, ZQ Zhang, XS Xue, ...","Dirhodium (II)-catalyzed enantioselective cyclopropenation of internal alkynes with trifluoromethyl carbene",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00158-6","https://scholar.google.com/scholar?cites=3225433333206867586&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 18:03:51","","","","",,,,,12,6.00,2,6,2,"Catalytic enantioselective reactions of trifluoromethyl carbene represent a powerful method for the construction of chiral trifluoromethyl-functionalized molecules, but the utilization of …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00158-6","https://scholar.google.com/scholar?q=related:gt5_CIcKwywJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"D Zhang, J Chen, Z Hao, L Jiao, Q Ge, WF Fu, XJ Lv","Highly efficient electrochemical hydrogenation of acetonitrile to ethylamine for primary amine synthesis and promising hydrogen storage",2021,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00019-1","https://scholar.google.com/scholar?cites=762181505148984664&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 18:03:51","HTML","","","",,,,,68,17.00,10,7,4,"… Selective nitrile hydrogenation to valuable primary amines under mild conditions is still a … terminal C≡N group, facilitating the hydrogenation process on this site while suppressing the …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00019-1","https://scholar.google.com/scholar?q=related:WB3HbArQkwoJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"W Chen, L Chen, J Chen, W Wu, Y Yu, H Wang, R Lee, ...","Bisguanidinium-catalyzed remote enantioselective desymmetrization with 1, 2-acyl shift",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00077-0","https://scholar.google.com/scholar?cites=5251061943504347419&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 18:03:51","HTML","","","",,,,,1,1.00,0,8,1,"… This remote desymmetrization reaction allows the transposition of a ketone to the adjacent carbon, which usually requires multiple synthetic steps. We believe that this reaction can be …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00077-0","https://scholar.google.com/scholar?q=related:GyEmLASF30gJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
