Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"BS Zhang, YX Yang, JCA Oliveira, ZQ Zhang, ...","Combined CH amination and intermolecular alkyne insertion for a three-component cyclization",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?cites=7536958845812536965&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 18:26:46","HTML","","","",,,,,4,2.00,1,5,2,"… alkyne insertion. Mechanistic studies through density functional theory calculations reveal … intermediates do not react with alkynes, and migration insertion is the rate-determining step in …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?q=related:hfZkQyOomGgJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"R Yu, W Zeng, L Zhou, G Van Tendeloo, L Mai, ...","Layer-by-layer delithiation during lattice collapse as the origin of planar gliding and microcracking in Ni-rich cathodes",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00259-X","https://scholar.google.com/scholar?cites=16256983241566016276&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:26:46","HTML","","","",,,,,28,14.00,5,6,2,"… Using density functional theory (DFT) calculations, we find that, when lattice collapse occurs at high voltage, the Li extraction mode converts from the classic solid-solution mode to the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00259-X","https://scholar.google.com/scholar?q=related:FFMFASBonOEJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"W Zaheer, G Agbeworvi, S Perez-Beltran, ...","Lessons learned from FeSb2O4 on stereoactive lone pairs as a design principle for anion insertion",2021,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00307-6","https://scholar.google.com/scholar?cites=17325094416347265026&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:26:46","HTML","","","",,,,,13,3.25,3,4,4,"… -principles density functional theory (DFT) … inserted fluoride ions is critical for mediating the strength of Fe-F interactions and plays a pivotal role in the reversibility of fluoride-ion insertion …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00307-6","https://scholar.google.com/scholar?q=related:Anh7UpQZb_AJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"W Yi, W Chen, H Xu, K Chen, X Zhong, ...","Os (II)-catalyzed γ-C (sp3)–H amidation and meta-C (sp2)–H alkylation by fine-tuning the characteristics of in-situ-generated C–Os σ bonds",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?cites=10065537069703409289&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:26:46","HTML","","","",,,,,3,1.50,1,6,2,"Transition metal-catalyzed C–H functionalization has recently emerged as a powerful synthetic tool for accessing various value-added structural motifs. However, addressing the remote …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?q=related:ia4yqaL4r4sJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"Z Zhang, S Zhao, B Wang, H Yu","Local redox reaction of high valence manganese in Li2MnO3-based lithium battery cathodes",2020,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30055-2","https://scholar.google.com/scholar?cites=4581363736393238184&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:26:46","HTML","","","",,,,,41,8.20,10,4,5,"… All density functional theory computations were conducted using the Vienna Ab initio … The DFT-D3 method was applied to achieve a higher accuracy of van der Waals interactions. In …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30055-2","https://scholar.google.com/scholar?q=related:qEaTjgtGlD8J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"K Yang, X Hu, W Li, J Qiu, Q Feng, S Wang, ...","Transition-metal-free double-insertive coupling of isocyanides with arylboronic acids enabled diarylmethanamines",2020,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30290-3","https://scholar.google.com/scholar?cites=16537308167603594085&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 18:26:46","HTML","","","",,,,,23,4.60,3,7,5,"… Density functional theory (DFT) calculations indicate that the reaction is through the formation of boronic anhydride followed by two insertion reactions with isocyanide to access the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30290-3","https://scholar.google.com/scholar?q=related:ZaMt9yhSgOUJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"X Chen, B Tan, N Liu, K Zhang","Reactive force-field simulation and experimental validation of cyclic defects in silicon anodes for lithium-ion batteries",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00433-8","https://scholar.google.com/scholar?cites=7297577339773561884&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 18:26:46","HTML","","","",,,,,6,6.00,2,4,1,"… Density functional theory (DFT) has been widely used to explore atomic-level mechanisms, … DFT, and has demonstrated its high accuracy in a recent model developed for Li–Si alloys. …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00433-8","https://scholar.google.com/scholar?q=related:HKwkIu0zRmUJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"F Zhang, R Zhao, L Zhu, Y Yu, S Liao, ZX Wang, ...","Divergent isoindolinone synthesis through palladium-catalyzed isocyanide bridging C–H activation",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00043-1","https://scholar.google.com/scholar?cites=4952801241078105120&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 18:26:46","HTML","","","",,,,,15,5.00,2,7,3,"… Alternative strategies by utilizing migratory insertion as a useful handle, norbornene-type alkenes 11–16 and alkynes 17–20 have been successfully employed as bridging units to …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00043-1","https://scholar.google.com/scholar?q=related:IAST2Xziu0QJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"C Sun, X Liao, H Peng, C Zhang, ...","Interfacial gliding-driven lattice oxygen release in layered cathodes",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00420-3","https://scholar.google.com/scholar?cites=9933536490009665367&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 18:26:46","HTML","","","",,,,,10,3.33,2,5,3,"… arrows), which reveals Co cross-layer migration that indicates the onset of the oxygen release degradation. Density functional theory (DFT) calculations are performed to understand the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00420-3","https://scholar.google.com/scholar?q=related:Vx9ous4C24kJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"C Huang, D Wang, W Zhang, SJ Yoo, X Zhou, ...","Substitution-triggered broken symmetry of cobalt tungstate boosts redox kinetics in pseudocapacitive storage",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00417-9","https://scholar.google.com/scholar?cites=6882756797641970496&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 18:26:46","HTML","","","",,,,,15,5.00,3,6,3,"Achieving delicate broken symmetry enables significant modification of crystals, from which a variety of property or performance modulation can be expected. Here, we report that the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00417-9","https://scholar.google.com/scholar?q=related:QNPaTtd2hF8J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
