Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
17,"K Pang, Y Tang, C Qiu, M Zhang, A Tayal, S Feng, ...","Redirecting configuration of atomically dispersed selenium catalytic sites for efficient hydrazine oxidation",2024,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(23)00614-8","https://scholar.google.com/scholar?cites=13035662310587584414&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 21:42:57","HTML","","","",,,,,17,17.00,2,7,1,"… Density functional theory (DFT) was then employed to establish several plausible models, and Se K-edge XANES simulations were conducted for each model using the ab initio …","https://www.cell.com/matter/fulltext/S2590-2385(23)00614-8","https://scholar.google.com/scholar?q=related:nk-FOs7557QJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"C Yang, L Zhang, Y Lu, Y Zou, S Wang","Designing efficient catalysts for electrocatalytic organic synthesis: From electronic structure to adsorption behavior",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00625-2","https://scholar.google.com/scholar?cites=9893095376464704125&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 21:42:57","","","","",,,,,25,25.00,5,5,1,"… The results of density functional theory (DFT) calculation further confirmed that the HMF molecule obtained low adsorption energy (−3.77 eV) on Ir-Co 3 O 4 (Figure 5B), which …","https://www.sciencedirect.com/science/article/pii/S2590238523006252","https://scholar.google.com/scholar?q=related:ffI8O9RVS4kJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"L Cao, P Dai, S Wen, Y Jiang, D Liu, X Gu, Q Zhang, ...","A thermostable pillared layered metal-borate-organic network featuring neighboring boron sites for oxidative dehydrogenation of propane",2023,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(23)00519-2","https://scholar.google.com/scholar?cites=16553448960505661143&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 21:42:57","","","","",,,,,4,2.00,1,8,2,"… Based on the above multiple characteristic results, DFT calculations … For DFT calculations, we employed the neighboring B–OH … Therefore, it is important to note that the DFT calculations …","https://www.cell.com/matter/pdfExtended/S2590-2385(23)00519-2","https://scholar.google.com/scholar?q=related:18Z_KiCqueUJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"Y Li, H Shen, B Zhou, J Li, L Wang, Q Sun, ...","Kirkendall oxidation tailors lattice strain in transition metal oxides for efficient oxygen electrocatalysis",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00011-0","https://scholar.google.com/scholar?cites=1527355942138787674&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 21:42:57","","","","",,,,,20,20.00,3,7,1,"… X-ray absorption spectra and density functional theory calculations collectively suggest that tensile strain simultaneously optimizes the adsorption of ∗ OOH and the desorption of ∗ OH …","https://www.sciencedirect.com/science/article/pii/S2590238524000110","https://scholar.google.com/scholar?q=related:WrfDGCNCMhUJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"L Li, J Zhu, F Kong, Y Wang, C Kang, M Xu, C Du, ...","Tailoring atomic strain environment for high-performance acidic oxygen reduction by Fe-Ru dual atoms communicative effect",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00019-5","https://scholar.google.com/scholar?cites=2608216212312521372&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 21:42:57","","","","",,,,,43,43.00,5,8,1,"Elucidating how the local strain environment of single atoms affects their impact on a sluggish acidic oxygen reduction reaction (ORR) is important for the design and construction of …","https://www.cell.com/matter/fulltext/S2590-2385(24)00019-5","https://scholar.google.com/scholar?q=related:nHpNgNM-MiQJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"T Shi, H Wang, L Li, Z Zhao, C Wang, X Zhang, Y Xie","Enhanced photostability in protonated covalent organic frameworks for singlet oxygen generation",2022,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(22)00003-0","https://scholar.google.com/scholar?cites=11596821381617836153&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 21:42:57","HTML","","","",,,,,45,15.00,6,7,3,"… Here, we conducted a 1,5-dihydroxynaphthalene (1,5-DHN) oxidation reaction to evaluate the … LL conducted and analyzed the DFT calculations. ZZ conducted the fluorescence …","https://www.cell.com/matter/fulltext/S2590-2385(22)00003-0","https://scholar.google.com/scholar?q=related:eWD8npov8KAJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"X Zhou, Y Wang, Y Gu, J Su, Y Liu, Y Yin, S Yuan, J Ma, ...","All-purpose redox-active metal-organic frameworks as both cathodic and anodic host materials for advanced lithium-sulfur batteries",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00212-1","https://scholar.google.com/scholar?cites=1988010878099440406&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 21:42:57","","","","",,,,,18,18.00,2,9,1,"… Through systematic control experiments and density functional theory simulations, we elucidate the crucial roles of metal clusters and NiS 4 units in achieving efficient adsorption and …","https://hysz.nju.edu.cn/_upload/article/files/68/c9/cb1955604d3db1fb2439d4710582/b8f581f2-d64c-4175-97cc-6c42b30a3698.pdf","https://scholar.google.com/scholar?q=related:FsO6VlzVlhsJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"R Xu, L Liao, S Zou, L Lu","Strain-dependent oxygen electrocatalysis in transition metal oxides",2024,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(24)00069-9","https://scholar.google.com/scholar?cites=10232149802675904702&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 21:42:57","","","","",,,,,2,2.00,1,4,1,"Strain-dependent electrocatalysis has not been achieved in transition metal oxides (TMOs). In the current issue of Matter, Qin and co-workers precisely regulated the lattice strain in …","https://www.sciencedirect.com/science/article/pii/S2590238524000699","https://scholar.google.com/scholar?q=related:vqAUhQjm_40J:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Liu, Y Guo, N Sathishkumar, M Liu, L Li, Z Sang, ...","Halogen atom-induced local asymmetric electron in covalent organic frameworks boosts photosynthesis of hydrogen peroxide from water and air",2025,"Matter","cell.com","https://www.cell.com/matter/abstract/S2590-2385(25)00119-5","https://scholar.google.com/scholar?cites=1875788825499629325&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 21:42:57","","","","",,,,,1,1.00,0,7,1,"… Furthermore, DFT calculations were carried out to elucidate the active site of 2e – ORR. We first calculated the adsorption energy of O 2 on different carbon sites (C2, C3, and C4) in the …","","https://scholar.google.com/scholar?q=related:DXeNmf8jCBoJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
109,"L Cao, Z Zhao, Z Liu, W Gao, S Dai, J Gha, W Xue, ...","Differential surface elemental distribution leads to significantly enhanced stability of PtNi-based ORR catalysts",2019,"Matter","cell.com","https://www.cell.com/matter/fulltext/S2590-2385(19)30119-5","https://scholar.google.com/scholar?cites=2461094913194021722&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 21:42:57","HTML","","","",,,,,109,18.17,14,8,6,"… These conclusions are supported by DFT calculations of oxygen adsorption energies on PtNiCu(111) and PtNi(111) slabs built to mimic the layer-by-layer compositions and lattice …","https://www.cell.com/matter/fulltext/S2590-2385(19)30119-5","https://scholar.google.com/scholar?q=related:WlNzu8iQJyIJ:scholar.google.com/&scioq=source:matter+%222590+2385%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
