Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"W Yi, W Chen, H Xu, K Chen, X Zhong, ...","Os (II)-catalyzed γ-C (sp3)–H amidation and meta-C (sp2)–H alkylation by fine-tuning the characteristics of in-situ-generated C–Os σ bonds",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?cites=10065537069703409289&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 18:22:21","HTML","","","",,,,,3,1.50,1,6,2,"Transition metal-catalyzed C–H functionalization has recently emerged as a powerful synthetic tool for accessing various value-added structural motifs. However, addressing the remote …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00197-2","https://scholar.google.com/scholar?q=related:ia4yqaL4r4sJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"Y Zhang, Q Fan, Z Ye, Y Xu, Y Cao, Y Liu, W Liu, ...","Zinc-induced one-pot coupling of alkyl halides and alcohols to access CD3-labeled alkyl sulfides",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00527-1","https://scholar.google.com/scholar?cites=5560247786726002703&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:22:21","HTML","","","",,,,,4,2.00,1,8,2,"… Here, we report a Zn-promoted reductive coupling between electrophilic sulfur transfer … Efforts including isolation of compound 22 and density functional theory calculation should …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00527-1","https://scholar.google.com/scholar?q=related:D5D0Duf3KU0J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"GM Chen, ZH Ye, ZM Li, JL Zhang","Universal descriptors of quasi transition states for small-data-driven asymmetric catalysis prediction in machine learning model",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?cites=10293381730738776571&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:22:21","HTML","","","",,,,,2,2.00,1,4,1,"… carried out exclusively with the DFT method (36,712 s, see Figure S1). By exclusively performing qTS optimization at the PM6 level without the DFT single-point energy calculation, the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00312-6","https://scholar.google.com/scholar?q=related:-ykuviVw2Y4J:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"S Qin, C Lei, X Wang, W Chen, B Huang","Electrocatalytic activation of organic chlorides via direct and indirect electron transfer using atomic vacancy control of palladium-based catalyst",2022,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00443-4","https://scholar.google.com/scholar?cites=17730579406052701509&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:22:21","HTML","","","",,,,,45,15.00,9,5,3,"… Overall, by combining the DFT calculations and experimental results, this study shows that the atomic vacancies in v-PdCuAg NPs can efficiently promote the electron transfer on the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(21)00443-4","https://scholar.google.com/scholar?q=related:RbWgdwesD_YJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"W Liu, Y Zhao, W Ma, Z Chai, Y Liang, ZJ Lv, ...","Cross-carbanion coupling at a rare-earth center",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00258-8","https://scholar.google.com/scholar?cites=370708376934445799&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:22:21","HTML","","","",,,,,12,6.00,2,7,2,"… reductive elimination of two carbanions is kinetically hampered by electrostatic repulsion. Second, the reductive elimination is … under the classic reductive-elimination mode (Figure 1B). …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00258-8","https://scholar.google.com/scholar?q=related:53JwAk4FJQUJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"BS Zhang, YX Yang, JCA Oliveira, ZQ Zhang, ...","Combined CH amination and intermolecular alkyne insertion for a three-component cyclization",2023,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?cites=7536958845812536965&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 18:22:21","HTML","","","",,,,,4,2.00,1,5,2,"… The structure optimization by density functional theory (DFT) … Therefore, we used DFT calculations to study the reaction … for the subsequent reductive elimination process to generate the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00470-8","https://scholar.google.com/scholar?q=related:hfZkQyOomGgJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Jang, D Kim, S Seo, H Kim","Ligand-induced suppression of undesirable pathways in cobalt-catalyzed hydroformylation",2024,"Cell Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00243-1","",7,"2025-05-15 18:22:21","HTML","","","",,,,,0,0.00,0,4,1,"Hydroformylation, an industrial process yielding over 10 million tons of oxo-alcohols annually, faces increasing economic pressures linked to rhodium-based catalysts, particularly in …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(24)00243-1","https://scholar.google.com/scholar?q=related:1nUkcjaj1gcJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"F Zhang, R Zhao, L Zhu, Y Yu, S Liao, ZX Wang, ...","Divergent isoindolinone synthesis through palladium-catalyzed isocyanide bridging C–H activation",2022,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00043-1","https://scholar.google.com/scholar?cites=4952801241078105120&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 18:22:21","HTML","","","",,,,,15,5.00,2,7,3,"… Ph) may arise from a common Pd(II) intermediate VIII′, and the Pd(0) catalyst is recycled via the reductive elimination or decarboxylative reductive elimination of VIII’ (Figure 6, bottom). …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(22)00043-1","https://scholar.google.com/scholar?q=related:IAST2Xziu0QJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"K Yang, X Hu, W Li, J Qiu, Q Feng, S Wang, ...","Transition-metal-free double-insertive coupling of isocyanides with arylboronic acids enabled diarylmethanamines",2020,"Cell Reports Physical …","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30290-3","https://scholar.google.com/scholar?cites=16537308167603594085&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 18:22:21","HTML","","","",,,,,23,4.60,3,7,5,"… Density functional theory (DFT) calculations indicate that the reaction is through the formation of boronic anhydride followed by two insertion reactions with isocyanide to access the …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(20)30290-3","https://scholar.google.com/scholar?q=related:ZaMt9yhSgOUJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"H Chen, L Yao, L Guo, YA Liu, B Tian, X Liao","Coupling of alkynes and aryl halides with nickel-catalyzed Sonogashira reactions",2023,"… Reports Physical Science","cell.com","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00381-8","https://scholar.google.com/scholar?cites=14737451885735061258&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 18:22:21","HTML","","","",,,,,2,1.00,0,6,2,"… Finally, a plausible mechanism is postulated based on experimental studies and density functional theory calculations. … DFT calculation … Nickel-catalyzed reductive couplings. …","https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(23)00381-8","https://scholar.google.com/scholar?q=related:CiemX2jyhcwJ:scholar.google.com/&scioq=source:%22cell+reports+physical+science%22+%222666+3864%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
