Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
88,"W Liu, A Vianna, Z Zhang, S Huang, L Huang, ...","Mesoionic carbene-Breslow intermediates as super electron donors: Application to the metal-free arylacylation of alkenes",2021,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00011-7","https://scholar.google.com/scholar?cites=3088710831283472909&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 17:57:42","HTML","","","",,,,,88,22.00,15,6,4,"… We performed density functional theory (DFT) calculations at the B3LYP-D3(BJ)/6-311G∗∗ … In agreement with DFT calculations, the small hyperfine coupling constants indicate a strong …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00011-7","https://scholar.google.com/scholar?q=related:DYqN6CJO3SoJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"P Xie, A Shi, Y Qiu","Electroreductively driven C–H functionalization of arenes",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00097-1","",2,"2025-05-15 17:57:42","","","","",,,,,0,0.00,0,3,1,"… In comparison to trifluoromethanesulfonyl chloride (TfCl), density functional theory (DFT) calculations were employed to substantiate that the reduction of the triflyltriethylammonium …","","https://scholar.google.com/scholar?q=related:8YHLyemy8cUJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"QZ Li, ZH Li, JC Kang, TM Ding, SY Zhang","Ni-catalyzed, enantioselective three-component radical relayed reductive coupling of alkynes: Synthesis of axially chiral styrenes",2022,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00512-7","https://scholar.google.com/scholar?cites=12845251205872391953&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 17:57:42","HTML","","","",,,,,30,10.00,6,5,3,"… Proposed mechanistic DFT calculations Next, we performed density functional theory (DFT) … Next, the reductive elimination of H occurs via TS6 to form intermediate I by a highly …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00512-7","https://scholar.google.com/scholar?q=related:EZeuKOp_Q7IJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"C Uyeda, AE Kalb","Catalytic reductive carbene transfer reactions",2022,"Chem catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00035-5","https://scholar.google.com/scholar?cites=3887851628311101798&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 17:57:42","HTML","","","",,,,,10,3.33,5,2,3,"… According to density functional theory (DFT) models, metal carbenoids lie … reductive elimination to form a five-membered ring is more favorable than the competing reductive elimination …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00035-5","https://scholar.google.com/scholar?q=related:ZkHoDHVs9DUJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"H Wang, Y Li, L Huang, H Xu, Y Jiao, Z Zhou, Z Tang, ...","The synthesis of spirocyclopropane skeletons enabled by Rh (III)-catalyzed enantioselective C–H activation/[4+ 2] annulation",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00402-5","https://scholar.google.com/scholar?cites=13638373234722345972&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 17:57:42","","","","",,,,,11,5.50,1,8,2,"… , we further conducted density functional theory (DFT) … (oxidative addition and reductive elimination, which have been … , oxidative addition, and reductive elimination in the pathway …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00402-5","https://scholar.google.com/scholar?q=related:9BPSoTI8Rb0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"T Hao, J Shen, Y Wei, M Shi","Alkene difunctionalization enabled by photocatalytic hydrogen atom transfer from haloalkane α-C (sp3)–H bonds",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00387-1","https://scholar.google.com/scholar?cites=3093048822680929596&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 17:57:42","","","","",,,,,7,3.50,2,4,2,"… plotting and density functional theory (DFT) calculation. The … -butoxy radical species is also revealed by DFT calculations. … be accessed through the reductive elimination by the transition-…","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00387-1","https://scholar.google.com/scholar?q=related:PEXWPIS37CoJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"N Li, J Ke, LQ Ren, Y Li, C He","Mechanistic insight into rhodium-catalyzed intramolecular enantioselective C–H silylation with dihydrosilanes",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00372-X","https://scholar.google.com/scholar?cites=13383696654946621993&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 17:57:42","","","","",,,,,4,2.00,1,5,2,"… Density functional theory (DFT) calculations were conducted … H reductive elimination rather than Si−C reductive elimination … further investigated as additive by DFT calculation (Figure 6B…","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00372-X","https://scholar.google.com/scholar?q=related:KVqtozJxvLkJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"X Chen, S Kramer","Photoinduced transition-metal-catalyzed enantioselective functionalization of non-acidic C (sp3)− H bonds",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00442-6","https://scholar.google.com/scholar?cites=15601064869768929853&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 17:57:42","","","","",,,,,11,11.00,6,2,1,"… Subsequent reductive elimination delivers the enantioenriched arylation product and Ni(I), which is reduced by the reduced state of the photocatalyst, thus returning both the nickel …","https://www.sciencedirect.com/science/article/pii/S2667109323004426","https://scholar.google.com/scholar?q=related:PSJnUNcdgtgJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"CQ Deng, Y Xu, JH Luo, GZ Wang, J Deng, Y Fu","Chemoselective direct deuterodecarboxylation of free aliphatic carboxylic acids enabled by deuteron-coupled electron transfer",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00500-6","https://scholar.google.com/scholar?cites=10814296838220501358&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 17:57:42","","","","",,,,,7,7.00,1,6,1,"Decarboxylative deuteration of activated precursors (eg, α-amino acids) is an effective method for installing deuterium atoms at activated positions; however, direct usage of unactivated …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00500-6","https://scholar.google.com/scholar?q=related:blHDga0ZFJYJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"H Wang, XU Tao","Dual nickel-and photoredox-catalyzed carbon-carbon bond formations via reductive cross-coupling involving organohalides",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00076-9","https://scholar.google.com/scholar?cites=12590027518003666341&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 17:57:42","","","","",,,,,9,9.00,5,2,1,"… Then, the oxidative addition of (L1)Ni(0) species I with aryl halide gave Ar(L1)Ni(II)Br species (II), followed by halide exchange to give complex (IV) and reductive elimination to afford the …","https://www.sciencedirect.com/science/article/pii/S2667109324000769","https://scholar.google.com/scholar?q=related:pV0Ao1LDuK4J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
