Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"DA Kurtz, BM Hunter","Forming O–O bonds",2022,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?cites=10991367098701223583&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 21:24:12","HTML","","","",,,,,6,2.00,3,2,3,"… The ability of transition metal oxides/oxyhydroxides to perform … The first-row transition metals are of great interest due to their … DFT calculated overpotential under illumination …","https://www.cell.com/joule/fulltext/S2542-4351(22)00456-1","https://scholar.google.com/scholar?q=related:n5YAOiQuiZgJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
122,"BM Tackett, W Sheng, JG Chen","Opportunities and challenges in utilizing metal-modified transition metal carbides as low-cost electrocatalysts",2017,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(17)30009-0","https://scholar.google.com/scholar?cites=7832956778963878372&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 21:24:12","HTML","","","",,,,,122,15.25,41,3,8,"… Transition metal carbides (TMCs) are considered promising electrocatalyst support … cost of platinum group metal (PGM) catalysts. Density functional theory (DFT) calculations show the …","https://www.cell.com/joule/fulltext/S2542-4351(17)30009-0","https://scholar.google.com/scholar?q=related:5EEhj7BAtGwJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"J Peng, JJ Giner-Sanz, L Giordano, WP Mounfield…","Design principles for transition metal nitride stability and ammonia generation in acid",2023,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(22)00569-4","https://scholar.google.com/scholar?cites=5033820365769979512&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 21:24:12","HTML","","","",,,,,25,12.50,5,5,2,"… agreement between the experimental and DFT-relaxed structures of … transition metal compounds than DFT, 35 , 36 XES measurements are also more resource intensive. In contrast, DFT…","https://www.cell.com/joule/fulltext/S2542-4351(22)00569-4","https://scholar.google.com/scholar?q=related:eLbYzPO420UJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
386,"DA Kuznetsov, B Han, Y Yu, RR Rao, J Hwang…","Tuning redox transitions via inductive effect in metal oxides and complexes, and implications in oxygen electrocatalysis",2018,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(17)30185-X","https://scholar.google.com/scholar?cites=6308136670071689035&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 21:24:12","HTML","","","",,,,,386,55.14,64,6,7,"… This study opens up a new perspective for the design of transition metal compounds with … The term ΔG Oad − ΔG OHad , 107 introduced as an activity descriptor from DFT studies, is …","https://www.cell.com/joule/fulltext/S2542-4351(17)30185-X","https://scholar.google.com/scholar?q=related:Sw89JuEAi1cJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
381,"J Zhou, L Tan, Y Liu, H Li, X Liu, M Li, S Wang, Y Zhang…","Highly efficient and stable perovskite solar cells via a multifunctional hole transporting material",2024,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(24)00102-8","https://scholar.google.com/scholar?cites=11221863041664679779&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 21:24:12","","","","",,,,,381,381.00,42,9,1,"… We also conducted density functional theory (DFT) calculations (Figures S11 and 2) and found that the HOMO/LUMO values of T2 (−4.70 and −1.21 eV) are lower than those of spiro-…","https://www.sciencedirect.com/science/article/pii/S2542435124001028?casa_token=njH6xhz1JjAAAAAA:svbfX0tKmB85GtUbehn9yA0oDiJHK7y80Y4qTpR56wP5NOWVKuFrU9zXEi7H6_Opj_kzIGABkg","https://scholar.google.com/scholar?q=related:Y_-B_PoQvJsJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"AR Genreith-Schriever, H Banerjee, AS Menon…","Oxygen hole formation controls stability in LiNiO2 cathodes",2023,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(23)00267-2","https://scholar.google.com/scholar?cites=9931710276349689483&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-15 21:24:12","HTML","","","",,,,,73,36.50,18,4,2,"… High Ni content layered transition metal oxides enable lithium-ion batteries with high … Determining oxidation states using density functional theory (DFT) calculations requires the ground-…","https://www.cell.com/joule/fulltext/S2542-4351(23)00267-2","https://scholar.google.com/scholar?q=related:i37rOeCF1IkJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
90,"Y Fu, Y Shan, G Zhou, L Long, L Wang, KB Yin, J Guo…","Electric strain in dual metal Janus nanosheets induces structural phase transition for efficient hydrogen evolution",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30466-0","https://scholar.google.com/scholar?cites=4877838810233872747&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 21:24:12","HTML","","","",,,,,90,15.00,11,8,6,"… The density functional theory (DFT) calculations were conducted using the Vienna ab initio simulation package (VASP). In the DFT calculation, the exchange-correlation effects are …","https://www.cell.com/joule/fulltext/S2542-4351(19)30466-0","https://scholar.google.com/scholar?q=related:a6Ga042QsUMJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"H Zhang, D Xu, F Yang, J Xie, Q Liu, DJ Liu, M Zhang…","A high-capacity Sn metal anode for aqueous acidic batteries",2023,"Joule","cell.com","https://www.cell.com/joule/abstract/S2542-4351(23)00170-8","https://scholar.google.com/scholar?cites=1225681052797203824&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 21:24:12","","","","",,,,,50,25.00,6,8,2,"… However, the practical adoption is greatly challenged by low voltage and energy density due to the inadequate metal anode materials. Here, we report an interfacial regulated Sn metal …","https://www.cell.com/joule/pdfExtended/S2542-4351(23)00170-8","https://scholar.google.com/scholar?q=related:cHXnb2x-AhEJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
209,"C Xiao, BA Lu, P Xue, N Tian, ZY Zhou, X Lin, WF Lin…","High-index-facet-and high-surface-energy nanocrystals of metals and metal oxides as highly efficient catalysts",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(20)30459-1","https://scholar.google.com/scholar?cites=14823443570629112029&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-15 21:24:12","HTML","","","",,,,,209,41.80,26,8,5,"The development and applications of highly efficient and stable catalysts are of vital importance for modern industries varying from chemical production and material transformation to …","https://www.cell.com/joule/fulltext/S2542-4351(20)30459-1","https://scholar.google.com/scholar?q=related:3XBlt2Nzt80J:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
295,"S Ding, MJ Hülsey, J Pérez-Ramírez, N Yan","Transforming energy with single-atom catalysts",2019,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?cites=6950710672137471335&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 21:24:12","HTML","","","",,,,,295,49.17,74,4,6,"… fine chemicals—most of which rely on the use of metallic transition metals on metal oxides. … The single Co atoms were observed in the HAADF-STEM images (Figure 3A), and DFT …","https://www.cell.com/joule/fulltext/S2542-4351(19)30475-1","https://scholar.google.com/scholar?q=related:Z0VFpYfidWAJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
124,"J Vergnet, M Saubanère, ML Doublet, JM Tarascon","The structural stability of P2-layered Na-based electrodes during anionic redox",2020,"Joule","cell.com","https://www.cell.com/joule/fulltext/S2542-4351(19)30588-4?uuid=uuid%3A8b293e11-5428-4f2f-baee-07eed1513937","https://scholar.google.com/scholar?cites=10623173920244141648&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-15 21:24:12","HTML","","","",,,,,124,24.80,31,4,5,"… redox in addition to the conventional transition metal redox. While … First-principle density functional theory (DFT) calculations … a magnetization-constrained DFT (MC-DFT) methodology to …","https://www.cell.com/joule/fulltext/S2542-4351(19)30588-4?uuid=uuid%3A8b293e11-5428-4f2f-baee-07eed1513937","https://scholar.google.com/scholar?q=related:UI5Yf2UYbZMJ:scholar.google.com/&scioq=source:joule+%222542+4351%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
