Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"K Liu, R Qin, K Li, W Zhang, P Ruan, G Fu, N Zheng","Atomically dispersed palladium catalyzes H/D exchange and isomerization of alkenes via reversible insertion and elimination",2021,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00290-6","https://scholar.google.com/scholar?cites=7860356101007210503&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-15 18:05:28","HTML","","","",,,,,21,5.25,3,7,4,"… The density functional theory (DFT) calculations revealed that H 2 can be dissociated … Moreover, as shown in Figure 4B, when H 2 was substituted by D 2 in the catalytic isomerization, …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00290-6","https://scholar.google.com/scholar?q=related:B_ibWDqYFW0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"T Hao, J Shen, Y Wei, M Shi","Alkene difunctionalization enabled by photocatalytic hydrogen atom transfer from haloalkane α-C (sp3)–H bonds",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00387-1","https://scholar.google.com/scholar?cites=3093048822680929596&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-15 18:05:28","","","","",,,,,7,3.50,2,4,2,"… plotting and density functional theory (DFT) calculation. The … accessed through the reductive elimination by the transition-… Furthermore, we calculated NPA charge of oxygen atom in B, …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00387-1","https://scholar.google.com/scholar?q=related:PEXWPIS37CoJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"X Wang, C Wang, Y Luo, J Li, C Gan, S Luo, Q Zhu","Enantioselective synthesis of inherently chiral 9-benzylidene-9H-tribenzo [a, c, e][7] annulene and its application as a ligand platform",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00005-8","https://scholar.google.com/scholar?cites=6707473934527740954&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-15 18:05:28","","","","",,,,,6,6.00,1,7,1,"… The revealed reaction mechanism through density functional theory not only deepens the … of β-hydrogens for elimination. The cis-elimination mechanism provides an opportunity to …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093%2824%2900005-8","https://scholar.google.com/scholar?q=related:Gry3dwG8FV0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"H Wang, Y Li, L Huang, H Xu, Y Jiao, Z Zhou, Z Tang, ...","The synthesis of spirocyclopropane skeletons enabled by Rh (III)-catalyzed enantioselective C–H activation/[4+ 2] annulation",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00402-5","https://scholar.google.com/scholar?cites=13638373234722345972&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-15 18:05:28","","","","",,,,,11,5.50,1,8,2,"… Therefore, we further conducted density functional theory (DFT) calculations using the benzamide 4a to probe the energy profiles of such substrates (see supplemental information for …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00402-5","https://scholar.google.com/scholar?q=related:9BPSoTI8Rb0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"W Liu, A Vianna, Z Zhang, S Huang, L Huang, ...","Mesoionic carbene-Breslow intermediates as super electron donors: Application to the metal-free arylacylation of alkenes",2021,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00011-7","https://scholar.google.com/scholar?cites=3088710831283472909&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-15 18:05:28","HTML","","","",,,,,88,22.00,15,6,4,"… We performed density functional theory (DFT) calculations at the B3LYP-D3(BJ)/6-311G∗∗ … In agreement with DFT calculations, the small hyperfine coupling constants indicate a strong …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00011-7","https://scholar.google.com/scholar?q=related:DYqN6CJO3SoJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L López, C Valdés","Pd-catalyzed enantioselective synthesis of uncommon inherently chiral tribenzoannulenes",2024,"Chem Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S2667109324000733","",6,"2025-05-15 18:05:28","HTML","","","",,,,,0,0.00,0,2,1,"… upon the final β-hydride elimination (Figure 1B). Thus, after … olefination reaction through density functional theory (DFT)-… (4) β-hydride elimination to deliver the final product (Figure 1B). …","https://www.sciencedirect.com/science/article/pii/S2667109324000733","https://scholar.google.com/scholar?q=related:XYnd5isUH6cJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"C Liu, X Kui, Q Lu, H Liu, D Qian","Transition-metal-catalyzed asymmetric functionalization of simple heterocycles: Facile access to chiral saturated heterocycles",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00371-8","https://scholar.google.com/scholar?cites=2864305042878206638&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-15 18:05:28","","","","",,,,,6,6.00,1,5,1,"… As shown in Scheme 4B, the proposed catalytic cycle … According to density functional theory (DFT) calculations, the … insertion and β-H elimination process would occur to form …","https://www.cell.com/chem-catalysis/pdf/S2667-1093(23)00371-8.pdf","https://scholar.google.com/scholar?q=related:rpIdwUIOwCcJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"X Chen, S Kramer","Photoinduced transition-metal-catalyzed enantioselective functionalization of non-acidic C (sp3)− H bonds",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00442-6","https://scholar.google.com/scholar?cites=15601064869768929853&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-15 18:05:28","","","","",,,,,11,11.00,6,2,1,"… b). The other type of catalytic system uses only a single, but bifunctional, transition-metal catalyst for both C−H substrate activation and bond formation (Figure 1B). … rapid elimination of a …","https://www.sciencedirect.com/science/article/pii/S2667109323004426","https://scholar.google.com/scholar?q=related:PSJnUNcdgtgJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Zhang, S Dong, MC Dietl, M Rudolph, X Zhang, ...","Practical and modular cycloadditions of in-situ-formed exocyclic vinylcarbenes",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","",9,"2025-05-15 18:05:28","HTML","","","",,,,,0,0.00,0,6,1,"… exocyclic α-vinyl carbene, an addition/elimination transformation of 4a with α-… 4B). Furthermore, the corresponding thermodynamic data were obtained by density functional theory (DFT) …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(24)00356-7","https://scholar.google.com/scholar?q=related:-tQB8OZEgL0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"J Wang, J Xie, WCC Lee, DS Wang, XP Zhang","Radical differentiation of two ester groups in unsymmetrical diazomalonates for highly asymmetric olefin cyclopropanation",2022,"Chem catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00335-3","https://scholar.google.com/scholar?cites=9863383332041859749&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-15 18:05:28","HTML","","","",,,,,30,10.00,6,5,3,"… The DFT calculation indicates that the formation of α-Co(III)-malonyl radical intermediate B upon activation of diazo 1c by [Co(P4)] is exergonic by 11.9 kcal/mol, with the elimination of …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00335-3","https://scholar.google.com/scholar?q=related:pSLdzeHG4YgJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"L Veth, HA Grab, S Martínez, C Antheaume, P Dydio","Transfer C–H borylation of alkenes under Rh (I) catalysis: Insight into the synthetic capacity, mechanism, and selectivity control",2022,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00103-8","https://scholar.google.com/scholar?cites=3811194986591484392&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-15 18:05:28","HTML","","","",,,,,11,3.67,2,5,3,"… studies, corroborated by DFT calculations, provided insight … yet relatively fast β-boryl elimination step engaging the Rh(I)-(β… of B 2 pin 2 and reductive elimination of MeOBpin (Scheme 1B…","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00103-8","https://scholar.google.com/scholar?q=related:6PmI0aUV5DQJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"GJ Mei, Y Luo, WL Koay, R Li, Y Lan, Y Lu","Chemo-, regio-and enantioselective dearomative (3+ 2) reaction of non-functionalized 1-naphthols",2022,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00382-1","https://scholar.google.com/scholar?cites=18130885880358938325&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-15 18:05:28","HTML","","","",,,,,23,7.67,4,6,3,"… departure of a proton (Figure 1B). Consequently, the CADA reaction of … We also performed density functional theory (DFT) … Both the elimination strategy from 3i and nitrosylation strategy …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00382-1","https://scholar.google.com/scholar?q=related:1abwiaXYnfsJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"Z Zhang, S Huang, CY Li, LL Zhao, W Liu, M Melaimi, ...","The triplet state of deprotonated mesoionic carbene Breslow intermediates is thermally accessible: Distal difunctionalization of aldehydes",2022,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00539-5","https://scholar.google.com/scholar?cites=1535514474437834621&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-15 18:05:28","HTML","","","",,,,,19,6.33,3,7,3,"… of BIs and BIs derived from A, B, C, 43 and MICs D, we performed density functional theory (… , it could be eliminated to afford a biradical (D)BR∗ (Figure 2B). DFT calculations predict that …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00539-5","https://scholar.google.com/scholar?q=related:fXdWbEc-TxUJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"S Kim, N Iqbal, J Bae, HS Hwang, D Baek, S Hong, ...","Understanding non-covalent interactions in Ni-catalyzed reactions: Mechanistic insights into stereoselective tetrasubstituted allene synthesis",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00254-9","https://scholar.google.com/scholar?cites=6932226576593190083&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-15 18:05:28","","","","",,,,,1,1.00,0,7,1,"… resonance (NMR) experiments and density functional theory (DFT) calculations. Unlike the … in stabilizing the intermediate and the subsequent elimination step, where the cleavage of …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(24)00254-9","https://scholar.google.com/scholar?q=related:w_xbyFc3NGAJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Z Wang, S Guo, Z Shen, R Wei, R Jiang, G Liu, Q Zhou, ...","Enantioselective palladium-catalyzed α-arylation of primary alkylamines",2025,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(25)00069-7","",15,"2025-05-15 18:05:28","","","","",,,,,0,0.00,0,8,1,"… Density functional theory (DFT) calculations support a concerted transmetalation-… potentially enabling access to α-chiral amines that are otherwise challenging to synthesize (Figure 1B). …","https://www.sciencedirect.com/science/article/pii/S2667109325000697?casa_token=VRci9SSJO3gAAAAA:MqrrnsDESPeLvNHRi8PfWLHlDHjp5gJlFERxjq0QY0Z3zOJ1t9ZPb6duBk-IrG2fcacMpQZ0Xw","https://scholar.google.com/scholar?q=related:cQOJcn64xbIJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"N Li, J Ke, LQ Ren, Y Li, C He","Mechanistic insight into rhodium-catalyzed intramolecular enantioselective C–H silylation with dihydrosilanes",2023,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(23)00372-X","https://scholar.google.com/scholar?cites=13383696654946621993&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-15 18:05:28","","","","",,,,,4,2.00,1,5,2,"… reductive elimination of dihydrogen from intermediate A generates a Rh(I) silyl complex B, … 6 was further investigated as additive by DFT calculation (Figure 6B, red lines). The insertion …","https://www.cell.com/chem-catalysis/pdfExtended/S2667-1093(23)00372-X","https://scholar.google.com/scholar?q=related:KVqtozJxvLkJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"QZ Li, ZH Li, JC Kang, TM Ding, SY Zhang","Ni-catalyzed, enantioselective three-component radical relayed reductive coupling of alkynes: Synthesis of axially chiral styrenes",2022,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00512-7","https://scholar.google.com/scholar?cites=12845251205872391953&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-15 18:05:28","HTML","","","",,,,,30,10.00,6,5,3,"… Next, we performed density functional theory (DFT) … oxidative addition onto the PhI to intermediate B via TS1 with 7.8 kcal/mol, … Next, the reductive elimination of H occurs via TS6 to …","https://www.cell.com/chem-catalysis/fulltext/S2667-1093(22)00512-7","https://scholar.google.com/scholar?q=related:EZeuKOp_Q7IJ:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"F Ni, J Zhang, Y Zhou, L Qiu","Recent progress in stereoselective transformations enabled by thermally activated delayed fluorescence photocatalysts",2024,"Chem Catalysis","cell.com","https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00028-9","https://scholar.google.com/scholar?cites=17138768669917978472&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-15 18:05:28","","","","",,,,,1,1.00,0,4,1,"… regio- and stereocontrol (Scheme 14B). The different products of the two transformations derived from the absence (former) or presence (latter) of the β-hydroxy elimination of π-allyl-Co(…","https://www.sciencedirect.com/science/article/pii/S2667109324000289?casa_token=VQz2ChLUP0UAAAAA:1Q4UkHcWTuA3tdUIygzcm0OjZgJhLQ4Yu_13wpDo2R4JjrS-jd8oVFz2zt8OfDjMpLDrq10oIQ","https://scholar.google.com/scholar?q=related:aB8O2kwj2e0J:scholar.google.com/&scioq=source:%22chem+catalysis%22+%222667+1093%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
