ArticleURL,Reaction_Class,Title,Year,Cites,Abstract
https://www.cell.com/chem/fulltext/S2451-9294(24)00535-7,"['TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'HomogeneousCatalysis', 'Photoredox', 'MetalCatalyzed', 'CrossCoupling']",Excited-state protonation and reduction enable the umpolung Birch reduction of naphthalenes,2025,3,… It is interesting to note that OBn groups are generally cleaved under standard reductive Birch … Density function theory (DFT)-optimized structures are provided in a separate .zip file (Data …
https://www.cell.com/chem/abstract/S2451-9294(23)00562-4,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'HomogeneousCatalysis', 'Photoredox', 'MetalCatalyzed', 'Transmetalation', 'CrossCoupling']","A bulky 1, 4, 7-triazacyclononane and acetonitrile, a Goldilocks system for probing the role of NiIII and NiI centers in cross-coupling catalysis",2024,17,"… stabilize a Ni I species while also preventing β-hydride elimination and promoting transmetalation and rapid reductive elimination from the Ni III species. Overall, these studies provide …"
https://www.cell.com/chem/fulltext/S2451-9294(17)30317-0,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'OlefinMetathesis', 'betaElimination', 'ReductiveElimination', 'HomogeneousCatalysis', 'MetalCatalyzed', 'MigratoryInsertion', 'CrossCoupling']","Ni (I)-catalyzed reductive cyclization of 1, 6-dienes: mechanism-controlled trans selectivity",2017,70,"… Here, we report a reductive cyclization of dienes that proceeds via a mechanism distinct from those of previous reports. A well-defined Ni(I) intermediate mediates two-electron transfer …"
https://www.cell.com/chem/fulltext/S2451-9294(21)00210-2,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'Photoredox', 'MetalCatalyzed', 'CrossCoupling']",Electrocatalytic C–H phosphorylation through nickel (III/IV/II) catalysis,2021,37,"… H phosphorylation, we carried out DFT studies of the key steps at … Moreover, reductive elimination from Ni IV -H7 to Ni II -H9 … stage for an oxidation-induced reductive elimination at Ni(IV) …"
https://www.cell.com/chem/abstract/S2451-9294(23)00080-3,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'HomogeneousCatalysis', 'Photoredox', 'MetalCatalyzed', 'CrossCoupling']","Carbon-centered radical capture at nickel (II) complexes: Spectroscopic evidence, rates, and selectivity",2023,69,… of rate constants reveals that previous density functional theory (DFT) calculations generally … be rate limiting in relation to fast reductive elimination; (3) contrasting reactivity between …
https://www.cell.com/chem/fulltext/S2451-9294(18)30486-8,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'OlefinMetathesis', 'Carbonylation', 'ReductiveElimination', 'HomogeneousCatalysis', 'Photoredox', 'MetalCatalyzed', 'MigratoryInsertion', 'Transmetalation', 'betaElimination', 'CrossCoupling']","Photoredox-catalysis-modulated, nickel-catalyzed divergent difunctionalization of ethylene",2019,107,"… would preferentially undergo reductive elimination in the … product 2, density functional theory (DFT) method M11-L was … The following reductive elimination could take place from a …"
https://www.cell.com/chem/fulltext/S2451-9294(20)30468-X,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'MetalCatalyzed', 'MigratoryInsertion', 'Transmetalation', 'CrossCoupling']",Compatibility score for rational electrophile selection in Pd/NBE cooperative catalysis,2020,32,"… Our DFT calculations indicated the C–C reductive elimination from the neutral ANP-1 requires a relatively low activation free energy of 20.2 kcal/mol, which is 7.6 kcal/mol lower than the …"
https://www.cell.com/chem/fulltext/S2451-9294(21)00206-0,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'MetalCatalyzed', 'CrossCoupling']",An axial-to-axial chirality transfer strategy for atroposelective construction of C–N axial chirality,2021,91,"… Additionally, the reaction mechanism and the chirality transfer process are elucidated by density functional theory calculations. …"
https://www.cell.com/chem/fulltext/S2451-9294(21)00098-X,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'HomogeneousCatalysis', 'MetalCatalyzed', 'MigratoryInsertion', 'Transmetalation', 'CrossCoupling']",Ligand coordination-and dissociation-induced divergent allylic alkylations using alkynes,2021,24,"… reactivities, we carried out DFT 27 calculations to investigate the … The(alkynyl)-C(allyl internal) reductive elimination then took … product 4a, direct reductive elimination of intermediate D …"
https://www.cell.com/chem/abstract/S2451-9294(23)00044-X,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'MetalCatalyzed']",Unprecedented endo-oxidative cyclometallation and [4+ 3] cycloaddition of diene-vinylcyclopropanes,2023,13,"… metallacycles, MC-I, which can undergo reductive elimination to give [m + n] cycloadducts. If … metal–carbon bond in MC-I, followed by reductive elimination, can give traditional [m + n + o…"
