Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
39,"Q Zhang, J Peng, H Xiong, S Jiang, W Li, X Fu…","Cold plasma-activated Ni-Co tandem catalysts with CN vacancies for enhancing CH4 electrocatalytic to methyl formate",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324010737","https://scholar.google.com/scholar?cites=11662943372285190553&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 16:27:46","HTML","","","",,,,,39,39.00,6,7,1,"… In situ ATR-SEIRAS and DFT calculations suggest that the CN vacancies can shift the d-… of CH 4 over Ni atom near CN vacancy, generating the key intermediates of *CH 3 and *CH 2 . *…","https://www.sciencedirect.com/science/article/pii/S0926337324010737","https://scholar.google.com/scholar?q=related:mSGORDQZ26EJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"C Sun, J Wang, J Wang, M Shakouri, B Shi…","Pt enhanced C–H bond activation for efficient and low-methane-selectivity hydrogenolysis of polyethylene over alloyed RuPt/ZrO2",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324003606","https://scholar.google.com/scholar?cites=4716975951988043534&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 16:27:46","HTML","","","",,,,,15,15.00,3,6,1,"… density functional theory (DFT) calculations reveal that the RuPt alloy has excellent C–H activation … be accelerated by promoting the first C–H activation, which is harder on monometallic …","https://www.sciencedirect.com/science/article/pii/S0926337324003606","https://scholar.google.com/scholar?q=related:Dq9OAKMQdkEJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"W Zhao, G Wang, S Song, M Wen, G Li, T An","Enhanced pizeopotential-mediated catalytic oxidation mechanism of formaldehyde and anti-deactivation performance onto ZnO surface",2024,"… Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324003710","https://scholar.google.com/scholar?cites=259242237603373601&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 16:27:46","HTML","","","",,,,,3,3.00,1,6,1,"… ultra-high activity for PMS activation in the ibuprofen degradation. … Large-scale calculations based on DFT integrated with a … In this study, all density functional theory (DFT) modeling is …","https://www.sciencedirect.com/science/article/pii/S0926337324003710","https://scholar.google.com/scholar?q=related:IWIgC3EDmQMJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"L Liu, G Jing, C Xu, X Zhang, X Zhang, L Guo…","Exceptional formaldehyde oxidation at room temperature on Co single-atom functionalized TiO2 nanowires via highly effective O2 activation",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337323012778","https://scholar.google.com/scholar?cites=11844926748967963974&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 16:27:46","HTML","","","",,,,,13,13.00,2,7,1,"… Despite the high O 2 activation capabilities demonstrated by noble metal catalysts, their … ) and density functional theory (DFT) calculations. Finally, the intricate O 2 activation mechanism …","https://www.sciencedirect.com/science/article/pii/S0926337323012778","https://scholar.google.com/scholar?q=related:Rg3C_h6iYaQJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"H Zhang, X Wang, Y Sun, X Wang, Z Tang, S Li…","Targeted CO bond cleavage of* CH2CHO at copper active sites for efficient electrosynthesis of ethylene from CO2 reduction",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324003060","https://scholar.google.com/scholar?cites=4433727116835572767&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 16:27:46","HTML","","","",,,,,21,21.00,3,7,1,"… on the adsorption of intermediates, we conducted DFT calculations. The PDOS analysis of O … Gd-Cu 2 O exhibits stronger surface activation towards intermediates, such as *OCHCH 2 , …","https://www.sciencedirect.com/science/article/pii/S0926337324003060","https://scholar.google.com/scholar?q=related:H0wAZlLDhz0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"J Zhong, Z Yin, T Li, Y Zeng, F Feng, Q Ren…","… into the mutual-effect and key intermediate during methanol accelerating toluene decomposition over Co-spinel catalyst revealed by PTR-TOF-MS and DFT …",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324003898","https://scholar.google.com/scholar?cites=10096578890030933152&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 16:27:46","HTML","","","",,,,,6,6.00,1,7,1,"… The reaction energy required for the activation of the CH bond in the o-position of toluene is the lowest (0.61 eV), followed by the m- position (0.77 eV) and p-positions (0.85 eV). The …","https://www.sciencedirect.com/science/article/pii/S0926337324003898","https://scholar.google.com/scholar?q=related:oGQAqwFBHowJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Liu, Y Shi, L Yu, G Zhan, Z Chen, B Zhou…","Bifunctional-boron incorporated mesocrystalline CeO2 for enhanced catalytic ozonation benzene at room temperature",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337325002280","",7,"2025-05-06 16:27:46","HTML","","","",,,,,0,0.00,0,7,1,"Room-temperature catalytic decomposition of aromatic volatile organic compounds driven by ozone (O 3 ) presents a sustainable pathway for air purification yet challenging in the …","https://www.sciencedirect.com/science/article/pii/S0926337325002280","https://scholar.google.com/scholar?q=related:3wqeMY7uohoJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"S Zhao, D An, Y Zhou, J Fang, S Zhuo","Enhanced O2 activation and n→ π* electronic transition through thiophene rings modification for boosted photocatalytic degradation and H2 production",2024,"Applied Catalysis B: Environment …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324007112","https://scholar.google.com/scholar?cites=3247794788354347831&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 16:27:46","HTML","","","",,,,,13,13.00,3,5,1,"… Based on the DFT calculation, we further studied the effect of thiophene ring on the ability of samples to adsorb O 2 (Fig. 4a, b). And the adsorption energies of CN and CNS-50 are …","https://www.sciencedirect.com/science/article/pii/S0926337324007112","https://scholar.google.com/scholar?q=related:N9M5Byd8Ei0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"K Feng, J Zhang, Z Li, X Liu, Y Pan, Z Wu, J Tian…","Spontaneous regeneration of active sites against catalyst deactivation",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337323012900","https://scholar.google.com/scholar?cites=5225666091394540895&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 16:27:46","HTML","","","",,,,,14,14.00,2,8,1,"Catalyst deactivation is one of the long-standing challenges in heterogeneous catalysis. Here, we found that the Ni/MgAl 2 O 4 catalyst shows an atmosphere-dependent deactivation …","https://www.sciencedirect.com/science/article/pii/S0926337323012900","https://scholar.google.com/scholar?q=related:XyVglJ9LhUgJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"X Zong, T Xie, DG Vlachos","Predicting hydrogenolysis reaction barriers of large hydrocarbons on metal surfaces using machine learning: Implications for polymer deconstruction",2024,"Applied Catalysis B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324003849","https://scholar.google.com/scholar?cites=9480232929790572581&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 16:27:46","HTML","","","",,,,,4,4.00,1,3,1,"… a DFT dataset of activation barriers for CC and CH bond … The dataset includes 380 DFT-calculated activation energies, 60 of … We develop BEP relationships for both CC cracking and CH …","https://www.sciencedirect.com/science/article/pii/S0926337324003849","https://scholar.google.com/scholar?q=related:JbggCJ-NkIMJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
