Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"W Su, S Zhong, Y Fan","A novel Cu-based covalent organic framework with Cu-N2O2 single sites for efficient CO2 electroreduction to methane",2024,"Applied Catalysis B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324004594","https://scholar.google.com/scholar?cites=17235329673104691726&as_sdt=2005&sciodt=0,5&hl=en",93,"2025-05-06 17:04:05","HTML","","","",,,,,4,4.00,1,3,1,"… In addition, density functional theory (DFT) calculations were used to explore the reasons for the different CH 4 selectivities of the three catalysts with different coordination …","https://www.sciencedirect.com/science/article/pii/S0926337324004594","https://scholar.google.com/scholar?q=related:DpInYAUxMO8J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Yuan, Z Zheng, Y Wang, K Chang, W Yan…","Asymmetric diatomic site catalysts for highly efficient industrial-level CO2 electroreduction",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S092633732401289X","https://scholar.google.com/scholar?cites=3273193986027636882&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 17:04:05","HTML","","","",,,,,1,1.00,0,6,1,"… in the electrocatalytic CO 2 reduction reaction (CO 2 RR) measurement, surpassing the industrial … insights for the industrial design and practical application of CO 2 RR electrocatalysts. …","https://www.sciencedirect.com/science/article/pii/S092633732401289X","https://scholar.google.com/scholar?q=related:kkgfkpa4bC0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"M Li, Z Hou, X Li, X Gu, X Yan, Q Lv, C Huang","Asymmetrical anchor way of manganese atoms on carbon domain edge for enhanced oxygen reduction reaction",2024,"… B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324005630","https://scholar.google.com/scholar?cites=10028226668672284985&as_sdt=2005&sciodt=0,5&hl=en",88,"2025-05-06 17:04:05","HTML","","","",,,,,2,2.00,0,7,1,"… Density functional theory (DFT) calculations reveal that the encouraging performance of Mn-N-HsGDY derives from the synergistic coordination of electron-withdrawing sp-N and OH …","https://www.sciencedirect.com/science/article/pii/S0926337324005630","https://scholar.google.com/scholar?q=related:OXlP-QVrK4sJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Z Zhao, L Lin, Y Ni, L Jin, L Feng, Y Wang, Y Wei…","Atomic level dispersed nickel coupled with silver nanoparticle to boost the efficiency of CO2 conversion to CO via spin electrons regulation",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324002005","https://scholar.google.com/scholar?cites=13681361557758677118&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 17:04:05","HTML","","","",,,,,3,3.00,0,8,1,"… Experiments combined with DFT study revealed the CO 2 RR mechanism. … the real reaction sites for CO 2 RR and bring a basis for the designation of high-efficiency CO 2 RR catalysts. …","https://www.sciencedirect.com/science/article/pii/S0926337324002005","https://scholar.google.com/scholar?q=related:fhDkjdn13b0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"F Wen, L Song, X Lv, S Wang, G Zheng…","Atomically dispersed cobalt on quinacridone-embedded donor-acceptor conjugated mesoporous polymer for efficient photocatalytic CO2-to-syngas",2025,"… B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324012438","https://scholar.google.com/scholar?cites=18065837869582652921&as_sdt=2005&sciodt=0,5&hl=en",84,"2025-05-06 17:04:05","HTML","","","",,,,,1,1.00,0,6,1,"Artificial photocatalytic CO 2 into syngas with a suitable CO/H 2 ratio for Fischer-Tropsch synthesis is a promising path toward the carbon neutrality and sustainable development, but the …","https://www.sciencedirect.com/science/article/pii/S0926337324012438","https://scholar.google.com/scholar?q=related:-RVGUtO_tvoJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"B Liu, M Cheng, C Zhang, Y Si, J Zhou, Y Ren…","Au-Cu dual-single-atom sites on Bi2WO6 with oxygen vacancy for CO2 photoreduction towards multicarbon products",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324005770","https://scholar.google.com/scholar?cites=2069650857839223722&as_sdt=2005&sciodt=0,5&hl=en",70,"2025-05-06 17:04:05","HTML","","","",,,,,17,17.00,2,7,1,"… the principles of density functional theory (DFT), which were … to obtain sights of the CO2RR mechanism. When it comes to … Therefore, charge density exerts a major function on CO2RR …","https://www.sciencedirect.com/science/article/pii/S0926337324005770","https://scholar.google.com/scholar?q=related:quOWXn3guBwJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"Y Cao, C Zhang, W Wang, Y Liu, Y Tao, J Fan…","Binary junctions enhance electron storage and potential difference for photo-assisted electrocatalytic CO2 reduction to HCOOH",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324001814","https://scholar.google.com/scholar?cites=14310097634554953441&as_sdt=2005&sciodt=0,5&hl=en",29,"2025-05-06 17:04:05","HTML","","","",,,,,9,9.00,1,7,1,"… CO 2 RR … and DFT calculations have demonstrated that the formation of STO/AR binary junctions effectively enhances electron-hole separation and active electron transfer for CO 2 RR, …","https://www.sciencedirect.com/science/article/pii/S0926337324001814","https://scholar.google.com/scholar?q=related:4T7OAPutl8YJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"WW Tian, JT Ren, HY Wang, L Wang…","Bioinspired binary-site catalysts for novel urea-assisted Zn-air battery: A transfer station between renewable energy and hydrogen",2024,"… B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324004296","https://scholar.google.com/scholar?cites=15409112579161971121&as_sdt=2005&sciodt=0,5&hl=en",91,"2025-05-06 17:04:05","HTML","","","",,,,,13,13.00,3,5,1,"… To further explore the effect of the built-in electric field on the electron structure at the interface, the density functional theory (DFT) calculations were executed to investigate the electron …","https://www.sciencedirect.com/science/article/pii/S0926337324004296","https://scholar.google.com/scholar?q=related:sdnz8D8q2NUJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"L Cao, J Huang, X Wu, Q Xu, K Su, Y Zhong…","Boosting and stabilizing the electrocatalytic reduction of carbon dioxide on Bi2O2CO3 via surface modification with p-aminobenzoic acid",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324007653","https://scholar.google.com/scholar?cites=325733471765553561&as_sdt=2005&sciodt=0,5&hl=en",97,"2025-05-06 17:04:05","HTML","","","",,,,,5,5.00,1,7,1,"… Density functional theory (DFT) calculations further elucidate that the integration of amino groups from PABA effectively modulates the interface microenvironment, enriching the CO 2 …","https://www.sciencedirect.com/science/article/pii/S0926337324007653","https://scholar.google.com/scholar?q=related:mWEK5N08hQQJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"Y Zhao, Q Yuan, R Xu, C Zhang, K Sun, A Wang…","Boosting electrochemical conversion of CO2 to ethanol through the confinement of pyridinic NB layer on copper nanoparticles",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S092633732400482X","https://scholar.google.com/scholar?cites=14813013711658963050&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 17:04:05","HTML","","","",,,,,7,7.00,1,7,1,"… Cu/BNC-1 without CO 2 RR and after 8 h, 16 h, 24 h of CO 2 RR, respectively. (b) … DFT calculations were performed for disclosing the origin of Cu/BNC-1 performance toward CO 2 RR …","https://www.sciencedirect.com/science/article/pii/S092633732400482X","https://scholar.google.com/scholar?q=related:alBs8Hxlks0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
