Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"QA Huang, Y Cao, K Satou, H Murayama…","Active and Stable Au/ZrO2 Catalysts for Isomerization of Allylic Esters: A Practical Application of Heterogeneous Gold Catalysis",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337325003340","",11,"2025-05-06 17:06:44","HTML","","","",,,,,0,0.00,0,5,1,"The isomerization of allylic esters using zirconia-supported Au nanoparticle (NP) catalysts is an attractive solution for the efficient utilization and transformation of C4 derivatives in …","https://www.sciencedirect.com/science/article/pii/S0926337325003340","https://scholar.google.com/scholar?q=related:MZhMgdFFdTAJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Z Xia, W Hu, Y Xiang, C Lü","Boron-doped carbon dots modified zirconium porphyrin MOFs enable efficient and highly selective photosynthesis of hydrogen peroxide in water and …",2024,"Applied Catalysis B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324007082","https://scholar.google.com/scholar?cites=9222521590374443959&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-06 17:06:44","HTML","","","",,,,,2,2.00,1,4,1,"… We analyzed the photocatalyst through density functional theory (DFT) calculations to explore the factors contributing to the superior photocatalytic activity. Firstly, the optimized …","https://www.sciencedirect.com/science/article/pii/S0926337324007082","https://scholar.google.com/scholar?q=related:t6uj_4X6_H8J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"Q Zhang, J Peng, H Xiong, S Jiang, W Li, X Fu…","Cold plasma-activated Ni-Co tandem catalysts with CN vacancies for enhancing CH4 electrocatalytic to methyl formate",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324010737","https://scholar.google.com/scholar?cites=11662943372285190553&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 17:06:44","HTML","","","",,,,,39,39.00,6,7,1,"… In situ ATR-SEIRAS and DFT calculations suggest that the CN vacancies can shift the d-band center of the active Ni sites upwards to enhance the chemisorption of CH 4 over Ni atom …","https://www.sciencedirect.com/science/article/pii/S0926337324010737","https://scholar.google.com/scholar?q=related:mSGORDQZ26EJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"W Chen, KA Tarach, K Góra-Marek, A Zheng","Confinement driving mechanism of surface methoxy species formation in mordenite zeolite: An interplay of different molecular factors",2024,"… Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324006209","https://scholar.google.com/scholar?cites=3961947932531292987&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 17:06:44","HTML","","","",,,,,5,5.00,1,4,1,"… Static DFT calculations were employed to calculate the … as the first step of carbonylation process was insightfully investigated in … during DME carbonylation than MeOH carbonylation and …","https://www.sciencedirect.com/science/article/pii/S0926337324006209","https://scholar.google.com/scholar?q=related:O_seQaeq-zYJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"W Wang, J Guo, Y Zhang, K Lu, J Xu, J Li, F Wu…","Constructing dual sulfite-mediated processes via inner-sphere complexation and photogenerated carrier modulation with Hematite/Fe2TiO5 heterojunction for …",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S092633732400688X","https://scholar.google.com/scholar?cites=8757347934719607923&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 17:06:44","HTML","","","",,,,,2,2.00,0,8,1,"… In recognition that approximate density functional theory (DFT… , the Hubbard U method (DFT+U) has been considered as a … Alternatively, OFL can be reacted directly by carbonylation to …","https://www.sciencedirect.com/science/article/pii/S092633732400688X","https://scholar.google.com/scholar?q=related:c4R2V4xZiHkJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"R Kang, X Wang, J Huang, S An, L Wang…","Distinct structure-activity relationship and reaction mechanism over BaCoO3/CeO2 catalysts for NO direct decomposition",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324002662","https://scholar.google.com/scholar?cites=9877567734972631139&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 17:06:44","HTML","","","",,,,,5,5.00,1,6,1,"… is elucidated by in situ Diffuse reflectance infrared Fourier transform spectroscopy, 18 O 2 isotopic transient exchange experiments and density functional theory (DFT) calculation. …","https://www.sciencedirect.com/science/article/pii/S0926337324002662","https://scholar.google.com/scholar?q=related:Y0jnd4UrFIkJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"PP Guo, ZH He, HH Cao, K Wang, W Wang…","Efficient synthesis of syngas from CO2 electrochemical reduction over a dual functional FexC@ CNT/N-MXene catalyst",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324000985","https://scholar.google.com/scholar?cites=3828376957252932876&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 17:06:44","HTML","","","",,,,,18,18.00,3,6,1,"… According to the above studies on characterizations, catalytic performances, and DFT … , and the results are similar to the DFT calculation. Although these components individually play …","https://www.sciencedirect.com/science/article/pii/S0926337324000985","https://scholar.google.com/scholar?q=related:DBVaG48gITUJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"J Liu, Y Wei, R Li, Y Liu, H Yu, X Zhou, B Wu…","Isolated Ni sites anchored on zeolites for direct synthesis of acetic acid from methane oxidative carbonylation",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324002650","https://scholar.google.com/scholar?cites=2364475247028471326&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 17:06:44","HTML","","","",,,,,7,7.00,1,8,1,"… and a remarkable selectivity up to 82.3 % from methane oxidative carbonylation. Combined with high angle annular dark field scanning transmission electron microscopy, X-ray …","https://www.sciencedirect.com/science/article/pii/S0926337324002650","https://scholar.google.com/scholar?q=related:HgZWq7VN0CAJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"Y Wang, X Li, W Xu, D Chen, N Li, Q Xu, H Li…","Nitrogen-doped carbon skeleton loaded with PDI/MZO S-scheme photocatalyst with enhanced adsorption and photocatalysis activity",2024,"… : Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324001516","https://scholar.google.com/scholar?cites=12727372730308421650&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 17:06:44","HTML","","","",,,,,36,36.00,5,8,1,"… Density functional theory calculation The density functional theory (DFT) calculations were performed using a Dmol3 module of Material Studio 2020. The generalized gradient …","https://www.sciencedirect.com/science/article/pii/S0926337324001516","https://scholar.google.com/scholar?q=related:EugG0hC2oLAJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Sun, Z Liu, ZJ Xu, T Wu","Opportunities and challenges in biomass electrocatalysis and valorization",2024,"Applied Catalysis B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324007185","https://scholar.google.com/scholar?cites=14413341081228375232&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 17:06:44","HTML","","","",,,,,18,18.00,5,4,1,"… The electrolysis of non-phenolic β-O-4 lignin model compounds resulted in yields within the outstanding range of 88-92% of C α -carbonylation. Despite the promising applications of …","https://www.sciencedirect.com/science/article/pii/S0926337324007185","https://scholar.google.com/scholar?q=related:wHQpJVl5BsgJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
