Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"Y Wang, J Liu, Z Zhao, Q Guo, Q Jiang, N He…","A carbon-negative route for sustainable production of aromatics from biomass-derived aqueous oxygenates",2022,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337322000790","https://scholar.google.com/scholar?cites=16194604121609843207&as_sdt=2005&sciodt=0,5&hl=en",23,"2025-05-06 17:03:24","HTML","","","",,,,,12,4.00,2,7,3,"… -catalyzed dehydrogenation/ hydrogenation and base-catalyzed … among these intermediates to produce ketone or alkane mixtures with a … was verified by the DFT calculations. For the …","https://www.sciencedirect.com/science/article/pii/S0926337322000790","https://scholar.google.com/scholar?q=related:B7KhWqXKvuAJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"GB Strapasson, GB Báfero, DS Leite…","Acidity drives selectivity: Tuning reaction pathways of (Pt, Fe)-supported catalysts under hydrodeoxygenation conditions",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337325002991","",32,"2025-05-06 17:03:24","HTML","","","",,,,,0,0.00,0,4,1,"The design and tuning of active sites (eg, metallic, acid, and redox sites) are crucial for developing active, selective, and stable catalysts. Metal-support interactions (MSI) and the …","https://www.sciencedirect.com/science/article/pii/S0926337325002991","https://scholar.google.com/scholar?q=related:zLpqOLF5I0QJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"JR Chen, SC Ke","An all-in-one cytosine fused dihydroisoquinoline reaction center with ultralow Pt loading for excellent solar-to-hydrogen production",2024,"Applied Catalysis B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324006234","",29,"2025-05-06 17:03:24","HTML","","","",,,,,0,0.00,0,2,1,"… of a ketone functionality via a ring-closing reaction, the benzo-fused heterocyclic ketone can … Using 4 and 7 with melem trimer as model structures, we performed DFT computation to see …","https://www.sciencedirect.com/science/article/pii/S0926337324006234","https://scholar.google.com/scholar?q=related:iFsYa9nniYcJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"J Wu, W Zhang, W Shi, H Li, W Lang, T Li, Y Ji…","Bucket effect of cobalt nanoparticles and single atoms in nitroarenes transfer hydrogenation",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324012177","https://scholar.google.com/scholar?cites=10404513480440382095&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 17:03:24","HTML","","","",,,,,3,3.00,0,8,1,"… the transfer hydrogenation of nitro compounds. Density functional theory calculations reveal … surface of Co NPs, while nitroarenes hydrogenation predominantly takes place at Co single …","https://www.sciencedirect.com/science/article/pii/S0926337324012177","https://scholar.google.com/scholar?q=related:j4JpjuJBZJAJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"RG Dastidar, JE Chavarrio, Z Jiang…","Catalytic production of δ-valerolactone (DVL) from biobased 2-hydroxytetrahydropyran (HTHP)–Combined experimental and modeling study",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324008336","https://scholar.google.com/scholar?cites=11549784867451289723&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-06 17:03:24","HTML","","","",,,,,3,3.00,1,4,1,"… Cyclohexanone is extracted from the ketone-alcohol oil (KA … shown that PDO production from hydrogenation of HTHP, as … range studied, verifying the DFT calculations in this work. The …","https://www.sciencedirect.com/science/article/pii/S0926337324008336","https://scholar.google.com/scholar?q=related:e8CdwCQUSaAJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"W Chen, KA Tarach, K Góra-Marek, A Zheng","Confinement driving mechanism of surface methoxy species formation in mordenite zeolite: An interplay of different molecular factors",2024,"… Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324006209","https://scholar.google.com/scholar?cites=3961947932531292987&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-05-06 17:03:24","HTML","","","",,,,,5,5.00,1,4,1,"… Static DFT calculations Static DFT calculations were employed to calculate the adsorption free energy on CP2K software, and all parameters of electronic calculations are consistent …","https://www.sciencedirect.com/science/article/pii/S0926337324006209","https://scholar.google.com/scholar?q=related:O_seQaeq-zYJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"O Kwon, DS Potts, DW Flaherty","Effects of silanol defects and Ti site location within Ti-MWW on alkene epoxidation with aqueous hydrogen peroxide",2024,"Applied Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324004338","https://scholar.google.com/scholar?cites=867079001764983945&as_sdt=2005&sciodt=0,5&hl=en",36,"2025-05-06 17:03:24","HTML","","","",,,,,3,3.00,1,3,1,"Catalytic reaction kinetics and thermodynamics within zeolites respond to the physical properties of the framework through noncovalent interactions with solvents. Here, we demonstrate …","https://www.sciencedirect.com/science/article/pii/S0926337324004338","https://scholar.google.com/scholar?q=related:ifRmFMJ7CAwJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Liénart, YM Legrand, F Pelissier, P Gaveau…","Efficient and sustainable tandem annulation-decarboxylation reaction using ecocatalysis",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324002029","",26,"2025-05-06 17:03:24","HTML","","","",,,,,0,0.00,0,5,1,"… , XPS and solid-state NMR, allowing to depict a mechanism confirmed by DFT calculations. … However, the use of α,β-unsaturated aldehydes instead of α,β-unsaturated ketones did not …","https://www.sciencedirect.com/science/article/pii/S0926337324002029","https://scholar.google.com/scholar?q=related:IWdNo3qrcOMJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Q Gao, J Xu, J Wei, J Yu, Y Yu, Y Sun, Q Ge…","Efficient synthesis of alcohols from syngas over Fe3O4 modified by P25 and Ca",2025,"… : Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324013092","",34,"2025-05-06 17:03:24","HTML","","","",,,,,0,0.00,0,8,1,"The efficient synthesis of alcohols from syngas is a promising route for the production of high-value chemicals from non-petroleum resources such as coal, biomass, and natural gas. Fe-…","https://www.sciencedirect.com/science/article/pii/S0926337324013092","https://scholar.google.com/scholar?q=related:wZipAgJFW3gJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"A Kurniawan, ST Yin, KJ Li, XL Chen, WJ Huang…","Elucidating metal composition–coking relationships and coke formation pathways during gas-phase oxydehydration of glycerol over clay mineral-supported …",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S092633732400078X","https://scholar.google.com/scholar?cites=18231953573978687745&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-06 17:03:24","HTML","","","",,,,,13,13.00,2,6,1,"… In addition, the DFT pore size distributions showed that both … may arise either from selective hydrogenation of the C double … of 1-hydroxycyclohexyl phenyl ketone may involve reactions …","https://www.sciencedirect.com/science/article/pii/S092633732400078X","https://scholar.google.com/scholar?q=related:Aclpsi3pBP0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
