Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"Z Li, T Gao, H Chu, L Liao, X Wang, L Guo, Y Xu…","Unraveling the nature of local field distortion-induced dual electron-trapping centers for efficient photocatalytic fuel evolution",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324006842","https://scholar.google.com/scholar?cites=13481505815928777742&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 17:01:41","HTML","","","",,,,,5,5.00,1,8,1,"Active electron-trapping centers play significant roles in photocatalysis. Herein, we synergize local field distortion and defects in nanocrystals to produce dual electron-trapping centers …","https://www.sciencedirect.com/science/article/pii/S0926337324006842","https://scholar.google.com/scholar?q=related:DizMixzuF7sJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"B Zhao, J Xu, D Gao, F Chen, X Wang, T Liu…","Spatially separated HOMO-LUMO sites in highly intra-and inter-plane crystalline g-C3N4 photocatalyst for exceptional H2 generation",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324005290","https://scholar.google.com/scholar?cites=13439906388547873698&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 17:01:41","HTML","","","",,,,,25,25.00,4,7,1,"… Hence, it is imperative and valuable to efficiently promote the migration and separation of photoexcited charges to enhance the photocatalytic H 2 -production efficiency of conventional …","https://www.sciencedirect.com/science/article/pii/S0926337324005290","https://scholar.google.com/scholar?q=related:oivmF6cjhLoJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"CH Lee, S Pahari, MA Barteau, JSI Kwon","Exploring dynamics in single atom catalyst research: a comprehensive DFT-kMC study of nitrogen reduction reaction with focus on tm aggregation",2024,"… Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324007483","https://scholar.google.com/scholar?cites=9309146750096809972&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 17:01:41","HTML","","","",,,,,5,5.00,1,4,1,"… Hence, we systematically explored the different E a values required for desorption and migration processes associated with TM aggregation, and selected the higher E a values, …","https://www.sciencedirect.com/science/article/pii/S0926337324007483","https://scholar.google.com/scholar?q=related:9J-AsaW7MIEJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"Z Lu, J Wang, P Zhang, W Guo, Y Shen, P Liu…","Directed electron transport induced surface reconstruction of 2D NiFe-LDH/Stanene heterojunction catalysts for efficient oxygen evolution",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324003874","https://scholar.google.com/scholar?cites=10922105772762324765&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 17:01:41","HTML","","","",,,,,41,41.00,6,7,1,"… inserting stanene between NiFe-LDH and Ni foam. In-situ Raman spectra and density functional theory calculations (DFT) … reconstruction, which facilitated the migration of OH - from the …","https://www.sciencedirect.com/science/article/pii/S0926337324003874","https://scholar.google.com/scholar?q=related:Hd-9IFUdk5cJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"Y Xia, H Yang, W Ho, B Zhu, J Yu","Promoting the photocatalytic NO oxidation activity of hierarchical porous g-C3N4 by introduction of nitrogen vacancies and charge channels",2024,"Applied Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S092633732301247X","https://scholar.google.com/scholar?cites=12051466979455644284&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 17:01:41","HTML","","","",,,,,51,51.00,10,5,1,"… In situ DRIFTS and density functional theory results suggest that the introduction of N vacancies and K + ions enable control over NO adsorption and activation, leading to the …","https://www.sciencedirect.com/science/article/pii/S092633732301247X","https://scholar.google.com/scholar?q=related:fLLNzF1pP6cJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
198,"Y Wu, J Chen, H Che, X Gao, Y Ao, P Wang","Boosting 2e− oxygen reduction reaction in garland carbon nitride with carbon defects for high-efficient photocatalysis-self-Fenton degradation of 2, 4 …",2022,"… Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337322001254","https://scholar.google.com/scholar?cites=5137017605344562200&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 17:01:41","HTML","","","",,,,,198,66.00,33,6,3,"… Density functional theory (DFT) calculation confirms that the carbon defects in GCN is favorable for photocatalytic 2e - ORR to H 2 O 2 . This work provides a new insight for high-efficient …","https://www.sciencedirect.com/science/article/pii/S0926337322001254","https://scholar.google.com/scholar?q=related:GIx9g0taSkcJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"Y Peng, H Szalad, P Nikacevic, G Gorni…","Co-doped hydroxyapatite as photothermal catalyst for selective CO2 hydrogenation",2023,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337323004332","https://scholar.google.com/scholar?cites=11355230817346749078&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 17:01:41","HTML","","","",,,,,24,12.00,5,5,2,"… Our DFT simulations for CoO show that its hydrogenation to metallic Co is extremely favorable with ΔG = −3.21 eV, suggesting that the hydrogenation of Co 3 O 4 should also be …","https://www.sciencedirect.com/science/article/pii/S0926337323004332","https://scholar.google.com/scholar?q=related:loKFCkTilZ0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"T Shan, Y Wang, D Luo, Z Huang, F Zhang…","Extended H-bonds/π-bonds networks for boosting electron transfer over polydopamine-covered nanocellulose/g-C3N4 toward efficient photocatalytic H2O2 …",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324001863","https://scholar.google.com/scholar?cites=496290155019805002&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 17:01:41","HTML","","","",,,,,40,40.00,7,6,1,"… Experimental and density function theory (DFT) have validated that CNF P increases the … In summary, compared to CNF, CNF P further facilitates the separation and migration of …","https://www.sciencedirect.com/science/article/pii/S0926337324001863","https://scholar.google.com/scholar?q=related:SqF6O0Qt4wYJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
151,"D Li, C Wen, J Huang, J Zhong, P Chen, H Liu…","High-efficiency ultrathin porous phosphorus-doped graphitic carbon nitride nanosheet photocatalyst for energy production and environmental remediation",2022,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S092633732200039X","https://scholar.google.com/scholar?cites=384131197078508346&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 17:01:41","HTML","","","",,,,,151,50.33,22,7,3,"… Density functional theory (DFT) calculations suggested that phosphorus doping modulated the local electronic structure of gC 3 N 4 , which improved the electron-hole separation and …","https://www.sciencedirect.com/science/article/pii/S092633732200039X","https://scholar.google.com/scholar?q=related:OpMC3Um1VAUJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"F Cao, W Ni, Q Zhao, L Wang, S Xue, Y Li…","Precisely manipulating the local coordination of cobalt single-atom catalyst boosts selective hydrogenation of nitroarenes",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324000730","https://scholar.google.com/scholar?cites=7345390599685280085&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 17:01:41","HTML","","","",,,,,25,25.00,4,7,1,"… In conclusion, guided by DFT theoretical predictions, a novel Co-based single-atom catalyst featuring Co-N 2 P 2 configuration has been delicately designed and successfully …","https://www.sciencedirect.com/science/article/pii/S0926337324000730","https://scholar.google.com/scholar?q=related:VRG8NtUR8GUJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
