Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"Y Li, M Yan, H Lin, S Wang, X Duan, XL Wu","Electrochemical generation of H*-• OH redox pair for rapid removal of refractory nitro-organic micropollutants",2025,"… Catalysis B: Environment and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324009779","https://scholar.google.com/scholar?cites=5580872527002253267&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 16:59:17","HTML","","","",,,,,6,6.00,1,6,1,"This study developed an innovative reduction-oxidation coupling process for treatment of refractory organic wastewater. We constructed a series of N 5 -coordinated transition metals (…","https://www.sciencedirect.com/science/article/pii/S0926337324009779","https://scholar.google.com/scholar?q=related:07e0nP49c00J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"M Irshad, H Jo, S Ahmed, W Yoon, SK Kim…","Tandem reductive hydroformylation: A mechanism for selective synthesis of straight-chain α-alcohols by CO2 hydrogenation",2025,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S092633732401292X","https://scholar.google.com/scholar?cites=7395394141655283117&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 16:59:17","HTML","","","",,,,,2,2.00,0,6,1,"… In this study, we propose a new insight into the existence of tandem reductive hydroformylation … Density functional theory (DFT) simulation indicated the preferred CHO insertion over CO …","https://www.sciencedirect.com/science/article/pii/S092633732401292X","https://scholar.google.com/scholar?q=related:rTVeE8q3oWYJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Y Liu, H Zhang, J Zhou, S Guan, R Shen…","Spin-cross interface-inducing ultra-high catalytic activity in Co (OH) xPy-MXene toward alkali-free liquid hydrogen generation",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324004570","https://scholar.google.com/scholar?cites=9213937441459982129&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 16:59:17","HTML","","","",,,,,3,3.00,1,6,1,"… all spin-polarization DFT calculations within the generalized … addition of O–H and reductive eliminate of H 2 during NH 3 … of catalyst through a reductive elimination. This hypothesis …","https://www.sciencedirect.com/science/article/pii/S0926337324004570","https://scholar.google.com/scholar?q=related:Mc_kFEl73n8J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"X Hao, W Deng, Y He, Z Jin","Strong electronic coupling of graphdiyne/CuCo2S4 ohmic junction for boosting photocatalytic hydrogen evolution",2025,"Applied Catalysis B: Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324011500","https://scholar.google.com/scholar?cites=10208828744258207216&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 16:59:17","HTML","","","",,,,,4,4.00,1,4,1,"… DFT calculations reveal a robust electronic coupling interface between GDY and CuCo 2 S 4 , which increases the local electron density of GDY. In-situ XPS confirms the successful …","https://www.sciencedirect.com/science/article/pii/S0926337324011500","https://scholar.google.com/scholar?q=related:8L1OeqcLrY0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"Z Gao, Y Wang, Z Sun, Z Xu, J Liao, Z Li, Y Luo…","Constructing molecular junction in covalent organic frameworks for efficient uranium (VI) photoreduction",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324003679","https://scholar.google.com/scholar?cites=13947461088820797668&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 16:59:17","HTML","","","",,,,,13,13.00,2,8,1,"… Here, Cu-N cluster as oxidative site and Ti-O cluster as reductive site are covalently coupled … by using the B3LYP method of density functional theory (DFT), where the basis sets for the …","https://www.sciencedirect.com/science/article/pii/S0926337324003679","https://scholar.google.com/scholar?q=related:5CC_pfZVj8EJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"Y Li, J Wei, N Cui, J Li, W Ji, L Wang, J Huo…","Atomically dispersed Fe-N5 sites with optimized electronic structure for sustainable wastewater purification via efficient Fenton-like catalysis",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324006994","https://scholar.google.com/scholar?cites=6351924228895944713&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 16:59:17","HTML","","","",,,,,18,18.00,2,8,1,"… Experiments and density functional theory calculations unveiled that Fe-N 5 site was the active center. Meaningfully, neighboring carbonyl groups narrowed the gap between d-band …","https://www.sciencedirect.com/science/article/pii/S0926337324006994","https://scholar.google.com/scholar?q=related:CTCKp26RJlgJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"D Zengel, V Marchuk, M Kurt, F Maurer…","Pd loading threshold for an efficient noble metal use in Pd/CeO2 methane oxidation catalysts",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324006775","https://scholar.google.com/scholar?cites=974077991031884018&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 16:59:17","HTML","","","",,,,,7,7.00,1,5,1,"… as-prepared and after different reductive treatments. Distinct Pd … Although reductive treatments improved the catalytic activity, … obtained by density functional theory (DFT) calculations. …","https://www.sciencedirect.com/science/article/pii/S0926337324006775","https://scholar.google.com/scholar?q=related:8kj7nsWehA0J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"Y Ai, J Hu, X Xiong, SAC Carabineiro, Y Li…","Synergistic interfacial engineering of a S-scheme ZnO/In2S3 photocatalyst with S− O covalent bonds: A dual-functional advancement for tetracycline …",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324004120","https://scholar.google.com/scholar?cites=1093835761997684860&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 16:59:17","HTML","","","",,,,,68,68.00,11,6,1,"… , Kelvin probe force microscopy and density functional theory calculations confirm the S-… and maintaining highly oxidative holes and reductive electrons for pollutant degradation and H 2 …","https://www.sciencedirect.com/science/article/pii/S0926337324004120","https://scholar.google.com/scholar?q=related:fKB9hNQVLg8J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"Q Zhang, Q Deng, Y Zhang, Y Xiao, C Zhang…","Simultaneously uranium reduction and organics degradation by a drivingpowers enhanced photocatalytic fuel cell based on a UiO-66-NH2 derived zirconia/N …",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324001206","https://scholar.google.com/scholar?cites=18124420786368577646&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 16:59:17","HTML","","","",,,,,21,21.00,4,6,1,"… were all optimized with dispersion corrected density functional theory (DFT-D3) at the PBE0-D3… analysis from the wave function file of DFT calculation using Multiwfn. The visualization of …","https://www.sciencedirect.com/science/article/pii/S0926337324001206","https://scholar.google.com/scholar?q=related:boA0i63ghvsJ:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"Y Zheng, Q Yang, S Wang, S Furukawa, M Li…","Adjacent MnOx clusters enhance the hydroformylation activity of rhodium single-atom catalysts",2024,"… Environment and Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337324002376","https://scholar.google.com/scholar?cites=3380476069336881957&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 16:59:17","HTML","","","",,,,,10,10.00,2,6,1,"… addition of H 2 , (VII) reductive elimination of the resulting aldehyde with four transition states (TS… insertion into the Rh-H bond or reductive elimination of the resulting aldehyde, to be the …","https://www.sciencedirect.com/science/article/pii/S0926337324002376","https://scholar.google.com/scholar?q=related:JZuIFBPd6S4J:scholar.google.com/&scioq=source:%22applied+catalysis+b+environment+and+energy%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
