Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"F Luo, CL Li, P Ji, Y Zhou, J Gui, L Chen, Y Yin…","Direct insertion into the C–C bond of unactivated ketones with NaH-mediated aryne chemistry",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(23)00264-4?uuid=uuid%3A969fd109-4978-4d99-9b32-1590e119914b","https://scholar.google.com/scholar?cites=1200053447089087144&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 15:46:52","HTML","","","",,,,,10,5.00,1,8,2,"… To gain mechanistic insights into the NaH-mediated aryne formation reaction, we carried out DFT calculations at the SMD(THF)/B3LYP/6-31+G(d) (LANL2DZ for I) level (see the …","https://www.cell.com/chem/fulltext/S2451-9294(23)00264-4?uuid=uuid%3A969fd109-4978-4d99-9b32-1590e119914b","https://scholar.google.com/scholar?q=related:qGI6gUBypxAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
82,"Z Xie, D Tian, M Xie, SZ Yang, Y Xu, N Rui, JH Lee…","Interfacial active sites for CO2 assisted selective cleavage of C–C/C–H bonds in ethane",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30361-2?uuid=uuid%3Aaae32985-9b8d-4844-8e95-bc4b3a2ee39b","https://scholar.google.com/scholar?cites=15899017906595644329&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 15:46:52","HTML","","","",,,,,82,16.40,10,8,5,"… active sites and their functions in C–C and C–H bond activation, in situ synchrotron experiments and density functional theory (DFT) calculations were performed as described below. …","https://www.cell.com/chem/fulltext/S2451-9294(20)30361-2?uuid=uuid%3Aaae32985-9b8d-4844-8e95-bc4b3a2ee39b","https://scholar.google.com/scholar?q=related:qUM1qIyopNwJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"Y Liu, W Dong, ZH Li, H Wang","Methane activation by a borenium complex",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00160-1","https://scholar.google.com/scholar?cites=17176643550821333431&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 15:46:52","HTML","","","",,,,,36,9.00,9,4,4,"… of the methane activation process, we carried out density functional theory (DFT MN15) calculations (the [B(C 6 F 5 ) 4 ] − anion was omitted). This methane C–H borylation reaction is …","https://www.cell.com/chem/fulltext/S2451-9294(21)00160-1","https://scholar.google.com/scholar?q=related:t7k1wE2yX-4J:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"W Chang, Y Chen, S Lu, H Jiao, Y Wang, T Zheng…","Computationally designed ligands enable tunable borylation of remote C–H bonds in arenes",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00223-6","https://scholar.google.com/scholar?cites=16732008948285443999&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 15:46:52","HTML","","","",,,,,31,10.33,4,7,3,"… -substituted arenes, 32 tunable functionalization of both meta- and para-C–H bonds in the same substrate is very rare. Here, guided by density functional theory (DFT) calculations, we …","https://www.cell.com/chem/fulltext/S2451-9294(22)00223-6","https://scholar.google.com/scholar?q=related:nw82DX0JNOgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"M Feng, AJ Fernandes, R Meyrelles, N Maulide","Direct enantioselective α-amination of amides guided by DFT prediction of E/Z selectivity in a sulfonium intermediate",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(23)00121-3","https://scholar.google.com/scholar?cites=14812590672002484866&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 15:46:52","HTML","","","",,,,,24,12.00,6,4,2,"Chiral amines are a highly important class of compounds for which powerful synthetic approaches remain in high demand. Herein, we report an unprecedented method for the …","https://www.cell.com/chem/fulltext/S2451-9294(23)00121-3","https://scholar.google.com/scholar?q=related:ggr5V7zkkM0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"H Wang, Z Li, X Chen, JJ Wong, T Bi, X Tong, Z Xu…","Multicomponent coupling and macrocyclization enabled by Rh (III)-catalyzed dual C–H activation: Macrocyclic oxime inhibitor of influenza H1N1",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00561-7","https://scholar.google.com/scholar?cites=587568601099601349&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 15:46:52","HTML","","","",,,,,12,6.00,2,8,2,"… DFT calculations revealed that the C–N versus C–C bond formation chemoselectivity was … is highlighted by the late-stage C–H functionalization of various complex natural macrocyclic …","https://www.cell.com/chem/fulltext/S2451-9294(22)00561-7","https://scholar.google.com/scholar?q=related:xQW3lYd2JwgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"A Dasgupta, R Babaahmadi, B Slater, BF Yates…","Borane-catalyzed stereoselective C–H insertion, cyclopropanation, and ring-opening reactions",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30316-8","https://scholar.google.com/scholar?cites=12781452284179186552&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 15:46:52","HTML","","","",,,,,91,18.20,18,5,5,"… Recently, it has been shown that the photocatalyzed activation of diazo-compounds is also possible for cyclopropanation or C–H activation of olefins and heteroarenes. …","https://www.cell.com/chem/fulltext/S2451-9294(20)30316-8","https://scholar.google.com/scholar?q=related:eAMbKCLXYLEJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"X Riart-Ferrer, P Sang, J Tao, H Xu, LM Jin, H Lu, X Cui…","Metalloradical activation of carbonyl azides for enantioselective radical aziridination",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00112-1","https://scholar.google.com/scholar?cites=1883075019118578028&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 15:46:52","HTML","","","",,,,,43,10.75,5,8,4,"… First, density functional theory (DFT) calculations were carried out to study the catalytic pathway for aziridination reaction of styrene with TrocN 3 with the use of the actual catalyst [Co(P3…","https://www.cell.com/chem/fulltext/S2451-9294(21)00112-1","https://scholar.google.com/scholar?q=related:bIn5v8AGIhoJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"MDR Lutz, VCM Gasser, B Morandi","Shuttle arylation by Rh (I) catalyzed reversible carbon–carbon bond activation of unstrained alcohols",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00110-8","https://scholar.google.com/scholar?cites=3271582945254786278&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 15:46:52","HTML","","","",,,,,33,8.25,11,3,4,"… While strategies to activate propargylic and allylic alcohols are well known, the activation of an unstrained C(sp 2 )–C(sp 3 ) bond remains challenging. We and others have reported …","https://www.cell.com/chem/fulltext/S2451-9294(21)00110-8","https://scholar.google.com/scholar?q=related:5kQj6Vr_Zi0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
87,"WY Ding, P Yu, QJ An, KL Bay, SH Xiang, S Li, Y Chen…","DFT-guided phosphoric-acid-catalyzed atroposelective arene functionalization of nitrosonaphthalene",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?cites=10474129723719689861&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 15:46:52","HTML","","","",,,,,87,17.40,11,8,5,"… approach to enantioselective functionalization of naphthalene C–H bonds featuring an … density functional theory (DFT) calculations, nitroso has emerged as another promising activating …","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?q=related:hSasSX2VW5EJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"JD Martín-Bernardos, K Golob, WW Chen, OA Luongo…","Polar π stacking for metal-free near, remote, and ultra-remote C–H coupling with aryliodanes",2025,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(25)00136-6","",11,"2025-05-06 15:46:52","","","","",,,,,0,0.00,0,5,1,"… C–H functionalization, with selectivity switch achieved by reversing the order of the substrate’s ene and yne fragments. Density functional theory (DFT… -guided C–H functionalization of 2-…","","https://scholar.google.com/scholar?q=related:XBdMgcv0I2IJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"T Harris, G dos Passos Gomes, S Ayad, RJ Clark…","Twisted cycloalkynes and remote activation of “click” reactivity",2017,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(17)30318-2","https://scholar.google.com/scholar?cites=9478831141324451212&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-06 15:46:52","HTML","","","",,,,,48,6.00,10,5,8,"… (B) Summary of X-ray and solvent-corrected density functional theory (DFT) geometries. … For the calculated TD-DFT UV-vis spectra of 2,2′-biaryl nucleophiles, BIPOC, BIPAC, and …","https://www.cell.com/chem/fulltext/S2451-9294(17)30318-2","https://scholar.google.com/scholar?q=related:jO2NuLOSi4MJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"A Mondal, M Díaz-Ruiz, F Deufel, F Maseras…","Charge-controlled Pd catalysis enables the meta-C–H activation and olefination of arenes",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00662-3","https://scholar.google.com/scholar?cites=117695179350600966&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-06 15:46:52","HTML","","","",,,,,18,9.00,4,5,2,"… The presence of multiple chemically different C–H bonds in organic molecules with only … regioselectivity one of the key challenges in the field of C–H activation and functionalization. …","https://www.cell.com/chem/fulltext/S2451-9294(22)00662-3","https://scholar.google.com/scholar?q=related:Bu33XCQjogEJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
